Date,Open,High,Low,Close,Volume,OpenInterest
2017-05-31,86.28,86.32,81.75,82.18,10005546,0.0
2017-06-01,81.6,82.14,79.92,80.91,7712268,0.0
2017-06-04,81.01,81.3,78.26,78.75,7467135,0.0
2017-06-05,78.61,80.445,78.61,80.1,4796953,0.0
2017-06-06,80.15,81.1,80.13,80.82,3139603,0.0
2017-06-07,81.3,82.51,80.34,82.45,2829899,0.0
2017-06-08,82.93,82.98,77.575,78.6,3962017,0.0
2017-06-11,78.02,80.47,77.93,79.74,4197552,0.0
2017-06-12,80.16,81.73,80.15,81.23,3261878,0.0
2017-06-13,81.69,81.86,79.98,80.94,2411506,0.0
2017-06-14,79.78,80.75,79.54,79.75,2417965,0.0
2017-06-15,80.05,80.23,78.97,80.03,3536989,0.0
2017-06-18,81,81.25,79.84,80.37,2372629,0.0
2017-06-19,80.28,81.65,79.18,79.2,3107739,0.0
2017-06-20,79.5,80.205,79,79.99,2708636,0.0
2017-06-21,80.8,81.67,80,81.32,3361789,0.0
2017-06-22,81.16,82.139,80.9,81.55,2739239,0.0
2017-06-25,81.95,82.1,79.91,80.57,1817350,0.0
2017-06-26,80.23,80.55,77.82,78.13,3180668,0.0
2017-06-27,78.55,79.39,77.86,79.21,2154972,0.0
2017-06-28,78.94,79.12,76.18,77.75,2825475,0.0
2017-06-29,78.3,78.33,77.22,77.8,1545858,0.0
2017-07-02,78.27,78.55,76.07,76.11,1000114,0.0
2017-07-04,76.49,78.11,76.38,77.74,1700700,0.0
2017-07-05,76.91,77.73,76.51,77.34,1871357,0.0
2017-07-06,77.64,78.85,77.5,78.48,1962495,0.0
2017-07-09,78.51,78.86,77.76,78.73,1540127,0.0
2017-07-10,78.95,80.36,78.27,79.87,2137814,0.0
2017-07-11,80.48,81.17,80.03,80.38,2006743,0.0
2017-07-12,80.32,80.75,79.8643,80.27,1213945,0.0
2017-07-13,80.72,81.69,80.5101,81.55,1763188,0.0
2017-07-16,81.63,81.85,80.94,81.1,925291,0.0
2017-07-17,80.96,81.19,80.15,81.13,1069517,0.0
2017-07-18,81.3,81.38,80.12,80.35,2042171,0.0
2017-07-19,80.36,80.89,79.99,80.84,1322844,0.0
2017-07-20,80.07,80.22,78.43,78.96,2242528,0.0
2017-07-23,78.96,79.455,78.42,78.77,1288261,0.0
2017-07-24,78.79,80.1,78.45,79.52,1249928,0.0
2017-07-25,80.06,81.3,79.8,80.72,1565445,0.0
2017-07-26,80.83,81.28,78.96,79.541,1934918,0.0
2017-07-27,79.28,79.37,78.49,79.24,1242658,0.0
2017-07-30,79.46,79.93,78.94,79.03,1349602,0.0
2017-07-31,79.23,79.475,78.635,78.95,1105038,0.0
2017-08-01,79.49,79.65,78.36,78.8,1663605,0.0
2017-08-02,78.67,78.9888,77.73,77.91,1587113,0.0
2017-08-03,78.09,78.4,77.525,77.77,1306799,0.0
2017-08-06,79.65,79.65,77.76,78.87,1360645,0.0
2017-08-07,78.66,79.88,78.41,78.96,1121183,0.0
2017-08-08,78.52,78.65,77.42,78.005,1459288,0.0
2017-08-09,77.47,77.95,76.6496,76.83,1728198,0.0
2017-08-10,76.76,78.29,76.41,78.05,1351655,0.0
2017-08-13,78.66,80.16,78.57,79.89,1703860,0.0
2017-08-14,79.93,80.37,79.28,79.97,1134068,0.0
2017-08-15,80.01,80.9,79.79,80.05,1600980,0.0
2017-08-16,79.8,79.89,77.55,77.56,1533363,0.0
2017-08-17,77.6,78.07,77.03,77.73,1395772,0.0
2017-08-20,77.81,77.99,76.95,77.7,954960,0.0
2017-08-21,78.12,79.3,78.09,79.16,1208901,0.0
2017-08-22,78.5,79.3,78.12,79.07,986641,0.0
2017-08-23,79.35,79.44,78.83,79.27,895426,0.0
