Date,Open,High,Low,Close,Volume,OpenInterest
2017-05-30,101.7,102.5,101.51,102.39,1516664,0.0
2017-05-31,103,103.4,102.01,103.31,1934009,0.0
2017-06-01,100.12,101.075,98.5,100.97,6977026,0.0
2017-06-04,101.1,101.625,100.885,101.11,2606373,0.0
2017-06-05,101,101.715,100.65,101.205,1410875,0.0
2017-06-06,101.01,101.5,100.69,100.94,1890885,0.0
2017-06-07,101.11,101.265,100.44,100.77,2127609,0.0
2017-06-08,100.86,101.26,99.85,100.11,3133786,0.0
2017-06-11,100.37,101.56,100.02,101.54,1479364,0.0
2017-06-12,101.61,102.08,101.15,101.87,1807389,0.0
2017-06-13,102.19,102.31,100.83,101.24,2265021,0.0
2017-06-14,100.88,102.3,99.05,102.18,1255297,0.0
2017-06-15,101.65,103.72,101.65,103.49,2696843,0.0
2017-06-18,103.73,104.16,103.255,104.1,1544503,0.0
2017-06-19,102.52,103.39,102.44,102.48,2933107,0.0
2017-06-20,103.74,103.74,102.05,102.49,2589398,0.0
2017-06-21,102.69,102.73,101.37,101.92,1881196,0.0
2017-06-22,101.81,102.03,101.28,101.42,1562825,0.0
2017-06-25,101.66,102.275,101.44,102.18,1861384,0.0
2017-06-26,101.84,102.6099,101.49,101.5,2264116,0.0
2017-06-27,101.8,102.84,100.56,102.66,2362157,0.0
2017-06-28,102.4,102.54,101.07,101.46,3032271,0.0
2017-06-29,102.05,102.81,101.76,102.45,2172791,0.0
2017-07-02,102.01,103.14,101.91,102.47,1154432,0.0
2017-07-04,102.81,104.12,101.88,104.065,2140752,0.0
2017-07-05,103.76,103.76,102.8,103.44,2133781,0.0
2017-07-06,103.75,105.41,103.42,105.135,2158782,0.0
2017-07-09,105,105.37,103.64,103.68,4486129,0.0
2017-07-10,103.23,103.605,101.15,101.84,4013379,0.0
2017-07-11,102.8,103.46,102.3299,102.5,1722688,0.0
2017-07-12,102.49,102.68,101.42,101.63,2505211,0.0
2017-07-13,101.61,101.9,101.24,101.35,2298662,0.0
2017-07-16,101.38,101.81,101.22,101.71,2674240,0.0
2017-07-17,100.94,101.38,99.03,101.3,1767384,0.0
2017-07-18,101.5,103.07,101.2,102.75,2522940,0.0
2017-07-19,102.93,103.47,102.83,103.35,1889848,0.0
2017-07-20,102.68,104.94,102.68,104.59,2794233,0.0
2017-07-23,104.34,104.44,102.46,103.61,3613805,0.0
2017-07-24,103,104.05,102.705,103.19,2419176,0.0
2017-07-25,103.56,106.06,103.023,105.99,4242333,0.0
2017-07-26,103.41,120,103.4,115.64,26866540,0.0
2017-07-27,115.24,117.66,114.995,117.39,6763144,0.0
2017-07-30,118,121.77,117.87,119.06,6647143,0.0
2017-07-31,118.79,119.38,116.33,116.81,4556380,0.0
2017-08-01,115.95,116.44,114.12,115.25,8598244,0.0
2017-08-02,113.64,113.85,111,111.75,7255271,0.0
2017-08-03,113.5,113.92,110.1,111.38,6882236,0.0
2017-08-06,111.5,114,111.05,112.17,2787980,0.0
2017-08-07,112.2,112.56,108.07,108.49,6746006,0.0
2017-08-08,108.84,110.11,108.06,109.66,3214941,0.0
2017-08-09,108.8,109.84,107.9,108.91,3036070,0.0
2017-08-10,108.77,109.68,108.22,108.81,2749354,0.0
2017-08-13,109.34,109.93,108.9,109.68,1973421,0.0
2017-08-14,110.02,111.775,109.43,111.58,2254771,0.0
2017-08-15,111.82,111.8899,110.54,111.11,1992634,0.0
2017-08-16,110.69,110.95,104.62,104.66,7274646,0.0
2017-08-17,104.2,104.96,103.43,104.47,3565249,0.0
2017-08-20,104.52,104.84,102.84,102.89,2661432,0.0
2017-08-21,104.87,105.1,103.36,103.7,1985748,0.0
2017-08-22,103.43,103.92,102.811,103.46,1188487,0.0
2017-08-23,103.6,105.21,103.36,104.6,2081135,0.0
2017-08-24,104.87,105.43,104.46,104.59,1056042,0.0
2017-08-27,104.88,105.24,104.53,104.76,1063390,0.0
2017-08-28,103.99,105.34,103.76,105.12,1160541,0.0
2017-08-29,105.28,106.305,104.66,105.93,1106369,0.0
2017-08-30,106.49,106.81,105.96,106.48,1472318,0.0
2017-08-31,106.53,107.58,106.36,107.35,1617425,0.0
2017-09-04,106.64,107.56,105.94,106.46,3691100,0.0
2017-09-05,106.94,109.125,106.62,108.051,2779121,0.0
2017-09-06,108.41,109.49,108.12,108.92,2827526,0.0
2017-09-07,108.77,109.44,107.91,108.41,1654768,0.0
2017-09-10,108.82,109,106.85,107.49,1952530,0.0
2017-09-11,107.05,108.69,106.36,107.91,1633244,0.0
2017-09-12,107.88,107.97,107.16,107.2,1501290,0.0
2017-09-13,106.64,107.23,106.33,106.8,1290575,0.0
2017-09-14,106.46,107.79,106.25,106.69,1913529,0.0
2017-09-17,106.83,106.96,106.25,106.55,1117355,0.0
2017-09-18,106.95,107.71,106.7,107.48,1248869,0.0
2017-09-19,107.63,107.94,106.32,106.82,1708508,0.0
2017-09-20,107.08,107.37,106.71,106.78,1122254,0.0
2017-09-21,106.36,108.55,106.29,108.14,1205368,0.0
2017-09-24,107.91,108.9,107.42,108.85,1373768,0.0
2017-09-25,109.15,109.52,108.23,108.27,1080854,0.0
2017-09-26,108.53,109.94,108.128,109.63,2414448,0.0
2017-09-27,109.13,109.51,108.047,109.02,1412270,0.0
2017-09-28,109.06,109.74,109,109.32,722332,0.0
2017-10-01,109.22,109.5,108.53,109.32,1126309,0.0
2017-10-02,109.66,110.98,109.35,110.71,1408473,0.0
2017-10-03,110.65,111.44,109.7,111.39,1419902,0.0
2017-10-04,111.92,113.63,111.48,113.57,1413718,0.0
2017-10-05,113.51,113.73,112.59,113.49,1143708,0.0
2017-10-08,113.4,114.06,113.16,113.57,636350,0.0
2017-10-09,113.62,114.14,113.19,114.11,733406,0.0
2017-10-10,114.26,114.39,112.41,113.08,992592,0.0
2017-10-11,112.99,113.64,112.91,113.59,846563,0.0
2017-10-12,114.23,114.4,112.24,113.87,708750,0.0
2017-10-15,113.91,114.72,113.66,114.59,757530,0.0
2017-10-16,114.1,114.13,113.24,113.74,1004836,0.0
2017-10-17,113.69,114.47,113.55,113.95,931413,0.0
2017-10-18,113.95,114.65,113.29,114.64,647281,0.0
2017-10-19,114.88,116.08,114.56,115.93,1196355,0.0
2017-10-22,116.26,117.8,115.46,117.04,1369623,0.0
2017-10-23,116.69,117.3,116.06,116.47,1115113,0.0
2017-10-24,116.28,116.72,115.14,116.34,1312645,0.0
2017-10-25,117.26,117.85,116.71,117.3,1239847,0.0
2017-10-26,116.9,118.47,116.28,118.25,1124946,0.0
2017-10-29,118.02,118.17,116.55,116.99,1032209,0.0
2017-10-30,116.88,117.14,116.01,116.26,1160370,0.0
2017-10-31,116.4,116.77,114.69,115.4,2062402,0.0
2017-11-01,115,115.49,112.12,114.36,2936075,0.0
2017-11-02,114.35,114.7,111.84,112.26,2251060,0.0
2017-11-05,111.72,112.1899,110.265,111.33,2385881,0.0
2017-11-06,110.33,112.9,109.44,112.75,3004773,0.0
2017-11-07,112.93,113.42,112.52,112.6,952135,0.0
2017-11-08,111.78,113.15,110.77,111.97,1188870,0.0
