Date,Open,High,Low,Close,Volume,OpenInterest
2017-05-30,113.4,113.92,111.5,111.78,1770438,0.0
2017-05-31,111.72,113.12,110.94,113.03,1787406,0.0
2017-06-01,113.78,113.88,111.76,112.88,1728923,0.0
2017-06-04,112.74,113.14,110.23,110.88,1853284,0.0
2017-06-05,110.4,112.27,110.19,111.44,1136764,0.0
2017-06-06,111.52,112.08,110.6,111.18,1553161,0.0
2017-06-07,111.51,111.95,110.2,111.11,1531410,0.0
2017-06-08,111.16,111.6999,103.62,105.95,2175466,0.0
2017-06-11,104.15,108.62,100.7,107.44,3325050,0.0
2017-06-12,107.6,108.24,105.17,107.56,1819544,0.0
2017-06-13,108.52,108.65,105.0232,106.21,1522669,0.0
2017-06-14,104.77,106.04,103.48,105.61,1353347,0.0
2017-06-15,105.38,105.92,103.63,104.88,1505689,0.0
2017-06-18,105.6,106.7,105.16,106.16,2066425,0.0
2017-06-19,106.53,107.11,104.3,104.93,1465833,0.0
2017-06-20,105.88,106.56,104.82,105.69,2214196,0.0
2017-06-21,105.72,107.26,104.55,106.78,1920394,0.0
2017-06-22,106.59,108.76,105.3,107.75,2914718,0.0
2017-06-25,107.76,109.07,105.31,106.12,1383218,0.0
2017-06-26,105.58,106.45,102.5,102.92,1743384,0.0
2017-06-27,103.69,104.86,101.54,104.27,1133447,0.0
2017-06-28,103.57,103.8105,100,101.39,1904246,0.0
2017-06-29,102.32,102.37,100.75,100.82,1153516,0.0
2017-07-02,101.32,101.82,99.32,99.35,1120231,0.0
2017-07-04,99.37,103.04,99.22,102.61,2229957,0.0
2017-07-05,101.59,103.11,100.794,102.06,2034318,0.0
2017-07-06,102.29,104.28,102.29,103.32,1288331,0.0
2017-07-09,103.42,104.185,102.38,103.745,870313,0.0
2017-07-10,103.47,104.73,102.98,104.3,976546,0.0
2017-07-11,105.61,107.08,104.76,106.68,2088766,0.0
2017-07-12,107.49,108.5,106.38,107.07,1054539,0.0
2017-07-13,107.46,108.91,107.01,108.73,1099541,0.0
2017-07-16,108.9,109,106.56,106.95,833018,0.0
2017-07-17,106.67,107.85,106.23,107.7,605617,0.0
2017-07-18,108.5,110.5,108.47,110.22,1594313,0.0
2017-07-19,110.06,110.5,108.88,109.92,941956,0.0
2017-07-20,109.41,110.54,109.08,109.75,800155,0.0
2017-07-23,109.64,110.89,109.335,110.87,742134,0.0
2017-07-24,110.91,112.4,110.2,112.29,989127,0.0
2017-07-25,112.5,114.1,112.41,114.1,1551703,0.0
2017-07-26,114.97,115.25,109.32,111.55,1879613,0.0
2017-07-27,110.6,112.28,110.3326,111.5,666099,0.0
2017-07-30,111.65,112.315,109.78,110.82,953564,0.0
2017-07-31,111.27,112.59,111.1,111.38,966178,0.0
2017-08-01,111.08,111.38,107.28,109.12,1393503,0.0
2017-08-02,107.94,108.5,105.6,107.88,1837818,0.0
2017-08-03,108.35,109.04,107.56,108.37,750431,0.0
2017-08-06,108.67,111,108.4,109.79,1207407,0.0
2017-08-07,109.38,110.27,108,108.33,686367,0.0
2017-08-08,107.69,107.96,106.54,107.46,778121,0.0
2017-08-09,106.56,107.54,104.77,104.98,1253396,0.0
2017-08-10,105.75,108.7577,105.1,108.02,1081315,0.0
2017-08-13,109.2,110,108.01,108.9,1164129,0.0
2017-08-14,109.02,110.1,108.12,109.81,950234,0.0
2017-08-15,110.36,110.93,109.36,110.5,982907,0.0
2017-08-16,110.07,110.82,107.73,107.89,1312552,0.0
2017-08-17,107.86,110.1,107.19,108.56,871329,0.0
