Date,Open,High,Low,Close,Volume,OpenInterest
2017-05-29,68.29,71.26,68.23,71.22,1478588,0.0
2017-05-30,71.26,71.865,69.19,69.28,2018647,0.0
2017-05-31,69.16,72.12,68.92,69.69,2224843,0.0
2017-06-01,70.01,72.72,69.79,72.64,2085813,0.0
2017-06-04,72.64,72.69,69.76,69.88,2233372,0.0
2017-06-05,70.08,72.4962,69.54,69.62,2102069,0.0
2017-06-06,69.74,72.71,69.56,72.62,2070215,0.0
2017-06-07,72.65,72.65,69.22,69.44,2026726,0.0
2017-06-08,69.34,71.8899,68.89,69.36,1944813,0.0
2017-06-11,69.34,71.515,68.51,68.92,2317182,0.0
2017-06-12,68.84,71.68,68.57,71.65,1402640,0.0
2017-06-13,72.23,72.4,69.19,69.45,1469528,0.0
2017-06-14,69.36,71.97,69.01,69.63,1992277,0.0
2017-06-15,69.79,72.455,69.45,72.43,2339764,0.0
2017-06-18,72.42,72.47,71.74,72.05,1565166,0.0
2017-06-19,72.1,72.52,69.86,70.03,2060304,0.0
2017-06-20,70.06,70.42,69.67,69.88,5714195,0.0
2017-06-21,69.67,72.2099,69.25,69.29,1510922,0.0
2017-06-22,69.21,72.08,69.2,71.56,1377126,0.0
2017-06-25,71.2,72.201,71.19,71.88,1461817,0.0
2017-06-26,71.5,71.61,68.15,68.26,2244923,0.0
2017-06-27,68.34,70.67,67.68,67.71,2179983,0.0
2017-06-28,67.39,69.785,66.78,69.6,2713368,0.0
2017-06-29,69.77,70.11,67.05,67.05,1585814,0.0
2017-07-02,67.24,69.33,66.51,66.6,1145297,0.0
2017-07-04,66.62,68.859,66.21,66.42,1717719,0.0
2017-07-05,66.29,69.15,66.07,66.61,1667738,0.0
2017-07-06,66.6,69.3109,66.42,66.74,1208440,0.0
2017-07-09,66.96,69.38,66.58,68.911,1212917,0.0
2017-07-10,69,69.05,66.32,66.44,1431958,0.0
2017-07-11,66.98,69.39,66.57,66.59,1779025,0.0
2017-07-12,66.48,66.67,65.89,65.9,2842070,0.0
2017-07-13,66.29,68.58,65.72,65.79,4341902,0.0
2017-07-16,65.83,68.67,65.72,68.58,2533462,0.0
2017-07-17,68.63,68.82,65.94,65.98,2424639,0.0
2017-07-18,65.99,68.7,65.99,68.68,2145774,0.0
2017-07-19,68.77,68.835,68.4125,68.74,3027155,0.0
2017-07-20,68.74,69.705,67.24,67.54,2478698,0.0
2017-07-23,67.57,68.9938,66.51,66.78,2410355,0.0
2017-07-24,66.82,69.05,66.42,68.83,1290147,0.0
2017-07-25,68.69,69.08,66.37,67.03,1533460,0.0
2017-07-26,66.95,70.8,66.94,68.21,3340583,0.0
2017-07-27,68.16,68.34,67.59,67.98,2039475,0.0
2017-07-30,68.04,70.7,67.64,70.49,1610722,0.0
2017-07-31,70.59,70.83,68.12,68.16,1297606,0.0
2017-08-01,67.92,70.7849,67.64,68.46,1092345,0.0
2017-08-02,68.28,70.845,68.15,68.72,1480240,0.0
2017-08-03,68.51,70.92,67.87,70.88,1399495,0.0
2017-08-06,70.88,70.99,68.24,68.9,1496633,0.0
2017-08-07,68.9,70.84,68.67,69.44,1815582,0.0
2017-08-08,69.67,71.16,69.05,70.96,2094099,0.0
2017-08-09,70.85,71.42,70.55,71.36,1559547,0.0
2017-08-10,71.34,71.34,68.48,68.67,1653313,0.0
2017-08-13,68.71,71.15,68.65,69.15,1134810,0.0
2017-08-14,68.87,71.4799,68.81,69.6,1028750,0.0
2017-08-15,69.58,72.04,69.45,72.04,1383303,0.0
2017-08-16,71.99,72.21,69.94,70.07,2911560,0.0
2017-08-17,70.01,72.3625,69.8,70.23,2351137,0.0
2017-08-20,70.26,72.5,70.17,70.72,1516615,0.0
2017-08-21,70.68,72.87,70.47,72.82,1556632,0.0
2017-08-22,72.76,73.22,71.07,71.34,1489630,0.0
2017-08-23,71.31,73.66,71.12,73.4,1602471,0.0
2017-08-24,73.71,73.7701,73.41,73.585,1420824,0.0
2017-08-27,73.75,74.11,73.59,74.095,1226063,0.0
2017-08-28,74.16,74.29,71.86,71.96,1524173,0.0
2017-08-29,71.96,73.955,71.71,71.77,1016238,0.0
2017-08-30,71.89,71.97,71.65,71.66,2209646,0.0
2017-08-31,71.87,73.64,71.36,73.53,1407152,0.0
2017-09-04,73.66,73.8,71.37,72.1,1789436,0.0
2017-09-05,72.28,72.28,71.28,71.34,1958860,0.0
2017-09-06,71.52,73.87,71.41,73.81,1798401,0.0
2017-09-07,73.73,74.3501,71.92,74.22,1175644,0.0
2017-09-10,74.18,74.4,72.28,72.55,1483388,0.0
2017-09-11,72.48,73.2,70.69,71.15,1719389,0.0
2017-09-12,71.17,72.81,70.42,70.64,1734418,0.0
2017-09-13,70.49,71.01,70.34,70.95,1586029,0.0
2017-09-14,71.11,72.8401,70.52,71.07,1906466,0.0
2017-09-17,71.04,73.07,70.16,72.27,1766382,0.0
2017-09-18,72.33,72.38,70.05,70.05,1814482,0.0
2017-09-19,70.23,72.13,69.94,71.67,1670006,0.0
2017-09-20,71.68,71.92,69.47,69.53,1408977,0.0
2017-09-21,69.39,70.7801,68.8,70.53,2377031,0.0
2017-09-24,70.63,71.2,70.495,71.07,2027015,0.0
2017-09-25,71.05,71.16,68.94,69.28,1686214,0.0
2017-09-26,68.85,70.6175,68.07,68.43,1932302,0.0
2017-09-27,68.33,70.79,68.09,70.49,1326468,0.0
2017-09-28,70.25,70.525,70.03,70.23,1033758,0.0
2017-10-01,70.46,70.6163,68.46,68.54,1057016,0.0
2017-10-02,68.46,70.0599,67.69,68.41,2017375,0.0
2017-10-03,68.46,69.62,68.24,69.6,2629481,0.0
2017-10-04,69.57,69.72,69.2,69.57,1834668,0.0
2017-10-05,69.31,71.51,69.05,69.61,1383155,0.0
2017-10-08,69.68,71.84,69.62,71.69,1144327,0.0
2017-10-09,71.7,72.28,70.13,70.45,1445255,0.0
2017-10-10,70.48,72.765,70.43,72.75,1349617,0.0
2017-10-11,72.81,73.22,71.19,71.37,1262227,0.0
2017-10-12,71.59,73.565,71.12,71.2,1489104,0.0
2017-10-15,71.03,73.07,70.62,71.16,1117725,0.0
2017-10-16,70.88,73.31,70.57,73.21,1361927,0.0
2017-10-17,73.09,73.2,70.69,71.05,884858,0.0
2017-10-18,71.18,73.7585,70.99,71.85,1169875,0.0
2017-10-19,71.74,73.7915,71.61,72,1093068,0.0
2017-10-22,71.97,74.001,71.77,71.94,1299745,0.0
2017-10-23,71.8,74.05,71.45,73.99,1524698,0.0
2017-10-24,73.83,73.83,70.98,71.61,2434281,0.0
2017-10-25,73.88,74.17,71.73,73.74,1916337,0.0
2017-10-26,73.59,74.51,73.41,74.02,1412190,0.0
2017-10-29,73.86,74.27,73.57,74.16,1168919,0.0
2017-10-30,74.02,74.275,72.12,72.42,1674946,0.0
2017-10-31,72.43,74.28,71.74,72.03,1248162,0.0
2017-11-01,72.06,74.7876,71.69,71.74,3515257,0.0
