Date,Open,High,Low,Close,Volume,OpenInterest
2017-06-01,46.22,46.86,45.9,46.79,8177400,0.0
2017-06-04,46.63,47.24,46.51,46.72,5694513,0.0
2017-06-05,46.57,47.21,46.48,46.57,6712990,0.0
2017-06-06,46.7,47.34,46.62,47.26,6869764,0.0
2017-06-07,47.4,47.47,46.93,47.43,6058837,0.0
2017-06-08,47.62,47.86,43.41,44.74,18151526,0.0
2017-06-11,44.14,44.5,42.316,44.34,18236457,0.0
2017-06-12,44.94,45.5,44.28,44.85,10149817,0.0
2017-06-13,45.08,45.285,43.37,43.98,9457560,0.0
2017-06-14,43.25,43.67,42.83,43.17,10211987,0.0
2017-06-15,43.19,43.9,43.055,43.11,8037666,0.0
2017-06-18,43.7,44.39,43.63,44.27,8151410,0.0
2017-06-19,44.3,44.59,43.3,43.36,7683522,0.0
2017-06-20,43.41,43.82,43.09,43.61,8373348,0.0
2017-06-21,43.69,43.92,43.08,43.34,5427393,0.0
2017-06-22,43.45,44.3,43.41,44.09,6693105,0.0
2017-06-25,44.47,44.65,42.91,43.25,8610934,0.0
2017-06-26,43,43.1,41.83,41.9,11270268,0.0
2017-06-27,41.89,42.775,41.42,42.68,12780766,0.0
2017-06-28,42.35,42.46,40.79,41.44,11019538,0.0
2017-06-29,41.81,42.02,41.09,41.3,7324941,0.0
2017-07-02,41.33,41.96,40.98,41.01,5580467,0.0
2017-07-04,41.28,42.23,41.25,42.12,9494360,0.0
2017-07-05,41.71,42.59,41.56,42.12,10455782,0.0
2017-07-06,42.37,43.795,42.36,43.53,9186239,0.0
2017-07-09,43.6,44.5,43.51,44.22,8885935,0.0
2017-07-10,44.21,45.5,44.04,45.4,12018031,0.0
2017-07-11,45.67,45.98,44.84,45.29,8824609,0.0
2017-07-12,45.28,45.6569,44.9915,45.3,7624766,0.0
2017-07-13,45.38,46.13,45.35,46.1201,6884516,0.0
2017-07-16,46.2,46.45,45.68,46.15,6801766,0.0
2017-07-17,46.02,46.63,45.68,46.62,4830568,0.0
