Date,Open,High,Low,Close,Volume,OpenInterest
2017-06-01,10.93,10.96,10.565,10.89,40649275,0.0
2017-06-04,10.84,11.34,10.8,11.24,59620068,0.0
2017-06-05,11.27,12.24,11.24,12.03,109543595,0.0
2017-06-06,12.42,12.96,12.2348,12.38,142278035,0.0
2017-06-07,12.81,12.91,12.4,12.9,79292649,0.0
2017-06-08,13.1,13.4,11.63,12.27,160613577,0.0
2017-06-11,11.75,12.35,11.47,12.085,115938628,0.0
2017-06-12,12.33,12.48,11.67,11.96,83384128,0.0
2017-06-13,11.91,12.05,11.65,11.77,47930115,0.0
2017-06-14,11.34,11.58,11.21,11.5,56716249,0.0
2017-06-15,11.66,11.83,11.28,11.42,51062503,0.0
2017-06-18,11.63,12.12,11.62,11.93,57570137,0.0
2017-06-19,12.19,12.93,12.18,12.64,110355657,0.0
2017-06-20,13.37,14.01,13.13,13.99,172924560,0.0
2017-06-21,14.1,14.5,13.56,14.38,141279967,0.0
2017-06-22,14.15,14.67,13.9,14.13,120175782,0.0
2017-06-25,14.39,14.49,13.84,14.07,95850544,0.0
2017-06-26,13.76,14.04,13.37,13.39,84838330,0.0
2017-06-27,13.65,13.7,13.09,13.22,80588882,0.0
2017-06-28,13.06,13.15,12.45,12.605,83003421,0.0
2017-06-29,12.57,12.83,12.36,12.47,54660291,0.0
2017-07-02,12.57,12.73,12.13,12.15,37610385,0.0
2017-07-04,12.36,13.21,12.32,13.18,92436923,0.0
2017-07-05,12.94,13.32,12.665,13.03,83913937,0.0
2017-07-06,13.27,13.745,13.18,13.36,83380482,0.0
2017-07-09,13.61,13.88,13.27,13.82,69713184,0.0
2017-07-10,13.77,14.099,13.62,13.89,64489294,0.0
2017-07-11,14.17,14.39,13.96,14.28,71714348,0.0
2017-07-12,14.33,14.49,13.43,13.53,107943308,0.0
2017-07-13,13.46,13.93,13.32,13.91,72424260,0.0
2017-07-16,14.03,14.12,13.51,13.8,66910592,0.0
2017-07-17,13.29,13.53,13.15,13.48,71824090,0.0
2017-07-18,13.6,13.74,13.41,13.55,48384968,0.0
2017-07-19,13.61,13.89,13.45,13.8,45142529,0.0
2017-07-20,13.72,14.05,13.62,13.88,48942460,0.0
2017-07-23,14,14.44,13.97,14.1699,67435549,0.0
2017-07-24,14.28,14.32,13.87,14.125,72041445,0.0
2017-07-25,15.13,15.65,14.65,14.76,213632075,0.0
2017-07-26,14.99,15.04,13.7,14.1201,125490517,0.0
2017-07-27,13.845,14.1,13.68,13.94,61978175,0.0
2017-07-30,14.09,14.22,13.47,13.615,64320834,0.0
