Date,Open,High,Low,Close,Volume,OpenInterest
2017-06-01,157.27,159.62,154.43,154.64,2328207,0.0
2017-06-04,155.75,161.12,153.78,160.22,3428545,0.0
2017-06-05,160.13,160.919,154.92,155.01,1985179,0.0
2017-06-06,155.29,157.46,155.22,157.08,2427363,0.0
2017-06-07,157.38,162.78,156.83,162.66,2312174,0.0
2017-06-08,162.75,166.1369,162.63,164.06,2939727,0.0
2017-06-11,165,167.23,159.38,160.21,2838855,0.0
2017-06-12,159.68,160.4,159.12,159.77,1833734,0.0
2017-06-13,159.69,161.17,159.31,160.42,1842506,0.0
2017-06-14,159.65,164.15,158.01,164.04,2057480,0.0
2017-06-15,163.7,164.1,157.53,162.41,2995184,0.0
2017-06-18,163.1,165.22,162.69,165.1,2057625,0.0
2017-06-19,165.43,168.06,161.56,161.58,2703191,0.0
2017-06-20,162.36,171.76,161.54,171.46,4128344,0.0
2017-06-21,172.44,175.45,167.9,168.89,4232417,0.0
2017-06-22,168.34,169.2,166.12,167.61,3352274,0.0
2017-06-25,168.46,174.1348,167.5,168.75,2190619,0.0
2017-06-26,168.13,173.92,165.94,166.01,1874692,0.0
2017-06-27,166.54,174.5394,165.97,174.09,1944046,0.0
2017-06-28,174.49,174.72,166.2,167.7,1742241,0.0
2017-06-29,169.02,172.93,167.34,167.35,1590561,0.0
2017-07-02,167.79,169.44,167.79,167.9,909147,0.0
2017-07-04,167.24,173.6601,167.05,169.32,1930270,0.0
2017-07-05,168.19,172.75,166.45,166.85,1729828,0.0
2017-07-06,166.78,170.8501,165.76,166.57,1852776,0.0
2017-07-09,166.72,172.47,166.14,172.21,1203011,0.0
2017-07-10,174.18,174.64,167.67,168.41,1348010,0.0
2017-07-11,173.71,174.24,167.93,168.36,1358595,0.0
2017-07-12,168.36,174.2,168.17,170.08,2339596,0.0
2017-07-13,170.46,177.68,169.47,177.13,2099451,0.0
2017-07-16,176.84,178.325,172.13,172.37,1983086,0.0
2017-07-17,172,177.06,171.15,172.45,1291590,0.0
2017-07-18,172.93,178.6665,171.5,174.1,1778161,0.0
2017-07-19,173.97,175.6,173.8,174.24,2219158,0.0
2017-07-20,174.72,179.972,174.07,175.1,1939301,0.0
2017-07-23,175.08,181.46,173.6,181.06,1626959,0.0
2017-07-24,182.05,182.6,175.36,175.76,2537987,0.0
2017-07-25,171.04,173.81,170.25,170.9,4380005,0.0
2017-07-26,170.06,173.86,167.23,172.15,3783796,0.0
2017-07-27,172.19,173.53,168,169.59,1827287,0.0
2017-07-30,169.5,175.8033,169.24,169.56,1724499,0.0
2017-07-31,169.85,175.11,168.73,174.14,1521511,0.0
2017-08-01,173.57,174.345,168.96,169.52,1574934,0.0
2017-08-02,169.49,174.71,168.34,174.19,1179236,0.0
2017-08-03,174.27,174.82,172.9,173.81,1404529,0.0
2017-08-06,173.87,174.52,168.4,169.63,876653,0.0
2017-08-07,169.06,174.619,168.11,168.77,1410863,0.0
2017-08-08,168.17,173.68,167.74,168.63,1457221,0.0
2017-08-09,167.27,167.8,163.84,164.32,2098700,0.0
2017-08-10,165,169.65,164.24,169.44,1172642,0.0
2017-08-13,170.28,172.01,166.6,166.8,1191509,0.0
2017-08-14,167.22,170.8713,166.01,166.3,1092266,0.0
2017-08-15,166.63,172.455,166.39,167.66,1055297,0.0
2017-08-16,166.98,168.8499,164.15,164.15,1485380,0.0
2017-08-17,163.76,168.16,162.93,167.25,1291107,0.0
2017-08-20,167.46,168.569,163.84,168.17,880382,0.0
2017-08-21,168.86,170.94,166.1,166.36,1358956,0.0
2017-08-22,165.97,169.4186,165.09,168.99,903579,0.0
2017-08-23,169.28,170.69,168.57,169.95,1116947,0.0
2017-08-24,170.82,171.57,169.4,169.75,846066,0.0
2017-08-27,170.94,172.64,167.38,168.04,1262110,0.0
2017-08-28,166.94,172.1,166.64,168.48,955178,0.0
2017-08-29,168.38,174.81,167.74,169.87,1642110,0.0
2017-08-30,169.93,174.73,169.93,173.9,2784450,0.0
2017-08-31,174.26,175.81,173.44,174.82,1890171,0.0
2017-09-04,174.12,176.41,171.54,172.89,1334742,0.0
2017-09-05,173.64,179.08,172.5,178.4,1526010,0.0
2017-09-06,178.5,182.77,176.58,176.77,2256922,0.0
2017-09-07,176.97,181.87,175.59,176.7,1301734,0.0
2017-09-10,178.63,185.755,178.52,182.43,2812335,0.0
2017-09-11,182.93,191.04,182.71,191,2924799,0.0
2017-09-12,185.77,188.91,183.63,185.57,2193990,0.0
2017-09-13,184.78,190.92,183.73,189.43,1432583,0.0
2017-09-14,189.66,189.66,186.31,187.34,3060622,0.0
2017-09-17,187.79,187.9,182.09,182.41,1540689,0.0
2017-09-18,182.74,186.5455,181.76,182.26,1342144,0.0
2017-09-19,182.03,188.55,182.03,188.16,1749824,0.0
2017-09-20,188.32,188.96,186.5,186.67,1395251,0.0
2017-09-21,185.48,186.315,180.09,185.655,1634268,0.0
2017-09-24,185.55,188.03,181.66,182.23,1575281,0.0
2017-09-25,182.41,186.5,181.32,181.56,1423219,0.0
2017-09-26,181.03,185.13,179.9,184.87,1682929,0.0
2017-09-27,184.29,187.82,181.5,185.46,1852471,0.0
2017-09-28,185.7,186.2,180.06,182.39,2025784,0.0
2017-10-01,182.98,187.26,181.92,187.14,1871889,0.0
