Date,Open,High,Low,Close,Volume,OpenInterest
2017-06-01,998.99,1008.48,995.67,1006.78,2638959,0.0
2017-06-04,1007.22,1013.21,1003.51,1011.17,1860939,0.0
2017-06-05,1011.84,1016.5,1001.25,1003,2264501,0.0
2017-06-06,1005.95,1010.25,1002,1010.08,1909870,0.0
2017-06-07,1012.06,1013.61,1006.11,1010.39,1825291,0.0
2017-06-08,1012.49,1012.99,927,977.27,5238664,0.0
2017-06-11,967.3,975.95,945,964.92,6801192,0.0
2017-06-12,977.99,984.5,966.1,980.8,3123922,0.0
2017-06-13,988.58,990.34,966.71,976.2,2767394,0.0
2017-06-14,955.42,965.73,950.86,964,3820995,0.0
2017-06-15,996,999.75,982,987.61,7787451,0.0
2017-06-18,1017,1017,989.9,995.13,3355328,0.0
2017-06-19,998,1004.88,992.02,992.58,2947920,0.0
2017-06-20,998.7,1002.72,992.6518,1001.79,2009224,0.0
2017-06-21,1002.23,1006.96,997.2,1001.39,1529883,0.0
2017-06-22,1002.23,1004.62,998.02,1003.74,1567841,0.0
2017-06-25,1008.5,1009.8,992,993.99,2296456,0.0
2017-06-26,990.69,998.8,976,977.41,2547606,0.0
2017-06-27,978.95,990.68,969.21,990.03,2503993,0.0
2017-06-28,980.01,987.56,965.25,975.91,2848218,0.0
2017-06-29,980.12,983.47,967.61,968,2236282,0.0
2017-07-02,972.49,974.49,951.0001,953.66,1945386,0.0
2017-07-04,961.08,975,955.25,971.2,2478784,0.0
2017-07-05,964.66,974.4,959.02,965.14,2217027,0.0
2017-07-06,969.55,980.11,969.14,978.66,1722727,0.0
2017-07-09,985,999.4392,983.5,996.33,2299259,0.0
2017-07-10,993.45,995.99,983.72,994.1,2000212,0.0
2017-07-11,1000.65,1008.55,998.1,1006.5,2395069,0.0
2017-07-12,1004.41,1006.88,995.9,999.84,1864677,0.0
2017-07-13,1002.4,1004.45,996.89,1001.9,1343268,0.0
2017-07-16,1004.69,1014.75,1003.81,1010.05,2280859,0.0
2017-07-17,1006,1026.03,1004,1024.3,2734515,0.0
2017-07-18,1025,1031.59,1022.5,1026.88,2021577,0.0
2017-07-19,1031.59,1034.97,1022.52,1029.2,1927938,0.0
2017-07-20,1021.94,1026.1,1011,1024.93,1692818,0.0
2017-07-23,1028.34,1043.01,1027.43,1038.48,1966399,0.0
2017-07-24,1038.05,1043.33,1032.48,1040.13,1492387,0.0
2017-07-25,1043.2,1053.2,1043.2,1053.2,1799775,0.0
2017-07-26,1069.73,1083.31,1040.18,1044.98,6666213,0.0
2017-07-27,1011.9,1032.85,1001,1020.01,4902480,0.0
2017-07-30,1019.05,1019.05,987.02,987.5,4890526,0.0
2017-07-31,996.11,1006.4,991.58,996.19,2947414,0.0
2017-08-01,1001.77,1003.21,981.73,995.32,2717447,0.0
2017-08-02,999.47,999.5,984.59,987.1407,2108352,0.0
2017-08-03,989.68,991.672,982,987.41,1850318,0.0
2017-08-06,990.65,995,987.14,991.8,1753891,0.0
2017-08-07,994.35,996.28,985.79,989.78,1884247,0.0
2017-08-08,982.6,988,975.27,982.22,2275484,0.0
2017-08-09,976.295,979.86,954.68,956.54,3704269,0.0
2017-08-10,960.07,970.39,951.38,968.2,2242880,0.0
2017-08-13,978.42,985.5,976.19,983.25,2075824,0.0
2017-08-14,988.9,991.74,982,982.68,1722131,0.0
2017-08-15,981.65,986.4605,973.22,978.02,1910049,0.0
2017-08-16,977.84,977.84,960.32,960.57,2220614,0.0
2017-08-17,961.4,965.43,954.65,958.61,2125307,0.0
2017-08-20,957.57,961.2,945.46,952.73,1878398,0.0
2017-08-21,956.1,967.93,955.52,966.77,1759190,0.0
2017-08-22,959.38,962,954.2,957.56,1579719,0.0
2017-08-23,957.42,959,941.14,952.52,3349983,0.0
2017-08-24,956,957.621,944.1,945,2092775,0.0
2017-08-27,946.54,953,942.25,945.999,1500476,0.0
2017-08-28,940,956,936.33,954.06,1734857,0.0
2017-08-29,958.44,969.41,956.9062,967.56,1721717,0.0
2017-08-30,974.7,981,972.76,980.66,1846384,0.0
2017-08-31,984.2,984.5,976.875,978.27,1445977,0.0
2017-09-04,975.4,976.7699,960.37,965.24,1812302,0.0
2017-09-05,968.32,971.84,960.6,967.95,1368442,0.0
2017-09-06,974,980.59,972.55,979.581,1614977,0.0
2017-09-07,979.1,979.88,963.47,965.8,1626018,0.0
2017-09-10,974.46,981.94,974.22,977.96,1310555,0.0
2017-09-11,983.27,984.6718,975.517,982.57,1634628,0.0
2017-09-12,982.5,1000,979.42,999.6,2161363,0.0
2017-09-13,996.8,998.56,987.74,992.2,2436115,0.0
2017-09-14,991.87,996.25,984.03,986.95,2333751,0.0
2017-09-17,990.4,992.7922,968.17,973.56,2195068,0.0
2017-09-18,977.25,978.24,967.46,969.19,1644709,0.0
2017-09-19,971.79,974.81,962.1626,973.1,1867937,0.0
2017-09-20,971.31,971.7,962.02,964.82,1452896,0.0
2017-09-21,961.01,965.61,954.42,954.63,1716221,0.0
2017-09-24,949.31,949.42,932.89,939.77,3240262,0.0
2017-09-25,945.49,948.63,931.75,938.59,2228906,0.0
2017-09-26,948,955.3,943.3,950.88,2037736,0.0
2017-09-27,951.11,959.7,950.101,956.4,1616773,0.0
2017-09-28,959.7,964.83,958.375,960.49,1494020,0.0
2017-10-01,964,967.305,952.1201,958.79,1609482,0.0
2017-10-02,958,963.69,950.37,957.06,1782776,0.0
2017-10-03,954.21,967.79,954.05,965.47,1635270,0.0
2017-10-04,970,981.51,969.64,981.14,2022845,0.0
2017-10-05,975.64,995.75,975.64,989.51,2658320,0.0
2017-10-08,993.24,998.5,987.5,990.99,2022729,0.0
2017-10-09,996.67,997.95,980.099,987.2,2192199,0.0
2017-10-10,991.27,995.5,986.695,995,1560726,0.0
2017-10-11,996.85,1008.44,992.4,1001.07,2802467,0.0
2017-10-12,1007,1007.77,1001.03,1003.44,1584992,0.0
2017-10-15,1008.8,1009.57,1001.04,1006.34,1357666,0.0
2017-10-16,1005.59,1011.47,1004.38,1008.99,1487100,0.0
2017-10-17,1009.27,1022.31,996.55,996.99,1714126,0.0
2017-10-18,990.33,991.05,980.24,986.6,1963364,0.0
2017-10-19,993.53,994.62,982,982.91,1406057,0.0
2017-10-22,986.73,986.775,962.5,966.34,2341953,0.0
2017-10-23,969,979.85,965,976,1744834,0.0
2017-10-24,978,984.44,966.24,972.91,2001000,0.0
2017-10-25,980.33,982.9,968.55,972.54,2373669,0.0
2017-10-26,1057.03,1105.58,1050.55,1100.99,11137045,0.0
2017-10-29,1095.42,1122.79,1093.56,1110.85,4459741,0.0
2017-10-30,1109,1110.54,1101.12,1105.67,2289196,0.0
