Date,Open,High,Low,Close,Volume,OpenInterest
2017-05-29,125.82,126.92,125.73,126.75,190544,0.0
2017-05-30,127,127.73,125.96,126.32,332416,0.0
2017-05-31,126.92,127.89,125.44,127.8525,602083,0.0
2017-06-01,128.65,129.53,128.46,129.49,262438,0.0
2017-06-04,129.2,129.85,128.731,129.54,188308,0.0
2017-06-05,128.89,129.62,128.03,128.4,479455,0.0
2017-06-06,128.93,129.26,127.74,128.34,376220,0.0
2017-06-07,128.53,128.75,126,126.96,440285,0.0
2017-06-08,127.3,127.66,122.89,124.52,403145,0.0
2017-06-11,123.64,124.12,120,122.39,890698,0.0
2017-06-12,122.69,122.725,121.01,122.48,517996,0.0
2017-06-13,122.66,124.24,121.69,122.74,627624,0.0
2017-06-14,121.56,121.9313,119.34,121.08,697720,0.0
2017-06-15,120.82,122,120.44,121.77,1032197,0.0
2017-06-18,122.76,124.37,122.13,122.59,562457,0.0
2017-06-19,122.22,124.54,120.3,120.95,615248,0.0
2017-06-20,121.11,122.84,120.94,122.37,578100,0.0
2017-06-21,122.54,123.28,121.53,122.65,278127,0.0
2017-06-22,122.5,123.46,122.19,122.52,452640,0.0
2017-06-25,122.83,123.805,122.335,122.78,237528,0.0
2017-06-26,122.87,123.36,121.13,121.27,420383,0.0
2017-06-27,121.9,122.47,120.94,122.04,423918,0.0
2017-06-28,121.98,122.98,119.93,120.42,385664,0.0
2017-06-29,120.63,122.39,120.63,121.65,847736,0.0
2017-07-02,122.31,123.99,120.34,120.45,282198,0.0
2017-07-04,120.58,121.24,119.75,120.87,438822,0.0
2017-07-05,120.15,121.43,119.85,120.93,225430,0.0
2017-07-06,121.31,123.04,121.24,122.39,175526,0.0
2017-07-09,122.49,123.38,121.8,122.26,232812,0.0
2017-07-10,122.39,123.17,121.92,122.82,174905,0.0
2017-07-11,123.66,124.94,123.33,124.66,208360,0.0
2017-07-12,124.87,125.17,123.53,124.48,215223,0.0
2017-07-13,124.42,124.69,123.53,124.59,213716,0.0
2017-07-16,124.41,125.14,123.83,124.67,272675,0.0
2017-07-17,124.9,125.13,124.0738,125.021,215159,0.0
2017-07-18,125.14,126.32,124.66,126.18,236976,0.0
2017-07-19,126.2,126.335,125.322,126.03,166400,0.0
2017-07-20,125.85,127.14,125.36,126.67,165164,0.0
2017-07-23,126.55,127.59,126.3901,127.42,163053,0.0
2017-07-24,127.55,128.6,127.2501,127.91,159302,0.0
2017-07-25,128.26,128.56,127.39,127.87,144778,0.0
2017-07-26,128.23,128.57,126.95,127.58,283710,0.0
2017-07-27,127.25,128.99,126.75,128.41,154034,0.0
2017-07-30,128.8,129.85,128.41,129.55,316090,0.0
2017-07-31,129.52,131.63,129.025,130.2,442007,0.0
