Date,Open,High,Low,Close,Volume,OpenInterest
2017-06-01,59.65,59.69,58.72,59.34,4128042,0.0
2017-06-04,59.46,60.275,59.4,59.49,3284879,0.0
2017-06-05,59.62,59.93,59.14,59.84,3227152,0.0
2017-06-06,60.06,60.85,59.98,60.22,5160476,0.0
2017-06-07,60.34,60.41,59.25,60.24,5400270,0.0
2017-06-08,60.33,60.8,56.95,58.02,11398058,0.0
2017-06-11,56.79,56.88,55.13,56.47,14092202,0.0
2017-06-12,57.15,57.75,56.4,57.6,6112782,0.0
2017-06-13,57.73,59.03,57.58,58.45,7114376,0.0
2017-06-14,57.11,59.47,56.9,58.91,7798992,0.0
2017-06-15,58.76,59.39,58.33,58.5,5981479,0.0
2017-06-18,59.19,60.42,58.86,60.32,4402374,0.0
2017-06-19,60.61,61.1,59.94,60.15,4850486,0.0
2017-06-20,60.5,60.94,60.14,60.68,4358223,0.0
2017-06-21,60.42,61.5767,60.03,61.16,4491689,0.0
2017-06-22,61.03,61.09,60.02,60.13,4434796,0.0
2017-06-25,60.37,60.87,59.27,60.22,3700300,0.0
2017-06-26,60.11,60.11,57.77,57.99,6367518,0.0
2017-06-27,58.27,58.83,57.52,58.79,6449834,0.0
2017-06-28,58.4,58.5,55.94,57.28,7766954,0.0
2017-06-29,57.63,57.82,56.88,57.27,4919342,0.0
2017-07-02,57.56,57.72,56.14,56.23,3239988,0.0
2017-07-04,56.66,57.42,55.86,56.87,5185751,0.0
2017-07-05,56.27,56.78,56.02,56.33,4621777,0.0
2017-07-06,56.47,58.36,56.33,57.79,4948800,0.0
2017-07-09,57.98,58.63,57.68,58.21,3274437,0.0
2017-07-10,58.13,58.27,57.38,57.98,3477463,0.0
2017-07-11,58.53,61.02,58.395,60.71,8752158,0.0
2017-07-12,60.89,61.21,60.07,60.19,5916278,0.0
2017-07-13,60.54,60.97,60.28,60.44,3747649,0.0
2017-07-16,60.51,60.58,59.8,60.19,2513750,0.0
2017-07-17,60.3,61.05,59.97,61.02,3856195,0.0
2017-07-18,61.25,62.07,60.56,61.02,4480969,0.0
2017-07-19,61.1,61.44,60.47,61.08,3028350,0.0
2017-07-20,60.74,61.37,60.63,60.92,4631858,0.0
2017-07-23,60.95,61.58,60.8,61.12,3284883,0.0
2017-07-24,61.31,61.875,60.92,60.95,3848652,0.0
2017-07-25,61.15,62.32,61.14,62.32,4210174,0.0
2017-07-26,62.8,62.87,59.76,61.17,6858789,0.0
2017-07-27,60.65,61.745,60.25,61.44,3610874,0.0
2017-07-30,61.55,61.98,60.98,61.78,4020292,0.0
2017-07-31,62.2,62.46,61.52,62.08,3645760,0.0
2017-08-01,62.29,62.33,60.13,61.44,4597987,0.0
2017-08-02,63.01,63.92,61.76,63.64,10127845,0.0
2017-08-03,63.12,63.3,60.92,61.69,9216946,0.0
2017-08-06,61.75,62.8,61.49,62.501,6391699,0.0
2017-08-07,62.31,62.475,60.84,61.02,7321512,0.0
2017-08-08,60.33,61.57,60.05,61.37,5087368,0.0
2017-08-09,60.84,61.25,59.79,59.9,5179702,0.0
2017-08-10,59.95,60.77,59.46,60.43,4758466,0.0
2017-08-13,61.2,62.76,61.01,61.57,4437377,0.0
2017-08-14,61.81,62.075,61.09,61.97,2254609,0.0
2017-08-15,62.13,62.9,61.81,62.57,3781818,0.0
2017-08-16,62.25,62.72,61.05,61.06,2691186,0.0
2017-08-17,60.95,62.39,60.73,62.02,3576321,0.0
2017-08-20,62,62.29,61.12,61.46,2778764,0.0
2017-08-21,61.78,63.97,61.69,63.93,6549479,0.0
2017-08-22,63.34,64.21,63.06,64.02,4370084,0.0
2017-08-23,64.31,64.45,62.8,63.44,3158452,0.0
2017-08-24,63.63,63.96,62.49,62.59,3537811,0.0
2017-08-27,63.09,63.12,62.1,62.43,2977131,0.0
2017-08-28,61.72,63.48,61.63,63.15,3735470,0.0
2017-08-29,63.2,65.46,63.06,65.34,6463194,0.0
2017-08-30,65.66,66.24,64.81,65.22,5775619,0.0
2017-08-31,65.33,65.53,63.43,65.11,4822195,0.0
2017-09-04,64.84,65.25,63.84,65.04,4007877,0.0
2017-09-05,65.06,65.3,63.63,63.67,4482499,0.0
