Date,Open,High,Low,Close,Volume,OpenInterest
2017-05-30,242.52,242.89,237.56,239.48,3222239,0.0
2017-05-31,241.6,241.87,233.81,234.6,4558113,0.0
2017-06-01,248.97,255.82,244.15,254.54,9066605,0.0
2017-06-04,254,256.78,250.2,252.21,3067764,0.0
2017-06-05,250.77,255.34,250.62,253.86,2342700,0.0
2017-06-06,253.73,255.85,252.97,254.28,2000829,0.0
2017-06-07,255,256.1,252.32,254.95,2070350,0.0
2017-06-08,255.51,256,241.45,243.34,4515363,0.0
2017-06-11,240.62,243.11,235.751,242.67,3918726,0.0
2017-06-12,244.96,247.9115,241.67,242.94,1952297,0.0
2017-06-13,243.57,244.95,237.625,240.54,2370051,0.0
2017-06-14,235.34,239.49,235.27,238.06,2171858,0.0
2017-06-15,238.83,239.43,235.13,236.28,2494388,0.0
2017-06-18,244.98,245.37,240.35,241.15,2165480,0.0
2017-06-19,242,243.65,239.845,239.99,1847748,0.0
2017-06-20,243.42,245.905,241.9201,245.13,2808517,0.0
2017-06-21,245.51,246.41,243.08,244.04,1307089,0.0
2017-06-22,243.54,246.87,242.7902,245.25,1863681,0.0
2017-06-25,245.99,247.9,241.2,242.77,2472912,0.0
2017-06-26,241.36,241.99,235.23,235.33,2373438,0.0
2017-06-27,236.59,241.73,234.5,241.05,1782754,0.0
2017-06-28,238.7,238.97,230.5701,234.01,2573076,0.0
2017-06-29,236.27,236.69,232.86,233.07,1886532,0.0
2017-07-02,234.51,235.24,229.08,229.65,1522368,0.0
2017-07-04,231,232.33,229.11,231.6,2116048,0.0
2017-07-05,227.79,235.73,227.5,235.1,1848137,0.0
2017-07-06,235.3,240.19,235.27,239.61,1612629,0.0
2017-07-09,240.51,241.94,238.81,241.78,1636021,0.0
2017-07-10,242,242.6,239.39,240.9,1435066,0.0
2017-07-11,243,247.18,241.06,246.43,1757959,0.0
2017-07-12,247.12,249.87,246.55,247.33,1420981,0.0
2017-07-13,248.63,250.4,247.85,250.29,977763,0.0
2017-07-16,250.79,252.36,248.86,249.04,1267713,0.0
2017-07-17,247.25,250.93,246.06,250.89,825577,0.0
2017-07-18,252,254.54,250.55,254.35,1867636,0.0
2017-07-19,254.5,255,252.35,253.48,828262,0.0
2017-07-20,251.83,253.52,250.46,253.06,986926,0.0
2017-07-23,253.29,253.68,251.69,253,809805,0.0
2017-07-24,252.8,254.41,250.18,254.31,1095764,0.0
2017-07-25,254.69,258.19,254.62,257.005,1296057,0.0
2017-07-26,258.21,258.49,248.95,250.91,2321034,0.0
2017-07-27,248.92,251.115,247.5,250.36,2074110,0.0
2017-07-30,250.98,252.45,245.46,246.72,1259101,0.0
2017-07-31,248.23,250,246.96,248.37,1316141,0.0
2017-08-01,254.6,257.28,251.055,253.1594,2833750,0.0
2017-08-02,252.81,253,247.23,250.3,1758229,0.0
2017-08-03,250.48,251,248.12,249.01,983272,0.0
2017-08-06,249.39,252.89,248.9,252.43,1129912,0.0
2017-08-07,251.98,254.29,250.42,251.34,1470903,0.0
2017-08-08,249.54,250.36,247.52,249.14,1589730,0.0
2017-08-09,246.66,246.99,240.46,240.67,2004973,0.0
2017-08-10,240.27,245.24,238.7,244.17,1250962,0.0
2017-08-13,246.86,251.25,246,250.84,1146119,0.0
2017-08-14,252.2,254.06,251.27,253.69,1248974,0.0
2017-08-15,254.32,254.74,251.81,253.42,1024212,0.0
2017-08-16,253,254.25,246.65,246.95,1680127,0.0
2017-08-17,247.33,251.48,246.13,249.37,1455604,0.0
