Date,Open,High,Low,Close,Volume,OpenInterest
2017-05-30,1862.38,1877.07,1850,1877.07,315832,0.0
2017-05-31,1878.25,1894.77,1870.43,1890.83,233006,0.0
2017-06-01,1899.04,1902,1881.02,1894.65,314557,0.0
2017-06-04,1889.71,1900.25,1888.89,1891.2,239200,0.0
2017-06-05,1888.94,1908.92,1886.9,1889.89,313695,0.0
2017-06-06,1890.2,1893.97,1878.48,1890.36,240200,0.0
2017-06-07,1895.98,1899.13,1884.73,1891,207528,0.0
2017-06-08,1890,1895.31,1826.54,1840.94,403490,0.0
2017-06-11,1835,1839.47,1781.11,1813.01,667031,0.0
2017-06-12,1825.73,1854.77,1822.62,1843.51,337354,0.0
2017-06-13,1845,1855.56,1815.01,1830.93,324961,0.0
2017-06-14,1814,1819.59,1791.61,1809.2,369544,0.0
2017-06-15,1816.08,1816.08,1797.36,1802.61,312776,0.0
2017-06-18,1815.78,1855.9,1812.02,1851.59,335509,0.0
2017-06-19,1850,1858.82,1844.22,1850.21,232246,0.0
2017-06-20,1854.59,1870,1848.04,1867.78,174615,0.0
2017-06-21,1870.8,1874.89,1861,1861.51,173598,0.0
2017-06-22,1859.55,1876.62,1855.22,1874.67,203972,0.0
2017-06-25,1880,1896.05,1867.64,1876.93,235516,0.0
2017-06-26,1871.29,1882.05,1852.61,1858.58,201810,0.0
2017-06-27,1864.66,1898.68,1861.75,1890.22,271879,0.0
2017-06-28,1881.12,1889.69,1850.5,1875.85,309320,0.0
2017-06-29,1884.05,1887.01,1870.04,1871.21,287964,0.0
2017-07-02,1877.67,1884.32,1836.08,1840.79,202426,0.0
2017-07-04,1845.5,1869.28,1841.37,1866.32,210827,0.0
2017-07-05,1851.15,1877.3,1845.01,1873.7,239623,0.0
2017-07-06,1873.86,1921.4,1873.86,1918.69,371066,0.0
2017-07-09,1920,1936.22,1911.46,1921.99,209284,0.0
2017-07-10,1920.89,1933.55,1903.9,1929.63,180743,0.0
2017-07-11,1939.22,1951.4,1937,1946.25,180724,0.0
2017-07-12,1950,1950,1934.73,1940.72,141048,0.0
2017-07-13,1949.47,1955.62,1942.88,1950.07,126339,0.0
2017-07-16,1949.11,1955.69,1938.45,1945.26,115529,0.0
2017-07-17,1949,1989.04,1948.26,1976.26,296095,0.0
