Date,Open,High,Low,Close,Volume,OpenInterest
2017-06-01,35.03,35.43,35.03,35.26,1457269,0.0
2017-06-04,35.31,35.65,35.31,35.52,962688,0.0
2017-06-05,35.4,35.6,35.28,35.41,1011036,0.0
2017-06-06,35.48,35.61,35.2,35.35,1305944,0.0
2017-06-07,35.41,35.54,35.2,35.44,859134,0.0
2017-06-08,35.53,35.69,34.19,34.72,1121515,0.0
2017-06-11,34.47,34.52,33.56,34.23,2947280,0.0
2017-06-12,34.46,34.745,34.35,34.41,1827163,0.0
2017-06-13,34.55,34.69,33.96,34.34,1040880,0.0
2017-06-14,33.97,34.49,33.65,34.14,977361,0.0
2017-06-15,34.09,34.37,33.9,34.17,1406385,0.0
2017-06-18,34.31,34.49,34.04,34.25,2367432,0.0
2017-06-19,34.25,34.655,34.005,34.09,1227573,0.0
2017-06-20,34.22,34.44,33.96,34.27,1623709,0.0
2017-06-21,34.36,34.41,34.02,34.28,896307,0.0
2017-06-22,34.28,34.465,34.21,34.26,1240852,0.0
2017-06-25,34.36,34.52,34.17,34.3,779371,0.0
2017-06-26,34.21,34.225,33.635,33.68,841882,0.0
2017-06-27,33.92,34.22,33.58,34.09,929167,0.0
2017-06-28,33.95,34.08,33.03,33.43,1076324,0.0
2017-06-29,33.55,33.765,33.35,33.49,862256,0.0
2017-07-02,33.58,33.61,32.96,33.07,559246,0.0
2017-07-04,33.12,33.35,32.97,33.27,1361282,0.0
2017-07-05,33.13,33.39,32.85,33.26,1593755,0.0
2017-07-06,33.35,33.855,33.13,33.67,1343846,0.0
2017-07-09,33.69,34.05,33.54,33.91,677493,0.0
2017-07-10,33.86,34.23,33.815,34.15,686656,0.0
2017-07-11,34.37,34.785,34.28,34.71,931603,0.0
2017-07-12,34.8,34.8,34.34,34.445,842950,0.0
2017-07-13,34.52,34.84,34.39,34.73,755336,0.0
2017-07-16,34.63,34.79,34.54,34.72,782892,0.0
2017-07-17,34.69,34.84,34.5093,34.81,893760,0.0
2017-07-18,34.89,35.395,34.83,35.31,1386977,0.0
2017-07-19,35.31,35.31,34.75,35.08,1313480,0.0
2017-07-20,34.92,35.1,34.82,34.97,1335383,0.0
2017-07-23,34.98,35.1,34.76,35.07,3160766,0.0
2017-07-24,35.49,36.84,35.2606,36.65,4582175,0.0
2017-07-25,36.76,37.5,36.7,37.17,3417114,0.0
2017-07-26,37.36,37.51,36.45,36.98,2087932,0.0
2017-07-27,36.78,37.27,36.77,37.01,972077,0.0
2017-07-30,37.03,37.29,36.7,36.89,1404293,0.0
2017-07-31,36.96,37.09,36.68,36.71,1469268,0.0
2017-08-01,36.84,36.88,35.95,36.04,2443894,0.0
2017-08-02,36.18,36.28,35.955,36.19,2337163,0.0
2017-08-03,36.19,36.36,35.91,36.2,1466629,0.0
2017-08-06,36.22,36.7788,36.22,36.62,1205374,0.0
2017-08-07,36.61,36.945,36.52,36.79,1602959,0.0
2017-08-08,36.58,36.655,36.4,36.55,1209263,0.0
2017-08-09,36.43,36.56,36.07,36.19,1258067,0.0
2017-08-10,36.29,36.67,36.17,36.335,1070045,0.0
2017-08-13,36.53,37.06,36.45,37,1085354,0.0
2017-08-14,37.02,37.28,36.96,37.22,1202536,0.0
2017-08-15,37.15,37.7,37.0152,37.555,935743,0.0
2017-08-16,37.44,37.6,36.81,36.84,1062205,0.0
2017-08-17,36.92,37.14,36.69,36.95,771189,0.0
2017-08-20,36.88,37,36.69,36.99,658310,0.0
2017-08-21,37.07,37.46,36.99,37.45,1391875,0.0
2017-08-22,37.24,37.56,37.22,37.33,934263,0.0
2017-08-23,37.43,37.48,37.01,37.17,1101638,0.0
2017-08-24,37.32,37.7,37.11,37.411,1137886,0.0
2017-08-27,37.48,37.86,37.4,37.78,938955,0.0
2017-08-28,37.56,37.95,37.45,37.91,1195703,0.0
2017-08-29,37.9,38.44,37.8524,38.35,1002226,0.0
2017-08-30,38.49,39.3,38.46,39.29,1546552,0.0
2017-08-31,39.3,39.49,38.68,38.69,1294822,0.0
2017-09-04,38.51,38.78,37.84,38.24,1674587,0.0
2017-09-05,38.37,38.495,38.09,38.27,1119963,0.0
2017-09-06,38.36,38.74,38.32,38.43,729598,0.0
2017-09-07,38.43,38.51,38.225,38.23,768556,0.0
2017-09-10,38.13,38.13,37.47,37.595,4707554,0.0
2017-09-11,37.73,37.84,36.83,37.55,3394658,0.0
2017-09-12,37.56,37.66,37.14,37.44,3231126,0.0
2017-09-13,37.24,38.37,37.17,38.01,3665933,0.0
2017-09-14,38,38.5,37.76,38.27,3316835,0.0
2017-09-17,38.5,38.86,38.34,38.77,1954222,0.0
2017-09-18,38.8,38.98,38.57,38.81,2114167,0.0
2017-09-19,38.71,38.81,38.1,38.36,2296460,0.0
2017-09-20,38.49,38.51,38.2,38.43,1583766,0.0
2017-09-21,38.39,38.92,38.33,38.87,1437891,0.0
2017-09-24,38.85,38.87,38.22,38.42,1185965,0.0
2017-09-25,38.68,38.79,38.32,38.34,1162731,0.0
2017-09-26,38.5,38.97,38.5,38.92,2184007,0.0
2017-09-27,38.93,39.14,38.765,39,1060340,0.0
2017-09-28,39.08,39.47,38.98,39.46,2656945,0.0
2017-10-01,39.79,40.06,39.6,39.69,1745910,0.0
2017-10-02,39.81,40.155,39.7,40.06,1244923,0.0
2017-10-03,39.93,40.33,39.93,40.25,1264801,0.0
2017-10-04,40.34,40.44,40.16,40.39,856950,0.0
2017-10-05,40.42,40.73,40.14,40.68,1095624,0.0
2017-10-08,40.64,41.08,40.63,41,1124113,0.0
2017-10-09,41.05,41.135,40.67,41,1296122,0.0
2017-10-10,41.14,41.47,41.06,41.39,1916598,0.0
2017-10-11,41.4,42.2,41.32,41.82,1752817,0.0
2017-10-12,42,42.19,41.89,41.99,1601484,0.0
2017-10-15,42.1,42.565,41.87,41.98,2247924,0.0
2017-10-16,42,42,41.64,41.82,1450019,0.0
2017-10-17,41.8,42.05,41.53,41.8,2422831,0.0
2017-10-18,41.66,41.87,41.32,41.8,961158,0.0
2017-10-19,41.94,42.45,41.83,42.28,1278285,0.0
2017-10-22,42.48,42.56,42.09,42.15,1047785,0.0
2017-10-23,42.16,42.33,41.93,42.3,1191863,0.0
2017-10-24,42.23,42.42,41.85,42.22,1707341,0.0
2017-10-25,42.37,42.88,42.26,42.7,1325061,0.0
2017-10-26,41.85,43.23,41.35,43.08,1712599,0.0
2017-10-29,43.06,43.21,42.63,42.88,1068329,0.0
2017-10-30,42.96,43.19,42.71,43.15,1552440,0.0
2017-10-31,43.47,43.62,42.96,43.01,1503896,0.0
