Date,Open,High,Low,Close,Volume,OpenInterest
2017-05-30,59.59,60.25,59.37,60.18,684205,0.0
2017-05-31,60.27,61.44,60.22,61.13,622960,0.0
2017-06-01,60.93,61.6,60.83,61.22,600502,0.0
2017-06-04,61.22,61.54,60.2212,61.24,581536,0.0
2017-06-05,61.02,61.58,60.96,61.39,442430,0.0
2017-06-06,61.67,62.38,61.535,62.02,729059,0.0
2017-06-07,62.18,62.91,61.495,62.65,832792,0.0
2017-06-08,62.87,63.2,60.6,60.79,775841,0.0
2017-06-11,60.21,61.215,59.55,60.98,832743,0.0
2017-06-12,61.07,61.77,60.98,61.56,463161,0.0
2017-06-13,61.33,61.92,61.03,61.66,537299,0.0
2017-06-14,61.22,62.08,60.85,62.06,711954,0.0
2017-06-15,62.05,62.14,61.6508,61.94,543912,0.0
2017-06-18,62.34,62.61,61.68,62.53,651407,0.0
2017-06-19,62.35,63.17,62.18,62.89,623716,0.0
2017-06-20,63.04,63.14,62.61,62.74,341928,0.0
2017-06-21,62.84,63.215,62.3801,63.19,468500,0.0
2017-06-22,63.2,65.47,63,65.22,1139318,0.0
2017-06-25,65.91,66.3298,64.4,64.66,655928,0.0
2017-06-26,63.96,64.71,62.88,62.92,736082,0.0
2017-06-27,63.14,63.68,62.69,63.43,644616,0.0
2017-06-28,63.38,63.38,62.26,62.87,466034,0.0
2017-06-29,63.13,63.39,62.5,62.51,652591,0.0
2017-07-02,62.55,63.6,62.55,62.76,232610,0.0
2017-07-04,62.83,63.42,62.6575,63.01,503050,0.0
2017-07-05,62.42,62.6,61.135,61.22,874570,0.0
2017-07-06,61.38,62.4999,61.28,62.36,805974,0.0
2017-07-09,62.3,62.85,62.285,62.64,527304,0.0
2017-07-10,62.4,63.43,62.4,63.23,542329,0.0
2017-07-11,63.51,64,63.2,63.45,392195,0.0
2017-07-12,63.54,63.99,63.17,63.35,513576,0.0
2017-07-13,63.34,63.77,62.75,63.56,586398,0.0
2017-07-16,63.5,63.85,63.18,63.69,376112,0.0
2017-07-17,63.54,63.84,63.1201,63.6,396113,0.0
2017-07-18,63.56,64.52,63.56,64.06,450352,0.0
2017-07-19,63.88,64.2999,63.41,63.66,469932,0.0
2017-07-20,63.62,63.66,62.945,63.52,386398,0.0
2017-07-23,63,63.87,62.96,63.45,337606,0.0
2017-07-24,63.5,64.04,63.03,63.81,442860,0.0
2017-07-25,63.99,63.99,63.45,63.93,213883,0.0
2017-07-26,64.09,64.23,62.89,63.38,263832,0.0
2017-07-27,63.23,63.46,62.86,63.4,264240,0.0
2017-07-30,63.49,63.85,63.4,63.41,354752,0.0
