Date,Open,High,Low,Close,Volume,OpenInterest
2017-05-29,111.3,112.17,110.8,111.41,709859,0.0
2017-05-30,112,112.83,110.675,112.04,1014818,0.0
2017-05-31,112.35,112.57,110.57,111.57,1245270,0.0
2017-06-01,112.13,113.3199,112,112.86,728393,0.0
2017-06-04,113.92,114.02,112.85,113.48,446776,0.0
2017-06-05,113.53,114.0364,113.2,113.7,658012,0.0
2017-06-06,114.42,115.13,113.71,114.95,797555,0.0
2017-06-07,115.36,115.87,114.15,115.47,526059,0.0
2017-06-08,115.26,115.55,109.45,110.8,1047974,0.0
2017-06-11,110.16,110.3,107.26,109.66,1382114,0.0
2017-06-12,110.03,111.07,109.68,111.07,725238,0.0
2017-06-13,111.62,112.32,110.08,111.09,673141,0.0
2017-06-14,109.98,110.5,109.05,110.19,523657,0.0
2017-06-15,110.07,110.71,109.4,110,826901,0.0
2017-06-18,110.27,111.925,110.27,111.77,448111,0.0
2017-06-19,111.91,112.51,111.12,111.16,553892,0.0
2017-06-20,111.35,112.82,111,112.52,613510,0.0
2017-06-21,113.2,113.83,112.08,113.5,971791,0.0
2017-06-22,113.24,114.28,112.66,113.95,695380,0.0
2017-06-25,114.62,114.84,112.36,112.57,588925,0.0
2017-06-26,112.35,112.54,110.44,111.22,703577,0.0
2017-06-27,111.8,112.48,111.3,112.38,748310,0.0
2017-06-28,111.87,112.1199,108.8,109.58,688650,0.0
2017-06-29,110.26,110.37,109.03,109.11,603815,0.0
2017-07-02,109.2,110.26,108.07,108.1,418047,0.0
2017-07-04,109.5,110.83,108.94,110.34,663067,0.0
2017-07-05,109.48,110.14,108.7,109.84,662617,0.0
2017-07-06,109.21,112.1277,109.21,111.46,677998,0.0
2017-07-09,111.68,112.93,111.37,111.86,636093,0.0
2017-07-10,112.04,113.17,111.69,113.04,716597,0.0
2017-07-11,113.95,114.79,113.5,114.49,651335,0.0
2017-07-12,114.51,114.625,113.51,114.01,500845,0.0
2017-07-13,113.84,114.38,113.34,114.08,537112,0.0
2017-07-16,113.96,114.37,113.07,114.32,434766,0.0
2017-07-17,114.52,114.71,113.41,114.65,701479,0.0
2017-07-18,115,116.63,114.807,115.66,1296653,0.0
2017-07-19,108.8,109.99,105.79,107.58,3556210,0.0
2017-07-20,107.06,107.75,106,106.35,1509510,0.0
2017-07-23,107.07,107.71,106.23,106.73,900107,0.0
2017-07-24,106.74,107,106.28,106.35,844286,0.0
2017-07-25,106.28,107.82,106.2,107.56,872943,0.0
2017-07-26,107.65,107.88,104.33,106.45,1454657,0.0
2017-07-27,106.26,107.445,105.9,106.56,507743,0.0
2017-07-30,106.6,106.98,104.98,105.78,799393,0.0
2017-07-31,105.84,107.12,105.34,107.02,812335,0.0
2017-08-01,107,107.17,104.6,105.35,784957,0.0
2017-08-02,105.79,106.3,105.27,106.09,488269,0.0
2017-08-03,106.25,106.65,105.42,106.14,353603,0.0
2017-08-06,106.81,106.93,106.1,106.85,564482,0.0
2017-08-07,106.26,107.2,105.56,106.45,557902,0.0
2017-08-08,106,107.54,105.68,107.42,648966,0.0
2017-08-09,106.88,106.88,104.91,104.985,606937,0.0
2017-08-10,105.38,107.05,105.35,105.95,653717,0.0
2017-08-13,107.01,109,106.99,108.23,731143,0.0
2017-08-14,107.97,108.44,107.2,107.76,509348,0.0
2017-08-15,108.52,109,108.01,108.86,600919,0.0
2017-08-16,108.93,108.98,106.6,106.83,631321,0.0
2017-08-17,106.83,107.99,106.49,107.28,359375,0.0
2017-08-20,107.24,107.64,106.31,107.46,326008,0.0
2017-08-21,108.5,109.39,108.48,108.9,564260,0.0
2017-08-22,108.53,108.87,107.64,108.05,284336,0.0
2017-08-23,108.42,109.3,108.04,109.19,585977,0.0
2017-08-24,109.42,109.81,108.35,108.71,327425,0.0
2017-08-27,109,109.67,108.48,109.03,367907,0.0
2017-08-28,108.47,109.48,107.7,109.09,489551,0.0
2017-08-29,109.07,110.42,108.81,110.18,441338,0.0
2017-08-30,110.5,112.19,110.27,111.87,585102,0.0
2017-08-31,111.89,112.58,109.091,110.9,822919,0.0
2017-09-04,110.05,111.88,109.44,110.02,707478,0.0
2017-09-05,110.43,111.19,109.94,111.04,456161,0.0
2017-09-06,111.45,111.89,111.09,111.44,285642,0.0
2017-09-07,112.49,114.4,112.28,112.64,824773,0.0
2017-09-10,113.71,113.8,112.321,112.72,616472,0.0
2017-09-11,112.7,112.7664,111.27,112.349,405202,0.0
2017-09-12,112.3,113.84,112.01,113.36,427434,0.0
2017-09-13,112.76,113.81,112.3,112.75,407867,0.0
2017-09-14,112.48,113.425,111.8,112.76,555968,0.0
2017-09-17,113,113.03,112.11,112.91,409291,0.0
2017-09-18,113.24,113.825,112.7775,113,406084,0.0
2017-09-19,112.08,112.48,109.94,111.27,776394,0.0
2017-09-20,111.51,111.85,110.02,110.8,302333,0.0
2017-09-21,110.43,112.07,110,112,374995,0.0
2017-09-24,111.08,111.62,110.53,110.98,379073,0.0
2017-09-25,111.69,112.26,110.798,111.75,467901,0.0
2017-09-26,112.37,113.59,111.82,112.71,504776,0.0
2017-09-27,112.67,113.89,112.27,112.4,383098,0.0
2017-09-28,112.61,114.155,112.54,113.99,550147,0.0
2017-10-01,113.51,116.3,113.49,115.23,990022,0.0
2017-10-02,115.47,116.6788,115.17,115.85,447086,0.0
2017-10-03,115.63,116.03,114.77,115.77,220033,0.0
2017-10-04,116.22,116.4,115.13,116,474245,0.0
2017-10-05,116.12,117.11,115.69,116.7,619443,0.0
2017-10-08,116.64,116.98,115.71,116.11,344967,0.0
2017-10-09,116.25,117.45,116.22,117.28,458611,0.0
2017-10-10,116.95,117.76,116.55,117.69,312866,0.0
2017-10-11,117.72,118.24,117.5,117.75,415747,0.0
2017-10-12,118.68,119.2,118.22,119.13,581620,0.0
2017-10-15,118.64,118.86,117.67,118.08,495430,0.0
2017-10-16,117.49,117.7,113.54,116.92,1707620,0.0
2017-10-17,117.62,118.05,116.74,118.01,622469,0.0
2017-10-18,117.74,118.28,116.54,117.9,464782,0.0
2017-10-19,118.66,118.895,117.81,118.5,671958,0.0
2017-10-22,119,119,117.19,117.49,835444,0.0
2017-10-23,118.05,118.48,117,117.27,715584,0.0
2017-10-24,117.36,117.36,115.26,115.56,799727,0.0
2017-10-25,116.62,116.79,115.14,115.89,866415,0.0
2017-10-26,116.33,117.96,115.35,117.49,935279,0.0
2017-10-29,117.22,117.22,115.82,116.48,1034535,0.0
2017-10-30,116.75,118.39,116,117.71,1393978,0.0
2017-10-31,107,110,102.25,103.01,7986225,0.0
2017-11-01,103.73,106.96,103.53,106.62,2488171,0.0
2017-11-02,106.65,106.91,105.34,105.65,1688732,0.0
2017-11-05,105.8,106.17,105,105.22,863481,0.0
2017-11-06,105.62,106.48,104.5,104.99,709864,0.0
2017-11-07,105.69,106.03,105.03,105.35,584789,0.0
2017-11-08,105.36,105.3753,102.535,103.63,878485,0.0
2017-11-09,103.5,103.6,102.28,102.49,909197,0.0
2017-11-12,102.35,102.93,100.93,102.8,2050248,0.0
2017-11-13,102.19,102.82,101.8601,102.4,2060103,0.0
2017-11-14,102.35,103.21,101.99,103.07,1086478,0.0
2017-11-15,103.59,104.28,102.83,103.01,1118406,0.0
2017-11-16,103.21,103.21,101.97,102.13,902743,0.0
2017-11-19,102.61,103.77,102.34,102.94,810588,0.0
2017-11-20,103.66,104.42,103.25,103.93,607078,0.0
2017-11-21,104.23,104.7,103.53,103.63,624499,0.0
2017-11-23,103.6,104.33,103.6,104.02,306282,0.0
2017-11-26,105.18,105.65,104.16,104.72,776231,0.0
2017-11-27,104.79,105.65,104.14,104.22,657462,0.0
