Date,Open,High,Low,Close,Volume,OpenInterest
2017-06-01,348.11,353.37,347.43,353.03,1191122,0.0
2017-06-04,355,355,343.72,344.43,1061845,0.0
2017-06-05,344.46,345.52,341.71,342.83,762982,0.0
2017-06-06,343.66,347.01,341.64,345.88,684238,0.0
2017-06-07,344.9,345.42,333.38,337.45,1480003,0.0
2017-06-08,338.51,340.125,329.97,332.84,978486,0.0
2017-06-11,330.9,339.24,329.0418,338.69,954998,0.0
2017-06-12,335.99,344.22,335.99,341.779,795767,0.0
2017-06-13,342.83,344.17,336.13,338.33,840672,0.0
2017-06-14,336.81,340.57,333.5,338.34,773371,0.0
2017-06-15,319.73,340.99,319.73,340.2,1738657,0.0
2017-06-18,342,345.19,339.97,340.26,1220926,0.0
2017-06-19,337.95,339.93,329.43,333.61,1610006,0.0
2017-06-20,333.85,335.505,332.25,333.83,636720,0.0
2017-06-21,333.93,340.235,333.54,334.13,663609,0.0
2017-06-22,334.79,335.43,326.4,330.82,1233230,0.0
2017-06-25,331.68,333.64,330.17,332.65,756168,0.0
2017-06-26,330.75,332.2939,327.14,330.04,1143654,0.0
2017-06-27,330.56,340.95,329.24,340.25,1150134,0.0
2017-06-28,339.38,340.185,332.13,335.98,1498619,0.0
2017-06-29,337.73,338.41,332.4,336.85,986673,0.0
2017-07-02,338.26,339.45,328.65,328.74,561168,0.0
2017-07-04,329.23,335.24,328.8,335.1,884104,0.0
2017-07-05,334.01,335.52,331.06,332.18,951759,0.0
2017-07-06,332.08,334.43,330.58,332.42,620620,0.0
2017-07-09,333.13,338.4,332.1,336.6,747026,0.0
2017-07-10,337.12,339.85,334.44,338.03,624380,0.0
2017-07-11,340.79,344.83,339.045,342.64,719947,0.0
2017-07-12,343.07,343.23,338,339.039,592316,0.0
2017-07-13,340.8,344.51,335.79,342.88,720127,0.0
2017-07-16,342.09,345.28,341.95,342.49,761624,0.0
2017-07-17,340.98,345.42,338.4,344.61,670816,0.0
2017-07-18,345.02,347.26,342.97,346.45,945188,0.0
2017-07-19,346.47,349.67,344.315,345.43,913838,0.0
2017-07-20,345.3,351.87,345.3,350.07,1032477,0.0
2017-07-23,349.79,350.43,345.2501,348.19,697040,0.0
2017-07-24,349.47,350.885,346.5757,348.04,649748,0.0
2017-07-25,348.8,351.68,346.03,348.77,1887713,0.0
2017-07-26,354,370.96,353.02,366.89,2699568,0.0
2017-07-27,365.39,372.3655,361,370.22,1231940,0.0
2017-07-30,399.41,399.95,385.36,391.84,5040743,0.0
2017-07-31,392.84,392.965,383.726,387.54,1773649,0.0
2017-08-01,386.39,388.25,381.7,385.53,1026379,0.0
2017-08-02,384.54,387.41,383.29,384.3,735273,0.0
2017-08-03,385,386,380.56,384.47,508680,0.0
2017-08-06,384.65,386.45,380.77,380.98,1004944,0.0
2017-08-07,380.02,393.24,378.2569,389.69,1469544,0.0
2017-08-08,387.89,408.83,386.17,400.78,3193425,0.0
2017-08-09,398.69,404.06,396.72,398.68,1427163,0.0
2017-08-10,400.08,402.45,392.6,394.5,1591114,0.0
2017-08-13,398.78,405.33,397,401.06,1681477,0.0
2017-08-14,401.08,403.36,395.92,397.78,1227257,0.0
2017-08-15,399.35,402.49,397.1801,400.77,910636,0.0
2017-08-16,401,401.65,393.17,393.37,962441,0.0
2017-08-17,391.53,396.27,390.71,393,827725,0.0
2017-08-20,392.75,396.9,391.38,396.39,535485,0.0
2017-08-21,398.15,399.99,395,396.98,656716,0.0
2017-08-22,396.29,396.29,390.26,390.33,933764,0.0
2017-08-23,390.09,391.53,384.24,389.31,932066,0.0
2017-08-24,391.42,392.53,387.51,388.86,521409,0.0
2017-08-27,390.88,391.2,385.94,389.18,635914,0.0
2017-08-28,386.6,390.17,385.56,388.82,798121,0.0
2017-08-29,388.22,395.16,388.22,393.28,674177,0.0
2017-08-30,394.54,398.8811,392.66,398.34,1115003,0.0
2017-08-31,398.93,399.34,391.87,392.45,987430,0.0
2017-09-04,392.26,395.68,388.01,393.39,784827,0.0
