Date,Open,High,Low,Close,Volume,OpenInterest
2017-06-01,31.92,32.06,31.68,31.98,16404418,0.0
2017-06-04,32.05,32.05,31.57,31.76,14040090,0.0
2017-06-05,31.75,31.76,31.5,31.57,12892514,0.0
2017-06-06,31.61,31.72,31.44,31.61,12331789,0.0
2017-06-07,31.53,31.81,31.52,31.61,14916671,0.0
2017-06-08,31.64,31.83,31.085,31.37,22019587,0.0
2017-06-11,31.34,31.64,31.15,31.25,21310812,0.0
2017-06-12,31.3,31.8,31.28,31.7,22826635,0.0
2017-06-13,31.87,31.97,31.33,31.6,21369887,0.0
2017-06-14,31.25,31.64,31.22,31.59,17226822,0.0
2017-06-15,31.61,31.64,31.2,31.62,25343928,0.0
2017-06-18,31.77,32.02,31.581,31.99,14328240,0.0
2017-06-19,31.94,32.16,31.84,31.84,15313498,0.0
2017-06-20,31.73,31.87,31.51,31.845,17383973,0.0
2017-06-21,31.92,32,31.7,31.85,13586426,0.0
2017-06-22,31.85,32.3,31.75,32.09,16361921,0.0
2017-06-25,32.22,32.5,32.18,32.25,16624736,0.0
2017-06-26,32.09,32.26,31.76,31.77,20072178,0.0
2017-06-27,31.78,32.275,31.76,32.08,15134355,0.0
2017-06-28,31.79,32.025,31.25,31.4,22792898,0.0
2017-06-29,31.73,31.79,31.3,31.3,18777913,0.0
2017-07-02,31.07,31.64,31.03,31.32,11683129,0.0
2017-07-04,30.89,31.27,30.73,31.11,20113785,0.0
2017-07-05,30.99,31.02,30.67,30.7297,15915817,0.0
2017-07-06,30.76,31.07,30.75,30.89,12941028,0.0
2017-07-09,30.89,31.09,30.82,30.98,13264125,0.0
2017-07-10,31.05,31.12,30.86,31.095,10036803,0.0
2017-07-11,31.23,31.44,31.145,31.17,16064988,0.0
2017-07-12,31.26,31.28,31.08,31.27,11737271,0.0
2017-07-13,31.36,31.45,31.27,31.41,10967620,0.0
2017-07-16,31.5,31.635,31.45,31.5,12104611,0.0
2017-07-17,31.4,31.51,31.17,31.5,13269053,0.0
2017-07-18,31.51,32.05,31.46,31.89,19186685,0.0
2017-07-19,31.96,32.05,31.76,31.87,14336279,0.0
2017-07-20,31.83,32.03,31.705,31.84,11509433,0.0
2017-07-23,31.86,31.925,31.66,31.86,9559067,0.0
2017-07-24,31.9,32.25,31.88,32.13,12888322,0.0
2017-07-25,32.12,32.225,31.51,31.66,16283258,0.0
2017-07-26,31.73,31.7502,31.21,31.57,18577133,0.0
2017-07-27,31.52,31.6,31.26,31.51,13818268,0.0
2017-07-30,31.54,31.59,31.37,31.46,14287497,0.0
2017-07-31,31.55,31.66,31.43,31.64,10850232,0.0
2017-08-01,31.55,31.57,31.25,31.5,13620678,0.0
2017-08-02,31.59,31.72,31.43,31.56,12018438,0.0
2017-08-03,31.65,31.91,31.58,31.78,14351508,0.0
2017-08-06,31.79,31.8799,31.69,31.825,9905863,0.0
2017-08-07,31.75,32,31.6,31.67,12105067,0.0
2017-08-08,31.55,31.675,31.36,31.625,14115430,0.0
2017-08-09,31.56,31.56,31,31.01,19835443,0.0
2017-08-10,31.23,31.545,31.04,31.48,18313885,0.0
2017-08-13,31.69,31.89,31.56,31.83,18347698,0.0
2017-08-14,31.85,32.21,31.84,32.1,21682006,0.0
2017-08-15,32.07,32.4652,32.06,32.355,24302285,0.0
2017-08-16,31.5,31.77,30.85,31.03,46821794,0.0
2017-08-17,31,31.06,30.36,30.365,31694658,0.0
2017-08-20,30.37,30.795,30.36,30.69,21037951,0.0
2017-08-21,30.84,31.33,30.75,31.26,20507600,0.0
2017-08-22,31.21,31.4,30.91,30.93,18444560,0.0
2017-08-23,30.95,31.4,30.9,31.25,16261204,0.0
2017-08-24,31.37,31.8,31.36,31.46,16144412,0.0
2017-08-27,31.6,31.66,31.41,31.54,9905861,0.0
2017-08-28,31.28,31.6299,31.19,31.49,11624484,0.0
2017-08-29,31.47,32.2,31.42,32,19893904,0.0
2017-08-30,32.1,32.34,31.99,32.22,22856867,0.0
2017-08-31,32.22,32.345,32.03,32.31,13092620,0.0
2017-09-04,32.15,32.245,31.455,31.62,20379444,0.0
2017-09-05,31.76,31.91,31.63,31.87,11913978,0.0
2017-09-06,31.96,31.97,31.74,31.76,10753659,0.0
2017-09-07,31.68,31.78,31.46,31.48,12701068,0.0
2017-09-10,31.74,32.3,31.67,32.21,16512976,0.0
2017-09-11,32.25,32.47,32.19,32.42,13757244,0.0
2017-09-12,32.23,32.39,31.96,32.18,16815099,0.0
2017-09-13,31.91,32.22,31.91,32.18,14091699,0.0
2017-09-14,32.2,32.5,32.12,32.43,22396094,0.0
2017-09-17,32.43,32.66,32.26,32.53,13630049,0.0
2017-09-18,32.46,32.65,32.395,32.49,10247744,0.0
2017-09-19,32.58,32.75,32.39,32.61,14849280,0.0
2017-09-20,32.68,32.9,32.5,32.7,16817641,0.0
2017-09-21,32.7,33.53,32.64,33.38,24115957,0.0
2017-09-24,33.3,33.84,33.2,33.73,24788096,0.0
2017-09-25,33.77,34.1,33.67,33.79,21763712,0.0
2017-09-26,33.78,33.92,33.3037,33.475,16334064,0.0
2017-09-27,33.22,33.46,33.22,33.35,10501459,0.0
2017-09-28,33.31,33.67,33.24,33.62,10854349,0.0
2017-10-01,33.6,33.77,33.52,33.75,12697198,0.0
2017-10-02,33.72,33.9,33.61,33.85,11109767,0.0
2017-10-03,33.53,33.56,33.29,33.44,11530293,0.0
2017-10-04,33.53,33.67,33.41,33.6,10630451,0.0
2017-10-05,33.65,33.78,33.5247,33.74,7957038,0.0
2017-10-08,33.8,33.89,33.61,33.76,5878771,0.0
2017-10-09,33.88,33.91,33.47,33.55,15039977,0.0
2017-10-10,33.38,33.63,33.25,33.59,9022675,0.0
2017-10-11,33.26,33.46,33.17,33.27,13098878,0.0
2017-10-12,33.4,33.57,33.323,33.48,9854239,0.0
2017-10-15,33.6,33.64,33.47,33.54,7363153,0.0
2017-10-16,33.56,33.67,33.46,33.59,6485262,0.0
2017-10-17,33.72,33.75,33.44,33.54,8023008,0.0
2017-10-18,33.51,33.89,33.45,33.77,11241405,0.0
2017-10-19,34.03,34.39,34.01,34.25,18453476,0.0
2017-10-22,34.45,34.68,34.27,34.375,16696546,0.0
2017-10-23,34.4,34.675,34.25,34.57,12164499,0.0
2017-10-24,34.73,34.73,34.163,34.3,13778548,0.0
2017-10-25,34.41,34.51,34.07,34.26,11790770,0.0
2017-10-26,34.16,34.62,34.09,34.4,16024246,0.0
2017-10-29,34.27,34.38,33.8244,34.02,14644201,0.0
