Date,Open,High,Low,Close,Volume,OpenInterest
2017-06-01,54.79,55.06,54.36,54.54,3964989,0.0
2017-06-04,54.59,55,52.93,54.03,6455365,0.0
2017-06-05,54.1,54.43,53.1,53.13,5079411,0.0
2017-06-06,53.04,53.15,52.49,52.95,6874311,0.0
2017-06-07,53.06,53.15,52.7,52.94,4566804,0.0
2017-06-08,53.01,53.78,51.58,52.24,6854651,0.0
2017-06-11,52.27,53.54,51.69,53.52,5619419,0.0
2017-06-12,53.34,53.945,53.25,53.87,3366771,0.0
2017-06-13,54.07,54.11,52.11,52.37,4908012,0.0
2017-06-14,51.75,53.3928,51.72,53.29,5495289,0.0
2017-06-15,53.14,53.16,52.49,52.74,6979207,0.0
2017-06-18,53,53.67,52.87,53.26,8347748,0.0
2017-06-19,53.07,53.07,52.045,52.13,6085216,0.0
2017-06-20,52.28,52.36,51.2,52.2,3635326,0.0
2017-06-21,52.12,52.72,51.95,52.6,3718726,0.0
2017-06-22,52.54,53.03,51.8,52.68,4953028,0.0
2017-06-25,53.1,53.75,52.8,53.12,3259452,0.0
2017-06-26,53.13,53.63,52.96,53.34,6163332,0.0
2017-06-27,53.7,54.655,53.42,54.58,4594966,0.0
2017-06-28,54.56,54.74,53.51,53.82,5183717,0.0
2017-06-29,54.75,54.789,53.73,53.73,3897264,0.0
2017-07-02,53.92,54.675,53.56,54.49,2892315,0.0
2017-07-04,54.5,55.31,54.49,55.09,3603982,0.0
2017-07-05,54.63,55.06,54.44,54.6,3836636,0.0
2017-07-06,54.72,55.28,54.37,54.85,3461774,0.0
2017-07-09,54.65,55.21,53.71,54.89,3486333,0.0
2017-07-10,54.83,54.87,53.92,54.15,3410171,0.0
2017-07-11,54.72,55.32,54.31,54.35,3375384,0.0
2017-07-12,54.29,55.09,53.99,54.825,2219609,0.0
2017-07-13,54.96,55.195,54.13,54.24,3299811,0.0
2017-07-16,54.15,54.915,53.53,54.63,3280688,0.0
2017-07-17,54.49,54.84,54.16,54.62,5770706,0.0
2017-07-18,53.02,53.15,50.68,51.87,26591945,0.0
2017-07-19,51.91,52.13,50.33,50.88,19267979,0.0
2017-07-20,50.6,51.83,50.51,51.68,9643499,0.0
2017-07-23,51.54,51.93,49.9,50.82,12221438,0.0
2017-07-24,50.98,51.77,50.67,50.78,7155145,0.0
2017-07-25,50.66,52.4,50.08,52.07,8494224,0.0
2017-07-26,52.09,52.11,49,49.24,13350378,0.0
2017-07-27,48.62,49.48,48.12,49.23,8636198,0.0
2017-07-30,49.19,49.7737,48.58,49.34,4968032,0.0
2017-07-31,49.29,49.4,47.68,47.86,10343794,0.0
2017-08-01,48.32,48.64,47.36,47.41,7480479,0.0
2017-08-02,47.27,49.3,47.27,49.27,7422445,0.0
2017-08-03,49.46,49.47,48.63,48.72,5588380,0.0
2017-08-06,48.81,49,48.15,48.87,5229218,0.0
2017-08-07,48.7,50.14,48.49,50.13,6278645,0.0
2017-08-08,50.03,50.13,49.12,49.93,6053693,0.0
2017-08-09,49.7,49.98,48.94,49.08,6166498,0.0
2017-08-10,49.31,49.95,49.31,49.51,3737490,0.0
2017-08-13,49.89,50.81,49.73,50.75,3998187,0.0
2017-08-14,50.85,51.14,50.63,51.13,3290872,0.0
2017-08-15,51.37,51.38,50.33,50.39,4764722,0.0
2017-08-16,50.11,50.37,48.87,48.89,5688385,0.0
2017-08-17,48.67,49.29,48.16,48.78,6203535,0.0
2017-08-20,48.7,48.81,47.73,47.96,4970412,0.0
2017-08-21,48.33,50,48.23,49.91,4832002,0.0
2017-08-22,49.59,49.72,48.51,48.87,4356826,0.0
2017-08-23,49.09,49.19,48.1175,48.37,4566624,0.0
2017-08-24,48.42,49.02,47.66,48.86,3491698,0.0
2017-08-27,49,49.57,48.905,49.51,4212430,0.0
2017-08-28,49,49.92,48.9,49.78,4514209,0.0
2017-08-29,49.69,50.1,49.35,49.84,4615520,0.0
