Date,Open,High,Low,Close,Volume,OpenInterest
2017-06-01,151.85,153.63,151.3,153.59,14584144,0.0
2017-06-04,153.64,154.7088,153.41,153.63,10578928,0.0
2017-06-05,153.41,154.52,152.48,152.82,10374335,0.0
2017-06-06,153.27,153.75,152.34,153.12,9657503,0.0
2017-06-07,154.08,154.73,153.1,154.71,12913519,0.0
2017-06-08,154.77,155.59,146.61,149.6,30174984,0.0
2017-06-11,148.17,149.195,144.56,148.44,27407902,0.0
2017-06-12,150.13,151.18,148.9,150.68,17052561,0.0
2017-06-13,151.28,152.4,149.05,150.25,16939997,0.0
2017-06-14,147.67,150.0366,146.3747,149.81,16342501,0.0
2017-06-15,149.66,150.83,148.6,150.6,15647847,0.0
2017-06-18,151.71,153.57,151.71,152.85,15430309,0.0
2017-06-19,152.88,153.84,152.21,152.26,12218674,0.0
2017-06-20,152.36,154.08,151.88,153.911,12880120,0.0
2017-06-21,153.25,154.55,152.91,153.41,10453340,0.0
2017-06-22,152.84,155.2,152.65,155.07,11440119,0.0
2017-06-25,156.25,156.5,153.1954,153.58,15438211,0.0
2017-06-26,152.88,153.31,150.39,150.61,15521137,0.0
2017-06-27,150.92,153.47,149.86,153.22,14109232,0.0
2017-06-28,152.27,152.5,148.9175,151.04,20632724,0.0
2017-06-29,151.88,151.92,150.06,150.99,11263899,0.0
2017-07-02,151.72,152.15,147.8,148.44,11423638,0.0
2017-07-04,149.01,150.85,148.13,150.34,11777078,0.0
2017-07-05,149.03,150.04,148,148.83,12330874,0.0
2017-07-06,149.25,151.99,149.19,151.44,11041983,0.0
2017-07-09,151.69,153.98,151.51,153.5,11068067,0.0
2017-07-10,153.37,155.4225,152.91,155.279,11241018,0.0
2017-07-11,156.49,159.16,156.2,158.91,18645625,0.0
2017-07-12,158.67,159.78,158.4227,159.26,11486476,0.0
2017-07-13,160.13,160.32,159.3254,159.97,12394593,0.0
2017-07-16,160.25,160.78,158.81,159.73,10273662,0.0
2017-07-17,159.66,163.73,159.42,162.86,19242354,0.0
