Date,Open,High,Low,Close,Volume,OpenInterest
2017-06-01,62.8,62.953,62.285,62.855,1026504,0.0
2017-06-04,63,63.14,62.525,62.73,636978,0.0
2017-06-05,62.705,62.9,62.155,62.22,1688924,0.0
2017-06-06,62.25,62.58,61.99,62.55,769388,0.0
2017-06-07,62.485,62.59,61.42,61.87,1101262,0.0
2017-06-08,61.96,62.21,60.975,61.435,960008,0.0
2017-06-11,61.225,61.793,61.13,61.575,1304040,0.0
2017-06-12,61.565,62.345,61.405,62.255,825562,0.0
2017-06-13,62.52,62.775,61.845,62.31,958406,0.0
2017-06-14,61.95,62.775,61.685,62.725,819584,0.0
2017-06-15,60.87,62.795,60.87,62.325,1675956,0.0
2017-06-18,62.53,62.66,62.325,62.595,1038274,0.0
2017-06-19,62.385,62.975,62.195,62.315,1429430,0.0
2017-06-20,62.37,62.879,62.155,62.69,1875884,0.0
2017-06-21,62.61,62.81,61.975,62.45,960298,0.0
2017-06-22,62.485,62.73,62.32,62.4,1164320,0.0
2017-06-25,62.53,63.549,62.07,62.165,973166,0.0
2017-06-26,61.93,62.04,61.405,61.43,858406,0.0
2017-06-27,61.58,62.125,61.15,62.035,1129442,0.0
2017-06-28,61.81,61.82,60.186,60.805,1491980,0.0
2017-06-29,61.07,61.385,60.685,61.17,1213864,0.0
2017-07-02,61.38,61.738,60.62,60.655,563326,0.0
2017-07-04,60.745,61.36,60.638,61.175,1128730,0.0
2017-07-05,60.805,61.05,60.365,60.895,1137900,0.0
2017-07-06,61,61.735,61,61.38,752622,0.0
2017-07-09,61.445,61.55,61.225,61.4,691578,0.0
2017-07-10,61.37,61.445,60.885,61.015,1588898,0.0
2017-07-11,61.39,61.77,61.345,61.715,779384,0.0
2017-07-12,61.73,61.965,61.44,61.635,959368,0.0
2017-07-13,61.835,61.93,61.655,61.795,635706,0.0
2017-07-16,62.035,62.75,61.995,62.63,1079132,0.0
2017-07-17,62.56,62.72,62.24,62.545,806042,0.0
2017-07-18,62.705,63.015,62.5,62.87,700712,0.0
2017-07-19,62.915,63.24,62.73,63.115,716034,0.0
2017-07-20,62.89,63.63,62.89,63.355,760058,0.0
2017-07-23,63.255,63.465,62.975,63.245,835452,0.0
2017-07-24,63.25,63.595,63.035,63.203,468010,0.0
2017-07-25,63.315,63.605,63.135,63.51,405058,0.0
2017-07-26,63.445,63.73,63.18,63.485,773188,0.0
2017-07-27,63.32,63.65,62.905,63.115,538356,0.0
2017-07-30,63.41,64.285,63.313,64.25,2094786,0.0
2017-07-31,64.285,64.675,64.03,64.635,1605010,0.0
2017-08-01,62.27,64.423,61.96,61.985,3648876,0.0
2017-08-02,62.085,62.235,61.39,61.965,1494150,0.0
2017-08-03,62.2,62.2,61.43,61.52,1504442,0.0
2017-08-06,61.545,62.135,61.445,62.035,1067050,0.0
2017-08-07,61.725,62.06,61.655,61.785,672114,0.0
2017-08-08,61.635,61.94,61.32,61.66,824678,0.0
2017-08-09,61.305,61.79,61.135,61.265,778392,0.0
2017-08-10,61.44,61.715,61.37,61.425,547804,0.0
2017-08-13,61.485,62.135,61.485,62.015,682996,0.0
2017-08-14,62.015,62.46,61.875,62.355,638364,0.0
2017-08-15,62.49,62.735,61.99,62.415,886812,0.0
2017-08-16,62.05,62.17,60.501,60.545,1692460,0.0
2017-08-17,60.47,60.86,59.85,60.18,1238850,0.0
2017-08-20,60.32,60.575,60.045,60.388,1199634,0.0
2017-08-21,60.575,61.38,60.51,61.3,756224,0.0
2017-08-22,61.11,61.245,60.765,61.07,605958,0.0
2017-08-23,61.025,61.15,60.67,60.758,537102,0.0
2017-08-24,60.995,61.47,60.833,61.16,931168,0.0
2017-08-27,61.33,61.55,61.25,61.425,452574,0.0
2017-08-28,61.095,61.595,61.085,61.51,663260,0.0
2017-08-29,61.52,61.855,61.317,61.605,701120,0.0
2017-08-30,61.87,62.025,61.615,61.84,964754,0.0
2017-08-31,62.095,62.31,61.33,61.5,603590,0.0
2017-09-04,61.29,61.355,60.66,60.93,1071708,0.0
2017-09-05,61.185,61.33,60.585,61.19,1610582,0.0
2017-09-06,61.465,61.785,61.085,61.41,864020,0.0
2017-09-07,61.335,61.73,61.015,61.33,851518,0.0
2017-09-10,61.7,62.235,61.4,62.15,734684,0.0
2017-09-11,62.155,62.49,61.96,62.285,679142,0.0
2017-09-12,62.03,62.17,61.795,62,476010,0.0
2017-09-13,61.8,62.05,61.58,61.765,641528,0.0
2017-09-14,61.81,62.155,61.51,61.965,1492048,0.0
2017-09-17,61.955,62.785,61.885,62.775,1020156,0.0
2017-09-18,62.825,63.13,62.515,62.59,587054,0.0
2017-09-19,62.705,62.92,62.195,62.555,517040,0.0
2017-09-20,62.545,62.635,62.145,62.37,645390,0.0
2017-09-21,62.28,63.145,62.235,63.08,871578,0.0
2017-09-24,62.895,63.575,62.75,63.57,1406362,0.0
2017-09-25,63.805,63.955,63.5,63.74,1215454,0.0
2017-09-26,63.995,64.315,63.93,64.175,1078538,0.0
2017-09-27,63.875,64.32,63.835,64.115,860178,0.0
2017-09-28,64.06,64.805,63.933,64.47,1202958,0.0
2017-10-01,64.61,64.905,64.165,64.435,748402,0.0
2017-10-02,64.575,64.76,64.38,64.415,635556,0.0
2017-10-03,64.295,64.385,63.84,64.285,572562,0.0
2017-10-04,64.48,64.62,64.075,64.455,756788,0.0
2017-10-05,64.45,64.45,63.585,63.74,1890394,0.0
2017-10-08,63.78,63.928,63.605,63.76,1367758,0.0
2017-10-09,63.95,64.323,63.865,63.935,847152,0.0
2017-10-10,63.855,63.965,63.225,63.37,1176338,0.0
2017-10-11,63.365,63.795,63.35,63.58,2128988,0.0
2017-10-12,63.385,64,63.385,63.54,1003626,0.0
2017-10-15,63.52,63.753,63.375,63.6,808610,0.0
2017-10-16,63.54,63.705,63.155,63.31,529198,0.0
2017-10-17,63.25,63.755,63.25,63.535,709886,0.0
2017-10-18,63.475,63.885,63.32,63.77,617856,0.0
2017-10-19,64.065,64.29,63.905,64.22,749364,0.0
2017-10-22,64.345,64.6,63.915,64.005,892446,0.0
2017-10-23,64,64.235,63.57,63.7,1491390,0.0
2017-10-24,63.445,64.298,63.32,64.105,1437746,0.0
2017-10-25,64.54,64.753,64.28,64.471,486028,0.0
2017-10-26,64.355,65.1,64.235,65.09,1098570,0.0
2017-10-29,65.025,65.09,64.36,64.73,970986,0.0
2017-10-30,64.595,64.85,64.255,64.725,1969278,0.0
2017-10-31,62,62.895,60.19,62.755,9091608,0.0
2017-11-01,62.81,63.59,62.675,63.29,2405728,0.0
2017-11-02,63.23,63.55,63.07,63.515,1692750,0.0
2017-11-05,63.48,63.905,63.295,63.87,1877806,0.0
2017-11-06,63.87,63.965,63.17,63.485,1511912,0.0
2017-11-07,63.38,64.555,63.265,64.415,911624,0.0
2017-11-08,64.06,64.58,63.71,64.44,1187914,0.0
2017-11-09,64.27,64.27,63.79,64.005,614428,0.0
2017-11-12,63.985,64.285,63.69,64.08,671050,0.0
2017-11-13,63.9,64.925,63.76,64.865,944222,0.0
2017-11-14,64.765,64.915,64,64.265,1380842,0.0
2017-11-15,64.455,65.05,64.36,64.76,839012,0.0
2017-11-16,64.72,64.74,63.96,64.19,1111030,0.0
2017-11-19,64.12,64.41,63.89,64.16,909826,0.0
2017-11-20,64.355,64.375,63.895,64.13,1086804,0.0
2017-11-21,64.145,64.32,63.765,63.855,855490,0.0
2017-11-23,63.795,64.125,63.65,64.07,450370,0.0
2017-11-26,64.19,64.315,63.835,64.065,670128,0.0
2017-11-27,64.055,64.285,63.88,64.205,1242024,0.0
2017-11-28,64.185,64.495,63.795,64.365,1208400,0.0
2017-11-29,64.555,65.925,64.555,65.71,1699236,0.0
2017-11-30,65.25,65.905,64.095,65.215,1520296,0.0
2017-12-03,65.695,66.555,65.465,66.13,1600966,0.0
2017-12-04,66.12,66.285,65.31,65.44,953396,0.0
2017-12-05,65.57,65.755,65.005,65.285,972122,0.0
2017-12-06,65.155,65.7,65.01,65.595,777226,0.0
2017-12-07,65.945,66.06,65.635,65.875,627184,0.0
2017-12-10,65.7,65.915,65.565,65.915,616642,0.0
2017-12-11,66,66.16,65.545,65.61,724012,0.0
2017-12-12,65.73,66.035,65.14,65.41,1122688,0.0
2017-12-13,65.37,65.63,64.92,64.96,852324,0.0
2017-12-14,65.48,66.14,64.705,65.955,1848554,0.0
2017-12-17,66.16,66.68,66.055,66.175,842930,0.0
2017-12-18,66.265,66.45,65.7,66.09,695848,0.0
2017-12-19,66.385,66.385,65.78,65.795,801518,0.0
2017-12-20,65.935,66.135,65.24,65.31,657242,0.0
2017-12-21,65.185,65.49,65.095,65.18,446772,0.0
2017-12-25,65.2,65.775,65.02,65.7,530302,0.0
2017-12-26,65.615,65.825,65.515,65.74,619356,0.0
2017-12-27,65.95,66.05,65.58,65.98,640920,0.0
2017-12-28,65.935,66.24,65.535,65.575,551766,0.0
2018-01-01,66.165,66.165,64.91,65.174,737466,0.0
2018-01-02,65.285,65.995,65.245,65.705,747700,0.0
2018-01-03,65.895,66.7,65.895,66.63,1003378,0.0
2018-01-04,66.82,67.495,66.435,67.26,1064614,0.0
2018-01-07,67.205,67.64,66.985,67.42,859714,0.0
2018-01-08,67.425,68.37,67.215,68.145,1297176,0.0
2018-01-09,68.025,68.69,67.625,68.515,1650370,0.0
2018-01-10,68.44,68.955,68.19,68.905,1061398,0.0
2018-01-11,68.9,69.035,68.535,68.605,958252,0.0
2018-01-15,68.86,69.28,68.67,68.755,1195398,0.0
2018-01-16,69.36,69.625,69.05,69.125,2237940,0.0
2018-01-17,69.155,69.285,68.77,68.965,881442,0.0
2018-01-18,68.795,69.345,68.55,69.055,1091006,0.0
2018-01-21,69.115,70.1,69.05,70.095,954496,0.0
2018-01-22,69.585,70.54,69.475,70.2,995346,0.0
2018-01-23,70.51,70.64,69.955,70.075,1057870,0.0
2018-01-24,70.29,70.575,69.815,70.41,824926,0.0
2018-01-25,70.765,71.405,70.24,71.29,825410,0.0
2018-01-28,71.15,71.995,71.005,71.535,1169978,0.0
2018-01-29,71.585,72.1,71.245,71.275,2142960,0.0
2018-01-30,71.22,71.22,70.065,70.415,1695590,0.0
2018-01-31,70.34,70.935,69.725,70.06,1348078,0.0
2018-02-01,69.71,69.988,68.71,68.765,1365644,0.0
2018-02-04,68.85,69.29,65.005,65.05,2902730,0.0
2018-02-05,64.145,65.595,62.76,65.37,4391838,0.0
2018-02-06,64.89,65.493,64.285,64.6,3509728,0.0
2018-02-07,71.075,71.08,66.38,66.525,5533500,0.0
2018-02-08,67.4,69.22,66.885,68.76,3855516,0.0
2018-02-11,69.065,70.315,68.9,69.32,2305982,0.0
2018-02-12,68.905,69.77,68.243,69.525,1144216,0.0
2018-02-13,69.255,69.555,68.58,69.2,1576424,0.0
2018-02-14,69.55,70.245,68.94,70.23,1232892,0.0
2018-02-15,70.25,71.71,70.23,71.36,1632134,0.0
2018-02-19,70.925,71.725,70.645,70.86,1451278,0.0
2018-02-20,71.285,71.49,69.855,69.9,1496074,0.0
2018-02-21,70.085,71.4,70.085,71.065,1216848,0.0
2018-02-22,71.58,73.13,71.31,73.095,2015744,0.0
2018-02-25,73.435,73.68,72.49,72.685,1535676,0.0
2018-02-26,72.87,73.7,72.055,72.115,1935456,0.0
2018-02-27,72.505,73.005,71.69,71.69,1629904,0.0
2018-02-28,71.925,72.295,70.485,70.95,1990274,0.0
2018-03-01,70.655,72.17,70.33,71.975,1684082,0.0
2018-03-04,71.405,72.63,71.195,72.465,1182280,0.0
2018-03-05,72.495,72.56,71.795,72.105,1360220,0.0
2018-03-06,71.835,72.695,71.83,72.535,837856,0.0
2018-03-07,72.73,73.4,72.73,73.03,821422,0.0
2018-03-08,73.395,74.21,73.215,74.115,1248616,0.0
2018-03-11,74.265,74.325,73.675,73.82,1280542,0.0
2018-03-12,73.915,74.245,73.29,73.75,2975910,0.0
2018-03-13,73.97,74.17,73.41,73.795,2291800,0.0
2018-03-14,73.73,74.355,73.565,73.835,1166308,0.0
2018-03-15,74.01,74.455,73.635,74.215,1496782,0.0
