Date,Open,High,Low,Close,Volume,OpenInterest
2017-06-01,27.86,28.21,27.78,27.93,17414651,0.0
2017-06-04,27.88,27.89,27.39,27.74,9808670,0.0
2017-06-05,27.68,27.94,27.48,27.53,10220433,0.0
2017-06-06,27.56,27.8,27.425,27.58,5202826,0.0
2017-06-07,27.5,27.61,27.055,27.395,5645032,0.0
2017-06-08,27.34,28.2,27.2,28.17,12609552,0.0
2017-06-11,28.18,29.03,28.11,28.75,14191342,0.0
2017-06-12,28.61,28.64,28.03,28.06,6880610,0.0
2017-06-13,28.12,28.25,27.42,27.61,6209676,0.0
2017-06-14,27.5,27.81,27.45,27.74,3529036,0.0
2017-06-15,27.5,27.76,27.195,27.45,6125969,0.0
2017-06-18,27.55,27.9,27.3,27.8,4309330,0.0
2017-06-19,27.74,27.78,27.01,27.17,5938128,0.0
2017-06-20,27.25,27.54,26.9,27.25,6402520,0.0
2017-06-21,27.29,27.29,26.94,26.965,4815598,0.0
2017-06-22,26.93,27.23,26.765,27.19,4461698,0.0
2017-06-25,27.32,28.26,27.26,28.05,8120926,0.0
2017-06-26,27.99,28.23,27.61,27.61,6989767,0.0
2017-06-27,27.72,28.445,27.72,28.11,6321639,0.0
2017-06-28,28.06,28.81,27.95,28.18,7217198,0.0
2017-06-29,28.26,28.37,27.86,28.33,6603632,0.0
2017-07-02,28.47,28.81,28.35,28.53,3750864,0.0
2017-07-04,28.62,28.62,28.245,28.37,7132298,0.0
2017-07-05,28.22,28.23,27.9,27.95,6107361,0.0
2017-07-06,27.92,28.15,27.75,27.9,4673269,0.0
2017-07-09,27.87,28.345,27.83,28.29,3373070,0.0
2017-07-10,28.24,28.28,28.03,28.11,5869993,0.0
2017-07-11,28.4,28.675,28.32,28.65,8099857,0.0
2017-07-12,28.49,28.81,27.4,27.58,15493288,0.0
2017-07-13,27.74,28.06,27.515,27.73,7746242,0.0
2017-07-16,27.74,27.82,27.29,27.38,9400372,0.0
2017-07-17,27.37,27.49,26.84,27.36,7209205,0.0
2017-07-18,27.52,27.72,27.35,27.64,7405708,0.0
2017-07-19,27.73,28.06,27.35,27.8,6276840,0.0
2017-07-20,27.87,28.09,27.71,27.83,5073700,0.0
2017-07-23,27.8,27.86,27.49,27.69,6131037,0.0
2017-07-24,27.68,28.05,27.52,27.94,9014997,0.0
2017-07-25,27.99,28.305,27.89,28.18,5792382,0.0
2017-07-26,28.48,29.63,28.37,29.62,14532592,0.0
2017-07-27,29.55,29.63,29.2,29.37,7026628,0.0
2017-07-30,29.4,29.4,28.9,29.1,7226839,0.0
2017-07-31,29.21,29.55,29.13,29.23,9293855,0.0
2017-08-01,28.83,29.09,28.5444,28.67,7869043,0.0
2017-08-02,28.73,29.08,28.66,28.82,7434680,0.0
2017-08-03,28.45,28.68,28.065,28.46,5517638,0.0
2017-08-06,28.46,28.525,28.18,28.19,4023794,0.0
2017-08-07,28.17,28.38,27.91,28.02,5865370,0.0
2017-08-08,27.7,27.95,27.16,27.9,10127539,0.0
2017-08-09,29.1,29.6,27.865,27.88,10114542,0.0
2017-08-10,28.15,28.34,27.89,28.23,5886049,0.0
2017-08-13,28.39,28.6,28.17,28.2,5180529,0.0
2017-08-14,28.22,28.27,27.84,27.86,4826603,0.0
2017-08-15,27.84,28.135,27.81,27.99,3657749,0.0
2017-08-16,27.91,28.05,27.3,27.35,3992415,0.0
2017-08-17,27.17,27.57,27.17,27.27,3858624,0.0
2017-08-20,27.28,27.39,27.015,27.36,3517561,0.0
2017-08-21,27.46,27.52,27.285,27.43,2609509,0.0
2017-08-22,27.38,27.395,27.125,27.155,4753339,0.0
2017-08-23,27.18,27.27,27.05,27.09,3379411,0.0
2017-08-24,27.2,27.47,27.08,27.24,3437041,0.0
2017-08-27,27.34,27.54,27.2,27.26,3941291,0.0
2017-08-28,27.11,27.55,27.08,27.36,3353172,0.0
2017-08-29,27.29,27.72,27.28,27.46,3085800,0.0
2017-08-30,27.5,27.78,27.46,27.6,5166602,0.0
2017-08-31,27.66,27.8,27.49,27.49,3001276,0.0
2017-09-04,27.49,27.55,26.41,26.57,6929831,0.0
2017-09-05,26.68,26.7,26.18,26.43,6753474,0.0
2017-09-06,26.5,26.575,25.135,25.79,11701204,0.0
2017-09-07,25.75,25.87,25.49,25.78,6870434,0.0
2017-09-10,25.94,26.07,25.81,26.055,5166036,0.0
2017-09-11,25.83,25.92,25.59,25.91,5324053,0.0
2017-09-12,25.91,26.6,25.7801,26.59,8581432,0.0
2017-09-13,26.47,26.58,26.23,26.51,6101776,0.0
2017-09-14,26.41,27.11,26.34,27.06,7077159,0.0
2017-09-17,27.01,27.13,26.315,26.505,4919377,0.0
2017-09-18,26.57,26.73,26.34,26.7,5633235,0.0
2017-09-19,26.74,26.95,26.6136,26.86,2581716,0.0
2017-09-20,26.91,26.95,26.66,26.76,2940281,0.0
2017-09-21,26.68,26.93,26.66,26.88,1814587,0.0
2017-09-24,26.88,27.32,26.81,27.125,6363737,0.0
2017-09-25,27.22,27.22,26.9,26.96,4580010,0.0
2017-09-26,27.09,27.35,26.66,27.33,7063396,0.0
2017-09-27,27.11,27.22,26.5,26.555,6587695,0.0
2017-09-28,26.57,26.665,26.24,26.375,7221797,0.0
2017-10-01,26.51,26.86,26.35,26.6,5902606,0.0
2017-10-02,26.61,26.77,26.45,26.64,4488431,0.0
2017-10-03,26.62,27.305,26.515,27.095,10169856,0.0
2017-10-04,27.2,27.3,26.845,26.95,7486945,0.0
2017-10-05,26.96,27.02,26.73,26.99,5187809,0.0
2017-10-08,26.98,27.01,26.57,26.57,3001169,0.0
2017-10-09,26.64,27.18,26.59,26.77,7543162,0.0
2017-10-10,26.62,26.63,25.8,26.12,13045243,0.0
2017-10-11,25.79,26.41,25.78,26.145,11577695,0.0
2017-10-12,26.29,26.58,26.08,26.52,8757251,0.0
2017-10-15,26.54,26.87,26.42,26.69,4828818,0.0
2017-10-16,26.54,26.92,26.54,26.875,3937840,0.0
2017-10-17,26.96,27.39,26.84,27.2,7613315,0.0
2017-10-18,27.07,27.405,26.955,27.37,4873216,0.0
2017-10-19,27.51,27.635,27.305,27.5,5679899,0.0
2017-10-22,27.51,27.57,26.64,26.7,4889840,0.0
2017-10-23,26.62,26.7,26.21,26.24,4051398,0.0
2017-10-24,26.13,26.35,26,26.13,3105471,0.0
2017-10-25,26.32,26.685,26.05,26.32,4117003,0.0
2017-10-26,26.06,26.44,25.56,26.4,7412727,0.0
2017-10-29,26.29,26.7,26.19,26.4,4168682,0.0
2017-10-30,26.45,26.48,26.01,26.145,3638617,0.0
2017-10-31,26.29,26.515,25.95,25.98,4174919,0.0
2017-11-01,26,26.17,25.56,25.81,8827679,0.0
2017-11-02,25.76,25.89,24.91,24.96,10498223,0.0
2017-11-05,24.9,27.53,24.81,27.45,27635280,0.0
2017-11-06,27.44,28.6,27.42,27.76,23411055,0.0
2017-11-07,27.71,28.6,27.47,28.125,9948241,0.0
2017-11-08,27.33,29.77,27.29,28.7,17672412,0.0
2017-11-09,28.96,29.95,28.74,28.83,11892465,0.0
2017-11-12,28.66,28.78,28.195,28.55,4486962,0.0
2017-11-13,28.31,28.48,27.77,28.04,6933015,0.0
2017-11-14,27.94,28.83,27.531,28.74,13607680,0.0
2017-11-15,28.36,29.55,28.36,29.33,8735912,0.0
2017-11-16,31.19,31.465,30.22,31.15,31563016,0.0
2017-11-19,31.02,31.62,30.39,30.67,11485717,0.0
2017-11-20,30.71,31.1,30.41,30.88,5752932,0.0
2017-11-21,30.86,30.96,30.55,30.6,3819993,0.0
2017-11-23,30.45,30.8,30.36,30.48,1874644,0.0
2017-11-26,30.43,30.56,30.32,30.39,2893402,0.0
2017-11-27,30.6,30.91,30.32,30.87,6179929,0.0
2017-11-28,31.04,32.31,31.02,32.1,9817953,0.0
2017-11-29,31.87,32.26,31.52,31.93,7284543,0.0
2017-11-30,31.49,32.35,31.37,32.19,10183533,0.0
2017-12-03,32.63,34.02,32.5841,33.08,13609384,0.0
2017-12-04,33.13,34.48,32.91,33,20436517,0.0
2017-12-05,33.3,33.94,32.71,33.21,14346723,0.0
2017-12-06,33.35,34.75,33.13,34.19,24341008,0.0
2017-12-07,34.41,34.46,33.25,33.3,11354397,0.0
2017-12-10,33.43,33.77,33.21,33.66,6535774,0.0
2017-12-11,33.87,34.18,33.25,34.08,15678697,0.0
