Date,Open,High,Low,Close,Volume,OpenInterest
2017-05-30,168.13,169.23,166.725,168.39,351498,0.0
2017-05-31,166.88,169.06,165.19,168.25,651433,0.0
2017-06-01,168.56,170.18,168,169.86,385038,0.0
2017-06-04,170.55,171.508,169.5349,169.98,267421,0.0
2017-06-05,170.09,172.25,169.34,170.87,305844,0.0
2017-06-06,171.24,173.01,170.9,171.93,396513,0.0
2017-06-07,172.02,172.86,170.32,171.34,292323,0.0
2017-06-08,171.71,172.26,164.2301,164.55,625361,0.0
2017-06-11,164.35,164.56,156.02,158.18,1036218,0.0
2017-06-12,159.35,161.63,158.22,161.29,708021,0.0
2017-06-13,162.31,164.26,160.25,160.62,456386,0.0
2017-06-14,159.77,160.99,157.877,160.57,581176,0.0
2017-06-15,160.01,162.75,159.51,160.71,771712,0.0
2017-06-18,161.4,164.62,161.19,164.37,418452,0.0
2017-06-19,163.9,167.29,163.84,166.009,494094,0.0
2017-06-20,166.02,167.0707,165.83,166.62,332118,0.0
2017-06-21,166.5,167.98,165.44,166.5,282022,0.0
2017-06-22,166.5,168.6,165.98,167.35,542844,0.0
2017-06-25,168.28,168.63,165.79,165.91,305433,0.0
2017-06-26,165.57,165.785,162.28,162.45,267805,0.0
2017-06-27,162.92,164.93,162.44,164.68,361367,0.0
2017-06-28,164.22,164.22,159,160.53,371349,0.0
2017-06-29,161.47,162.845,160.58,161.42,369131,0.0
2017-07-02,162.39,163.76,159.17,159.29,199551,0.0
2017-07-04,159.51,161.97,159.25,161.39,490800,0.0
2017-07-05,160.23,160.99,157.76,159.25,368926,0.0
2017-07-06,159.82,162.36,159.55,161.44,242283,0.0
2017-07-09,161.02,162.74,160.42,161.52,271439,0.0
2017-07-10,161.76,162.36,160,161.75,378323,0.0
2017-07-11,162.89,165.25,162.01,164.63,357217,0.0
2017-07-12,164.62,165.06,162.53,163.61,271740,0.0
2017-07-13,164.02,167.58,163.85,166.5,303899,0.0
2017-07-16,166.54,167.42,165.17,166.02,272652,0.0
2017-07-17,165.84,166.96,164.77,165.5,243255,0.0
2017-07-18,165.85,168.2,165.08,167.7797,235433,0.0
2017-07-19,168.2,168.2,166.73,167.31,184101,0.0
2017-07-20,166.59,168.24,166.25,166.63,227115,0.0
2017-07-23,166.78,170.56,166.73,170.26,246358,0.0
2017-07-24,170.56,171.37,166.11,166.54,393419,0.0
2017-07-25,165.93,167.64,165.93,166.83,201291,0.0
2017-07-26,166.81,167.4,162.5,164.41,233824,0.0
2017-07-27,165.6,168,164.56,167.52,333686,0.0
2017-07-30,168.07,169.24,165.81,166.46,384922,0.0
2017-07-31,163.84,165.41,153.39,154.67,1064291,0.0
2017-08-01,154.52,156.57,150.49,151.19,823581,0.0
2017-08-02,151.44,155.33,151.19,154.05,556835,0.0
2017-08-03,154.73,155.2,151.56,152.6,330963,0.0
2017-08-06,152.9,155.56,152.59,155.47,342645,0.0
2017-08-07,154.83,156.47,153.662,154.81,337498,0.0
2017-08-08,154.33,155.39,153.52,154.52,261549,0.0
2017-08-09,154.28,154.69,150.35,151.06,370421,0.0
2017-08-10,151.71,153.92,151.4,153,311142,0.0
