Date,Open,High,Low,Close,Volume,OpenInterest
2017-06-01,36.33,36.34,36,36.32,15969680,0.0
2017-06-04,36.3,36.5,36.2,36.34,9296877,0.0
2017-06-05,36.16,36.45,35.98,36.13,15372176,0.0
2017-06-06,36.14,36.57,36.1,36.25,12262627,0.0
2017-06-07,36.34,36.53,36.16,36.48,13219190,0.0
2017-06-08,36.5,36.56,35.31,35.71,28011634,0.0
2017-06-11,35.59,36.01,35.41,35.73,18984547,0.0
2017-06-12,35.68,35.95,35.53,35.88,17802158,0.0
2017-06-13,35.99,36.05,35.22,35.53,16169084,0.0
2017-06-14,35.21,35.48,35.14,35.31,14927768,0.0
2017-06-15,35.28,35.33,35.01,35.2,21096374,0.0
2017-06-18,35.61,35.68,35.32,35.5,13820669,0.0
2017-06-19,35.45,35.45,34.84,34.86,18091704,0.0
2017-06-20,34.37,34.6,34.09,34.58,21670124,0.0
2017-06-21,34.56,34.63,34.29,34.36,17822279,0.0
2017-06-22,34.22,34.55,34.095,34.19,18067250,0.0
2017-06-25,34.26,34.51,34.03,34.08,16603269,0.0
2017-06-26,34,34.145,33.65,33.66,23379545,0.0
2017-06-27,33.77,34.24,33.74,34.19,15667253,0.0
2017-06-28,33.92,34.1,33.34,33.55,20442850,0.0
2017-06-29,33.87,33.93,33.535,33.74,19768768,0.0
2017-07-02,33.51,34.03,33.43,33.45,9758384,0.0
2017-07-04,33.52,34.43,33.485,34.34,24603500,0.0
2017-07-05,34.12,34.29,33.56,33.63,17578745,0.0
2017-07-06,33.7,34.12,33.7,33.89,14729040,0.0
2017-07-09,33.25,33.74,33.23,33.645,21574062,0.0
2017-07-10,33.64,33.93,33.4311,33.91,15789219,0.0
2017-07-11,34.28,34.39,33.94,34.25,19394885,0.0
2017-07-12,34.33,34.4,34.12,34.25,10185222,0.0
2017-07-13,34.46,34.71,34.265,34.67,12004657,0.0
2017-07-16,34.74,34.74,34.36,34.48,11423067,0.0
2017-07-17,34.43,34.58,34.25,34.53,11720185,0.0
2017-07-18,34.68,34.68,34.46,34.56,9766932,0.0
2017-07-19,34.54,34.84,34.475,34.76,10640454,0.0
2017-07-20,34.6,34.82,34.395,34.73,14555325,0.0
2017-07-23,34.76,34.8,34.38,34.5,12440846,0.0
2017-07-24,34.55,34.735,34.4,34.66,13661932,0.0
2017-07-25,34.7,34.97,34.59,34.75,13341457,0.0
2017-07-26,34.78,35.25,34.67,34.95,28387136,0.0
2017-07-27,35.11,35.86,35,35.3,31476271,0.0
2017-07-30,35.46,35.74,35.32,35.48,17505101,0.0
2017-07-31,35.64,36.43,35.57,36.3532,34263136,0.0
2017-08-01,36.29,36.67,36.055,36.64,28615787,0.0
2017-08-02,36.5,36.59,36.15,36.48,21711335,0.0
2017-08-03,36.55,36.56,36.1,36.29,16449568,0.0
2017-08-06,36.4,36.55,36.22,36.41,13864084,0.0
2017-08-07,36.37,36.7,36.3,36.41,18814709,0.0
2017-08-08,36.28,36.66,36.02,36.59,20202367,0.0
2017-08-09,36.4,36.56,36.11,36.12,19433989,0.0
2017-08-10,36.17,36.4,35.79,35.86,15587192,0.0
2017-08-13,36.12,36.47,36.08,36.34,13547103,0.0
2017-08-14,36.3,36.32,35.815,35.99,16073136,0.0
2017-08-15,36.03,36.07,35.56,35.81,17771226,0.0
2017-08-16,35.6,35.68,35.17,35.17,15922932,0.0
2017-08-17,35.29,35.31,34.99,35.01,13269284,0.0
2017-08-20,35.09,35.28,34.7,34.92,15753469,0.0
2017-08-21,35.01,35.19,34.62,34.65,21677288,0.0
2017-08-22,34.54,34.81,34.38,34.66,13962574,0.0
2017-08-23,34.7,34.89,34.55,34.7,10944646,0.0
2017-08-24,34.82,34.93,34.58,34.68,10229422,0.0
2017-08-27,34.78,34.8,34.59,34.65,11390032,0.0
2017-08-28,34.51,34.75,34.455,34.73,13769490,0.0
2017-08-29,34.74,34.96,34.63,34.9,11153147,0.0
2017-08-30,34.94,35.18,34.87,35.07,11909873,0.0
2017-08-31,35.24,35.39,35.07,35.09,9258119,0.0
2017-09-04,35.02,35.33,34.93,35.03,15950738,0.0
2017-09-05,35.22,35.94,35.11,35.77,21157284,0.0
2017-09-06,35.88,35.95,35.33,35.53,12676683,0.0
2017-09-07,35.42,35.54,35.08,35.18,11104446,0.0
2017-09-10,35.47,36,35.14,35.78,13209444,0.0
2017-09-11,35.84,36.34,35.74,36.09,14123265,0.0
2017-09-12,36,36.4,35.97,36.33,11576921,0.0
2017-09-13,36.19,36.695,36.16,36.48,11541745,0.0
2017-09-14,36.53,37.08,36.22,36.96,23127520,0.0
2017-09-17,37,37.33,36.8,37.01,15449704,0.0
2017-09-18,37.24,37.295,37.02,37.23,16561193,0.0
2017-09-19,37.23,37.29,36.655,37.06,14084112,0.0
2017-09-20,36.99,37.27,36.85,37.21,14900284,0.0
2017-09-21,36.95,37.22,36.95,37.16,17335526,0.0
2017-09-24,37.05,37.23,36.85,37.17,14886960,0.0
2017-09-25,37.23,37.64,37,37.505,23961595,0.0
2017-09-26,37.62,37.69,37.1,37.53,21791118,0.0
2017-09-27,37.32,37.88,37.29,37.85,14954180,0.0
2017-09-28,37.83,38.15,37.7,38.08,17836855,0.0
2017-10-01,38.12,39.09,38.08,39.07,31961256,0.0
2017-10-02,38.95,39.7,38.95,39.38,28466051,0.0
2017-10-03,39.39,39.4,38.8606,39.33,24168331,0.0
2017-10-04,39.51,39.65,39.21,39.54,13390279,0.0
2017-10-05,39.56,39.89,39.42,39.62,14205402,0.0
2017-10-08,39.68,39.88,39.52,39.86,11179329,0.0
2017-10-09,39.93,39.95,39.38,39.65,21302130,0.0
2017-10-10,39.52,39.67,39.06,39.29,24728224,0.0
2017-10-11,39.35,39.39,38.98,39.19,13074877,0.0
2017-10-12,39.44,39.81,39.28,39.68,12591740,0.0
2017-10-15,39.71,39.79,39.44,39.76,9907438,0.0
2017-10-16,39.56,39.865,39.37,39.78,12046047,0.0
2017-10-17,39.8,40.29,39.6,40.26,17282338,0.0
2017-10-18,39.98,40.33,39.83,40.11,15047035,0.0
2017-10-19,40.34,40.45,40.1,40.42,13057849,0.0
2017-10-22,40.49,41.04,40.395,40.83,20960868,0.0
2017-10-23,40.97,41.05,40.72,40.98,15633324,0.0
2017-10-24,40.87,41.055,40.49,40.78,19389606,0.0
2017-10-25,40.98,41.575,40.71,41.38,29247427,0.0
2017-10-26,43.3,45,43.1,44.4,72370180,0.0
2017-10-29,44.48,45.19,43.88,44.37,37448406,0.0
2017-10-30,45.2,45.8,44.65,45.49,38277201,0.0
2017-10-31,45.97,46.71,45.59,46.71,39420425,0.0
2017-11-01,46.61,47.23,46.213,47.09,29467372,0.0
2017-11-02,47.23,47.3,45.6,46.34,30098839,0.0
2017-11-05,46.6,46.74,46.09,46.71,24402950,0.0
2017-11-06,46.7,47.09,46.39,46.78,16629723,0.0
2017-11-07,46.62,46.7,46.28,46.7,13925592,0.0
2017-11-08,46.05,46.39,45.65,46.29,20597187,0.0
2017-11-09,46.08,46.09,45.38,45.58,19404311,0.0
2017-11-12,45.26,45.94,45.25,45.75,13461557,0.0
2017-11-13,45.7,45.92,45.32,45.87,14060852,0.0
2017-11-14,45.39,45.805,45.1725,45.47,13392672,0.0
2017-11-15,45.64,46.07,45.46,45.64,16243506,0.0
2017-11-16,45.63,45.63,44.62,44.63,29044695,0.0
2017-11-19,44.73,45.115,44.5,44.62,18214932,0.0
2017-11-20,44.72,45.22,44.71,44.94,13027092,0.0
2017-11-21,44.94,44.95,44.535,44.64,11061111,0.0
2017-11-23,44.55,44.775,44.43,44.73,4677036,0.0
2017-11-26,44.42,44.61,44.2736,44.49,10578446,0.0
2017-11-27,44.65,44.84,44.32,44.73,15847438,0.0
2017-11-28,44.85,45.09,43.77,43.95,22060796,0.0
2017-11-29,44.36,45.2,44.33,44.83,21283045,0.0
2017-11-30,44.66,44.84,43.53,44.67,20382942,0.0
2017-12-03,45.02,45.3,44.33,44.49,22207078,0.0
2017-12-04,44.6,44.9,43.23,43.43,22772126,0.0
2017-12-05,43.14,43.72,42.67,43.45,16620708,0.0
2017-12-06,43.46,43.6,42.78,43.08,19395176,0.0
2017-12-07,43.35,43.58,43.11,43.35,15423341,0.0
2017-12-10,43.28,43.78,43.25,43.66,14199873,0.0
2017-12-11,43.47,43.62,43.08,43.33,12247261,0.0
2017-12-12,43.65,43.66,43.24,43.34,14389628,0.0
2017-12-13,43.43,43.57,43.015,43.27,14160238,0.0
2017-12-14,43.41,44.84,43.07,44.59,31648888,0.0
2017-12-17,45.1,46.35,45.04,46.28,36067415,0.0
2017-12-18,46.24,47.26,45.89,47.05,31521965,0.0
2017-12-19,47.47,47.64,46.66,47.64,31887041,0.0
2017-12-20,47.54,47.59,46.56,46.81,31878953,0.0
2017-12-21,46.33,47.02,46.02,46.75,28156189,0.0
2017-12-25,46.28,46.47,45.95,46.08,11004176,0.0
2017-12-26,46.11,46.36,46,46.1,8001708,0.0
2017-12-27,46.36,46.36,45.95,46.22,7297523,0.0
2017-12-28,46.21,46.49,46.09,46.19,10118572,0.0
2018-01-01,46.41,46.9,46.21,46.83,14092948,0.0
2018-01-02,45.47,46.21,43.65,45.25,102910969,0.0
2018-01-03,43.58,44.65,42.69,44.43,79696923,0.0
2018-01-04,44.5,45.15,43.9,44.7,36328289,0.0
2018-01-07,44.27,44.84,43.96,44.72,23813059,0.0
2018-01-08,44.69,44.84,43.49,43.62,34473425,0.0
2018-01-09,43.37,43.6,42.44,42.5,39016832,0.0
2018-01-10,42.8,43.58,42.45,43.42,24169302,0.0
2018-01-11,43.45,43.6,43.01,43.22,23979770,0.0
2018-01-15,43.55,43.79,42.885,43.14,22583325,0.0
2018-01-16,43.54,44.45,43.51,44.4,23083202,0.0
2018-01-17,44.4,44.735,44.17,44.485,17247850,0.0
2018-01-18,44.56,44.89,44.25,44.81,18590708,0.0
2018-01-21,44.8,45.79,44.79,45.74,19781745,0.0
2018-01-22,45.81,46.09,45.63,46.07,14799140,0.0
2018-01-23,45.9,46.13,44.96,45.51,22935817,0.0
2018-01-24,45.88,46.37,45.17,45.31,26811638,0.0
2018-01-25,48.38,50.15,47.47,50.08,69943223,0.0
2018-01-28,49.63,50.85,49.37,49.98,34508840,0.0
2018-01-29,49.48,50.06,48.74,48.79,25374593,0.0
2018-01-30,49.22,49.25,47.56,48.16,31189441,0.0
2018-01-31,47.695,48.47,47.45,47.64,20430019,0.0
2018-02-01,47.32,47.79,46.1,46.15,21737781,0.0
2018-02-04,46.35,47.26,44.5,44.52,38930903,0.0
2018-02-05,44.02,44.93,43.0302,44.9,49316570,0.0
2018-02-06,44.58,46.3,44.34,45.2,32176478,0.0
2018-02-07,45.28,45.42,42.74,42.76,35854784,0.0
2018-02-08,43.5,44.28,42.04,43.9,40491115,0.0
2018-02-11,44.16,45.16,44.09,44.84,23065104,0.0
2018-02-12,44.59,44.775,44.255,44.42,15465015,0.0
2018-02-13,44.07,45.51,44.04,45.38,16127699,0.0
2018-02-14,45.87,45.99,44.95,45.92,16044950,0.0
2018-02-15,45.83,46.59,45.51,45.54,18044580,0.0
2018-02-19,45.46,46.71,45.39,46.32,20277868,0.0
2018-02-20,46.67,47.06,45.92,45.94,19701883,0.0
2018-02-21,46.14,46.56,45.62,45.82,13923609,0.0
2018-02-22,46.34,47.79,46.305,47.76,20614698,0.0
2018-02-25,48.22,49.13,48.1,49.12,20918552,0.0
2018-02-26,49.36,50.9,49.31,49.92,34541505,0.0
2018-02-27,50.18,50.34,49.28,49.3,23727249,0.0
2018-02-28,49.5,49.715,47.47,47.83,30863346,0.0
2018-03-01,47.2,49.05,46.96,48.99,28344714,0.0
2018-03-04,48.49,49.795,48.041,49.75,24227368,0.0
2018-03-05,50.16,51.33,50.15,50.71,32894661,0.0
2018-03-06,50.18,51.485,50.1,51.32,25181632,0.0
2018-03-07,51.76,52.08,50.47,50.73,23778508,0.0
2018-03-08,51.23,52.3,51,52.1801,25067229,0.0
2018-03-11,51.86,51.95,50.5,51.53,25202070,0.0
2018-03-12,52.52,53.78,51.39,51.76,36014704,0.0
2018-03-13,52.06,52.175,51.31,51.87,19757397,0.0
2018-03-14,52.21,52.3,50.88,50.88,19721545,0.0
2018-03-15,50.99,51.7,50.99,51.14,24155285,0.0
2018-03-18,50.75,51.23,49.93,50.84,22681646,0.0
2018-03-19,50.88,51.81,50.85,51.55,17416328,0.0
2018-03-20,51.55,52.17,51.17,51.57,18088320,0.0
2018-03-21,50.73,51.96,50.6,50.83,25874213,0.0
2018-03-22,50.59,50.99,49.36,49.36,31727865,0.0
2018-03-25,50.74,52.49,50.32,52.47,31560563,0.0
2018-03-26,52.99,53.25,50.78,51.2,32158666,0.0
2018-03-27,50.6,50.7,49.01,49.6,32494536,0.0
2018-03-28,49.97,52.039,49.87,51.82,27747927,0.0
2018-04-01,51.69,52.04,47.29,48.9,56803268,0.0
2018-04-02,49,49.96,48.41,49.75,31544246,0.0
2018-04-03,48.1,50.16,48.01,49.99,24845675,0.0
2018-04-04,50.01,50.7199,49.97,50.3765,19876280,0.0
2018-04-05,49.79,50.4,48.5,48.79,21895118,0.0
2018-04-08,49.16,51.11,49.16,49.54,20816985,0.0
2018-04-09,51.13,51.49,50.34,51.26,20143190,0.0
2018-04-10,50.99,51.73,50.82,51.11,13078125,0.0
2018-04-11,51.49,53.2689,51.45,52.73,23148783,0.0
2018-04-12,53.06,53.21,51.6,51.85,17517814,0.0
2018-04-15,52.29,52.53,51.79,52.39,12722847,0.0
2018-04-16,52.92,53.7,52.9,53.54,15598574,0.0
2018-04-17,53.52,54.355,53.34,53.61,17866427,0.0
2018-04-18,52.95,52.96,51.61,52.22,21049632,0.0
2018-04-19,52.17,53.6105,50.88,51.53,21617193,0.0
2018-04-22,51.689,51.89,50.85,51.1,15596621,0.0
2018-04-23,51.87,53.65,51.14,51.46,37886235,0.0
2018-04-24,51.86,52.1,50.6,51.39,21098600,0.0
2018-04-25,52.26,53.27,52.07,53.05,26672333,0.0
2018-04-26,55.35,55.79,52.23,52.74,60067017,0.0
2018-04-29,52.56,53.37,51.21,51.63,28052717,0.0
2018-04-30,51.64,53.42,51.44,53.33,23699243,0.0
2018-05-01,53.08,53.2,52.15,52.31,19833427,0.0
2018-05-02,51.9,52.56,51.21,52.28,20684035,0.0
2018-05-03,51.65,52.84,51,52.78,19028582,0.0
2018-05-06,52.95,53.58,52.83,53.34,15655541,0.0
2018-05-07,53.27,53.63,52.8,53.62,13868614,0.0
2018-05-08,53.76,54.37,53.19,54.345,15241955,0.0
2018-05-09,54.57,55,54.1,54.975,14801771,0.0
2018-05-10,54.62,55.19,54.43,54.68,11388298,0.0
2018-05-13,54.88,55.2401,54.74,54.93,11924894,0.0
2018-05-14,54.59,54.75,53.56,53.92,16186326,0.0
2018-05-15,54.17,54.7,53.955,54.64,12027616,0.0
2018-05-16,54.55,55.44,54.42,54.81,13005878,0.0
2018-05-17,54.39,54.54,53.47,53.49,18921157,0.0
2018-05-20,54.36,55.22,53.86,54.31,20286021,0.0
2018-05-21,54.73,55.05,54.05,54.46,15866047,0.0
2018-05-22,54,55.23,53.84,55.22,15972716,0.0
2018-05-23,55.14,55.3,54.13,54.78,16502627,0.0
2018-05-24,54.72,55.5,54.54,55.44,14576880,0.0
2018-05-28,55.12,55.81,54.81,55.32,19688593,0.0
2018-05-29,55.89,56.2,55.615,55.675,20452164,0.0
2018-05-30,55.68,55.86,55.06,55.21,16224280,0.0
2018-05-31,55.82,57.1,55.8,57.08,22280743,0.0
2018-06-03,57.16,57.5995,56.775,56.82,18541057,0.0
2018-06-04,56.9,57.12,56.215,56.53,16772675,0.0
2018-06-05,56.53,57.06,56.08,57.05,17144814,0.0
2018-06-06,56.92,57,55.62,55.88,21234784,0.0
2018-06-07,55.52,55.7,54.66,55.045,25090088,0.0
2018-06-10,54.75,55.09,54.26,54.51,21496622,0.0
2018-06-11,54.88,55.04,54.22,54.82,18365968,0.0
2018-06-12,54.98,55.7,54.91,55.03,16910520,0.0
2018-06-13,55.42,55.86,55.18,55.55,16006277,0.0
2018-06-14,55.18,55.38,54.58,55.11,25007609,0.0
2018-06-17,54.21,54.3,52.34,53.21,32139606,0.0
2018-06-18,52.12,52.95,51.88,52.93,22978054,0.0
2018-06-19,53.19,53.745,52.69,53.46,16982921,0.0
2018-06-20,54.38,54.53,51.94,52.19,36702484,0.0
2018-06-21,52.59,53.09,52.3,52.45,22292377,0.0
2018-06-24,51.14,51.75,49.91,50.72,35279080,0.0
2018-06-25,49.95,50.41,49.36,49.67,31455689,0.0
2018-06-26,49.19,50.06,48.75,48.76,27827897,0.0
2018-06-27,48.59,49.49,48.5,49.25,24074776,0.0
2018-06-28,49.5,50.11,49.5,49.73,22537881,0.0
