Date,Open,High,Low,Close,Volume,OpenInterest
2017-06-01,307.743,309.166,306.408,307.996,451437,0.0
2017-06-04,307.086,308.653,305.82,307.336,417534,0.0
2017-06-05,306.046,309.906,306.033,307.913,387060,0.0
2017-06-06,309.626,310.913,308.073,310.66,462984,0.0
2017-06-07,311.666,312.383,308.833,309.94,427467,0.0
2017-06-08,311.596,311.766,302.071,305.45,691956,0.0
2017-06-11,303.666,304.8,292.166,301.096,1269957,0.0
2017-06-12,301.736,305.096,300.12,302.743,521652,0.0
2017-06-13,305.89,306,300.973,301.943,521283,0.0
2017-06-14,300.246,300.558,297.35,299.57,595458,0.0
2017-06-15,300.32,305.863,300.19,304.99,988608,0.0
2017-06-18,306.303,312.44,305.836,312.206,733356,0.0
2017-06-19,312.9,316.326,312.737,313.316,645444,0.0
2017-06-20,314.09,318.126,313.673,317.756,759453,0.0
2017-06-21,318.266,321.18,316.833,318.063,553359,0.0
2017-06-22,316.963,318.13,314.65,316.313,798663,0.0
2017-06-25,317.453,318.263,312.55,313.375,617913,0.0
2017-06-26,313.756,314.643,310.016,312.006,673383,0.0
2017-06-27,312.923,316.033,310.66,315.223,554529,0.0
2017-06-28,314.906,314.906,307.856,310.116,554961,0.0
2017-06-29,311.616,313.296,307.496,311.793,436824,0.0
2017-07-02,313.653,313.85,306.856,307.016,306159,0.0
2017-07-04,309.38,313.43,309.38,312.556,752283,0.0
2017-07-05,310.826,313.31,309.666,311.76,389811,0.0
2017-07-06,312.81,316.063,312.541,314.793,425748,0.0
2017-07-09,314.5,316.939,312.666,315.796,459177,0.0
2017-07-10,316.47,316.47,312.383,314.28,407340,0.0
2017-07-11,316.666,318.52,315.236,316.153,453933,0.0
2017-07-12,317.19,317.726,312.616,312.666,502230,0.0
2017-07-13,313.473,318.026,313.473,317.173,431607,0.0
2017-07-16,318.306,318.87,314.676,316.106,426810,0.0
2017-07-17,316.086,316.863,313.456,315.55,570996,0.0
2017-07-18,317.603,322.483,317.546,322.263,1023801,0.0
2017-07-19,323.01,324.885,320.686,323.896,1095129,0.0
2017-07-20,321.643,322.656,308.566,309.006,1899177,0.0
2017-07-23,308.93,317.796,308.93,316.583,951741,0.0
2017-07-24,317.243,317.886,313.493,315.08,599325,0.0
2017-07-25,315.36,316.723,313.106,314.78,506127,0.0
2017-07-26,314.69,315.333,307,310.556,781503,0.0
2017-07-27,310.166,314.333,309.02,313.82,690162,0.0
2017-07-30,314.503,315.33,311.133,312.616,465147,0.0
2017-07-31,312.99,315,311.376,313.703,376008,0.0
2017-08-01,313.133,313.786,309,311.183,556509,0.0
2017-08-02,309.776,313.116,309.356,311.276,586920,0.0
2017-08-03,312.74,312.74,307.893,310.44,657540,0.0
2017-08-06,309.903,312.378,309.206,312.333,659142,0.0
2017-08-07,311.05,312.666,309.833,311.613,425073,0.0
2017-08-08,311.463,315.25,310.186,314.57,529716,0.0
2017-08-09,313.16,314.363,309.296,309.93,433758,0.0
2017-08-10,310.093,314.72,310.093,314.176,464337,0.0
2017-08-13,317,322.42,317,321.55,570771,0.0
2017-08-14,322.406,330.146,321.67,328.373,830043,0.0
2017-08-15,328.69,330.513,327.002,329.643,485379,0.0
2017-08-16,329.25,331,324.07,324.406,652017,0.0
2017-08-17,324.51,330.766,322.863,328.109,798669,0.0
2017-08-20,327.35,328.333,324.805,327.56,770409,0.0
2017-08-21,327.633,332.666,327.446,332.273,572187,0.0
2017-08-22,331.273,331.273,327.733,328.876,406548,0.0
2017-08-23,328.986,330.54,327.733,330.21,422991,0.0
2017-08-24,330.35,330.99,325.446,326.07,559980,0.0
2017-08-27,327.326,329.556,326.856,328.676,364407,0.0
2017-08-28,327.233,329.733,325.67,329.226,357741,0.0
2017-08-29,327.37,332.163,327,331.933,410052,0.0
2017-08-30,332.003,335.22,330.793,334.79,552063,0.0
2017-08-31,333.966,336.206,332.456,335.723,346389,0.0
2017-09-04,334.736,342.026,334.736,340.593,686790,0.0
2017-09-05,341.256,343,337.003,341.1,360321,0.0
2017-09-06,340.8,345.95,340.763,345.33,321048,0.0
2017-09-07,344.283,351.666,341.666,347.546,636108,0.0
2017-09-10,347.716,351.333,345.366,348.483,651207,0.0
2017-09-11,348.193,349.41,347.266,348.253,346767,0.0
