Date,Open,High,Low,Close,Volume,OpenInterest
2017-06-01,92.94,93.55,92.38,93.54,1836763,0.0
2017-06-04,93.58,93.7,93.05,93.43,877924,0.0
2017-06-05,93.45,93.87,93.08,93.21,1175182,0.0
2017-06-06,93.45,93.88,93.14,93.78,1325533,0.0
2017-06-07,93.46,93.67,92.475,92.57,1480374,0.0
2017-06-08,92.44,92.54,90.46,90.82,2171866,0.0
2017-06-11,90.6,92.42,90.6,91.25,2014794,0.0
2017-06-12,90.68,91.66,90.17,91.59,1415455,0.0
2017-06-13,92.15,92.45,90.99,91.47,1290095,0.0
2017-06-14,91.16,91.84,91.01,91.64,1737242,0.0
2017-06-15,90.87,91.22,88.91,89.41,5154422,0.0
2017-06-18,89.96,90.24,89.02,89.83,2236892,0.0
2017-06-19,89.66,89.7722,89.14,89.28,1634321,0.0
2017-06-20,89.31,89.6975,89.11,89.4,1732256,0.0
2017-06-21,89.47,89.75,88.895,89.08,1369353,0.0
2017-06-22,89.4,89.4,88.57,88.84,2041465,0.0
2017-06-25,89.53,89.73,88.87,88.93,1325239,0.0
2017-06-26,88.76,88.95,87.48,87.53,2225190,0.0
2017-06-27,88.11,88.49,87.21,87.81,2221947,0.0
2017-06-28,87.69,87.8125,85.45,85.72,3959711,0.0
2017-06-29,86.85,87.27,85.5,85.619,2251290,0.0
2017-07-02,85.96,86.1,84.39,84.43,2121449,0.0
2017-07-04,84.45,84.76,83.645,83.79,3010445,0.0
2017-07-05,83.3,83.61,82.62,82.82,2700530,0.0
2017-07-06,82.58,83.9,82.2,83.03,2745568,0.0
2017-07-09,83.39,83.73,82.76,82.78,2109884,0.0
2017-07-10,82.2,83.99,82.2,83.77,3161912,0.0
2017-07-11,84.33,85.18,84.29,84.7,3209996,0.0
2017-07-12,84.74,85.04,84.335,84.86,1789284,0.0
2017-07-13,85.31,85.7,84.83,85.63,1859298,0.0
2017-07-16,85.68,85.75,85.09,85.61,1337452,0.0
2017-07-17,85.69,85.85,85.1732,85.6,1046633,0.0
2017-07-18,85.63,85.85,85.21,85.69,1751135,0.0
2017-07-19,86.1,86.1,85.665,85.9,2103069,0.0
2017-07-20,85.66,86.19,85.41,86.12,2169347,0.0
2017-07-23,86.12,86.31,85.6001,86.23,1180548,0.0
2017-07-24,86.24,87.61,86.145,87.43,2039733,0.0
2017-07-25,87.5,90.38,87.4101,87.66,2155322,0.0
2017-07-26,87.52,88.22,87.31,88.19,2241042,0.0
2017-07-27,87.8,88.07,87.07,87.64,1410694,0.0
2017-07-30,87.79,87.99,86.98,87.47,1776524,0.0
2017-07-31,87.38,87.77,86.55,86.67,2648853,0.0
2017-08-01,86.29,87.14,85.48,86.86,3133242,0.0
2017-08-02,86.9,87.599,86.33,86.48,3228193,0.0
2017-08-03,87.58,87.58,85.981,86.66,6752383,0.0
2017-08-06,86.54,87.23,86.26,86.97,2482312,0.0
2017-08-07,86.64,86.98,86.02,86.15,2279677,0.0
2017-08-08,86,86.74,85.51,86.46,2123429,0.0
2017-08-09,85.92,86.4,85.58,85.9,2463589,0.0
2017-08-10,85.9,86.57,85.64,86.47,2034677,0.0
2017-08-13,86.75,87.29,86.5,87.01,1843583,0.0
2017-08-14,87.05,87.2,86.5015,86.74,1366091,0.0
2017-08-15,86.48,86.68,86.28,86.5,1528556,0.0
2017-08-16,86.27,86.76,85.08,85.11,2075552,0.0
2017-08-17,84.92,85.28,84.16,84.49,2159110,0.0
2017-08-20,84.73,84.73,84.25,84.55,1325002,0.0
2017-08-21,84.76,85.13,84.65,85.04,1306241,0.0
2017-08-22,84.95,85.16,84.48,84.74,1327921,0.0
2017-08-23,84.5,84.59,82.69,82.79,2793016,0.0
2017-08-24,83.28,83.32,82.45,82.58,1795560,0.0
2017-08-27,82.78,83,81.625,82.14,1869432,0.0
2017-08-28,81.78,82.11,81.0875,81.43,2841136,0.0
2017-08-29,81.5,82.19,81.23,81.94,2694435,0.0
2017-08-30,81.1,82.1,80.29,80.75,4119005,0.0
2017-08-31,80.75,81.1,80.1,80.83,3796416,0.0
2017-09-04,80.91,81.5,80.55,81.14,2311520,0.0
2017-09-05,81.23,81.4,80.83,81.34,1844562,0.0
2017-09-06,81.45,81.72,80.83,81.46,2512368,0.0
2017-09-07,81.45,82.02,80.66,81.72,2734931,0.0
2017-09-10,82.1,82.56,81.96,82.54,1790388,0.0
2017-09-11,82.79,82.98,82.06,82.17,1728665,0.0
2017-09-12,82.26,82.35,81.67,81.9,2077323,0.0
2017-09-13,81.98,82,81,81.27,2171423,0.0
2017-09-14,81.33,81.88,80.52,81.41,4586449,0.0
2017-09-17,81.24,81.61,81.04,81.4,2081445,0.0
2017-09-18,81.3,81.42,80.6,80.82,1774653,0.0
2017-09-19,80.48,80.56,79.13,79.87,4631747,0.0
2017-09-20,79.89,80.46,78.94,79,2104991,0.0
2017-09-21,79.01,79.24,77.4,77.49,3997002,0.0
2017-09-24,77.6,78.45,77.47,78.43,3097300,0.0
2017-09-25,78.6,78.91,78.03,78.58,2041661,0.0
2017-09-26,78.64,78.8,77.8,78.22,2370256,0.0
2017-09-27,78.27,78.75,77.73,77.97,2136286,0.0
2017-09-28,78.03,78.269,77.44,77.54,2792096,0.0
2017-10-01,77.55,78.27,76.89,77.84,2852318,0.0
2017-10-02,77.95,78.14,77.29,77.83,1772147,0.0
2017-10-03,77.23,78.15,76.76,77.76,3092037,0.0
2017-10-04,77.95,78.485,77.7,78.25,2146235,0.0
2017-10-05,78.84,78.94,77.985,78.18,1856079,0.0
2017-10-08,78.29,78.62,77.195,77.33,1938035,0.0
2017-10-09,77.75,78.25,77.66,78.16,2248034,0.0
2017-10-10,78.06,78.66,77.92,78.18,1781387,0.0
2017-10-11,78.35,78.6478,78.04,78.14,2000872,0.0
2017-10-12,78.55,78.6,77.66,77.75,3085326,0.0
2017-10-15,77.79,78.095,77.48,77.65,2771019,0.0
2017-10-16,77.73,78.01,77.34,77.53,2667058,0.0
2017-10-17,77.41,77.462,76.67,77.1,2803903,0.0
2017-10-18,77,77.088,76.31,76.47,2978742,0.0
2017-10-19,76.77,77.1,76.12,76.71,3563234,0.0
2017-10-22,76.88,77.1,76.45,77.07,2234154,0.0
2017-10-23,77.12,77.42,76.93,77.21,2279553,0.0
2017-10-24,76.73,77.42,76.23,77.33,2916087,0.0
2017-10-25,77.59,77.94,77.15,77.3,2276063,0.0
2017-10-26,76.82,77.47,76.235,77.28,3049752,0.0
2017-10-29,77.2,77.22,75.21,75.27,4443685,0.0
2017-10-30,76.18,77.4,76.02,77.33,3822380,0.0
2017-10-31,77.71,77.86,77.08,77.62,3370736,0.0
2017-11-01,76.84,78.19,75.51,78.03,5652776,0.0
2017-11-02,77.87,78.19,77.57,78,3469474,0.0
2017-11-05,78.09,78.22,76.51,77.02,3248337,0.0
2017-11-06,76.93,78.64,76.49,78.19,2777163,0.0
2017-11-07,78.64,80.09,78.37,79.56,3385129,0.0
2017-11-08,79.26,79.9399,79.02,79.4,2717369,0.0
2017-11-09,78.97,79.88,78.97,79.7,1957906,0.0
2017-11-12,79.66,80.37,79.6,79.85,2545478,0.0
2017-11-13,79.54,79.88,79.03,79.38,2330843,0.0
2017-11-14,79.49,79.89,78.57,78.79,2747364,0.0
2017-11-15,78.72,80.16,78.5101,79.67,2202885,0.0
2017-11-16,79.63,80.07,79.275,79.62,2562554,0.0
2017-11-19,79.7,80.96,79.63,79.94,2801401,0.0
2017-11-20,80.12,80.29,79.76,80,1831734,0.0
2017-11-21,80.04,80.2,79.59,79.82,1740259,0.0
2017-11-23,80.25,80.35,79.54,79.75,943096,0.0
2017-11-26,79.76,80.04,79.45,79.61,2181206,0.0
2017-11-27,79.7,79.86,78.715,78.97,2580707,0.0
2017-11-28,78.95,81.56,78.83,81.09,3270202,0.0
2017-11-29,81.44,82.18,80.5,81.34,2528927,0.0
2017-11-30,80.95,81.6,80.29,81.2,2411788,0.0
2017-12-03,81.32,82.29,81.165,81.92,2013463,0.0
2017-12-04,82.05,82.48,80.51,80.63,2131438,0.0
2017-12-05,80.75,81.14,80.24,80.48,1750057,0.0
2017-12-06,80.17,80.5,79.31,79.36,1695856,0.0
2017-12-07,79.6,79.7055,77.935,78.48,3501890,0.0
2017-12-10,78.18,78.39,77.19,78.36,3048795,0.0
2017-12-11,78.33,79.09,78.12,78.95,2424431,0.0
2017-12-12,79.25,79.6,78.7699,79.29,1967687,0.0
2017-12-13,79.28,79.7,78.87,78.97,2129205,0.0
2017-12-14,79.8,79.83,79.01,79.53,3823788,0.0
2017-12-17,79.98,80.36,79.29,79.37,1793476,0.0
2017-12-18,79.52,79.82,78.39,78.49,2047104,0.0
2017-12-19,78.81,78.86,77.32,77.37,2973446,0.0
2017-12-20,77.84,78.17,77.07,77.88,2980579,0.0
2017-12-21,78.14,78.6,77.88,78.25,1955299,0.0
2017-12-25,78.12,78.47,78,78.11,1482765,0.0
2017-12-26,78.24,78.6,77.95,77.99,1255542,0.0
2017-12-27,78.22,78.29,77.72,77.92,1337802,0.0
2017-12-28,77.7,78.68,77.69,77.79,1693486,0.0
2018-01-01,78.22,78.31,76.88,77,2722233,0.0
2018-01-02,77.33,77.59,76.9,77.01,2559176,0.0
2018-01-03,77.23,78.22,77.06,77.95,2625896,0.0
2018-01-04,78.04,78.33,77.23,77.83,3328004,0.0
2018-01-07,77.82,78.58,77.82,78.48,2375462,0.0
2018-01-08,78.5,78.72,78.05,78.62,2296769,0.0
2018-01-09,78.65,78.65,77.4,77.86,2705585,0.0
2018-01-10,78.02,78.2,77.02,77.12,2757903,0.0
2018-01-11,77.35,77.57,76.6,77.34,3140988,0.0
2018-01-15,77.95,78.9204,77.56,78.65,3724010,0.0
2018-01-16,79.01,80.67,78.79,80.07,5310118,0.0
2018-01-17,80.16,80.6,79.02,79.28,2541595,0.0
2018-01-18,79.31,79.96,79.1,79.66,2702689,0.0
2018-01-21,79.82,80.45,79.76,80.18,2684586,0.0
2018-01-22,79.76,80.53,79.56,80.29,1896596,0.0
2018-01-23,80.5,80.59,79.71,79.87,2181906,0.0
2018-01-24,80,80.445,79.382,79.6646,1890190,0.0
2018-01-25,79.9,80,78.4,79.39,2677537,0.0
2018-01-28,79.13,79.88,78.39,78.41,2345540,0.0
2018-01-29,78.64,79.66,78.43,78.49,2363880,0.0
2018-01-30,78.61,78.88,77.85,78.38,2433731,0.0
2018-01-31,78.12,78.95,77.6,78.57,2342763,0.0
2018-02-01,78.12,78.34,76.65,77.17,4018642,0.0
2018-02-04,77.29,77.9385,74.175,74.27,4002628,0.0
2018-02-05,73.84,74.32,72.05,74.3,5759232,0.0
2018-02-06,73.84,74.71,73.52,73.54,5047550,0.0
2018-02-07,73.6,74.04,71.25,71.71,6507587,0.0
2018-02-08,72,72.66,70.2452,71.4,5408077,0.0
