Date,Open,High,Low,Close,Volume,OpenInterest
2017-06-01,102.9,105.74,102.22,103.27,1404969,0.0
2017-06-04,103.27,106.43,102.91,103.78,910948,0.0
2017-06-05,103.77,108.08,103.09,105.14,826116,0.0
2017-06-06,105.34,108.854,104.99,105.99,714733,0.0
2017-06-07,106.23,109.02,105.23,106.24,598891,0.0
2017-06-08,106.56,109.531,98.08,99.46,1411784,0.0
2017-06-11,98.06,99.41,95.71,98.65,1787919,0.0
2017-06-12,99.45,101.5794,97.68,98.92,745366,0.0
2017-06-13,98.94,100.94,95.22,96.12,1228004,0.0
2017-06-14,94.83,97.33,94.26,94.68,1188772,0.0
2017-06-15,94.76,98.34,94.49,95.29,1084690,0.0
2017-06-18,96.31,100.49,96.07,98.53,1057020,0.0
2017-06-19,98.37,100.86,95.08,95.17,916883,0.0
2017-06-20,95.36,98.1376,94.62,95.59,725927,0.0
2017-06-21,95.53,97.83,93.97,94.29,587317,0.0
2017-06-22,94.3,98.03,94.25,95.53,799364,0.0
2017-06-25,95.89,96.67,93.52,93.65,910281,0.0
2017-06-26,93.36,95.82,91.39,91.55,991040,0.0
2017-06-27,92.22,95.215,90.63,93.38,1234054,0.0
2017-06-28,93.01,93.01,88.84,90.23,1213359,0.0
2017-06-29,91.14,92.6,89.01,89.25,935293,0.0
2017-07-02,90.05,90.67,88.56,89.29,524050,0.0
2017-07-04,89.5,92.48,88.47,90.01,1104895,0.0
2017-07-05,89.58,92.56,88.68,90.2,828133,0.0
2017-07-06,90.91,94.9,90.67,92.24,856716,0.0
2017-07-09,92.33,95.33,91.53,93.27,802579,0.0
2017-07-10,93.28,96.5392,92.79,94.54,822681,0.0
2017-07-11,95.32,97.74,94.46,95.29,496220,0.0
2017-07-12,95.5,98.16,94.73,95.19,506827,0.0
2017-07-13,95.55,98.9901,95.33,97.18,675258,0.0
2017-07-16,97.53,99.995,95.9,96.68,549901,0.0
2017-07-17,96.6,99.57,95.71,97.37,428166,0.0
2017-07-18,98.17,101.16,98,98.89,815928,0.0
2017-07-19,99.16,101.59,97.98,99.19,370863,0.0
2017-07-20,98.47,100.7399,96.68,97.43,678650,0.0
2017-07-23,97.47,100.6394,97.36,97.74,537084,0.0
2017-07-24,97.51,100.128,96.47,96.68,796189,0.0
2017-07-25,96.07,100.7156,96.07,98.37,619398,0.0
2017-07-26,98.65,100.975,96.07,97.47,1123938,0.0
2017-07-27,95.34,96.54,91.89,92.07,1528969,0.0
2017-07-30,92.25,94.565,90.21,90.35,861417,0.0
2017-07-31,90.56,92.98,89.59,90.35,1482844,0.0
2017-08-01,90.82,90.98,87.69,87.79,1215058,0.0
2017-08-02,87.7,89.2599,86.31,86.77,1349804,0.0
2017-08-03,86.85,89.1099,86.24,86.64,900686,0.0
2017-08-06,87.48,92.41,86.82,89.74,1630139,0.0
2017-08-07,89.72,91.98,88.15,88.44,1024070,0.0
2017-08-08,87.87,91.72,87.29,89.22,682459,0.0
2017-08-09,88.54,90.95,85.75,85.97,854179,0.0
2017-08-10,86.52,90.59,86.51,88.71,713644,0.0
2017-08-13,89.82,91.93,89.36,89.84,946640,0.0
2017-08-14,89.79,91.06,88.86,89.37,544653,0.0
2017-08-15,89.37,91.94,88.79,90.22,539864,0.0
2017-08-16,89.84,91.43,88.13,88.15,625201,0.0
2017-08-17,88.46,90.82,87.69,88.63,807041,0.0
2017-08-20,88.3,89.2899,86.84,87.4,741797,0.0
2017-08-21,88.3,91.86,87.84,90.04,622750,0.0
2017-08-22,89.58,91.755,89.1,89.8,382974,0.0
2017-08-23,90.05,91.3099,88.22,88.67,750713,0.0
2017-08-24,89.05,91.3604,88.43,88.84,356290,0.0
2017-08-27,88.97,91.46,88.96,89.88,458557,0.0
2017-08-28,89.17,92.5,88.67,90.72,303937,0.0
