Date,Open,High,Low,Close,Volume,OpenInterest
2017-06-01,56.41,56.85,54.06,54.31,20825669,0.0
2017-06-04,54,54.09,52.7262,52.91,5166393,0.0
2017-06-05,52.38,52.62,51.52,52.06,3501988,0.0
2017-06-06,52.11,52.67,51.92,52.25,2090797,0.0
2017-06-07,52.24,53,51.7,51.72,1610881,0.0
2017-06-08,51.67,52.19,51.3,51.7,2536814,0.0
2017-06-11,51.54,52.3,51.3,51.9,1944184,0.0
2017-06-12,52.13,52.585,51.79,52.39,1908601,0.0
2017-06-13,53.25,53.92,52.87,53.09,2673109,0.0
2017-06-14,52.77,53.3,52.3,53.13,1615966,0.0
2017-06-15,52.97,53.31,52.305,52.97,1949818,0.0
2017-06-18,53.18,54.01,52.91,53.85,1779663,0.0
2017-06-19,53.96,53.96,52.36,52.51,2138872,0.0
2017-06-20,52.59,53.47,52.35,53.3,1570443,0.0
2017-06-21,53.24,54.43,53.12,54.25,1489379,0.0
2017-06-22,54.47,55.4,54.09,55.37,2467823,0.0
2017-06-25,55.53,56.2,55.12,55.51,2406828,0.0
2017-06-26,55.48,56.13,54.96,55.04,1743671,0.0
2017-06-27,55.29,56.3,55.1219,56.17,2765020,0.0
2017-06-28,57.38,59.44,57.01,59.13,6026747,0.0
2017-06-29,59.5,60.22,59.0615,59.656,2935189,0.0
2017-07-02,59.68,60.605,59.67,60.02,867768,0.0
2017-07-04,60,60.49,59.35,59.75,1523774,0.0
2017-07-05,59.39,59.55,57.62,57.99,1933780,0.0
2017-07-06,58.39,59.1,58.031,58.38,1126191,0.0
2017-07-09,58.23,58.855,57.51,58.67,1269325,0.0
2017-07-10,58.69,58.95,58.18,58.78,1134407,0.0
2017-07-11,58.9,59.17,58.22,58.73,956136,0.0
2017-07-12,58.88,59.69,58.62,59.33,1223260,0.0
2017-07-13,59.61,60,59.46,59.81,684369,0.0
2017-07-16,59.95,60.67,59.68,59.76,1288140,0.0
2017-07-17,59.49,60.0375,59.15,59.39,1127762,0.0
2017-07-18,59.92,61.6,59.48,61.36,1863572,0.0
2017-07-19,61.39,61.4825,60.73,61.13,1421758,0.0
2017-07-20,61.03,62.05,60.93,61.92,1872426,0.0
2017-07-23,61.59,62.26,61.44,62.01,1729147,0.0
2017-07-24,60.77,62.16,60.66,61.91,2147513,0.0
2017-07-25,61.71,61.8036,61.26,61.461,1047936,0.0
2017-07-26,61.26,61.91,60.42,61.47,1088158,0.0
2017-07-27,61.38,62.2,61.04,61.82,1164767,0.0
2017-07-30,61.98,61.98,60.94,61.61,1042950,0.0
2017-07-31,61.57,61.73,60.42,61.59,1010132,0.0
2017-08-01,61.55,61.82,60.935,61.23,800976,0.0
2017-08-02,60.84,61.57,60.41,60.495,1279463,0.0
2017-08-03,60.78,62.19,60.37,61.76,1396923,0.0
2017-08-06,61.9,62.91,61.76,62.51,1012609,0.0
2017-08-07,63,63.86,62.23,62.51,1172690,0.0
2017-08-08,62.08,62.49,61.5,61.89,822568,0.0
2017-08-09,61.25,61.495,60.1,60.26,1063815,0.0
2017-08-10,59.19,60.84,58.55,59.75,1195152,0.0
2017-08-13,60.03,60.56,59.75,59.9201,1362003,0.0
2017-08-14,59.31,60.9,58.45,59.49,2962454,0.0
2017-08-15,59.96,59.99,59.2,59.76,930233,0.0
2017-08-16,59.56,59.83,58.92,58.93,929025,0.0
2017-08-17,58.44,58.924,57.61,58.12,1331214,0.0
2017-08-20,59.67,60.47,57.96,59.45,3754165,0.0
2017-08-21,59.83,60.08,59.45,59.81,1135873,0.0
2017-08-22,59.53,60.5,59.44,60.35,959005,0.0
2017-08-23,60.75,61.48,59.81,60.03,1623584,0.0
2017-08-24,60.22,60.83,59.85,60.21,1006257,0.0
2017-08-27,60.69,61.11,59.76,60.14,1090982,0.0
2017-08-28,59.91,60.16,58.24,58.29,2744165,0.0
2017-08-29,58.46,58.9,56.87,57.61,3945255,0.0
2017-08-30,57.77,58.32,56.56,57.57,5163340,0.0
2017-08-31,61.22,62.58,60.5,61.69,10362810,0.0
2017-09-04,62.09,62.18,60.375,61.56,3184033,0.0
2017-09-05,61.48,61.99,60.56,61.51,1881105,0.0
2017-09-06,61.5,61.61,60.41,61.31,1415573,0.0
2017-09-07,61.02,63,60.69,62.34,2856502,0.0
2017-09-10,62.48,63.08,61.86,61.9,1429777,0.0
2017-09-11,62.19,62.2755,61.33,61.79,894371,0.0
2017-09-12,61.72,62.12,61.31,61.49,913025,0.0
2017-09-13,61.58,61.58,59.79,61.11,1625151,0.0
2017-09-14,61.23,61.375,59.995,60.6,1634505,0.0
2017-09-17,60.74,60.93,59.18,59.75,1696029,0.0
2017-09-18,59.33,59.79,58.01,58.94,2698851,0.0
2017-09-19,58.88,59.06,58.06,58.56,1275417,0.0
2017-09-20,58.31,58.85,58,58.6,742101,0.0
2017-09-21,57.9,58.7899,57.87,58.15,1282443,0.0
2017-09-24,57.89,58.36,57.19,57.4,1620467,0.0
2017-09-25,57.76,59.64,57.76,59.34,2559525,0.0
2017-09-26,59.33,60.2769,59.15,60.13,1614945,0.0
2017-09-27,60.02,60.94,59.91,60.27,1000938,0.0
2017-09-28,60.5,62.33,60.13,62.24,1874330,0.0
2017-10-01,62.17,63.21,61.7375,62.82,1786000,0.0
