Date,Open,High,Low,Close,Volume,OpenInterest
2017-06-01,108.89,110.51,108.76,110.06,2162212,0.0
2017-06-04,110.1,110.35,107.8,108.19,1625361,0.0
2017-06-05,107.32,107.51,104.92,104.98,3605442,0.0
2017-06-06,105.56,105.605,103.12,105.12,3188774,0.0
2017-06-07,104.56,105.17,102.4,105.07,2698990,0.0
2017-06-08,104.98,105.46,101.86,102.41,3028995,0.0
2017-06-11,101.79,102.49,100.77,102.07,4157898,0.0
2017-06-12,102.55,103.89,102.25,103.89,2093081,0.0
2017-06-13,104.38,104.91,102.8568,103.92,1843380,0.0
2017-06-14,103.35,104.82,102.54,104.76,1185232,0.0
2017-06-15,104.2,105.31,103.97,104.5,2495068,0.0
2017-06-18,105.01,106.31,104.64,105.94,1251859,0.0
2017-06-19,105.43,105.883,104.16,104.18,1237781,0.0
2017-06-20,104.32,104.819,103.67,104.13,1065211,0.0
2017-06-21,104.09,104.4,103.39,103.89,920713,0.0
2017-06-22,103.81,104.45,103.32,104.03,1382431,0.0
2017-06-25,104.07,105.15,103.51,103.93,1081449,0.0
2017-06-26,103.53,103.558,100.89,101.03,2043151,0.0
2017-06-27,101,102.51,100.47,101.97,1669330,0.0
2017-06-28,102.16,102.34,99.08,100.23,1876716,0.0
2017-06-29,101.16,101.22,100.28,100.31,1301581,0.0
2017-07-02,100.61,101,99.92,100.1,929607,0.0
2017-07-04,100.3,101.56,100.05,101.17,1773648,0.0
2017-07-05,100.45,100.75,99.38,99.63,1501942,0.0
2017-07-06,99.7,100.74,99.43,100.36,1378954,0.0
2017-07-09,100.23,100.89,99.56,100.71,1136473,0.0
2017-07-10,100.33,100.95,99.83,100.74,1460689,0.0
2017-07-11,101.63,102.05,100.68,100.81,1127822,0.0
2017-07-12,100.85,101.24,100.46,100.69,688455,0.0
2017-07-13,100.59,101.37,100.17,100.98,943597,0.0
2017-07-16,100.89,101.95,100.61,101.359,930617,0.0
2017-07-17,100.98,102.31,100.64,101.99,1007422,0.0
2017-07-18,101.88,102.61,101.451,102.24,784380,0.0
2017-07-19,102.14,102.93,101.91,102.39,965183,0.0
2017-07-20,102.05,103.06,102.02,102.83,951842,0.0
2017-07-23,103.03,103.12,102.61,102.7,1059029,0.0
2017-07-24,103.15,103.32,102.64,103.04,1218323,0.0
2017-07-25,103.39,104.84,102.47,103.05,2161841,0.0
2017-07-26,103.48,104.41,102.98,104.04,1387587,0.0
2017-07-27,103.64,104.6124,103.27,103.33,1408478,0.0
2017-07-30,103.75,104.97,103.57,104.2,833549,0.0
2017-07-31,104.8,105.55,104.61,105.14,954223,0.0
2017-08-01,104.38,104.74,102.05,103.48,1737804,0.0
2017-08-02,103.62,105.19,103.45,103.66,1490097,0.0
2017-08-03,104.07,105.05,103.65,105.01,1502337,0.0
2017-08-06,107.01,107.6299,105.7,106.16,3909555,0.0
2017-08-07,100.95,104.76,100.53,103.95,3860732,0.0
2017-08-08,103.1,103.2,101.21,101.35,2182929,0.0
2017-08-09,101.01,101.01,99.2,99.539,2848182,0.0
2017-08-10,99.5,100.16,98.86,99.4,1754338,0.0
2017-08-13,100.19,100.45,99.67,100.06,1355587,0.0
2017-08-14,100.32,101.04,99.93,100.41,1282650,0.0
2017-08-15,100.6,100.85,99.69,100.29,1570924,0.0
2017-08-16,100.18,100.18,97.8,97.84,2125678,0.0
2017-08-17,97.8,98.74,96.9,98.03,1281686,0.0
2017-08-20,98.16,99.205,97.99,99.08,992708,0.0
2017-08-21,99.21,102.4099,98.86,102.035,2078532,0.0
2017-08-22,101.15,101.6999,100.27,100.44,1630098,0.0
2017-08-23,100.56,101.03,99.58,99.95,911776,0.0
2017-08-24,100.82,100.97,100.15,100.67,852497,0.0
2017-08-27,100.99,100.99,100.24,100.72,919049,0.0
2017-08-28,99.77,100.54,99.581,100.24,910224,0.0
2017-08-29,100.76,103.75,100.56,103.64,1533391,0.0
2017-08-30,103.71,104.3497,102.81,103.58,1210291,0.0
2017-08-31,104.02,104.25,103.42,103.79,994455,0.0
2017-09-04,103.67,103.82,101.11,102.28,1396436,0.0
2017-09-05,102.68,102.86,101.22,101.8,932880,0.0
2017-09-06,102.13,102.24,101.21,101.76,1048235,0.0
2017-09-07,101.73,104.44,101.61,103.45,1459689,0.0
2017-09-10,104.06,106.2,103.82,104.63,2152730,0.0
2017-09-11,104.55,105.4799,104.29,105.069,988728,0.0
2017-09-12,105,106.92,104.71,106.77,1433991,0.0
2017-09-13,106.34,106.96,105.65,106.39,1267712,0.0
2017-09-14,105.97,105.97,104.39,105.41,1771788,0.0
2017-09-17,105.77,106.48,105.45,105.53,1331343,0.0
2017-09-18,105.58,107.43,105.072,107.36,1643394,0.0
2017-09-19,107.3,108.24,106.84,107.7,2722862,0.0
2017-09-20,107.84,108.5,107.33,107.57,1551283,0.0
2017-09-21,107.18,108.07,107.06,107.88,916436,0.0
2017-09-24,107.85,109.97,107.43,108.89,1589482,0.0
2017-09-25,109.07,109.65,107.96,108.07,2072422,0.0
2017-09-26,108.36,108.96,107.43,108.36,3095371,0.0
2017-09-27,108.15,110.06,107.96,110.01,1240783,0.0
2017-09-28,109.67,111.32,109.2,110.26,1868027,0.0
2017-10-01,110.35,111.46,109.7,110.52,1174936,0.0
2017-10-02,110.39,110.84,108.99,109.4,1208371,0.0
2017-10-03,109.25,109.54,108.31,108.81,1493619,0.0
2017-10-04,109.22,111.5,108.87,111.27,1921206,0.0
2017-10-05,111.24,111.77,110.74,111.74,1019540,0.0
2017-10-08,111.88,112.79,111.51,112.77,834643,0.0
2017-10-09,112.88,114.11,112.46,114.08,1230531,0.0
2017-10-10,113.89,114.41,113.69,114.1,1012604,0.0
2017-10-11,114.07,114.87,113.65,114.44,852140,0.0
2017-10-12,115,115.305,114.4,115.1,1283782,0.0
2017-10-15,115,115.4,113.815,114.74,1326113,0.0
2017-10-16,114.55,115.08,114.17,115.035,469467,0.0
2017-10-17,115.32,116.67,115.23,115.77,1374573,0.0
2017-10-18,115.35,115.41,114.54,115.21,1307390,0.0
2017-10-19,115.49,115.61,114.4,115.02,1421092,0.0
2017-10-22,115.06,115.52,114.71,115.31,1026429,0.0
2017-10-23,115.77,117.09,115.44,116.79,1307295,0.0
2017-10-24,116.11,117.04,115.57,116.34,1698722,0.0
2017-10-25,117.53,119.36,116.4,118.8,2242757,0.0
2017-10-26,117.41,119.425,117.27,118.85,1414550,0.0
2017-10-29,118.66,118.97,117.52,118.53,872259,0.0
2017-10-30,118.62,119.91,118.32,119.49,1090666,0.0
2017-10-31,120.51,120.92,119.6,120.17,1026669,0.0
2017-11-01,120.44,121.253,119.02,119.61,2273229,0.0
2017-11-02,119.69,121.58,119.61,121.55,1460148,0.0
