Date,Open,High,Low,Close,Volume,OpenInterest
2017-06-01,83.75,84.63,82.89,84.35,1551741,0.0
2017-06-04,84.55,85.55,84.41,84.51,1750387,0.0
2017-06-05,84.32,85.6,83.56,85.19,2290632,0.0
2017-06-06,85.56,86.51,85.32,86.3,1578856,0.0
2017-06-07,86.58,86.9,85.64,86.85,1160433,0.0
2017-06-08,87.25,87.49,81.72,83.47,2385711,0.0
2017-06-11,81.83,83.1,80.3,83.08,3240352,0.0
2017-06-12,83.63,84.5,82.05,83.53,2338641,0.0
2017-06-13,83.9,84.1,81.38,82.3,1522454,0.0
2017-06-14,81.06,81.84,80.71,81.56,1508111,0.0
2017-06-15,81.65,82.179,80.77,81.21,2198421,0.0
2017-06-18,81.96,83.04,81.81,82.62,1241491,0.0
2017-06-19,82.75,82.84,80.27,80.35,1796259,0.0
2017-06-20,80.67,81.175,79.89,80.83,3986301,0.0
2017-06-21,80.78,81.105,80.02,80.06,1985820,0.0
2017-06-22,80.22,81.71,79.8,81.59,1778904,0.0
2017-06-25,81.6,82.71,80.22,80.3,1108709,0.0
2017-06-26,80.05,80.42,78.66,78.71,1663067,0.0
2017-06-27,79.05,79.98,77.55,79.83,1969650,0.0
2017-06-28,79.25,79.3367,76.31,77.37,2385327,0.0
2017-06-29,77.83,78.27,76.96,77.18,1682649,0.0
2017-07-02,77.73,77.99,75.8,75.83,788118,0.0
2017-07-04,76.02,78.11,76.02,77.94,1982009,0.0
2017-07-05,77.2,78.18,76.5,77.14,1096998,0.0
2017-07-06,77.48,79.01,77.21,78.34,1320056,0.0
2017-07-09,78.39,79.075,77.95,78.77,807393,0.0
2017-07-10,78.76,79.63,78.61,79.13,735073,0.0
2017-07-11,79.93,81.25,79.5401,80.15,2180401,0.0
2017-07-12,80.38,80.585,79.35,79.49,1320335,0.0
2017-07-13,79.88,81.015,79.73,80.85,954593,0.0
2017-07-16,80.9,81.35,80.36,81.03,781488,0.0
2017-07-17,80.81,81.61,80.39,81.56,718693,0.0
2017-07-18,82.07,82.48,81.71,82.32,1172395,0.0
2017-07-19,82.51,83.38,82.05,83.05,1103224,0.0
2017-07-20,82,82.05,80.66,80.89,1735971,0.0
2017-07-23,81,81.24,80.38,80.58,1020171,0.0
2017-07-24,80.5,81.385,80.12,80.94,1022183,0.0
2017-07-25,81.55,83.24,81.4,82.69,1515129,0.0
2017-07-26,82.94,83.19,79.8,80.92,1383900,0.0
2017-07-27,80.67,80.9,80.07,80.7,746515,0.0
2017-07-30,81,81.36,79.95,80.04,948990,0.0
