Date,Open,High,Low,Close,Volume,OpenInterest
2017-03-14,0.21,0.21,0.19,0.21,145266,0.0
2017-03-15,0.181,0.21,0.181,0.21,70361,0.0
2017-03-16,0.1953,0.22,0.1905,0.22,77342,0.0
2017-03-19,0.21,0.23,0.21,0.2221,30423,0.0
2017-03-20,0.2101,0.23,0.21,0.2245,39081,0.0
2017-03-21,0.22,0.24,0.2083,0.24,31912,0.0
2017-03-22,0.24,0.24,0.205,0.24,5017,0.0
2017-03-23,0.21,0.24,0.21,0.2396,117084,0.0
2017-03-26,0.211,0.2501,0.206,0.2154,272576,0.0
2017-03-27,0.21,0.2297,0.21,0.2297,543,0.0
2017-03-28,0.21,0.2315,0.21,0.23,15292,0.0
2017-03-29,0.235,0.245,0.22,0.22,10600,0.0
2017-03-30,0.245,0.28,0.22,0.28,170917,0.0
2017-04-02,0.28,0.29,0.265,0.29,126370,0.0
2017-04-03,0.268,0.289,0.2603,0.289,61640,0.0
2017-04-04,0.27,0.335,0.27,0.335,205252,0.0
2017-04-05,0.335,0.445,0.326,0.375,357101,0.0
2017-04-06,0.38,0.46,0.38,0.42,291056,0.0
2017-04-09,0.42,0.48,0.415,0.43,98200,0.0
2017-04-10,0.455,0.48,0.43,0.43,56315,0.0
2017-04-11,0.435,0.4698,0.43,0.44,98052,0.0
2017-04-12,0.43,0.44,0.36,0.38,121592,0.0
2017-04-16,0.38,0.38,0.335,0.34,88341,0.0
2017-04-17,0.34,0.3649,0.34,0.36,14848,0.0
2017-04-18,0.3599,0.3599,0.335,0.35,29906,0.0
2017-04-19,0.33515,0.344,0.325,0.325,12933,0.0
2017-04-20,0.33,0.335,0.31,0.31,44962,0.0
2017-04-23,0.31,0.315,0.3016,0.31,43327,0.0
2017-04-24,0.311,0.3184,0.305,0.305,15367,0.0
2017-04-25,0.305,0.32,0.305,0.315,14228,0.0
2017-04-26,0.31495,0.37,0.31,0.35,88633,0.0
2017-04-27,0.3401,0.37,0.3202,0.35,32705,0.0
2017-04-30,0.35,0.35,0.34,0.34,13550,0.0
2017-05-01,0.34,0.38,0.34,0.38,47900,0.0
2017-05-02,0.3675,0.39,0.35,0.38,28058,0.0
2017-05-03,0.377,0.38,0.377,0.38,11475,0.0
2017-05-04,0.3502,0.43,0.3502,0.38,150684,0.0
2017-05-07,0.33,0.45,0.33,0.45,83508,0.0
2017-05-08,0.43,0.43,0.39,0.41,97267,0.0
2017-05-09,0.4239,0.4239,0.381,0.405,18678,0.0
2017-05-10,0.4226,0.45,0.3804,0.45,88903,0.0
2017-05-11,0.382,0.44,0.382,0.3935,37863,0.0
2017-05-14,0.42,0.42,0.386,0.4199,56516,0.0
2017-05-15,0.4099,0.4099,0.32,0.33,350421,0.0
2017-05-16,0.33,0.335,0.305,0.325,110993,0.0
2017-05-17,0.32,0.33,0.308,0.33,57714,0.0
2017-05-18,0.3051,0.33,0.2999,0.31,38860,0.0
2017-05-21,0.31,0.31,0.2928,0.2989,55795,0.0
2017-05-22,0.2994,0.2994,0.294,0.294,7201,0.0
2017-05-23,0.294,0.32,0.294,0.3105,44618,0.0
2017-05-24,0.301,0.3149,0.301,0.301,6689,0.0
2017-05-25,0.315,0.33,0.3135,0.3135,25716,0.0
2017-05-29,0.305,0.32,0.3,0.3175,77405,0.0
2017-05-30,0.3075,0.32,0.3,0.3,13690,0.0
2017-05-31,0.309,0.34,0.3,0.325,27102,0.0
2017-06-01,0.296,0.3461,0.296,0.32,24551,0.0
2017-06-04,0.2951,0.35,0.2951,0.33,22324,0.0
2017-06-05,0.2951,0.39,0.2951,0.38,28451,0.0
2017-06-06,0.3401,0.405,0.3401,0.405,21866,0.0
2017-06-07,0.39,0.39,0.37,0.39,49471,0.0
2017-06-08,0.3875,0.4,0.36,0.394,20779,0.0
2017-06-11,0.3655,0.4,0.3655,0.399,10293,0.0
2017-06-12,0.38505,0.4,0.3701,0.4,9142,0.0
2017-06-13,0.42,0.42,0.385,0.4,14169,0.0
2017-06-14,0.39175,0.39175,0.385,0.385,12,0.0
2017-06-15,0.3925,0.4,0.385,0.4,7338,0.0
2017-06-18,0.385,0.4,0.385,0.4,12562,0.0
2017-06-19,0.385,0.4,0.38,0.38,21265,0.0
2017-06-20,0.335,0.41,0.335,0.365,45156,0.0
2017-06-21,0.35,0.38,0.335,0.38,16324,0.0
2017-06-22,0.41,0.41,0.3351,0.39,7674,0.0
2017-06-25,0.39,0.39,0.338,0.338,10001,0.0
2017-06-26,0.39,0.39,0.3625,0.3625,2013,0.0
2017-06-27,0.335,0.38,0.335,0.376467,20327,0.0
2017-06-28,0.35,0.38,0.35,0.38,9607,0.0
2017-06-29,0.38,0.38,0.3351,0.38,24272,0.0
2017-07-02,0.38,0.38,0.3401,0.36005,57,0.0
2017-07-04,0.38,0.38,0.36,0.36,20833,0.0
2017-07-05,0.365,0.37,0.35,0.36,13848,0.0
2017-07-06,0.3699,0.3699,0.35,0.355,21642,0.0
2017-07-09,0.3351,0.3605,0.3156,0.3326,25880,0.0
2017-07-10,0.34,0.35,0.34,0.35,937,0.0
2017-07-11,0.35,0.35,0.32,0.33,11746,0.0
2017-07-12,0.325,0.34,0.32,0.33,8802,0.0
2017-07-13,0.33,0.365,0.33,0.355,28220,0.0
2017-07-16,0.3525,0.36,0.3301,0.36,10023,0.0
2017-07-17,0.3451,0.34995,0.3201,0.33,19156,0.0
2017-07-18,0.33,0.37,0.3201,0.3596,140497,0.0
2017-07-19,0.385,0.385,0.25,0.33,41819,0.0
2017-07-20,0.35,0.35,0.33,0.34,10468,0.0
2017-07-23,0.34,0.35,0.320399,0.320399,20718,0.0
2017-07-24,0.32,0.35,0.32,0.35,31156,0.0
2017-07-25,0.3525,0.36,0.3206,0.3365,11117,0.0
2017-07-26,0.3301,0.3757,0.3301,0.3757,4740,0.0
2017-07-27,0.3551,0.38,0.3301,0.38,6841,0.0
2017-07-30,0.38,0.38,0.3301,0.345,12230,0.0
2017-07-31,0.35,0.35,0.33,0.34,53004,0.0
2017-08-01,0.3301,0.345,0.27,0.2879,76180,0.0
2017-08-02,3,3,3,3,465,0.0
2017-08-03,5,5,3.1,3.5,2560,0.0
2017-08-06,3.5,3.8,3.25,3.5,4721,0.0
2017-08-07,3.5,3.5,3,3.035,4458,0.0
2017-08-08,3.02,3.02,2.48,2.48,6279,0.0
2017-08-09,2.34,2.715,2.34,2.65,2357,0.0
2017-08-10,2.44,2.76,2,2.76,9618,0.0
2017-08-13,2.7,2.7,2.7,2.7,2602,0.0
2017-08-14,2.775,2.99,2.6,2.66,1617,0.0
2017-08-15,2.68,2.87,2.68,2.68,800,0.0
2017-08-16,2.835,3.17,2.83,2.975,3400,0.0
2017-08-17,3.035,3.035,2.95,2.95,350,0.0
2017-08-20,2.83,3.17,2.68,3.15,1784,0.0
2017-08-21,3.44,3.44,3.44,3.44,990,0.0
2017-08-22,3,3.07,3,3.07,200,0.0
2017-08-23,3.35,3.35,3.01,3.01,1307,0.0
2017-08-24,2.91,3.3,2.67,2.934,18084,0.0
2017-08-27,2.505,3,2.505,2.8,5639,0.0
2017-08-28,2.6,2.8,2.4,2.7,4453,0.0
2017-08-29,2.55,2.926,2.55,2.926,1180,0.0
2017-08-30,2.71,2.905,2.5,2.9,2783,0.0
2017-08-31,2.94,2.953,2.5,2.94,4341,0.0
2017-09-04,3,3,2.53,2.54,121,0.0
2017-09-05,2.96,2.96,2.54,2.9,2242,0.0
2017-09-06,2.9,2.9,2.6,2.85,283,0.0
2017-09-07,2.71,2.9,2.6,2.9,2348,0.0
2017-09-10,2.6,2.86,2.6,2.84,4588,0.0
2017-09-11,2.61,2.84,2.31,2.5,13681,0.0
2017-09-12,2.35,2.83,2.32,2.72,1290,0.0
2017-09-13,2.4,2.445,2.4,2.445,21,0.0
2017-09-14,2.77,2.78,2.77,2.77,2657,0.0
2017-09-17,2.55,2.9,2.55,2.7,5609,0.0
2017-09-18,2.6,2.6,2.6,2.6,20,0.0
2017-09-19,2.7,2.7,2.58,2.58,4225,0.0
2017-09-20,2.465,2.69,2.465,2.6,497,0.0
2017-09-21,2.465,2.6,2.32,2.59,3098,0.0
2017-09-24,2.35,2.83,2.35,2.83,912,0.0
2017-09-25,2.65,2.65,2.45,2.65,731,0.0
2017-09-26,2.65,2.75,2.5,2.75,4008,0.0
2017-09-27,2.52,2.65,2.52,2.65,89,0.0
2017-09-28,2.6,2.7,2.457,2.7,3123,0.0
2017-10-01,2.46,2.49,2.46,2.49,15,0.0
2017-10-02,2.42,2.68,2.16,2.27,4873,0.0
2017-10-03,2.2,2.32,2.2,2.22,1162,0.0
2017-10-04,2.39,2.44,2.2,2.21,1614,0.0
2017-10-05,2.25,2.4,2.011,2.139,8216,0.0
2017-10-08,2.2,2.29,2.2,2.29,101,0.0
2017-10-09,2.22,2.4,2.22,2.4,201,0.0
2017-10-10,2.22,2.25,2.22,2.25,226,0.0
2017-10-11,2.2,2.4,2.2,2.4,4164,0.0
2017-10-12,2.25,2.4,2.25,2.25,523,0.0
2017-10-15,2.4,2.4,2.25,2.25,1640,0.0
2017-10-16,2.27,2.31,2.27,2.27,525,0.0
2017-10-17,2.3,2.4,2.27,2.4,1137,0.0
2017-10-19,2.274,2.31,2.27,2.31,31,0.0
2017-10-22,2.27,2.283,2.27,2.27,17,0.0
2017-10-23,2.27,2.273,2.27,2.273,327,0.0
2017-10-24,2.27,2.279,2.22,2.22,5138,0.0
2017-10-25,2.2,2.2,2.06,2.083,6768,0.0
2017-10-26,2.03,2.05,1.93,2.01,7552,0.0
2017-10-29,2.1,2.1,1.35,1.65,24234,0.0
2017-10-30,1.61,1.99,1.61,1.99,6880,0.0
2017-10-31,1.62,1.99,1.62,1.98,4331,0.0
2017-11-01,1.73,1.98,1.73,1.73,217,0.0
2017-11-02,1.73,1.73,1.73,1.73,13,0.0
2017-11-05,1.753,1.77,1.7115,1.7115,1834,0.0
2017-11-06,1.68,1.8,1.61,1.61,10988,0.0
2017-11-07,1.5,1.505,1.383,1.44,23141,0.0
2017-11-08,1.44,1.4815,1.44,1.46,2530,0.0
2017-11-09,1.45,1.716,1.45,1.49,2802,0.0
2017-11-12,1.73,1.79,1.58,1.79,1382,0.0
2017-11-13,1.769,1.769,1.58,1.58,121,0.0
2017-11-14,1.58,1.78,1.58,1.78,15,0.0
2017-11-15,1.53,1.7,1.33,1.41,2496,0.0
2017-11-16,1.4,1.85,1.4,1.53,11454,0.0
2017-11-19,1.53,1.75,1.53,1.75,20854,0.0
2017-11-20,1.7,1.8,1.534,1.8,11472,0.0
2017-11-21,1.8,1.8,1.6,1.6,209,0.0
2017-11-23,1.58,1.67,1.58,1.67,87,0.0
2017-11-26,1.8,2.15,1.8,2.15,17860,0.0
2017-11-27,2.05,2.13,1.82,2.08,12485,0.0
2017-11-28,2.03,2.13,2.03,2.13,1630,0.0
2017-11-29,2.03,2.08,2.03,2.03,196,0.0
2017-11-30,2.03,2.05,2.03,2.05,2564,0.0
2017-12-03,2.05,2.15,2.05,2.09,1642,0.0
2017-12-04,2.05,2.15,2.05,2.15,1114,0.0
2017-12-05,2.05,2.12,2.05,2.08,1969,0.0
2017-12-06,2.05,2.1,1.71,1.71,8544,0.0
2017-12-07,2,2,1.71,1.94,1902,0.0
2017-12-10,2,2.1,1.8,2.1,12814,0.0
2017-12-11,2,2.1399,1.95,2.03,2722,0.0
2017-12-12,1.82,2.09,1.82,2.05,4905,0.0
2017-12-13,2,2.1,2,2,335,0.0
2017-12-14,2,2.04,1.85,1.85,4277,0.0
2017-12-17,1.89,2,1.76,1.76,5517,0.0
2017-12-18,1.86,2,1.75,1.85,3302,0.0
2017-12-19,1.8,1.95,1.75,1.95,535,0.0
2017-12-20,1.86,2,1.86,1.96,3290,0.0
2017-12-21,1.96,2.12,1.75,1.95,5384,0.0
2017-12-25,1.975,1.975,1.85,1.86,250,0.0
2017-12-26,1.87,1.906,1.75,1.87,4200,0.0
2017-12-27,1.75,1.95,1.75,1.79,4118,0.0
2017-12-28,1.73,1.88,1.65,1.65,11571,0.0
2018-01-01,1.52,1.78,1.52,1.6,1221,0.0
2018-01-02,1.8,2.089,1.557,1.557,21759,0.0
2018-01-03,1.66,1.97,1.66,1.88,3117,0.0
2018-01-04,1.87,1.99,1.7,1.9699,7527,0.0
2018-01-07,1.96,1.96,1.65,1.92,5174,0.0
2018-01-08,1.65,1.898,1.65,1.898,226,0.0
2018-01-09,1.7,1.9,1.7,1.738,717,0.0
2018-01-10,1.72,1.83,1.72,1.72,172,0.0
2018-01-11,1.72,1.9,1.72,1.8,8217,0.0
2018-01-15,1.75,1.838,1.72,1.838,1590,0.0
2018-01-16,1.8,1.8,1.78,1.8,1000,0.0
2018-01-17,1.8,1.85,1.73,1.73,1516,0.0
2018-01-18,1.87,1.87,1.71,1.71,1921,0.0
2018-01-21,1.71,2.1,1.71,1.75,17234,0.0
2018-01-22,1.8,1.94,1.75,1.76,6102,0.0
2018-01-23,1.76,1.83,1.76,1.83,460,0.0
2018-01-24,1.8,1.8,1.71,1.71,460,0.0
2018-01-25,1.73,1.8,1.71,1.71,2109,0.0
2018-01-28,1.715,1.73,1.71,1.71,11116,0.0
2018-01-29,1.71,1.8,1.7,1.79,2773,0.0
2018-01-30,1.71,1.8,1.7,1.75,8182,0.0
2018-01-31,1.71,1.74,1.71,1.74,2275,0.0
2018-02-01,1.71,1.71,1.71,1.71,600,0.0
2018-02-04,1.71,1.73,1.71,1.71,3142,0.0
2018-02-05,1.71,1.75,1.71,1.71,5412,0.0
2018-02-06,1.71,1.7825,1.61625,1.7825,10333,0.0
2018-02-07,1.7,1.7,1.65,1.69375,61,0.0
2018-02-08,1.56,1.635,1.56,1.63,4451,0.0
2018-02-11,1.57,1.7,1.57,1.7,516,0.0
2018-02-12,1.57,1.57,1.57,1.57,27,0.0
2018-02-13,1.57,1.57,1.57,1.57,46,0.0
2018-02-14,1.68,1.68,1.58375,1.58375,342,0.0
2018-02-15,1.57,1.7,1.57,1.7,2228,0.0
2018-02-19,1.6,1.61875,1.6,1.6,1022,0.0
2018-02-20,1.62,1.69,1.55,1.655,1303,0.0
2018-02-21,1.69,1.699,1.61,1.61,706,0.0
2018-02-22,1.69,1.79,1.55,1.79,4138,0.0
2018-02-25,1.55,1.65,1.55,1.55,993,0.0
2018-02-26,1.55,1.6,1.55,1.6,4,0.0
2018-02-27,1.6,1.6,1.6,1.6,283,0.0
2018-02-28,1.6,1.65,1.6,1.6,206,0.0
2018-03-01,1.6,1.7,1.55,1.55,1803,0.0
2018-03-04,1.6,1.6,1.55,1.55,101,0.0
2018-03-05,1.55,1.55,1.55,1.55,319,0.0
2018-03-06,1.55,1.6,1.55,1.5563,655,0.0
2018-03-07,1.56,1.56,1.56,1.56,4,0.0
2018-03-08,1.6,1.6,1.52,1.52,126,0.0
2018-03-11,1.53875,1.55,1.53875,1.55,60,0.0
2018-03-12,1.53,1.6,1.53,1.56,1063,0.0
2018-03-13,1.55,1.55,1.22,1.31,6640,0.0
2018-03-14,1.5,1.5,1.36875,1.36875,1001,0.0
2018-03-15,1.425,1.5,1.25,1.5,1902,0.0
2018-03-19,1.27,1.5,1.27,1.5,4754,0.0
2018-03-20,1.5,1.5,1.5,1.5,1828,0.0
2018-03-21,1.55,1.55,1.255,1.5,5932,0.0
2018-03-22,1.49,1.5,1.1,1.5,8309,0.0
2018-03-25,1.33,1.5,1.33,1.5,925,0.0
2018-03-26,1.34,1.6,1.33,1.33,2834,0.0
2018-03-27,1.5,1.5,1.35,1.35,1078,0.0
2018-03-28,1.35,1.4,1.35,1.35,415,0.0
2018-04-01,1.35,1.47,1.35,1.47,616,0.0
2018-04-02,1.35,1.35,1.35,1.35,2531,0.0
2018-04-03,1.35,1.35,1.35,1.35,34,0.0
2018-04-04,1.35,1.4,1.35,1.35,510,0.0
2018-04-05,1.35,1.3625,1.35,1.3625,251,0.0
2018-04-08,1.35,1.35,1.35,1.35,523,0.0
2018-04-09,1.35,1.42,1.33,1.33,619,0.0
2018-04-10,1.33,1.42,1.33,1.42,108,0.0
2018-04-11,1.24,1.24,1.05,1.1,808,0.0
2018-04-12,1.15,1.41,1.15,1.2,2755,0.0
2018-04-15,1.16,1.41,1.16,1.22,665,0.0
2018-04-16,1.22,1.35,1.22,1.35,26,0.0
2018-04-17,1.31,1.31,1.05,1.2,33512,0.0
2018-04-18,1.08,1.205,1.05,1.12,11649,0.0
2018-04-19,0,1.12,0,1.01,2300,0.0
2018-04-22,1.07,1.07,1,1,4760,0.0
2018-04-23,0.9,0.9375,0.86,0.86,285,0.0
2018-04-24,0.85,0.86875,0.85,0.86,2761,0.0
2018-04-25,0.86,0.86,0.86,0.86,253,0.0
2018-04-26,0.86,0.88,0.86,0.88,12027,0.0
2018-04-29,0.88,0.9,0.88,0.88,39,0.0
2018-04-30,0.88,0.88,0.88,0.88,120,0.0
2018-05-01,0.99,0.99,0.88,0.88,2001,0.0
2018-05-02,0.9763,1,0.9763,1,3990,0.0
2018-05-03,0.88,1.03,0.88,1.03,1556,0.0
2018-05-06,1.02,1.03,0.92,1.02,1401,0.0
2018-05-07,0.88,1.01,0.88,1,1504,0.0
2018-05-08,1.02,1.02,1.02,1.02,15,0.0
2018-05-09,0.88,0.88,0.88,0.88,1,0.0
2018-05-10,0.9,0.9,0.9,0.9,317,0.0
2018-05-13,0.91,0.955,0.9,0.9,3299,0.0
2018-05-14,1,1,0.91,0.91,1919,0.0
2018-05-15,0.98,0.98,0.91,0.91,2295,0.0
2018-05-16,0.98,0.98,0.91,0.91,5600,0.0
2018-05-17,0.9,0.9,0.88,0.88,9626,0.0
2018-05-20,0.8801,0.89,0.86,0.86,3647,0.0
2018-05-21,0.86,0.86,0.86,0.86,103,0.0
2018-05-22,0,0.86,0,0.82,7382,0.0
2018-05-23,0.82,0.85,0.8,0.8,9204,0.0
2018-05-24,0.79,0.79,0.68,0.68,10446,0.0
2018-05-28,0.6,0.721,0.6,0.721,48,0.0
2018-05-29,0.72,0.8,0.72,0.78,5583,0.0
2018-05-30,0.65,0.75,0.65,0.73,8856,0.0
2018-05-31,0.73,0.7479,0.7,0.7479,3415,0.0
2018-06-03,0.75,0.75,0.6501,0.73,514,0.0
2018-06-04,0.7005,0.75,0.663,0.663,1563,0.0
2018-06-05,0.661,0.73,0.661,0.71,2003,0.0
2018-06-06,0.7,0.8325,0.7,0.8325,6101,0.0
2018-06-07,0.71,0.8066,0.71,0.8054,5106,0.0
2018-06-10,0.71,0.82,0.71,0.735,2270,0.0
2018-06-11,0.735,0.7494,0.735,0.7494,1173,0.0
2018-06-12,0.71,0.735,0.65,0.6501,16198,0.0
2018-06-13,0.7199,0.7199,0.65,0.65,4002,0.0
