Date,Open,High,Low,Close,Volume,OpenInterest
2017-05-30,17.55,17.55,17.165,17.24,8723430,0.0
2017-05-31,17.29,17.79,17.28,17.77,10607793,0.0
2017-06-01,17.77,17.78,17.42,17.59,7837125,0.0
2017-06-04,17.59,17.68,17.51,17.53,5459114,0.0
2017-06-05,17.36,17.925,17.36,17.805,6275184,0.0
2017-06-06,17.81,17.86,17.56,17.72,5967213,0.0
2017-06-07,17.68,17.87,17.6,17.84,7118438,0.0
2017-06-08,17.86,17.86,16.9037,17.26,7909350,0.0
2017-06-11,16.87,17.48,16.565,17.45,10734672,0.0
2017-06-12,17.6,17.84,17.45,17.74,5958350,0.0
2017-06-13,17.76,17.77,17.38,17.54,4189709,0.0
2017-06-14,17.17,17.59,17.06,17.41,6008227,0.0
2017-06-15,17.48,17.66,17.28,17.335,4482321,0.0
2017-06-18,17.49,17.63,17.35,17.455,4356674,0.0
2017-06-19,17.95,18.18,17.46,17.52,8135382,0.0
2017-06-20,17.64,17.73,17.449,17.535,3985678,0.0
2017-06-21,17.53,17.765,17.4,17.57,4525027,0.0
2017-06-22,17.55,17.78,17.41,17.67,3267731,0.0
2017-06-25,17.68,17.89,17.545,17.65,5512208,0.0
2017-06-26,17.54,17.54,16.79,16.795,7318713,0.0
2017-06-27,16.93,17.18,16.6,17.135,7601783,0.0
2017-06-28,17.03,17.19,16.6101,16.84,7380977,0.0
2017-06-29,16.82,16.84,16.37,16.51,12518564,0.0
2017-07-02,16.67,16.71,16.07,16.09,2875002,0.0
2017-07-04,16.18,16.37,15.92,16.32,12044192,0.0
2017-07-05,16.09,16.26,16.015,16.07,9079847,0.0
2017-07-06,16.08,16.18,15.915,16.13,10456107,0.0
2017-07-09,16.09,16.21,15.91,16.12,7808119,0.0
2017-07-10,16.1,16.2,15.9399,16.065,6453816,0.0
2017-07-11,16.24,16.54,16.23,16.37,6899951,0.0
2017-07-12,16.44,16.58,16.12,16.47,7214456,0.0
2017-07-13,16.49,16.61,16.43,16.58,3576685,0.0
2017-07-16,16.64,16.645,16.19,16.27,5985244,0.0
2017-07-17,16.18,16.3225,16,16.2,8382082,0.0
2017-07-18,16.27,16.525,16.13,16.485,3819195,0.0
2017-07-19,16.5,16.52,16.2,16.48,3406176,0.0
2017-07-20,16.41,16.41,16.01,16.24,6809344,0.0
2017-07-23,16.26,16.37,16.1342,16.22,2617828,0.0
2017-07-24,15.82,16.22,15.66,16.005,7587364,0.0
2017-07-25,16.07,16.205,15.96,16.05,3171696,0.0
2017-07-26,16.12,16.18,15.645,15.87,3419906,0.0
2017-07-27,15.81,15.87,15.5,15.59,5473495,0.0
2017-07-30,15.6,15.67,15.41,15.55,4086544,0.0
2017-07-31,15.59,15.8,15.405,15.77,7939136,0.0
2017-08-01,15.82,15.88,15.53,15.68,6459303,0.0
2017-08-02,15.73,15.77,15.42,15.5,3596913,0.0
2017-08-03,15.5,15.7,15.44,15.555,3576968,0.0
2017-08-06,15.6,15.695,15.52,15.68,2884912,0.0
2017-08-07,15.69,15.81,15.575,15.605,2762628,0.0
2017-08-08,15.51,15.61,15.405,15.505,2494130,0.0
2017-08-09,15.42,15.48,15.025,15.055,3447443,0.0
2017-08-10,15.05,15.419,14.87,15.385,3460594,0.0
2017-08-13,15.59,15.74,15.505,15.56,6409042,0.0
2017-08-14,15.57,15.865,15.49,15.82,4227286,0.0
2017-08-15,15.84,15.99,15.83,15.945,2213749,0.0
2017-08-16,15.89,15.97,15.47,15.55,3531012,0.0
2017-08-17,15.54,15.75,15.4967,15.66,3654747,0.0
2017-08-20,15.65,15.65,15.5,15.63,4701828,0.0
2017-08-21,15.69,15.96,15.67,15.92,4205276,0.0
2017-08-22,15.78,15.97,15.69,15.88,6994862,0.0
2017-08-23,16.01,16.1,15.71,15.87,5800445,0.0
