Date,Open,High,Low,Close,Volume,OpenInterest
2017-06-01,19.46,19.61,19.29,19.4,615332,0.0
2017-06-04,19.37,19.37,18.935,19.16,666582,0.0
2017-06-05,19.12,19.55,19.01,19.37,619767,0.0
2017-06-06,19.33,19.46,19.07,19.285,416394,0.0
2017-06-07,19.29,19.425,18.91,19.1,521731,0.0
2017-06-08,19.26,19.33,17.88,18.47,1110146,0.0
2017-06-11,18.22,18.2425,17.4,17.525,2319435,0.0
2017-06-12,17.89,18.12,17.45,17.67,1247201,0.0
2017-06-13,17.73,18.05,17.37,17.53,993372,0.0
2017-06-14,17.27,17.3823,16.9301,16.99,872626,0.0
2017-06-15,16.98,17.2,16.85,17.03,1084031,0.0
2017-06-18,17.26,17.73,17.15,17.68,1005401,0.0
2017-06-19,17.5,17.895,17.44,17.5,631407,0.0
2017-06-20,17.49,17.61,17.24,17.515,683999,0.0
2017-06-21,17.5,17.81,17.31,17.585,788224,0.0
2017-06-22,17.6,17.855,17.41,17.845,733684,0.0
2017-06-25,17.94,17.99,17.58,17.79,664503,0.0
2017-06-26,17.7,17.7999,17.48,17.495,595758,0.0
2017-06-27,17.65,17.65,17.25,17.58,712394,0.0
2017-06-28,17.45,17.56,16.57,17.38,1164001,0.0
2017-06-29,17.39,17.53,17.205,17.38,746501,0.0
2017-07-02,17.45,17.58,17.19,17.32,329022,0.0
2017-07-04,17.3,17.49,17.11,17.38,860906,0.0
2017-07-05,17.28,17.58,17.07,17.45,878798,0.0
2017-07-06,17.51,17.83,17.35,17.55,708151,0.0
2017-07-09,17.58,18.07,17.55,17.94,644636,0.0
2017-07-10,17.95,18.13,17.67,18.09,670680,0.0
2017-07-11,18.17,18.525,18.14,18.28,901648,0.0
2017-07-12,18.35,18.4,17.96,18.13,903029,0.0
2017-07-13,18.16,18.39,17.92,18.085,585314,0.0
2017-07-16,18.19,18.385,17.76,17.76,1328484,0.0
2017-07-17,17.85,19.07,17.85,18.75,2256521,0.0
2017-07-18,18.82,19.18,18.75,19.0189,1030407,0.0
2017-07-19,19.01,19.09,18.46,18.53,787018,0.0
2017-07-20,18.5,18.52,18.14,18.4,652641,0.0
2017-07-23,18.44,18.73,18.41,18.67,430773,0.0
2017-07-24,18.82,19.15,18.54,18.9,952932,0.0
2017-07-25,18.94,18.98,18.67,18.71,732219,0.0
2017-07-26,18.89,19.155,18.215,18.58,1356789,0.0
2017-07-27,18.49,18.9061,18.37,18.56,837765,0.0
2017-07-30,18.61,18.85,18.24,18.25,1558660,0.0
2017-07-31,18.28,18.54,18,18.24,2323482,0.0
2017-08-01,18.14,19.75,18.1,19.01,3379198,0.0
2017-08-02,19.06,19.23,18.76,18.88,1433855,0.0
2017-08-03,18.87,18.87,18.24,18.84,1339442,0.0
2017-08-06,18.81,19.2,18.75,18.8,971155,0.0
2017-08-07,18.8,18.97,18.37,18.89,767260,0.0
2017-08-08,18.78,18.91,18.51,18.76,580596,0.0
2017-08-09,18.62,18.72,18.06,18.18,1105427,0.0
2017-08-10,18.17,18.79,18.11,18.77,957600,0.0
2017-08-13,18.75,19.45,18.73,19.37,1386792,0.0
2017-08-14,19.46,19.67,19.21,19.38,1110219,0.0
2017-08-15,19.21,19.77,19.16,19.26,1180141,0.0
2017-08-16,19.19,19.19,18.57,18.63,1285900,0.0
2017-08-17,18.63,18.9601,18.38,18.79,505363,0.0
2017-08-20,18.83,18.89,18.53,18.685,600565,0.0
2017-08-21,18.87,18.98,18.66,18.8,617512,0.0
2017-08-22,18.7,18.8252,18.51,18.61,357732,0.0
2017-08-23,18.63,18.79,18.41,18.74,594442,0.0
2017-08-24,18.81,19.29,18.78,18.93,908331,0.0
2017-08-27,18.95,19.415,18.78,19.31,632511,0.0
2017-08-28,19.11,19.92,19.04,19.745,1584015,0.0
2017-08-29,19.8,21.38,19.8,21.21,4451997,0.0
2017-08-30,21.3,22.59,21.21,21.74,3219086,0.0
2017-08-31,21.85,22.93,21.71,22.34,2043093,0.0
2017-09-04,22.5,23.5,22.36,23.395,3345866,0.0
2017-09-05,23.57,23.99,23.21,23.25,2691486,0.0
2017-09-06,23.73,24.05,22.8,22.97,3146882,0.0
2017-09-07,22.52,22.71,22.02,22.17,2473786,0.0
2017-09-10,22.75,23.16,22.64,22.93,1497407,0.0
2017-09-11,23.16,23.67,23,23.65,855522,0.0
2017-09-12,23.51,23.68,22.65,23.05,1340364,0.0
2017-09-13,22.89,23.03,22.7,22.865,861312,0.0
2017-09-14,22.94,23.545,22.78,23.54,1131934,0.0
2017-09-17,23.68,23.8799,23.31,23.475,872313,0.0
2017-09-18,23.46,23.77,23.21,23.47,997946,0.0
2017-09-19,23.66,24.32,23.32,23.64,1532463,0.0
2017-09-20,23.61,23.88,22.8,23.85,1553065,0.0
2017-09-21,23.75,24.4,23.6,24.1511,1783715,0.0
2017-09-24,24.11,24.12,23.06,23.38,2127171,0.0
2017-09-25,23.29,23.63,22.9,23.45,1756706,0.0
2017-09-26,23.69,24.34,23.61,23.96,1520610,0.0
2017-09-27,23.77,23.97,23.21,23.41,1355061,0.0
2017-09-28,23.52,23.58,23.16,23.19,981075,0.0
2017-10-01,23.23,24.11,23.23,23.9,2424975,0.0
2017-10-02,24.1,25.26,24.0086,24.74,2371424,0.0
2017-10-03,24.97,25.51,24.72,25.2,1733110,0.0
2017-10-04,25.34,25.52,24.97,25.23,1248513,0.0
2017-10-05,25.16,25.57,24.9,25.39,678313,0.0
2017-10-08,25.57,25.76,25.22,25.3199,979283,0.0
2017-10-09,25.56,25.69,25.13,25.15,656367,0.0
2017-10-10,25.29,26.24,25.15,26.04,1528178,0.0
2017-10-11,26.1,26.17,25.68,25.74,1162654,0.0
2017-10-12,26.15,26.21,25.69,25.77,911454,0.0
2017-10-15,25.83,26.01,25.48,25.61,1078097,0.0
2017-10-16,25.69,26.185,25.6,26.08,734566,0.0
2017-10-17,26.14,26.14,25.41,25.51,808439,0.0
2017-10-18,25.42,25.7,25,25.59,810171,0.0
2017-10-19,25.66,25.96,25.5,25.71,617082,0.0
2017-10-22,25.84,25.96,25.07,25.125,754664,0.0
2017-10-23,25.26,25.6733,24.94,25.49,636128,0.0
2017-10-24,25.5,25.68,24.4,25.195,869540,0.0
2017-10-25,25.22,25.36,24.785,25.22,911032,0.0
2017-10-26,25.3,26.28,24.98,26.01,1532068,0.0
2017-10-29,26,26.42,25.75,26.22,1423003,0.0
2017-10-30,26.39,27.02,26.06,26.74,1012289,0.0
2017-10-31,26.96,26.96,26.33,26.79,1314929,0.0
2017-11-01,26.84,27.64,26.37,27.585,1523350,0.0
2017-11-02,27.59,27.92,26.86,26.99,2019425,0.0
2017-11-05,27.22,27.79,27.07,27.74,1537566,0.0
2017-11-06,27.76,27.99,26.68,27,3466733,0.0
2017-11-07,31,32.87,29.4,29.59,7383280,0.0
2017-11-08,29.14,29.74,28.17,28.55,3491005,0.0
2017-11-09,28.54,28.95,28.02,28.45,2190400,0.0
2017-11-12,28.25,29.2,28.15,28.69,2200162,0.0
2017-11-13,28.9,29.57,28.51,29.4,2263413,0.0
2017-11-14,29.2,29.46,28.78,29.155,1312260,0.0
2017-11-15,29.13,29.66,28.59,28.62,1285367,0.0
2017-11-16,28.63,29.09,28.46,28.82,1442301,0.0
2017-11-19,28.83,29.29,28.62,28.75,879846,0.0
2017-11-20,28.89,30.17,28.89,29.7701,1250376,0.0
2017-11-21,29.92,30.26,29.79,29.96,841326,0.0
2017-11-23,30.04,30.99,30.02,30.89,616433,0.0
2017-11-26,31,31.0401,30.28,30.61,1024828,0.0
2017-11-27,30.74,31.12,30.38,30.48,795727,0.0
2017-11-28,30.42,30.48,28.56,29.07,1695292,0.0
2017-11-29,29.14,29.83,29.105,29.41,1054225,0.0
2017-11-30,29.25,29.52,28.07,28.42,1637835,0.0
2017-12-03,28.74,29.2,27.59,28.21,1686905,0.0
2017-12-04,28.09,29.06,27.995,28.31,856165,0.0
2017-12-05,28.34,29.11,28.34,28.69,1121545,0.0
2017-12-06,28.78,29.95,28.73,29.84,1313636,0.0
2017-12-07,30.26,30.37,29.34,29.39,904935,0.0
2017-12-10,29.37,29.47,28.53,28.91,861601,0.0
2017-12-11,28.88,29.26,28.28,28.35,698109,0.0
2017-12-12,28.38,28.81,28.38,28.6,926061,0.0
2017-12-13,28.94,29.75,28.8,28.84,1261996,0.0
2017-12-14,29.19,29.66,28.88,29.43,1475599,0.0
2017-12-17,29.68,30.59,29.5,30.5,1087293,0.0
2017-12-18,31.65,31.66,30.62,30.83,1205574,0.0
2017-12-19,31.25,31.86,30.65,31.685,1144445,0.0
2017-12-20,31.85,32.06,31.33,31.91,955725,0.0
2017-12-21,31.82,32.03,31.405,31.97,874781,0.0
2017-12-25,31.76,31.91,31.39,31.68,754436,0.0
2017-12-26,31.59,32.15,31.14,31.595,984672,0.0
2017-12-27,31.58,31.6895,30.81,31.34,880213,0.0
2017-12-28,31.38,31.61,31.15,31.31,705044,0.0
2018-01-01,31.5,32.65,31.5,32.35,2143474,0.0
2018-01-02,32.97,33.08,31.6776,32,1752561,0.0
2018-01-03,32.34,32.492,31.52,32.12,1078977,0.0
2018-01-04,32.15,32.16,31.65,31.8,885854,0.0
2018-01-07,31.8,32.19,31.54,32.1,569418,0.0
2018-01-08,32.26,32.37,31.651,32.221,854994,0.0
2018-01-09,31.98,32.24,31.7979,31.945,586657,0.0
2018-01-10,32.05,32.305,31.56,32.3,592059,0.0
2018-01-11,32.39,32.7,32.1684,32.65,716923,0.0
2018-01-15,32.99,33.08,31.3,31.39,1500472,0.0
2018-01-16,31.51,31.7,31.01,31.55,728633,0.0
2018-01-17,31.36,31.62,30.8455,31.6,864384,0.0
2018-01-18,31.72,32.66,31.72,32.6,1467160,0.0
2018-01-21,32.65,33.95,32.14,33.82,1531726,0.0
2018-01-22,33.98,34.61,33.54,34.58,1131354,0.0
2018-01-23,34.67,34.75,33.33,33.54,1835542,0.0
2018-01-24,33.65,34.32,33.26,33.99,951915,0.0
2018-01-25,34.18,34.74,33.93,34.7201,614560,0.0
2018-01-28,34.7,35.28,34.1,35.15,1003668,0.0
2018-01-29,34.63,35.03,34.2529,34.74,1444424,0.0
2018-01-30,35.1,35.405,34.51,34.935,1105701,0.0
2018-01-31,34.8,35.51,34.52,35.25,1279761,0.0
2018-02-01,35,35.5024,34.65,34.67,1094993,0.0
2018-02-04,34.19,35.34,33.75,33.83,1681117,0.0
2018-02-05,33.01,34.35,32.4,33.53,1990763,0.0
2018-02-06,34.5,36.84,34.3,36.01,3946733,0.0
2018-02-07,36.25,36.679,33.41,33.6,3631241,0.0
2018-02-08,34,35.94,33.06,35.72,3286190,0.0
2018-02-11,35.92,38.5,35.45,37.99,3690885,0.0
2018-02-12,37.95,39.66,37.26,39.59,2906339,0.0
2018-02-13,39.85,42.48,39.4718,41.91,5223867,0.0
2018-02-14,42.27,42.5,40.43,41.37,2271672,0.0
2018-02-15,41.23,42.67,41.2,41.55,1818022,0.0
2018-02-19,41.45,42.5936,40.9,42.11,1541356,0.0
2018-02-20,40.95,43.52,40.8503,41.92,2012685,0.0
2018-02-21,41.91,42.4,40.86,40.95,1208027,0.0
2018-02-22,41.32,42.06,41.161,41.9,1189320,0.0
2018-02-25,41.96,42.21,41.02,41.57,1086018,0.0
2018-02-26,41.54,41.675,39.81,40.06,1529028,0.0
2018-02-27,40.16,41.12,39.77,40.05,1215730,0.0
2018-02-28,39.95,40.32,38.76,39.32,1772847,0.0
2018-03-01,38.92,40.99,38.48,40.83,2035735,0.0
2018-03-04,41,41.815,40.26,41.72,1355805,0.0
2018-03-05,42,42.69,41.09,42.43,1316195,0.0
2018-03-06,42.12,44.1461,41.65,43.81,1867767,0.0
2018-03-07,44.36,44.5,43.701,44.35,1364153,0.0
2018-03-08,44,44.82,43.88,44.79,1273398,0.0
2018-03-11,44.6,45.86,44.57,45.6,1292291,0.0
2018-03-12,45.77,46,44.22,45.435,1377025,0.0
2018-03-13,45.78,46.81,45.46,46.78,2308066,0.0
2018-03-14,45.96,46.78,45.84,46.72,1583144,0.0
2018-03-15,46.85,46.95,46.25,46.51,1134979,0.0
2018-03-18,46.2,46.71,44.73,45.64,2183522,0.0
2018-03-19,45.64,46.94,45.5,46.64,1308460,0.0
2018-03-20,46.13,46.4,45.19,45.7,1976349,0.0
2018-03-21,45,45.63,44.03,44.19,1174859,0.0
2018-03-22,44.06,45.86,44,44.5399,1266110,0.0
2018-03-25,45.51,46.59,45.15,46.45,1454110,0.0
2018-03-26,46.84,47.1,43.83,44.24,2267487,0.0
2018-03-27,43.7,44.08,42.57,43.16,1565145,0.0
2018-03-28,43.39,45.04,43.05,44.43,1390035,0.0
2018-04-01,44.45,44.45,42.12,42.7201,1720918,0.0
2018-04-02,42.84,43.39,41.93,42.16,1926241,0.0
2018-04-03,41.07,42.79,40.47,42.57,2855198,0.0
2018-04-04,43.13,43.31,42.0363,42.77,1397555,0.0
2018-04-05,41.85,42.46,41.25,42.12,928028,0.0
2018-04-08,42.59,44.3,42.581,43.42,953279,0.0
2018-04-09,44.21,45.2,43.89,44.64,1285634,0.0
2018-04-10,44.31,44.98,43.89,43.901,721219,0.0
2018-04-11,44.3,44.79,44.01,44.76,934995,0.0
2018-04-12,44.9,45.41,44.36,44.85,746499,0.0
2018-04-15,45.03,46.3,44.601,46.15,692457,0.0
2018-04-16,46.7,48.65,46.37,48.08,1864425,0.0
2018-04-17,47.86,48.11,46.71,47.14,1036996,0.0
2018-04-18,46.87,47.39,46.45,46.69,1011248,0.0
2018-04-19,46.98,47.49,46.53,46.73,665774,0.0
2018-04-22,47.2,47.47,46.25,46.39,748054,0.0
2018-04-23,46.6,47.3,44.68,45.29,2014327,0.0
2018-04-24,45.4,45.49,44.221,45.34,1336678,0.0
2018-04-25,45.83,47.34,45.73,46.67,1151885,0.0
2018-04-26,47,47.42,45.77,46.02,861261,0.0
2018-04-29,46.32,47.47,46.2597,47.14,738207,0.0
2018-04-30,47.22,47.32,35.8,36.7,19883206,0.0
2018-05-01,36.55,37.35,34.35,34.57,13280961,0.0
2018-05-02,34.664,36.79,34.5,36.27,5821271,0.0
2018-05-03,36.23,36.79,34.72,34.81,4418646,0.0
2018-05-06,34.925,36.13,34.86,35.39,3686761,0.0
2018-05-07,35.51,36.57,35.12,36.31,3612427,0.0
2018-05-08,37.78,37.92,33.48,36.85,10380587,0.0
2018-05-09,37.69,39.57,37.5,38.9,6256816,0.0
2018-05-10,38.8,40.85,38.7,40.49,4691618,0.0
2018-05-13,40.56,41.5,37.99,38.04,3448430,0.0
2018-05-14,37.85,39.37,37.85,39.29,2583839,0.0
2018-05-15,39.14,39.86,38.9,39.7,2205607,0.0
2018-05-16,39.38,41.04,39.38,40.35,1831569,0.0
2018-05-17,40.22,41.18,40.13,40.75,1868764,0.0
2018-05-20,40.85,41.16,39.9278,40.83,1427805,0.0
2018-05-21,40.7,41.32,39.94,40.02,1526080,0.0
2018-05-22,39.55,40.99,39.1,40.79,1400699,0.0
2018-05-23,40.8,41.54,40.55,41.2698,1464453,0.0
2018-05-24,41.27,42.36,41.258,41.83,1174445,0.0
2018-05-28,41.29,42,40.2,40.86,1882709,0.0
2018-05-29,41.35,42.41,40.82,41.75,1963730,0.0
2018-05-30,41.6,42.47,41.12,41.15,1813573,0.0
2018-05-31,41.36,42.67,41.36,42.58,1600090,0.0
2018-06-03,42.7,42.7,41.57,42.34,1252425,0.0
2018-06-04,42.4,43.18,42.19,42.76,1837560,0.0
2018-06-05,42.91,43.25,42.051,42.58,1335623,0.0
2018-06-06,42.62,42.75,40.48,40.87,2118614,0.0
2018-06-07,40.74,41.84,40.63,41.5,1493785,0.0
2018-06-10,43.53,44.07,41.92,42.1,2697638,0.0
2018-06-11,42.08,44.285,42.08,43.3675,1922690,0.0
2018-06-12,43.43,44,42.779,43.19,1362604,0.0
2018-06-13,43.29,44.07,43.2,43.44,1140439,0.0
2018-06-14,43.31,43.31,42.49,42.97,1150325,0.0
2018-06-17,42.54,43.98,42.31,43.88,1392941,0.0
2018-06-18,43.34,44.11,42.7,43.91,1056746,0.0
2018-06-19,44.12,44.39,42.9099,43.01,1157717,0.0
2018-06-20,43.35,44.53,43.24,43.69,2284471,0.0
2018-06-21,43.56,43.75,42.17,42.59,1976602,0.0
2018-06-24,42.11,42.46,39.76,40.58,2279065,0.0
2018-06-25,40.65,41.42,40.29,40.34,1928397,0.0
2018-06-26,40.63,40.84,39.09,39.15,1847334,0.0
2018-06-27,39.01,39.51,38.29,39.16,2020831,0.0
2018-06-28,39.5,39.6,38.66,38.745,1752327,0.0
2018-07-01,38.14,39.59,37.67,39.47,1752166,0.0
2018-07-02,39.65,40.21,38.56,38.56,1135114,0.0
2018-07-04,38.9,39.43,38.37,39.14,1465053,0.0
2018-07-05,39.27,40.41,38.94,40,1258835,0.0
2018-07-08,40.22,40.45,39.1572,39.825,1274857,0.0
2018-07-09,39.91,40.21,38.26,38.39,2221442,0.0
2018-07-10,37.75,38.81,37.33,38.09,2039515,0.0
2018-07-11,38.1,39.83,38.1,39.56,1754667,0.0
2018-07-12,39.57,40.45,38.65,38.89,1125885,0.0
2018-07-15,39,39.58,38.95,39.45,902217,0.0
2018-07-16,39.12,39.9,38.84,39.88,1705384,0.0
2018-07-17,39.85,40.16,38.94,39.31,1182775,0.0
2018-07-18,39,39.65,38.95,38.99,923048,0.0
2018-07-19,39.01,39.4,38.29,38.33,1069861,0.0
2018-07-22,38.4,39.03,37.78,38.85,1495050,0.0
2018-07-23,39.03,39.94,38.09,38.15,1837668,0.0
2018-07-24,38.26,39.965,38.04,39.74,1243007,0.0
2018-07-25,39.36,39.58,38.2,38.39,1637173,0.0
2018-07-26,38.58,38.68,36.77,37.2,1655503,0.0
2018-07-29,37.6,37.6,35.2,35.21,2052587,0.0
2018-07-30,35.43,36.49,35.22,36.12,1911767,0.0
2018-07-31,35.97,37.36,35.65,36.97,1765122,0.0
2018-08-01,36.92,38.21,36.67,38.07,1484024,0.0
2018-08-02,38.15,38.25,37.07,37.87,965950,0.0
2018-08-05,38.51,38.65,37.04,38.39,2860332,0.0
2018-08-06,38.7,39.02,38.12,38.87,3123182,0.0
2018-08-07,45.5,46.94,43.65,45.59,14245879,0.0
2018-08-08,45.78,49.98,45.301,49.24,7258562,0.0
2018-08-09,48.98,51.7396,47.75,50.8,3999952,0.0
2018-08-12,50.73,51.25,49.8,50.02,2648341,0.0
2018-08-13,49.37,50.5,47.7,48.49,4641637,0.0
2018-08-14,47.78,48.39,46.1,46.91,2500327,0.0
2018-08-15,47.44,47.6899,46.28,46.48,1901666,0.0
2018-08-16,46.58,48.19,46.1106,47.84,2702003,0.0
2018-08-19,48.34,49.09,47.53,48.64,1566983,0.0
2018-08-20,48.93,49.26,48.16,48.24,1141810,0.0
2018-08-21,48.67,49.14,47.95,48.39,1120791,0.0
2018-08-22,48.26,50.36,48.24,49.9,2588298,0.0
2018-08-23,49.85,50.6984,49.011,50.41,1017061,0.0
2018-08-26,50.48,52.12,50.48,50.79,1278513,0.0
2018-08-27,51.02,51.8,50.11,51.38,1345609,0.0
2018-08-28,51.25,51.4388,50.44,50.82,1400514,0.0
2018-08-29,50.4,50.52,49.32,49.44,1631318,0.0
2018-08-30,49.17,50.13,49.08,50.03,1065500,0.0
2018-09-03,50.11,52.59,50.06,52.34,1868858,0.0
2018-09-04,52.68,52.81,48.72,50.54,2302156,0.0
2018-09-05,50.48,50.914,49.6,50.43,744334,0.0
