Date,Open,High,Low,Close,Volume,OpenInterest
2017-06-01,30.8,31.38,30.53,31.21,18357684,0.0
2017-06-04,31.3,31.755,31.07,31.21,22237422,0.0
2017-06-05,31.04,31.77,30.87,31.57,26926475,0.0
2017-06-06,31.7,32.55,31.7,32.5,27128526,0.0
2017-06-07,32.84,32.86,31.88,32.45,23499922,0.0
2017-06-08,32.67,32.93,29.55,30.58,47461425,0.0
2017-06-11,30.06,31.685,29.21,31.2,42272282,0.0
2017-06-12,31.75,32.24,30.77,31.535,31393752,0.0
2017-06-13,31.78,31.79,30.85,31.06,22719916,0.0
2017-06-14,30.47,30.97,30.08,30.56,28510621,0.0
2017-06-15,30.62,31,29.82,29.85,27717064,0.0
2017-06-18,30.51,31.25,30.33,31.19,22507785,0.0
2017-06-19,31.41,31.575,30.73,30.82,21646253,0.0
2017-06-20,31.18,32.15,31.06,32.01,28296974,0.0
2017-06-21,32.05,32.4,31.76,31.89,15545605,0.0
2017-06-22,31.89,32.08,31.64,31.73,21662217,0.0
2017-06-25,32.41,32.96,31.95,32.5,31329040,0.0
2017-06-26,32.51,32.665,31.61,31.67,29062402,0.0
2017-06-27,32.07,32.28,31.44,32.24,25487116,0.0
2017-06-28,32.23,32.39,30.64,31.46,45922928,0.0
2017-06-29,32.1,32.15,29.7089,29.86,66054229,0.0
2017-07-02,30.09,30.28,28.56,29.15,33506895,0.0
2017-07-04,29.55,30.56,29.55,30.51,36674425,0.0
2017-07-05,29.94,30.48,29.92,30.1,24046973,0.0
2017-07-06,30.22,30.5,29.98,30.165,19761304,0.0
2017-07-09,30.16,30.59,29.75,30.5,21094679,0.0
2017-07-10,30.55,31.39,30.51,31.36,23655329,0.0
2017-07-11,31.77,31.78,31.155,31.45,18819854,0.0
2017-07-12,31.57,31.85,30.84,31.12,19615231,0.0
2017-07-13,31.35,31.95,31.26,31.81,20129322,0.0
2017-07-16,31.67,31.86,31.44,31.73,18034613,0.0
2017-07-17,31.64,31.91,31.4,31.9,11658237,0.0
2017-07-18,32.03,32.35,31.65,31.82,17720142,0.0
2017-07-19,31.93,32.02,31.42,31.97,18496073,0.0
2017-07-20,31.9,32.1,31.62,32,14168254,0.0
2017-07-23,32,32.01,31.5,31.68,14384381,0.0
