Date,Open,High,Low,Close,Volume,OpenInterest
2017-06-01,144.24,145.3,143.4,143.54,10662918,0.0
2017-06-04,142.97,148.53,142.51,148.01,18593487,0.0
2017-06-05,147.82,149.69,146.8,147.35,15902811,0.0
2017-06-06,148.33,149.88,147.7,149.12,13399184,0.0
2017-06-07,153.65,160,151.79,159.94,24941888,0.0
2017-06-08,164.74,168.5,142.75,149.59,83566077,0.0
2017-06-11,145.88,151.7,142.11,149.97,37121816,0.0
2017-06-12,154.48,154.77,145.65,151.39,35527354,0.0
2017-06-13,151.5,154.06,148.5,151.72,26096212,0.0
2017-06-14,146.96,153.6,146.5,152.37,21403269,0.0
2017-06-15,152.76,154.7,150.24,151.5,17332821,0.0
2017-06-18,153.41,157.53,153.26,157.33,16575855,0.0
2017-06-19,159.03,161.74,156.92,157.1,23941287,0.0
2017-06-20,158.21,159.62,155.7,159.47,15294605,0.0
2017-06-21,159.8,160.34,157.4,158.37,10153744,0.0
2017-06-22,158.68,159.32,153.22,153.84,18267492,0.0
2017-06-25,155.16,156.6,148.33,152.14,24076624,0.0
2017-06-26,151.44,151.79,146.35,146.6,22054542,0.0
2017-06-27,149.32,151.94,145.75,151.75,21049559,0.0
2017-06-28,150.6,150.68,144.08,146.71,22469322,0.0
2017-06-29,147.38,147.93,143.5,144.57,14346532,0.0
2017-07-02,145.05,145.6537,138.58,139.26,15329375,0.0
2017-07-04,141.89,144.22,141.13,143.03,17636427,0.0
2017-07-05,141.87,145.3799,139.76,143.49,16339887,0.0
2017-07-06,145.78,147.5,144.85,146.76,14359291,0.0
2017-07-09,149.67,154,148.6842,153.71,20906655,0.0
2017-07-10,153.85,156.19,152.15,155.88,16174267,0.0
2017-07-11,158.3,163,156.56,162.54,25420391,0.0
2017-07-12,163,166.3,158.75,160.63,30730358,0.0
2017-07-13,161.54,165,161.01,164.935,21262508,0.0
2017-07-16,166.33,167.5,161.75,164.26,20028369,0.0
2017-07-17,161.78,166.55,161.3,165.99,16997011,0.0
2017-07-18,166.36,167.4,164.61,165.1,14435848,0.0
2017-07-19,165.95,167.51,163.9121,167.51,15699254,0.0
2017-07-20,166.86,169.3,166.09,168.03,14085863,0.0
2017-07-23,168.39,168.78,165.72,166.17,14229669,0.0
2017-07-24,165.22,165.93,163.581,165.35,10232432,0.0
2017-07-25,167.68,169.927,165.85,167.21,13596104,0.0
2017-07-26,168.17,168.74,157.56,161.74,16470118,0.0
2017-07-27,160.29,165.38,159.28,164.4,10737737,0.0
2017-07-30,164.94,166.4,160.62,162.51,11492048,0.0
2017-07-31,162.125,164.56,161,164.4826,8895234,0.0
2017-08-01,165.75,165.91,161.27,164.27,10052663,0.0
2017-08-02,164.37,166.63,163.68,166.48,9371502,0.0
2017-08-03,167.4,170.07,166.48,167.163,13045266,0.0
2017-08-06,168.39,172.37,168,172.32,15633528,0.0
2017-08-07,173.89,174.56,168.71,170.28,16098730,0.0
2017-08-08,168.43,172.15,167.67,172.1,11137456,0.0
2017-08-09,172.16,172.66,164.33,164.76,22646251,0.0
2017-08-10,157.14,159,152.91,155.85,30693709,0.0
2017-08-13,159.67,168.55,159.2,168.45,28150593,0.0
2017-08-14,168.61,169.67,165.59,166.96,16703767,0.0
2017-08-15,167.59,168.54,163.84,165.13,12997157,0.0
2017-08-16,164.81,165.5,161.38,161.47,11243245,0.0
2017-08-17,163.62,164.36,159.64,161.58,12914810,0.0
2017-08-20,162.27,162.95,157.37,159.14,13192760,0.0
2017-08-21,160.49,162.79,159.71,162.5,9698314,0.0
2017-08-22,161.17,166.25,160.85,165.78,11371630,0.0
2017-08-23,167.1,167.28,164.12,165.2,10172069,0.0
2017-08-24,166.17,166.58,163.55,163.81,7318603,0.0
2017-08-27,164.58,165.1,162.33,164.96,7667650,0.0
2017-08-28,162.59,165.58,162.261,164.7,6835114,0.0
2017-08-29,165.5,166.13,164.27,165.65,7889349,0.0
2017-08-30,166.5,169.6,166.2,169.44,11679007,0.0
2017-08-31,169.95,171.9,169.6,170.39,9645699,0.0
