Date,Open,High,Low,Close,Volume,OpenInterest
2017-06-01,25.28,25.5811,24.36,24.95,279912,0.0
2017-06-04,25.06,25.265,24.53,24.6,206155,0.0
2017-06-05,24.5,25.45,24.5,24.85,422327,0.0
2017-06-06,25.39,25.96,24.43,25.6862,683936,0.0
2017-06-07,27.6,28.1,26.01,27.14,1944582,0.0
2017-06-08,27.43,28.2499,25,25.03,810896,0.0
2017-06-11,25.5,25.59,23.5501,23.8166,597988,0.0
2017-06-12,24,26.1767,24,25.53,672915,0.0
2017-06-13,25.67,26.82,25.64,26.51,411733,0.0
2017-06-14,26.24,26.24,25,25.66,336598,0.0
2017-06-15,25.71,26.55,25.2801,26.48,271478,0.0
2017-06-18,26.67,27.35,26.6,27.33,313372,0.0
2017-06-19,27.39,27.425,26.15,26.58,323145,0.0
2017-06-20,26.69,26.909,25.53,25.94,342045,0.0
2017-06-21,25.94,26.85,25.78,26.25,474035,0.0
2017-06-22,26.28,26.67,25.03,25.55,828480,0.0
2017-06-25,25.59,25.99,25.15,25.25,363925,0.0
2017-06-26,25.1,25.31,24,24.02,612498,0.0
2017-06-27,24.2,24.545,23.82,23.98,466919,0.0
2017-06-28,23.89,24.0472,22.9,23.28,599879,0.0
2017-06-29,23.14,23.38,22.8,22.81,348491,0.0
2017-07-02,23,23.27,22.33,22.48,281811,0.0
2017-07-04,22.67,22.67,22.045,22.4,642853,0.0
2017-07-05,22.11,23.12,22.1,22.79,360060,0.0
2017-07-06,22.82,24.1199,22.75,23.39,728465,0.0
2017-07-09,23.41,23.93,22.79,23.2,310200,0.0
2017-07-10,23.08,23.465,22.42,23.04,295664,0.0
2017-07-11,22.93,23.88,22.9,23.31,364501,0.0
2017-07-12,23.24,23.35,22.85,23.19,192127,0.0
2017-07-13,23.07,23.3,22.91,23.12,126373,0.0
2017-07-16,22.99,23.78,22.99,23.77,163628,0.0
2017-07-17,23.53,24,23.34,23.76,150387,0.0
2017-07-18,23.7,24.2,23.551,24.15,166787,0.0
2017-07-19,24.12,24.14,23.58,24.02,98471,0.0
2017-07-20,24.2,24.5,23.64,24.29,197530,0.0
2017-07-23,24.17,24.45,23.43,23.67,174916,0.0
2017-07-24,23.58,23.98,23.25,23.67,131122,0.0
2017-07-25,23.88,23.95,23.44,23.53,104268,0.0
2017-07-26,23.56,23.81,22.51,22.68,254482,0.0
2017-07-27,22.58,22.9999,22.32,22.36,115967,0.0
2017-07-30,22.56,22.9353,21.66,21.97,425525,0.0
2017-07-31,22.28,22.82,21.52,22.69,383008,0.0
2017-08-01,22.72,22.9,21.8,22.19,562026,0.0
2017-08-02,22.06,23.2,22.06,22.82,131055,0.0
2017-08-03,22.77,23.2,22.75,23.01,202527,0.0
2017-08-06,22.93,23.5351,22.72,23.44,260569,0.0
2017-08-07,23.35,23.97,23.22,23.53,156566,0.0
2017-08-08,23.4,23.84,23.24,23.67,94444,0.0
2017-08-09,23.43,23.4876,22.79,22.97,157461,0.0
2017-08-10,22.91,23.8,22.77,23.79,227680,0.0
2017-08-13,24.23,24.24,23.63,24.02,223833,0.0
2017-08-14,24,24.15,23.431,23.59,121244,0.0
2017-08-15,23.67,24.74,23.45,24.585,207392,0.0
2017-08-16,24.54,25.08,24.21,24.25,153908,0.0
2017-08-17,24.06,24.97,23.9525,24.84,123541,0.0
2017-08-20,24.75,25.27,24.51,25.08,145880,0.0
2017-08-21,25.27,25.97,25.0789,25.72,243604,0.0
2017-08-22,25.38,25.7,25.31,25.45,81574,0.0
2017-08-23,25.59,25.5902,24.8001,25.42,109472,0.0
2017-08-24,25.47,25.75,24.84,24.87,150936,0.0
2017-08-27,25.07,25.07,23.91,24.44,235799,0.0
2017-08-28,24.23,24.9,24.13,24.47,159300,0.0
2017-08-29,24.58,26.6691,24.56,26.31,689214,0.0
2017-08-30,26.63,27.48,25.82,26.98,375414,0.0
2017-08-31,26.94,26.967,26.26,26.56,165130,0.0
2017-09-04,26.61,27,26.26,26.34,221592,0.0
2017-09-05,26.49,27.3,26.21,27.005,315180,0.0
2017-09-06,27.01,27.97,26.86,27.11,490525,0.0
2017-09-07,28.32,30.56,24.5,30.3,1514655,0.0
2017-09-10,30.26,33.6399,29.3,30.17,880982,0.0
2017-09-11,31.69,31.69,28.87,29.39,292946,0.0
2017-09-12,29.35,29.822,29.18,29.55,179204,0.0
2017-09-13,29.5,29.61,28.76,28.92,238008,0.0
2017-09-14,29.1,29.37,28.641,28.76,239752,0.0
2017-09-17,28.72,29.86,28.66,29.24,413225,0.0
2017-09-18,29.25,29.92,29,29.447,336688,0.0
2017-09-19,29.5,29.5,29.02,29.16,176355,0.0
2017-09-20,29.18,29.89,28.63,29.37,219650,0.0
2017-09-21,29.2,29.63,29.01,29.2,237389,0.0
2017-09-24,29.3,29.445,28.39,28.81,481778,0.0
2017-09-25,28.78,29.15,28.35,28.53,384484,0.0
2017-09-26,28.95,29.29,28.54,29.13,362092,0.0
2017-09-27,29,30.62,28.88,28.98,716740,0.0
2017-09-28,29,29.252,28.03,28.21,402352,0.0
