Date,Open,High,Low,Close,Volume,OpenInterest
2017-06-01,59.57,59.57,58.32,59.27,1982004,0.0
2017-06-04,59.32,59.9,59.13,59.6,1199635,0.0
2017-06-05,59.42,59.58,59.03,59.06,853133,0.0
2017-06-06,59.27,59.4,59.03,59.3,685966,0.0
2017-06-07,59.26,59.35,58.66,58.91,852770,0.0
2017-06-08,58.98,59.25,58.43,58.56,1324134,0.0
2017-06-11,58.44,59.98,58.23,59.64,2042066,0.0
2017-06-12,59.48,60.57,59.48,60.51,1413572,0.0
2017-06-13,60.47,60.7101,59.885,60.09,1675824,0.0
2017-06-14,59.92,60.8,59.82,60.74,1398161,0.0
2017-06-15,60.76,61.115,60.21,61.1,2049096,0.0
2017-06-18,61.57,61.57,60.91,61.13,1413406,0.0
2017-06-19,60.32,60.59,59.91,60.02,1516586,0.0
2017-06-20,59.96,60.2,59.73,59.93,864395,0.0
2017-06-21,60.06,60.06,59.105,59.39,1280369,0.0
2017-06-22,59.26,59.47,59.1,59.23,1728008,0.0
2017-06-25,59.53,59.65,59.105,59.25,2042472,0.0
2017-06-26,59.19,59.35,58.5,58.62,2611631,0.0
2017-06-27,57.5,58,56.56,57.66,4467111,0.0
2017-06-28,57.5,57.66,56.51,56.68,2654059,0.0
2017-06-29,57.29,57.33,56.63,56.93,2202252,0.0
2017-07-02,56.48,57.13,56.37,56.53,1092765,0.0
2017-07-04,56.77,57.57,56.35,57.49,2152819,0.0
2017-07-05,57.32,57.32,56.68,56.97,1573794,0.0
2017-07-06,57.16,57.7,56.89,57.42,1226269,0.0
2017-07-09,57.42,57.96,57.32,57.85,1426623,0.0
2017-07-10,57.67,57.68,56.57,56.6,1951147,0.0
2017-07-11,56.83,57.369,56.83,57.251,1296634,0.0
2017-07-12,57.2,57.49,57,57.21,1400727,0.0
2017-07-13,57.35,57.44,57.09,57.1,956602,0.0
2017-07-16,57.13,57.25,56.75,56.89,1029872,0.0
2017-07-17,56.76,57.05,56.63,56.77,1019514,0.0
2017-07-18,56.73,56.98,56.55,56.85,1578161,0.0
2017-07-19,56.86,57.34,56.82,57.19,1066163,0.0
2017-07-20,56.78,57.37,56.78,57.18,1323797,0.0
2017-07-23,57.14,57.23,56.835,56.95,817240,0.0
2017-07-24,57.05,57.66,57,57.42,1402750,0.0
2017-07-25,57.49,58.25,57.46,58.12,1609108,0.0
2017-07-26,58.03,61.37,57.87,60.14,5385480,0.0
2017-07-27,59.82,60.13,57.71,57.76,3302396,0.0
2017-07-30,57.81,58.35,57.71,57.85,2455324,0.0
2017-07-31,57.9,57.96,56.66,56.8,2267770,0.0
2017-08-01,56.53,56.875,56.16,56.56,1966156,0.0
2017-08-02,56.58,56.67,55.78,56.14,2012345,0.0
2017-08-03,56.37,56.405,55.87,56.07,1577780,0.0
2017-08-06,56.01,56.14,55.74,55.925,982870,0.0
2017-08-07,55.9,56.58,54.72,55.03,2729117,0.0
2017-08-08,54.84,55.07,54.43,54.91,1357932,0.0
2017-08-09,54.61,55.05,54.53,54.78,1731000,0.0
2017-08-10,54.9,54.92,54.2,54.245,1298782,0.0
2017-08-13,54.77,55.07,54.43,54.92,1556219,0.0
2017-08-14,55.04,55.78,54.82,55.6,2123890,0.0
2017-08-15,55.69,56.88,55.63,56.25,1965635,0.0
