Date,Open,High,Low,Close,Volume,OpenInterest
2008-01-07,9.95,9.95,9.95,9.95,5000,0.0
2008-01-15,9.96,9.96,9.96,9.96,2800,0.0
2008-01-17,9.95,9.95,9.91,9.91,3000,0.0
2008-01-23,10.01,10.01,10.01,10.01,3000,0.0
2008-01-24,10.01,10.02,10,10,3600,0.0
2008-01-28,9.97,9.97,9.96,9.96,400,0.0
2008-01-30,9.86,9.93,9.86,9.93,1200,0.0
2008-01-31,10.05,10.05,10.05,10.05,100,0.0
2008-02-04,9.91,9.97,9.91,9.97,300,0.0
2008-02-21,9.98,9.98,9.98,9.98,400,0.0
2008-02-25,9.98,9.98,9.98,9.98,3200,0.0
2008-02-26,9.99,9.99,9.99,9.99,200,0.0
2008-02-27,9.99,9.99,9.96,9.96,18700,0.0
2008-03-04,9.77,9.77,9.77,9.77,100,0.0
2008-03-09,9.75,9.75,9.45,9.45,21300,0.0
2008-03-10,9.51,9.51,9.5,9.5,16600,0.0
2008-03-11,9.75,9.75,9.75,9.75,300,0.0
2008-03-13,9.5,9.5,9.5,9.5,500,0.0
2008-03-17,9.58,9.59,9.5,9.5,9900,0.0
2008-04-01,9.6,9.6,9.6,9.6,300,0.0
2008-04-06,9.6,9.6,9.6,9.6,300,0.0
2008-04-10,9.6,9.6,9.6,9.6,3500,0.0
2008-04-17,9.66,9.66,9.66,9.66,200,0.0
2008-04-21,9.62,9.65,9.62,9.65,2200,0.0
2008-04-29,9.56,9.56,9.56,9.56,3000,0.0
2008-04-30,9.8,9.85,9.65,9.65,1888,0.0
2008-05-01,9.7,9.7,9.7,9.7,1500,0.0
2008-05-05,9.71,9.71,9.71,9.71,200,0.0
2008-05-06,9.71,9.71,9.7,9.7,11700,0.0
2008-05-07,9.66,9.66,9.65,9.65,3500,0.0
2008-05-08,9.7,9.7,9.7,9.7,500,0.0
2008-05-13,9.98,9.98,9.98,9.98,880,0.0
2008-05-14,9.98,9.98,9.98,9.98,800,0.0
2008-05-18,10.08,10.08,10.08,10.08,200,0.0
2008-05-28,9.86,9.86,9.85,9.85,5600,0.0
2008-06-01,9.95,9.95,9.95,9.95,100,0.0
2008-06-03,10.05,10.05,10.05,10.05,1500,0.0
2008-06-09,9.7,9.7,9.7,9.7,3000,0.0
2008-06-11,9.66,9.66,9.65,9.65,860,0.0
2008-06-15,9.65,9.65,9.65,9.65,100,0.0
2008-06-16,9.65,9.65,9.65,9.65,500,0.0
2008-07-01,9.5,9.5,9.5,9.5,2500,0.0
2008-07-23,9.67,9.67,9.67,9.67,1000,0.0
2008-07-27,9.7,9.7,9.7,9.7,4000,0.0
2008-08-12,9.6,9.6,9.6,9.6,431,0.0
2008-08-14,9.85,9.85,9.65,9.65,4800,0.0
2008-08-18,9.6,9.6,9.6,9.6,700,0.0
2008-08-19,9.5,9.5,9.5,9.5,500,0.0
2008-08-21,9.37,9.37,9.37,9.37,5500,0.0
2008-09-08,9.6,9.6,9.6,9.6,200,0.0
2008-09-10,9.6,9.6,9.6,9.6,600,0.0
