Date,Open,High,Low,Close,Volume,OpenInterest
2017-06-01,117.46,117.7,117.04,117.6,2159312,0.0
2017-06-04,117.39,117.97,117.05,117.89,1605039,0.0
2017-06-05,117.78,117.94,117.46,117.69,1684734,0.0
2017-06-06,117.17,117.57,116.82,117.04,2678881,0.0
2017-06-07,116.86,117.08,115.59,115.89,2799883,0.0
2017-06-08,115.66,116.13,115.36,115.92,2308189,0.0
2017-06-11,116.23,116.62,115.92,116.23,2520834,0.0
2017-06-12,115.47,116.59,115.47,116.32,2064850,0.0
2017-06-13,116.91,118.06,116.83,117.37,2534645,0.0
2017-06-14,117,117.48,116.51,117.23,2645119,0.0
2017-06-15,117.369,117.4,116.3,116.85,2909558,0.0
2017-06-18,117.02,117.29,116.23,117.27,1748466,0.0
2017-06-19,117.29,118.1353,117.18,117.93,2613473,0.0
2017-06-20,117.78,118.24,117.24,117.44,2832062,0.0
2017-06-21,117.33,117.41,116.05,116.15,2251113,0.0
2017-06-22,116.21,117.37,116.09,116.96,2015896,0.0
2017-06-25,117.42,117.83,117.06,117.08,2051610,0.0
2017-06-26,117.26,117.38,115.95,115.97,2137942,0.0
2017-06-27,116.52,116.87,116.2,116.32,2360362,0.0
2017-06-28,116.07,116.2,114.8901,115.22,2561631,0.0
2017-06-29,115.53,116.1134,115.3,115.5,2091933,0.0
2017-07-02,115.55,116,115.34,115.44,1692715,0.0
2017-07-04,115.5,115.55,114.88,115.26,2252357,0.0
2017-07-05,114.97,115.42,114.85,115.2,2487773,0.0
2017-07-06,115.41,115.6599,114.83,115.42,2725672,0.0
2017-07-09,115.85,116,114.2,114.27,4854263,0.0
2017-07-10,113.34,113.98,112.25,113.7,4594597,0.0
2017-07-11,114.54,114.98,114.28,114.809,2945173,0.0
2017-07-12,114.95,115.04,113.92,113.97,2151017,0.0
2017-07-13,114.26,115.115,114.25,114.93,2077607,0.0
2017-07-16,114.94,115.16,114.8383,114.95,1598808,0.0
2017-07-17,114.85,115.15,114.39,114.985,1772293,0.0
2017-07-18,115.01,115.35,114.63,115.32,1776567,0.0
2017-07-19,115.34,116.055,115.11,115.58,2306949,0.0
2017-07-20,115.78,116.67,115.38,116.59,2656173,0.0
2017-07-23,116.5,116.67,116.09,116.18,2524562,0.0
2017-07-24,116.63,116.78,116.14,116.46,2098019,0.0
2017-07-25,116.3,117.42,116.15,117.16,2211297,0.0
2017-07-26,117.33,118.06,116.62,117.36,2173328,0.0
2017-07-27,117.31,117.47,116.2,116.61,2430431,0.0
2017-07-30,116.53,116.86,116.18,116.62,1961834,0.0
2017-07-31,116.69,116.78,115.9,115.912,2012236,0.0
2017-08-01,115.73,115.979,115.14,115.59,1882340,0.0
2017-08-02,115.73,116.66,115.68,116.31,2162773,0.0
2017-08-03,116.32,116.49,115.865,116.33,1712063,0.0
2017-08-06,116.45,117.22,116.38,116.94,1794899,0.0
2017-08-07,116.8,116.95,116.37,116.71,1453914,0.0
2017-08-08,116.49,116.7,115.96,116.62,1676765,0.0
2017-08-09,116.35,116.84,116.08,116.4,1464666,0.0
2017-08-10,116.75,117.25,116.35,116.48,1560090,0.0
2017-08-13,117.36,118.18,117.014,117.77,2259614,0.0
2017-08-14,117.88,119.15,117.85,118.98,1979952,0.0
2017-08-15,118.96,119.3645,118.82,119.09,1737896,0.0
2017-08-16,119,119.39,118.25,118.38,1970665,0.0
2017-08-17,118.29,118.43,117.4,117.6,2842241,0.0
2017-08-20,117.8,118.46,117.545,118.25,1359488,0.0
2017-08-21,118.28,118.7,117.65,117.92,1670663,0.0
2017-08-22,117.9,118.12,117.23,117.27,2022723,0.0
2017-08-23,117.26,117.3,116.03,116.2,3861747,0.0
2017-08-24,116.74,116.9,115.8,115.87,2687496,0.0
2017-08-27,116.12,116.29,115.08,115.52,1951259,0.0
2017-08-28,115.55,116.1,115.51,115.86,1713615,0.0
2017-08-29,115.13,115.42,114.91,115.14,1775378,0.0
2017-08-30,115.31,115.84,114.93,115.68,3015665,0.0
2017-08-31,115.38,116.0925,115.15,115.8,1832947,0.0
2017-09-04,115.95,116.06,115.41,115.87,1948641,0.0
2017-09-05,116.17,116.47,115.64,116.33,1776865,0.0
2017-09-06,116.65,117.29,116.39,117.01,1827927,0.0
2017-09-07,116.31,116.48,114.57,114.99,3458711,0.0
2017-09-10,115.08,115.89,114.76,115.69,1856471,0.0
2017-09-11,115.69,115.95,114.86,115,2315977,0.0
2017-09-12,114.87,115.17,114,114.41,4200522,0.0
2017-09-13,114.44,114.55,113.7,114.2,2502208,0.0
2017-09-14,114.74,114.98,114.11,114.84,3765178,0.0
2017-09-17,115.17,115.23,114.68,115.04,1606905,0.0
2017-09-18,115.06,115.12,114.36,114.48,1872361,0.0
2017-09-19,114.34,114.65,112.735,113.58,2482114,0.0
2017-09-20,113.21,113.82,112.54,112.79,2530295,0.0
2017-09-21,112.56,112.87,111.81,111.83,2678492,0.0
2017-09-24,112.04,112.14,111.42,111.94,2908767,0.0
2017-09-25,111.92,112.3,111.73,111.82,2145010,0.0
2017-09-26,111.72,111.875,110.34,111.1,2959416,0.0
2017-09-27,111.37,112.73,111.19,111.81,5874503,0.0
2017-09-28,111.87,112.03,111.21,111.4,3678541,0.0
2017-10-01,109.91,110.52,108.96,109.14,6751190,0.0
2017-10-02,109.42,109.65,108.89,109.15,4272419,0.0
2017-10-03,106.94,110.16,106.19,109.33,7270007,0.0
2017-10-04,109.66,110.99,109.55,110.44,4326148,0.0
2017-10-05,110.17,110.67,109.92,110.4,2112340,0.0
2017-10-08,110.59,110.93,109.79,109.98,1470669,0.0
2017-10-09,110.28,110.86,110.28,110.805,2227644,0.0
2017-10-10,110.9,111.81,110.77,111.5,2827005,0.0
2017-10-11,111.51,112.51,111.38,112.44,2367247,0.0
2017-10-12,112.73,112.98,112.18,112.65,1898243,0.0
2017-10-15,112.93,113.63,112.69,113.56,1861993,0.0
2017-10-16,113.22,113.56,111.66,112.19,2985285,0.0
2017-10-17,111.95,112.44,111.78,111.96,1992867,0.0
2017-10-18,111.62,112.79,111.6,112.68,1894133,0.0
2017-10-19,113.01,113.02,111.38,111.61,2474235,0.0
2017-10-22,111.64,112.45,111.4,111.72,1516009,0.0
2017-10-23,111.84,111.8658,110.28,110.74,2435007,0.0
2017-10-24,110.43,110.529,109.18,110.08,2680214,0.0
2017-10-25,110.67,111.24,110.41,110.72,2090290,0.0
2017-10-26,110.41,110.8475,109.93,110.6,2184443,0.0
2017-10-29,110.36,110.37,109.36,109.64,1572241,0.0
2017-10-30,110.24,110.765,109.95,110.23,2284022,0.0
2017-10-31,109.76,110.68,109.61,110.13,2088519,0.0
2017-11-01,109.91,110.18,109.54,110.02,1444353,0.0
2017-11-02,110.3,110.65,110,110.21,1135092,0.0
2017-11-05,109.97,110,109.19,109.26,2037021,0.0
2017-11-06,109.15,110.58,109.15,110.47,2536566,0.0
2017-11-07,110.57,112.04,110.5,112,2393162,0.0
2017-11-08,111.35,112.44,111.02,111.47,2134385,0.0
2017-11-09,111.44,112.975,111.31,112.7615,2613127,0.0
2017-11-12,112.69,114.19,112.64,114.04,2209488,0.0
2017-11-13,113.69,116.19,113.59,115.77,3862384,0.0
2017-11-14,115.65,115.93,115.03,115.1,2904409,0.0
2017-11-15,115.39,115.835,114.94,115.23,2192792,0.0
2017-11-16,114.73,115.14,114.53,114.71,1894007,0.0
2017-11-19,114.75,115.85,114.71,114.91,2089830,0.0
2017-11-20,114.99,116.33,114.97,116.06,2097315,0.0
2017-11-21,115.77,116,114.28,115.09,2441466,0.0
2017-11-23,115.65,116.3,115.425,115.92,847739,0.0
2017-11-26,116,116.4,115.66,115.87,1903046,0.0
2017-11-27,116.26,116.83,115.3,116.82,1979124,0.0
2017-11-28,116.84,117.38,116.29,116.85,2406667,0.0
2017-11-29,116.52,117.21,116.08,116.54,2989147,0.0
2017-11-30,116.5,116.85,115.04,116.75,3570544,0.0
2017-12-03,117,118.2,116.62,117.4,2680657,0.0
2017-12-04,117.63,117.94,117.18,117.59,2088980,0.0
2017-12-05,117.53,118.91,117.53,118.89,2033622,0.0
2017-12-06,118.52,118.64,116.55,116.73,3043751,0.0
2017-12-07,116.52,116.6,115.9,116.56,2218096,0.0
2017-12-10,116.33,117.435,115.56,117.38,1544325,0.0
2017-12-11,117.6,118.37,117.12,117.41,1820611,0.0
2017-12-12,117.51,118.21,117.48,117.94,1889863,0.0
2017-12-13,117.94,118.6,117.725,118.04,2717471,0.0
2017-12-14,118.57,119.36,118.45,119.18,4343298,0.0
2017-12-17,119.3,119.74,118,118.08,2438432,0.0
2017-12-18,118.75,119.385,118.23,118.64,2348648,0.0
2017-12-19,118.66,119.12,117.56,119.05,2399215,0.0
2017-12-20,119.45,119.57,117.84,118.28,1571914,0.0
2017-12-21,118.6,118.75,118.17,118.65,1242188,0.0
2017-12-25,118.41,119.24,118.41,118.89,1505376,0.0
2017-12-26,118.87,119.4,118.8,119.29,1557329,0.0
2017-12-27,119.42,119.53,119.05,119.34,1412715,0.0
2017-12-28,119.46,120.57,119.42,119.94,1647233,0.0
2018-01-01,119.93,120.18,117.9251,118.06,2888392,0.0
2018-01-02,117.905,118.47,117.64,117.69,3027641,0.0
2018-01-03,117.73,119.11,117.6,118.32,2062927,0.0
2018-01-04,118.41,119.09,118.245,118.56,1635676,0.0
2018-01-07,118.21,118.74,117.67,117.95,3440032,0.0
2018-01-08,118.26,118.98,117.95,118.13,3485128,0.0
