Date,Open,High,Low,Close,Volume,OpenInterest
2019-09-25,27,27.98,24.75,25.76,52630597,0.0
2019-09-26,26.17,26.17,23.75,25.25,15531104,0.0
2019-09-29,25.26,25.85,25,25.06,4406811,0.0
2019-09-30,25,25.17,22.51,22.52,8435875,0.0
2019-10-01,22.25,23.18,21.76,22.59,7836889,0.0
2019-10-02,22.49,22.82,21.14,22.3,8085494,0.0
2019-10-03,22.35,23.42,22.3057,23.02,6346505,0.0
2019-10-06,23.07,24.33,22.49,23.515,5392499,0.0
2019-10-07,23.6,23.9,22.33,23.2,5738198,0.0
2019-10-08,23.63,24.8,23.25,24.07,5571160,0.0
2019-10-09,24.1,24.2,22.8,23.11,6787230,0.0
2019-10-10,23.1,23.4,22.11,22.41,6618918,0.0
2019-10-13,22.17,22.24,21.4,21.45,5227288,0.0
2019-10-14,21.51,23.68,21.51,23.44,5649407,0.0
2019-10-15,23.54,23.54,22.46,23.06,4871995,0.0
2019-10-16,23,23.96,23,23.85,2329160,0.0
2019-10-17,24.3,24.68,23.12,23.48,6580166,0.0
2019-10-20,23.925,24.06,21.7738,22.26,7362377,0.0
2019-10-21,22.67,22.698,20.93,21.19,5788608,0.0
2019-10-22,21.13,21.74,20.46,21.08,4868948,0.0
2019-10-23,21.24,21.45,20.7,21.35,2439204,0.0
2019-10-24,21.13,23.09,21.0002,22.4,2482531,0.0
2019-10-27,22.55,22.67,21.45,21.45,4135138,0.0
2019-10-28,21.57,24.16,21.43,23.16,4618121,0.0
2019-10-29,23.4,23.735,22.66,23.66,2463701,0.0
2019-10-30,23.49,23.94,22.91,23.84,1812552,0.0
2019-10-31,23.87,25.3,23.7528,24.99,4832878,0.0
2019-11-03,25.3,26.5,23.54,24.63,5861439,0.0
2019-11-04,24.1,24.25,22.25,22.74,12410895,0.0
2019-11-05,22.93,23.2,22.29,23.03,3772444,0.0
2019-11-06,23.02,23.31,22.41,22.6,2774740,0.0
2019-11-07,22.45,23.55,22.25,23.51,2876989,0.0
2019-11-10,23.44,24.17,22.45,24.04,2887873,0.0
2019-11-11,24.32,24.99,24.19,24.68,2384117,0.0
2019-11-12,24.46,26.8525,24.15,25.97,5964278,0.0
2019-11-13,26.2,26.26,25.4,25.98,3029755,0.0
2019-11-14,26.01,28.82,25.71,27.23,7018538,0.0
2019-11-17,27.34,30.36,26.24,30.255,9008690,0.0
2019-11-18,29.99,32.01,28.8,29.24,6932590,0.0
2019-11-19,29.09,29.99,27.75,29.11,2571607,0.0
2019-11-20,29.13,30,28.6605,29.8299,1696319,0.0
2019-11-21,30.11,30.65,28.9,29.35,1629857,0.0
2019-11-24,29.49,31.11,29.49,30.86,2911546,0.0
2019-11-25,31.41,31.5,29.747,30.96,2202209,0.0
2019-11-26,31.05,33.07,29.85,32.16,4188788,0.0
2019-11-28,32.66,35.75,32.51,35.175,5533169,0.0
2019-12-01,35.3,37.02,32.96,36.84,6541314,0.0
2019-12-02,35.91,36,33.14,33.475,7766525,0.0
2019-12-03,34.78,35.3,31.22,32.95,8609669,0.0
2019-12-04,33.65,33.65,30.51,31.3,6485982,0.0
2019-12-05,31.8,33.39,31.36,32.63,6784531,0.0
2019-12-08,33.3,35.35,33.04,34.79,7789007,0.0
2019-12-09,35.04,35.1,31.62,32.78,13074575,0.0
2019-12-10,32.12,32.38,29.87,32.08,7236349,0.0
2019-12-11,31.62,32.36,29.86,30.8,6717102,0.0
2019-12-12,30.99,31.97,30.25,31.48,3294114,0.0
2019-12-15,31.65,31.92,30.21,31.35,3400221,0.0
2019-12-16,31.6,33.32,30.6,32.96,5435700,0.0
2019-12-17,32.71,33.5,31.3535,31.89,4753921,0.0
2019-12-18,31.74,32.39,31,31.93,3245418,0.0
2019-12-19,32,32.25,29.8,29.96,6745303,0.0
2019-12-22,30.15,30.2,28.87,29.25,4521595,0.0
2019-12-23,29.07,29.25,28.56,28.79,1899415,0.0
2019-12-25,29,29.18,26.74,26.99,8455685,0.0
2019-12-26,27,27.3,25.67,26.96,6733981,0.0
2019-12-29,26.83,28.1082,26.47,27.68,4609142,0.0
2019-12-30,27.48,29.06,27.31,28.37,3283131,0.0
2020-01-01,28.9,30.02,27.8,29.76,5878691,0.0
2020-01-02,29.49,31.25,29.29,30.57,4754447,0.0
2020-01-05,30.61,31.705,29.72,29.78,4011469,0.0
2020-01-06,29.44,30.84,28.83,30.4,2977297,0.0
2020-01-07,30.07,30.25,28.85,29.65,6458283,0.0
2020-01-08,29.38,29.94,27.585,27.83,6466410,0.0
2020-01-09,27.85,28.15,26.89,28.01,5783309,0.0
2020-01-12,28.3,28.97,27.2401,28.51,3599032,0.0
2020-01-13,28.8,30.26,28.35,29.665,4551733,0.0
2020-01-14,30.96,31.44,29.7738,30.831,7563241,0.0
2020-01-15,31.1,31.8,30.36,30.83,5436340,0.0
