Date,Open,High,Low,Close,Volume,OpenInterest
2017-06-01,58.89,58.96,58.35,58.58,7594825,0.0
2017-06-04,58.5,59.05,58.48,58.86,6536947,0.0
2017-06-05,58.6,58.91,58.18,58.2,6662380,0.0
2017-06-06,58.3,58.49,57.13,57.53,8250485,0.0
2017-06-07,57.77,58.15,57.61,58.12,7898701,0.0
2017-06-08,58.37,58.49,56.74,57.05,11855986,0.0
2017-06-11,56.52,57.675,56.48,57.5,8139992,0.0
2017-06-12,57.95,58.065,57.5,57.54,5835915,0.0
2017-06-13,57.7,57.97,56.67,57.01,5060687,0.0
2017-06-14,56.42,57.17,56.4,56.94,4479423,0.0
2017-06-15,56.98,57.01,56.35,56.83,6700561,0.0
2017-06-18,56.96,57.66,56.91,57.6,4438350,0.0
2017-06-19,57.46,57.61,56.51,56.78,6384561,0.0
2017-06-20,56.79,56.84,56.12,56.33,6936598,0.0
2017-06-21,56.24,56.745,56.06,56.47,3947480,0.0
2017-06-22,56.64,57.4365,56.57,56.91,5643899,0.0
2017-06-25,57.15,57.6892,56.21,56.57,5608088,0.0
2017-06-26,56.29,56.33,55.41,55.43,5398708,0.0
2017-06-27,55.4,56.32,55.18,56.15,5368052,0.0
2017-06-28,55.93,55.93,54.55,55.07,6890683,0.0
2017-06-29,55.6,55.63,55.03,55.21,6215055,0.0
2017-07-02,55.53,56.02,54.92,54.92,3281421,0.0
2017-07-04,55.03,55.56,54.78,55.45,4879398,0.0
2017-07-05,55.02,55.23,54.735,54.79,4164573,0.0
2017-07-06,55.04,55.73,54.87,55.35,3979685,0.0
2017-07-09,55.37,55.885,55.19,55.649,3698827,0.0
2017-07-10,55.49,55.63,55.02,55.33,4937308,0.0
2017-07-11,55.79,56.31,55.72,56.21,4710787,0.0
2017-07-12,56.38,56.52,56.17,56.24,4444165,0.0
2017-07-13,56.5,56.93,56.15,56.8,3189928,0.0
2017-07-16,56.73,56.92,56.39,56.47,4021495,0.0
2017-07-17,56.34,56.38,56,56.29,5623373,0.0
2017-07-18,56.4,56.9399,56.01,56.8,5921938,0.0
2017-07-19,55.31,55.43,53.46,53.96,32488808,0.0
2017-07-20,53.71,54,53.37,53.84,10344397,0.0
2017-07-23,53.81,53.88,53.09,53.22,7071442,0.0
2017-07-24,53.2,53.65,53.07,53.27,6102620,0.0
2017-07-25,53.29,53.35,52.74,53.14,6422421,0.0
2017-07-26,53.08,53.37,52.23,52.49,12242380,0.0
2017-07-27,52.41,52.9865,52.27,52.87,5441554,0.0
2017-07-30,53.1,53.295,52.75,53.18,6752379,0.0
2017-07-31,53.3,53.43,52.91,53.41,5734150,0.0
2017-08-01,53.295,53.35,52.78,53.18,17129152,0.0
2017-08-02,53.14,53.3399,52.75,52.95,6882682,0.0
2017-08-03,53,53,52.51,52.62,6859065,0.0
