Date,Open,High,Low,Close,Volume,OpenInterest
2017-05-31,460,470.43,459.53,465.88,885149,0.0
2017-06-01,466.7,484.9899,465.33,480.43,1129905,0.0
2017-06-04,483.5,489,476.97,480.37,676173,0.0
2017-06-05,479.3,482.3,473.44,477.74,537200,0.0
2017-06-06,479,483.06,476.09,481.95,642560,0.0
2017-06-07,481.56,486.81,478.16,485.9,405164,0.0
2017-06-08,482.55,487.52,473.26,475.7,550535,0.0
2017-06-11,475.22,477.5,466.91,476.41,643489,0.0
2017-06-12,474.38,476.5,471.63,473.69,356519,0.0
2017-06-13,475.35,481.86,469.27,476.84,503719,0.0
2017-06-14,474.37,475.8,461.58,469.37,607015,0.0
2017-06-15,468.19,470.28,453.54,459.91,1117109,0.0
2017-06-18,462.96,474.725,456.57,471.66,589188,0.0
2017-06-19,477.92,504.89,474.62,495.45,1672583,0.0
2017-06-20,496.51,525,495.04,522.02,1326225,0.0
2017-06-21,525,543.5518,521.5,526.54,1393571,0.0
2017-06-22,511.79,519.65,500.25,517.25,1351086,0.0
2017-06-25,513,521.512,506.7,515.9,794532,0.0
2017-06-26,517.55,529.99,500.74,502.2,940335,0.0
2017-06-27,506.51,518,500.75,513.16,570114,0.0
2017-06-28,510.44,512.64,499.08,509.98,651224,0.0
2017-06-29,507.46,508,490.89,491.21,852289,0.0
2017-07-02,494.2,498.5461,484.28,487.23,343418,0.0
2017-07-04,490.08,499.36,489.56,496.98,515517,0.0
2017-07-05,491.76,496.35,482.51,490.19,605664,0.0
2017-07-06,497.51,506.39,493.44,496.5,515919,0.0
2017-07-09,497.61,500.74,489.33,499.96,504772,0.0
2017-07-10,498.52,502,489.195,492,538813,0.0
2017-07-11,496.2,499.32,489.09,496.9,370088,0.0
2017-07-12,496.02,509.955,492.18,505.23,568656,0.0
2017-07-13,507.4,509.575,498.65,505.1,408152,0.0
2017-07-16,508.28,509.88,496.76,498.08,398714,0.0
2017-07-17,495.37,499.98,494.37,498.08,292786,0.0
2017-07-18,504.99,509.135,501.1,506.72,609538,0.0
2017-07-19,510.47,524.89,509.92,521.14,526052,0.0
2017-07-20,518.46,522,513.4,515.93,395351,0.0
2017-07-23,516.94,521.77,510.7,521.28,281004,0.0
2017-07-24,523.97,526.12,510.74,513.44,381908,0.0
2017-07-25,513.77,518.57,510,515.62,234159,0.0
2017-07-26,515.77,517.44,503.98,508.4,521054,0.0
2017-07-27,507.01,513.42,499.04,508.62,423220,0.0
2017-07-30,489.67,499.14,487.1344,491.64,692299,0.0
2017-07-31,486.6,490.17,471.26,471.93,907621,0.0
2017-08-01,470.78,477.51,468.31,476.17,610269,0.0
2017-08-02,498.1,498.4975,463.3001,466.68,913188,0.0
2017-08-03,469.32,473.34,466.66,467.98,542275,0.0
2017-08-06,468.71,471.76,462.21,470.08,310760,0.0
2017-08-07,469.18,475.25,467.35,469.68,302274,0.0
2017-08-08,469.96,478.99,465.524,474.09,524430,0.0
2017-08-09,470.48,472.46,459.14,460.05,382963,0.0
2017-08-10,462.35,467.8599,459.23,466.55,291693,0.0
2017-08-13,469.97,476.87,466.99,474.49,352566,0.0
2017-08-14,473.87,475.005,470.49,472.65,235570,0.0
2017-08-15,475.58,475.58,467.24,468.5,230261,0.0
2017-08-16,469.82,470.04,461.77,464.02,417162,0.0
2017-08-17,461.9,470.86,460.56,467.89,346542,0.0
2017-08-20,467.75,472.49,467.425,469.72,308225,0.0
2017-08-21,470,483,469.2,478.65,323449,0.0
2017-08-22,475,480.92,472.32,477.14,273808,0.0
2017-08-23,477.27,488.82,474.26,485.37,362121,0.0
2017-08-24,485.25,487.77,477.38,477.81,367531,0.0
2017-08-27,483.92,486.35,477.78,479.3,403767,0.0
2017-08-28,476.88,481.35,473.37,478.96,321057,0.0
2017-08-29,480.51,495.85,477.97,487.12,492413,0.0
2017-08-30,488.4,502.4199,484,497.05,577566,0.0
2017-08-31,498.24,505.49,497.09,503.8,477696,0.0
2017-09-04,499.81,503.54,489.37,494.46,361273,0.0
2017-09-05,499.69,503.33,492.87,500.03,275570,0.0
2017-09-06,489,489,467,471.4,1128328,0.0
2017-09-07,473,479.025,470,471.33,482991,0.0
2017-09-10,451.08,454.99,441.52,444.97,1339089,0.0
2017-09-11,448.12,448.12,440,444.48,579641,0.0
2017-09-12,445,445,433.16,437.73,689837,0.0
2017-09-13,436.68,443.3,429.31,441.26,632051,0.0
2017-09-14,442.04,442.16,432.43,433.46,622928,0.0
2017-09-17,433.48,439.025,430.05,434.45,392351,0.0
2017-09-18,433.26,434.64,426.47,431.34,347278,0.0
2017-09-19,431.64,438.44,429.55,438.17,405853,0.0
2017-09-20,435,438.7703,429.47,433.5,335163,0.0
2017-09-21,431.12,433.77,427.04,432.64,434357,0.0
2017-09-24,431.99,442.9,431.64,438.17,506377,0.0
2017-09-25,440.4,442.8,433.315,434.99,230713,0.0
2017-09-26,435.64,437.71,432.5,435.34,240283,0.0
2017-09-27,433.29,439.0394,433.29,435.11,258038,0.0
2017-09-28,435.28,450.23,435.28,447.04,575109,0.0
2017-10-01,448.31,465,445.41,462.02,802974,0.0
2017-10-02,463.04,463.04,451.26,455.63,375369,0.0
2017-10-03,454.1,458.92,450.112,456.0725,326384,0.0
2017-10-04,455.95,477,451.1,463.46,1038251,0.0
2017-10-05,463.39,471,461.91,470.14,616816,0.0
2017-10-08,472.51,473.86,466.7,469.52,295739,0.0
2017-10-09,469.56,472.31,460.66,461.13,355677,0.0
2017-10-10,459.8,460.85,448.71,452.87,619092,0.0
2017-10-11,454,454.5203,444.2,447,441005,0.0
2017-10-12,448.5,449.74,441.04,442.94,454408,0.0
2017-10-15,444,453.55,443.11,445.76,336213,0.0
2017-10-16,444.41,448.57,442.01,442.52,416020,0.0
2017-10-17,443.2,444.99,435.55,439.37,373841,0.0
2017-10-18,439.59,443,438,441,437054,0.0
2017-10-19,430.17,435.16,427,432.97,691239,0.0
2017-10-22,435,437.9,430.045,432.82,539665,0.0
2017-10-23,435.52,436.75,425.61,426.43,441012,0.0
2017-10-24,424.53,429.7295,420.515,421.92,575203,0.0
2017-10-25,416.7,420.61,412.49,416.04,571145,0.0
2017-10-26,413.29,416.04,406.52,409.17,809813,0.0
2017-10-29,407.53,417.22,405,406.47,508623,0.0
2017-10-30,407.4,409.945,400.19,402.609,739537,0.0
2017-10-31,403.81,405.5042,394.56,397,872807,0.0
2017-11-01,400,402.99,395.45,397.44,1104353,0.0
2017-11-02,400.02,408.55,400.02,408.41,654228,0.0
2017-11-05,410.01,416.89,406.5,406.62,435289,0.0
2017-11-06,407.26,411.665,401.76,403.49,483055,0.0
2017-11-07,418.06,432.5,405,415.25,989759,0.0
2017-11-08,409.44,414.02,396.53,406.05,715843,0.0
2017-11-09,405.45,405.745,398.37,404.09,308520,0.0
2017-11-12,398.26,402.13,391.21,393.56,799689,0.0
2017-11-13,392.75,395.59,383.831,384.8,823787,0.0
2017-11-14,384.87,389.027,383.81,386.41,533699,0.0
2017-11-15,386.99,395.66,381.64,394.69,452397,0.0
2017-11-16,393.08,396.36,390.52,391.46,389097,0.0
2017-11-19,391.74,393.32,383.42,385.105,662346,0.0
2017-11-20,385,388.22,383.3,384.5,584802,0.0
2017-11-21,384.55,388.44,384.5,387.59,251163,0.0
