Date,Open,High,Low,Close,Volume,OpenInterest
2017-06-01,63.88,64.68,63.75,64.56,6146034,0.0
2017-06-04,64.85,64.87,64.18,64.27,4457620,0.0
2017-06-05,64.22,64.35,64.05,64.16,4056886,0.0
2017-06-06,64.13,64.295,63.34,63.5,6010634,0.0
2017-06-07,63.46,63.58,62.02,62.25,9253547,0.0
2017-06-08,62.37,62.48,61.8745,62.18,9719664,0.0
2017-06-11,61.81,61.99,60.63,61.29,8837947,0.0
2017-06-12,61.13,61.255,60.59,60.92,7455299,0.0
2017-06-13,60.63,60.82,59.86,60.27,8272331,0.0
2017-06-14,59.92,60.28,59.51,60.1,5710128,0.0
2017-06-15,59.89,60.16,59.47,60.14,7967574,0.0
2017-06-18,60.35,61,60.11,60.89,5423410,0.0
2017-06-19,60.98,61,59.7,59.85,5551298,0.0
2017-06-20,60,60.31,59.71,59.95,4361251,0.0
2017-06-21,60.09,60.1,59.4,59.5,4350371,0.0
2017-06-22,59.76,60.17,59.58,59.81,4740311,0.0
2017-06-25,60.02,60.15,59.33,59.63,4629556,0.0
2017-06-26,59.61,59.69,58.81,58.95,4469545,0.0
2017-06-27,59.06,59.25,58.8,59.18,4239738,0.0
2017-06-28,59.17,59.18,57.955,58.35,6125722,0.0
2017-06-29,58.72,58.95,58.29,58.32,5542992,0.0
2017-07-02,58.9,58.99,58.25,58.25,3354785,0.0
2017-07-04,58.43,58.5,57.8,57.94,5745998,0.0
2017-07-05,57.8,57.92,57.4,57.59,7166919,0.0
2017-07-06,57.79,58.36,57.54,58.04,4905567,0.0
2017-07-09,58.18,58.35,57.75,57.8,3209377,0.0
2017-07-10,57.91,58.08,57.53,57.91,4338999,0.0
2017-07-11,58.21,58.71,58.02,58.55,5675371,0.0
2017-07-12,58.74,58.87,58.12,58.38,7321475,0.0
2017-07-13,58.4,58.92,58.28,58.77,4077060,0.0
2017-07-16,58.76,58.87,58.28,58.33,4654726,0.0
2017-07-17,58.12,58.58,57.69,58.2,6176705,0.0
2017-07-18,58.15,58.41,57.9,58.1,5980983,0.0
2017-07-19,58.41,58.84,58,58.04,8135996,0.0
2017-07-20,57.95,58.26,57.83,57.98,5347440,0.0
2017-07-23,58,58.25,57.93,58.03,5553740,0.0
2017-07-24,58.29,58.84,57.98,58.56,5306085,0.0
2017-07-25,58.8,58.84,57.7847,57.94,7130574,0.0
2017-07-26,58.24,59.66,57.93,59.5901,17051048,0.0
2017-07-27,55.24,55.96,53.41,53.975,45940588,0.0
2017-07-30,54.48,54.68,53.95,53.995,17703554,0.0
2017-07-31,54.23,54.79,53.97,54.75,15725421,0.0
2017-08-01,54.75,55.45,54.73,55.43,13186721,0.0
2017-08-02,55.64,56.12,55.5,55.7,11475588,0.0
2017-08-03,55.95,56.05,55.09,55.42,7903830,0.0
2017-08-06,55.6,55.93,55.42,55.63,5646678,0.0
2017-08-07,55.55,55.58,54.36,54.51,9501920,0.0
2017-08-08,54.43,54.43,53.3,53.73,14761196,0.0
2017-08-09,53.52,53.7453,52.99,53.065,11523611,0.0
2017-08-10,53.05,53.4,53.05,53.19,7931491,0.0
2017-08-13,53.6,53.6,53.18,53.22,6032116,0.0
2017-08-14,53.41,53.42,52.89,53.16,5519000,0.0
2017-08-15,53.26,53.92,53.25,53.52,6148446,0.0
2017-08-16,53.32,53.78,52.99,53.04,5670704,0.0
2017-08-17,52.92,53.085,52.58,52.7,7530419,0.0
2017-08-20,53.13,53.52,52.8,53.15,9653806,0.0
2017-08-21,53.49,54.74,53.39,54.45,11517284,0.0
2017-08-22,53.96,54.1,53.65,54.08,8677944,0.0
2017-08-23,54.26,54.445,53.77,53.95,7392105,0.0
2017-08-24,54.61,54.69,54.19,54.37,6536116,0.0
2017-08-27,54.54,54.58,54.02,54.4,5153549,0.0
2017-08-28,54.05,54.29,54,54.11,5114825,0.0
2017-08-29,54.04,54.62,54.04,54.52,4585225,0.0
2017-08-30,54.68,54.99,54.57,54.86,5794060,0.0
2017-08-31,54.93,55.155,54.88,54.92,6719118,0.0
2017-09-04,54.95,55.2,54.6,55.15,7672445,0.0
2017-09-05,55.12,55.275,54.13,54.3,9093420,0.0
2017-09-06,54.42,54.675,53.25,53.47,11546054,0.0
2017-09-07,53.39,53.78,53.05,53.5,9008634,0.0
2017-09-10,53.79,54.13,53.61,54.02,7858711,0.0
2017-09-11,53.96,54.05,53.33,53.54,8733529,0.0
2017-09-12,53.54,54.72,53.53,54.29,10746981,0.0
2017-09-13,54.38,54.71,54.1,54.525,6571453,0.0
2017-09-14,54.4,54.79,54.16,54.61,7650760,0.0
2017-09-17,54.8,54.97,54.57,54.69,4848349,0.0
2017-09-18,54.84,54.88,54.56,54.625,3913370,0.0
2017-09-19,54.61,55.18,54.58,55.1404,5645829,0.0
2017-09-20,55.07,55.17,54.86,55.01,6168994,0.0
2017-09-21,55.05,55.2,54.86,55.08,5397029,0.0
2017-09-24,55.07,55.22,54.7,54.94,5665154,0.0
2017-09-25,55.06,55.22,54.795,55.15,4088499,0.0
2017-09-26,55.22,55.6,54.96,54.98,7212384,0.0
2017-09-27,54.83,55.08,54.45,54.49,6494058,0.0
2017-09-28,54.31,54.47,53.36,53.69,9825393,0.0
2017-10-01,53.86,54.04,53.75,53.81,4790903,0.0
2017-10-02,54,54.34,53.9,53.98,4899571,0.0
2017-10-03,54.12,54.2,53.69,53.92,4022813,0.0
2017-10-04,54.06,54.97,53.92,54.61,5996740,0.0
2017-10-05,54.5,55.45,54.245,55.16,8952264,0.0
2017-10-08,55.37,55.49,54.96,55.03,4693646,0.0
2017-10-09,55.1,55.8492,55.08,55.42,5415406,0.0
2017-10-10,55.46,55.8,55.26,55.63,5166841,0.0
2017-10-11,55.67,56.27,55.309,55.98,5682161,0.0
2017-10-12,56,56.43,55.61,55.71,5121554,0.0
2017-10-15,55.67,55.8,54.89,54.9,6068042,0.0
2017-10-16,54.98,55.23,54.29,54.51,9322495,0.0
2017-10-17,54.38,55.43,54.22,55.22,6447309,0.0
2017-10-18,55.08,55.5423,54.9,55.4,4596164,0.0
2017-10-19,55.22,55.4,54.175,54.56,9868407,0.0
2017-10-22,54.61,54.935,54.18,54.28,8379276,0.0
2017-10-23,54.37,54.56,54.02,54.28,6346502,0.0
2017-10-24,54.24,54.39,53.66,54.16,6312601,0.0
2017-10-25,54.5,55.75,54.5,54.91,9717372,0.0
2017-10-26,54.83,55.12,54.68,54.87,8285715,0.0
2017-10-29,54.79,55.23,54.4,55.17,5381105,0.0
2017-10-30,55.16,55.305,54.7,54.87,6286459,0.0
2017-10-31,55.1,55.59,54.94,55.13,6138981,0.0
2017-11-01,55.15,55.39,54.77,54.84,10260147,0.0
2017-11-02,54.19,56.94,54.05,56.03,25088790,0.0
2017-11-05,55.99,56.69,55.63,56.57,9224356,0.0
2017-11-06,56.53,57.29,56.33,57.22,8384881,0.0
2017-11-07,57.03,58.01,57.01,58,10605968,0.0
2017-11-08,57.2,57.66,56.785,57.36,12181474,0.0
2017-11-09,57.36,57.39,56.54,57.03,6467970,0.0
2017-11-12,56.81,57.14,56.55,56.63,6078956,0.0
2017-11-13,56.47,57,56.41,56.93,5632839,0.0
2017-11-14,56.8,57.06,56.51,56.7,6134059,0.0
2017-11-15,56.8,57.42,56.76,57.25,5852223,0.0
2017-11-16,57.3,57.43,56.84,56.93,4589972,0.0
2017-11-19,56.67,57.05,56.58,56.81,5151507,0.0
2017-11-20,56.96,57.56,56.88,57.26,4946645,0.0
2017-11-21,57.07,57.18,56.795,57.14,4703749,0.0
2017-11-23,57.19,57.19,56.71,56.79,2927050,0.0
2017-11-26,56.83,56.9207,55.751,55.9,7679943,0.0
2017-11-27,56.03,56.72,55.9101,56.66,7996518,0.0
2017-11-28,56.71,57.68,56.7,57.51,8245863,0.0
2017-11-29,57.64,58.1399,57.47,57.81,8229001,0.0
2017-11-30,57.5,57.71,56.461,57.32,10980148,0.0
2017-12-03,57.54,59.19,57.5,58.77,11299687,0.0
2017-12-04,59.25,59.68,58.91,59.34,9056228,0.0
2017-12-05,59.4,59.83,59.23,59.29,6541482,0.0
2017-12-06,59.16,59.275,58.761,59.16,4509444,0.0
2017-12-07,58.52,58.845,58.1,58.6,7036562,0.0
2017-12-10,58.39,59.35,58.29,59.05,6920531,0.0
2017-12-11,58.99,59.36,58.87,59.28,4774540,0.0
2017-12-12,59.44,59.89,59.38,59.5,4863632,0.0
2017-12-13,59.73,60.05,59.44,59.76,6193425,0.0
2017-12-14,59.25,59.37,58.1574,58.24,15397151,0.0
2017-12-17,58.44,58.786,57.89,58.04,6901335,0.0
2017-12-18,58.13,58.575,57.93,58.01,6113022,0.0
2017-12-19,58.22,58.29,57.69,57.73,5367483,0.0
2017-12-20,57.94,58.145,57.49,57.57,4326778,0.0
2017-12-21,57.57,57.91,57.12,57.295,5736300,0.0
2017-12-25,57.27,57.5799,57.05,57.14,4573219,0.0
2017-12-26,57.19,57.65,57.18,57.28,3723651,0.0
2017-12-27,57.47,58,57.3,57.82,3927059,0.0
2017-12-28,57.74,57.97,57.42,57.44,3762842,0.0
