Date,Open,High,Low,Close,Volume,OpenInterest
2017-06-01,63.66,66,63.58,65.95,836921,0.0
2017-06-04,66.19,66.35,64.65,65.24,426174,0.0
2017-06-05,64.69,65.47,64.35,64.84,390783,0.0
2017-06-06,64.97,65.42,63.57,64.21,402173,0.0
2017-06-07,64.11,65.6547,63.705,64.76,429437,0.0
2017-06-08,64.94,65.8,64.05,64.81,616069,0.0
2017-06-11,64.89,65.74,62.99,63.26,610166,0.0
2017-06-12,63.26,63.98,62.55,62.94,355831,0.0
2017-06-13,62.79,65.13,62.33,63.95,253842,0.0
2017-06-14,63.27,64.08,62.34,64.05,786539,0.0
2017-06-15,64.28,64.7,63.625,64.5,341165,0.0
2017-06-18,57.89,63.15,57.4001,61.75,3081399,0.0
2017-06-19,61.32,63.7299,61.32,61.78,839312,0.0
2017-06-20,62.09,63.75,61.81,63.44,928386,0.0
2017-06-21,63.94,64.8,63,63.2,772734,0.0
2017-06-22,62.95,63.32,61.29,61.75,1089339,0.0
2017-06-25,55.9,57.58,53.3,56.5199,7074543,0.0
2017-06-26,56.73,57.1,51.27,51.28,3556857,0.0
2017-06-27,52,55.13,50.65,54.72,2661007,0.0
2017-06-28,54.52,54.73,52.55,53.26,931922,0.0
2017-06-29,53.83,53.83,51.74,51.74,763860,0.0
2017-07-02,51.97,52.58,51.35,52.22,494679,0.0
2017-07-04,52.22,52.65,51.13,52.53,888430,0.0
2017-07-05,52.09,52.89,50.87,51.15,1033044,0.0
2017-07-06,51.37,52.23,50.8,51.37,685789,0.0
2017-07-09,51.39,51.92,50.27,51.28,934009,0.0
2017-07-10,51.26,52.01,50.74,51.77,892423,0.0
2017-07-11,52.3,54,51.97,53.74,1004775,0.0
2017-07-12,53.73,54.84,52.815,54.09,1145265,0.0
2017-07-13,54.24,54.525,53.61,53.76,587187,0.0
2017-07-16,53.89,54.45,53.61,53.77,502633,0.0
2017-07-17,53.44,53.825,53.15,53.36,490957,0.0
2017-07-18,53.95,54.73,53.56,53.99,694047,0.0
2017-07-19,54.17,54.76,53.93,54.11,655152,0.0
2017-07-20,54.19,54.73,53.76,54.39,565138,0.0
2017-07-23,54.53,55.13,54.13,55.02,543487,0.0
2017-07-24,55.43,55.73,54.21,54.51,1037461,0.0
2017-07-25,54.72,55.14,54.42,55.02,436068,0.0
2017-07-26,54.97,55.06,52.56,52.97,963101,0.0
2017-07-27,54,54,50.16,51.14,1301893,0.0
2017-07-30,51.2,51.85,50.4,50.52,662500,0.0
2017-07-31,50.62,50.71,48.65,49.21,1044570,0.0
2017-08-01,49.15,49.665,48.06,48.5,678707,0.0
2017-08-02,48.51,49.21,48.19,49.1,676421,0.0
2017-08-03,49.21,49.6,48.64,49.15,281876,0.0
2017-08-06,49.18,49.42,48.33,48.86,714950,0.0
2017-08-07,48.86,49.87,48.5,49.06,387874,0.0
2017-08-08,48.29,49.27,48.25,48.74,417394,0.0
2017-08-09,48.47,48.5,46.1,46.2,786381,0.0
2017-08-10,45.96,46.56,45.45,46.32,818591,0.0
2017-08-13,46.72,47.33,45.88,45.9,513971,0.0
2017-08-14,45.86,47.17,45.4,46.87,1133300,0.0
2017-08-15,47.02,47.9,46.59,47.17,649688,0.0
2017-08-16,46.7,47.1677,46.2,46.42,570269,0.0
2017-08-17,46.44,47.39,46.06,46.29,442749,0.0
2017-08-20,46.45,46.48,45.31,46.2,435394,0.0
2017-08-21,46.46,47.58,46.46,47.5,401064,0.0
2017-08-22,47.13,48.42,46.99,47.65,507315,0.0
2017-08-23,47.7,47.93,47.24,47.88,440882,0.0
2017-08-24,48.14,48.3,47.17,47.24,501437,0.0
2017-08-27,47.66,48.77,47.33,48.76,579621,0.0
2017-08-28,48.52,49.3506,47.77,49.26,510833,0.0
2017-08-29,49.3,49.79,48.72,49.78,985072,0.0
2017-08-30,49.99,53.4,49.7,52.53,1637925,0.0
2017-08-31,52.53,52.98,51.72,52.52,853229,0.0
2017-09-04,52.37,52.4,51.02,51.9,486134,0.0
2017-09-05,52,52.45,51.4,51.89,633716,0.0
2017-09-06,51.8,54.19,51.46,54.19,827305,0.0
2017-09-07,53.92,53.92,52.29,53.02,635383,0.0
2017-09-10,53.76,54.62,52.91,53.65,764481,0.0
2017-09-11,53.86,53.97,52.85,53.19,651091,0.0
2017-09-12,52.96,53.68,52.73,53.43,711842,0.0
2017-09-13,53.41,53.92,52.721,53.14,517541,0.0
2017-09-14,53.52,53.81,52.6,53.79,544868,0.0
2017-09-17,53.74,53.8,52.31,52.86,1131441,0.0
2017-09-18,53.21,53.21,51.17,51.8,597330,0.0
2017-09-19,51.57,52.95,51.4095,52.85,703493,0.0
2017-09-20,52.87,52.94,51.665,52.36,965395,0.0
2017-09-21,52.4,52.55,51.96,52.47,330317,0.0
2017-09-24,52.5,53.52,52.1,52.97,484948,0.0
2017-09-25,52.8,53.09,51.77,52.55,813917,0.0
2017-09-26,52.78,53.48,52.66,53.37,309552,0.0
2017-09-27,53.5,54.59,53.18,53.94,472700,0.0
2017-09-28,53.89,54.61,53.565,54.42,313714,0.0
2017-10-01,57.01,59.03,55.66,58.72,2735121,0.0
2017-10-02,58.8,58.99,56.955,57.97,1203508,0.0
2017-10-03,58.02,58.273,57.535,58.26,784070,0.0
2017-10-04,58.16,58.68,57.58,58.36,512785,0.0
2017-10-05,58.04,58.46,57.14,57.51,509044,0.0
2017-10-08,57.73,58.2,57.27,57.56,352854,0.0
2017-10-09,57.74,58.09,57.46,57.7,530196,0.0
2017-10-10,57.84,63.35,57.43,61.47,2995411,0.0
2017-10-11,61.63,62.18,60.13,61.77,1635813,0.0
2017-10-12,61.75,63.19,61.3101,63.01,945824,0.0
2017-10-15,63.11,64.07,62.0768,62.93,775772,0.0
2017-10-16,62.79,64.43,62.59,64.07,955864,0.0
2017-10-17,64,64.76,63.25,63.7,737610,0.0
2017-10-18,63.1,64.08,62.9,64,597180,0.0
2017-10-19,65,65.15,63.3,63.86,1070559,0.0
2017-10-22,63.94,64.08,62.27,62.39,718765,0.0
2017-10-23,63.1,63.7,61.88,62.33,846345,0.0
2017-10-24,62.3,63.1876,60.94,61.98,786836,0.0
2017-10-25,61.47,62.1599,60.37,61.29,769110,0.0
2017-10-26,65,65,61.45,62.75,978658,0.0
2017-10-29,62.55,63.88,61.58,62.68,932274,0.0
2017-10-30,62.95,63.3,61.25,61.32,701429,0.0
2017-10-31,61.59,61.59,60.12,60.28,996175,0.0
2017-11-01,60.15,62.47,59.22,60.78,507633,0.0
2017-11-02,60.5,62.2,60.115,61.35,546467,0.0
2017-11-05,61.24,61.58,58.71,58.75,700272,0.0
2017-11-06,58.92,59.3,58.13,58.46,635527,0.0
2017-11-07,58.31,58.43,57.33,57.86,429210,0.0
2017-11-08,57.42,58.16,56.65,57.9,563926,0.0
2017-11-09,57.84,58.67,57.21,57.96,360105,0.0
2017-11-12,57.67,58.15,56.77,57.12,598336,0.0
2017-11-13,56.81,57.28,55.86,57.2,457097,0.0
2017-11-14,56.89,58.47,56.66,57.6,458377,0.0
2017-11-15,57.83,59.39,57.35,59.3,606287,0.0
2017-11-16,58.7,59.86,58.5001,59.77,450025,0.0
2017-11-19,59.62,59.83,58.49,58.7,497120,0.0
2017-11-20,59.01,60.6,58.5501,59.05,675443,0.0
2017-11-21,59.06,59.58,58.32,59.13,310973,0.0
2017-11-23,59.29,59.46,58.54,58.94,165901,0.0
2017-11-26,59.08,59.65,57.81,58.62,631911,0.0
2017-11-27,58.76,59.04,57.53,58.67,735237,0.0
2017-11-28,57.78,59.54,57.35,59.15,686620,0.0
2017-11-29,59.6,62.11,59.33,60.93,831813,0.0
2017-11-30,60.81,61.21,58.15,59.45,751874,0.0
2017-12-03,59.55,60.86,57.72,57.88,373919,0.0
2017-12-04,57.9,58.29,55.93,56.06,660065,0.0
2017-12-05,56.09,57.47,55.325,56.77,599074,0.0
2017-12-06,56.95,57.79,56.05,57.34,374204,0.0
2017-12-07,57.56,59.42,57.52,59.26,543101,0.0
2017-12-10,55,57.15,53.03,55.27,2846526,0.0
2017-12-11,55.01,55.27,53.83,54.605,1229092,0.0
2017-12-12,55.06,56.26,54.2017,55.68,1043021,0.0
2017-12-13,55.87,55.99,51.4,51.83,1134319,0.0
2017-12-14,51.95,53.07,51.06,52.61,1375097,0.0
2017-12-17,52.57,53,51.47,52.44,849412,0.0
2017-12-18,52.23,52.84,51.68,52.58,608891,0.0
2017-12-19,52.98,52.98,51.73,52.38,665743,0.0
2017-12-20,52.24,53.08,51.92,52.77,597988,0.0
2017-12-21,52.78,53.46,52.48,53.44,673974,0.0
2017-12-25,53.54,53.97,52.75,53.58,536754,0.0
2017-12-26,53.76,54.84,53.29,54.68,390149,0.0
2017-12-27,54.94,55.16,54.335,55.02,362260,0.0
2017-12-28,55.17,55.4,53.44,53.52,337910,0.0
