Date,Open,High,Low,Close,Volume,OpenInterest
2017-06-01,5.44,5.5,5.415,5.485,26999281,0.0
2017-06-04,5.49,5.49,5.38,5.385,23555251,0.0
2017-06-05,5.38,5.385,5.19,5.295,40733482,0.0
2017-06-06,5.28,5.365,5.23,5.315,14017859,0.0
2017-06-07,5.29,5.415,5.24,5.395,26399514,0.0
2017-06-08,5.4,5.42,5.13,5.2,36863455,0.0
2017-06-11,5.18,5.27,5.11,5.2,23516670,0.0
2017-06-12,5.18,5.26,5.17,5.245,13838223,0.0
2017-06-13,5.26,5.26,5.15,5.17,15395470,0.0
2017-06-14,5.15,5.18,5.09,5.18,15523440,0.0
2017-06-15,5.15,5.21,5.12,5.175,22456396,0.0
2017-06-18,5.2,5.28,5.18,5.23,16412656,0.0
2017-06-19,5.22,5.27,5.18,5.185,22017825,0.0
2017-06-20,5.18,5.3,5.16,5.24,19890726,0.0
2017-06-21,5.25,5.3,5.21,5.24,13389013,0.0
2017-06-22,5.25,5.39,5.24,5.345,29743804,0.0
2017-06-25,5.37,5.435,5.3,5.3,16864064,0.0
2017-06-26,5.29,5.37,5.26,5.27,17401758,0.0
2017-06-27,5.27,5.41,5.27,5.405,16215734,0.0
2017-06-28,5.4,5.44,5.28,5.385,24416066,0.0
2017-06-29,5.42,5.49,5.345,5.465,29771822,0.0
2017-07-02,5.5,5.5,5.37,5.37,9414686,0.0
2017-07-04,5.37,5.45,5.37,5.43,15658955,0.0
2017-07-05,5.42,5.43,5.34,5.36,13704670,0.0
2017-07-06,5.35,5.42,5.34,5.37,11386940,0.0
2017-07-09,5.36,5.4,5.32,5.35,22429118,0.0
2017-07-10,5.35,5.4,5.32,5.39,11013955,0.0
2017-07-11,5.41,5.44,5.38,5.405,15082760,0.0
2017-07-12,5.39,5.47,5.39,5.44,16782813,0.0
2017-07-13,5.46,5.48,5.43,5.475,11326494,0.0
2017-07-16,5.46,5.48,5.445,5.47,9495049,0.0
2017-07-17,5.45,5.47,5.39,5.42,15437042,0.0
2017-07-18,5.41,5.46,5.39,5.43,15035875,0.0
2017-07-19,5.44,5.49,5.43,5.465,10166229,0.0
2017-07-20,5.45,5.47,5.39,5.47,15545221,0.0
2017-07-23,5.47,5.48,5.37,5.375,21873663,0.0
2017-07-24,5.38,5.45,5.38,5.39,15932292,0.0
2017-07-25,5.42,5.49,5.39,5.39,34962610,0.0
2017-07-26,5.55,5.89,5.55,5.82,69309506,0.0
2017-07-27,5.78,5.87,5.75,5.81,20040232,0.0
2017-07-30,5.86,5.89,5.81,5.86,15437701,0.0
2017-07-31,5.89,5.89,5.72,5.795,24258368,0.0
2017-08-01,5.76,5.78,5.61,5.67,17673203,0.0
2017-08-02,5.66,5.74,5.625,5.645,13348545,0.0
2017-08-03,5.65,5.675,5.55,5.555,17581901,0.0
2017-08-06,5.55,5.61,5.55,5.61,13061391,0.0
2017-08-07,5.58,5.64,5.53,5.56,19072601,0.0
2017-08-08,5.53,5.58,5.48,5.545,17450464,0.0
2017-08-09,5.5,5.54,5.49,5.505,15798399,0.0
2017-08-10,5.47,5.605,5.46,5.575,16593015,0.0
2017-08-13,5.62,5.66,5.59,5.625,13935071,0.0
2017-08-14,5.62,5.635,5.52,5.61,20246019,0.0
2017-08-15,5.61,5.625,5.55,5.585,10250450,0.0
2017-08-16,5.56,5.58,5.47,5.49,17089576,0.0
2017-08-17,5.45,5.52,5.44,5.485,11449768,0.0
2017-08-20,5.49,5.53,5.47,5.525,9890177,0.0
2017-08-21,5.53,5.67,5.53,5.665,19559162,0.0
2017-08-22,5.63,5.66,5.56,5.56,16401166,0.0
2017-08-23,5.57,5.6,5.52,5.575,10056037,0.0
2017-08-24,5.59,5.62,5.56,5.58,9603809,0.0
2017-08-27,5.59,5.61,5.55,5.585,9264438,0.0
2017-08-28,5.54,5.63,5.52,5.63,9797770,0.0
2017-08-29,5.61,5.75,5.61,5.695,15640114,0.0
2017-08-30,5.71,5.75,5.68,5.745,12336114,0.0
2017-08-31,5.74,5.75,5.675,5.695,12421497,0.0
2017-09-04,5.68,5.7,5.565,5.585,18807853,0.0
2017-09-05,5.58,5.63,5.55,5.605,13366009,0.0
2017-09-06,5.6,5.63,5.51,5.55,14947128,0.0
2017-09-07,5.54,5.54,5.4,5.48,22728036,0.0
