Date,Open,High,Low,Close,Volume,OpenInterest
2017-06-01,75.13,75.99,74.99,75.83,988798,0.0
2017-06-04,75.61,76.25,75.61,75.77,688360,0.0
2017-06-05,75.71,76.43,75.41,75.81,649261,0.0
2017-06-06,76.23,76.33,75.58,76.07,644668,0.0
2017-06-07,76.12,76.45,75.72,76.12,593928,0.0
2017-06-08,75.95,76.57,74.43,74.93,948525,0.0
2017-06-11,74.39,74.76,73.05,73.88,1198748,0.0
2017-06-12,74.12,74.67,73.95,74.66,930270,0.0
2017-06-13,74.95,74.96,73.71,74.34,743531,0.0
2017-06-14,74.11,74.11,73.13,74.01,752993,0.0
2017-06-15,73.77,74.325,73.58,73.8,756511,0.0
2017-06-18,73.73,75.175,73.72,74.71,777379,0.0
2017-06-19,74.45,75.27,74.45,74.61,617528,0.0
2017-06-20,74.95,74.98,74.14,74.66,631478,0.0
2017-06-21,74.74,74.92,74.04,74.6,614635,0.0
2017-06-22,74.59,74.87,74.31,74.36,605586,0.0
2017-06-25,74.36,74.935,74.26,74.51,592558,0.0
2017-06-26,74.39,74.815,73.61,73.64,640343,0.0
2017-06-27,73.98,74.46,73.65,74.269,576470,0.0
2017-06-28,74.04,74.25,72.4,72.97,630580,0.0
2017-06-29,73.02,73.35,72.755,72.92,461190,0.0
2017-07-02,73.37,73.44,72.08,72.1,370026,0.0
2017-07-04,72.43,72.99,72.0501,72.74,763103,0.0
2017-07-05,72.48,72.655,71.94,72.53,701144,0.0
2017-07-06,72.67,73.53,72.26,73.17,450820,0.0
2017-07-09,73.22,73.841,73.04,73.52,532889,0.0
2017-07-10,73.51,73.89,73.0358,73.55,459529,0.0
2017-07-11,74,75.25,73.4257,75.16,666615,0.0
2017-07-12,75.16,75.43,74.71,74.9,460306,0.0
2017-07-13,75.04,75.41,74.67,75.26,354176,0.0
2017-07-16,75.3,75.83,75.02,75.64,351748,0.0
2017-07-17,75.49,75.69,75.16,75.66,255743,0.0
2017-07-18,75.85,76.51,75.74,76.41,375854,0.0
2017-07-19,76.48,76.56,75.49,75.84,386808,0.0
2017-07-20,75.59,76.18,75.59,75.9,299264,0.0
2017-07-23,75.95,76.36,75.7276,76.34,216379,0.0
2017-07-24,76.02,76.97,76.02,76.41,585670,0.0
2017-07-25,76.57,77.25,76.47,76.69,262858,0.0
2017-07-26,76.85,77.29,75.61,76.36,520998,0.0
2017-07-27,76.23,76.68,75.98,76.43,226034,0.0
2017-07-30,76.6,76.85,76.08,76.58,325521,0.0
2017-07-31,76.9,76.9,76.37,76.76,379714,0.0
2017-08-01,76.81,76.96,75.63,76.03,446247,0.0
2017-08-02,76.11,76.28,75.53,76.08,517081,0.0
2017-08-03,76.06,76.64,75.82,76.61,251464,0.0
2017-08-06,76.69,77.22,76.48,77.14,341250,0.0
2017-08-07,77.13,77.55,76.75,76.82,540000,0.0
2017-08-08,76.45,77.05,76.2288,76.85,413530,0.0
2017-08-09,76.56,76.6952,75.59,75.64,591999,0.0
2017-08-10,76,76.5,75.63,76.28,425769,0.0
2017-08-13,76.86,77.495,76.83,77.29,337144,0.0
2017-08-14,77.49,78.97,76.95,78.21,721980,0.0
2017-08-15,78.31,79.45,78.06,79.09,704999,0.0
2017-08-16,76.72,79.66,76.6125,76.76,1251831,0.0
2017-08-17,76.83,78.005,76.71,77.22,914489,0.0
2017-08-20,77.32,78.015,77.16,77.95,580231,0.0
2017-08-21,78.22,78.94,77.89,78.84,497099,0.0
2017-08-22,78.57,78.94,78.51,78.53,461829,0.0
2017-08-23,78.68,78.78,77.87,78.55,354724,0.0
2017-08-24,78.75,79.36,78.43,78.49,510363,0.0
2017-08-27,78.83,79.03,78.4454,78.8,594458,0.0
2017-08-28,78.14,78.9889,78,78.82,525082,0.0
2017-08-29,78.71,79.86,78.66,79.6,376553,0.0
2017-08-30,79.75,80.45,79.57,80.41,611274,0.0
2017-08-31,80.05,80.7,80.05,80.41,539163,0.0
2017-09-04,79.99,80.38,79.28,80,458754,0.0
2017-09-05,80.07,80.1901,79.52,80,490135,0.0
2017-09-06,80.12,80.55,79.78,79.79,554164,0.0
2017-09-07,79.78,79.96,79.33,79.54,415330,0.0
2017-09-10,79.93,80.49,79.34,79.6,560200,0.0
2017-09-11,79.62,79.685,78.66,79.57,660992,0.0
2017-09-12,79.37,79.37,78.88,79.11,235534,0.0
2017-09-13,79.01,80.46,78.73,80.2,504178,0.0
2017-09-14,80.13,80.48,79.52,79.8,574624,0.0
2017-09-17,79.94,80.59,79.88,80.43,395253,0.0
2017-09-18,80.6,81.57,80.47,81.15,556229,0.0
2017-09-19,81,81.23,80.1,80.68,449911,0.0
2017-09-20,80.73,80.8,79.76,80.07,276849,0.0
2017-09-21,79.72,80.65,79.72,80.37,282192,0.0
2017-09-24,80.19,80.3499,79.04,79.43,295841,0.0
2017-09-25,79.71,80.02,79,79.16,382382,0.0
2017-09-26,79.5,80.13,79.39,79.82,395226,0.0
2017-09-27,79.63,79.99,79.1501,79.87,246795,0.0
2017-09-28,79.94,80.55,79.69,80.54,520191,0.0
2017-10-01,80.67,81.54,80.67,81.17,777059,0.0
2017-10-02,81.27,81.53,81.04,81.27,416789,0.0
2017-10-03,81.13,81.93,80.94,81.89,300610,0.0
2017-10-04,82,82.16,81.52,82.07,306557,0.0
2017-10-05,82.03,82.545,81.52,82.48,283577,0.0
2017-10-08,82.48,82.84,82.401,82.71,242031,0.0
2017-10-09,82.57,82.74,82.18,82.66,418487,0.0
2017-10-10,82.66,83.41,82.65,82.86,1127335,0.0
2017-10-11,83.1,84.93,83,84.74,761039,0.0
2017-10-12,84.96,85,84.3,84.62,595219,0.0
2017-10-15,84.6,84.995,84.05,84.07,331980,0.0
2017-10-16,83.77,84,83.47,83.74,320705,0.0
2017-10-17,83.7,83.725,82.72,83.18,307287,0.0
2017-10-18,82.69,83.39,82.44,83.38,469871,0.0
2017-10-19,83.72,84.55,83.64,84.32,418094,0.0
2017-10-22,84.53,84.98,84.18,84.28,334252,0.0
2017-10-23,84.31,84.95,83.92,84.79,466884,0.0
2017-10-24,85.45,86.81,85.22,85.69,910782,0.0
2017-10-25,85.99,87,85.74,86.8,750872,0.0
2017-10-26,87.45,87.9,86.13,87.19,517335,0.0
2017-10-29,86.87,87.18,86.05,86.27,586543,0.0
2017-10-30,86.58,86.69,86.14,86.52,376948,0.0
2017-10-31,87.07,87.21,85.71,86.13,479001,0.0
2017-11-01,86.16,87.01,86.05,86.95,439351,0.0
2017-11-02,86.9,87.52,86.56,86.92,432857,0.0
2017-11-05,86.96,87.47,86.02,87.23,455437,0.0
2017-11-06,87.4,87.91,86.75,86.9,774516,0.0
2017-11-07,86.89,87.24,86.8,87.05,636388,0.0
2017-11-08,86.48,86.955,85.68,86.89,452490,0.0
2017-11-09,86.41,87.34,86.28,87.29,1029623,0.0
2017-11-12,87.08,87.94,87.05,87.81,534532,0.0
2017-11-13,87.54,88.08,87.27,87.76,675474,0.0
2017-11-14,87.36,88.08,87.08,87.63,468318,0.0
2017-11-15,88.06,89.23,87.912,89.04,792137,0.0
2017-11-16,88.89,89.4,88.35,88.37,590646,0.0
2017-11-19,88.51,89.03,88.42,88.88,515354,0.0
2017-11-20,89.28,89.81,89.05,89.37,410352,0.0
2017-11-21,89.29,89.56,88.88,89.34,359150,0.0
2017-11-23,89.55,90.33,89.46,90.14,226291,0.0
2017-11-26,90.08,90.08,89.08,89.23,675252,0.0
2017-11-27,89.82,90.31,89.3,89.82,674100,0.0
2017-11-28,89.7,89.74,86.4701,86.66,1159486,0.0
2017-11-29,94.7,94.8,90.36,90.38,1966309,0.0
2017-11-30,90.44,91.19,88.29,90.32,1353054,0.0
2017-12-03,90.62,91.4453,87.71,87.72,843132,0.0
2017-12-04,87.46,89.01,87.01,87.36,761274,0.0
2017-12-05,87.27,88.79,86.77,88.64,733130,0.0
2017-12-06,89.05,90.54,88.55,90.33,848819,0.0
2017-12-07,90.67,91.32,90.32,90.53,755783,0.0
2017-12-10,90.42,91,89.43,89.56,692868,0.0
2017-12-11,87.39,88.53,86.7792,87.59,1037367,0.0
2017-12-12,88.05,89.2,87.88,88.25,750840,0.0
2017-12-13,88.5,89.03,87.53,87.99,654823,0.0
2017-12-14,88.16,88.84,87.51,87.86,1513761,0.0
2017-12-17,88.7,89.54,87.7183,87.93,1037209,0.0
2017-12-18,87.87,88.55,87.41,88.36,896559,0.0
2017-12-19,88.46,88.46,86.94,87.1,491752,0.0
2017-12-20,87.58,87.81,86.23,86.49,418573,0.0
2017-12-21,86.4,86.42,85.34,85.81,625998,0.0
2017-12-25,85.65,85.91,85.225,85.35,625807,0.0
2017-12-26,85.5,86.23,85.05,85.7,734413,0.0
2017-12-27,86,86.24,85.17,85.65,426110,0.0
2017-12-28,85.57,86.16,85.22,85.25,383789,0.0
2018-01-01,85.9,86.13,85.08,86.03,717631,0.0
2018-01-02,85.94,87.25,85.74,87.05,629618,0.0
2018-01-03,87.25,88.7,87.05,87.89,732784,0.0
2018-01-04,88.28,89.4,87.9,88.93,642780,0.0
2018-01-07,88.74,89.92,88.56,89.77,508725,0.0
2018-01-08,89.91,90.47,89.36,89.72,549474,0.0
2018-01-09,89.28,89.6,88.84,89.33,476493,0.0
2018-01-10,89.41,90.41,89.06,89.71,484220,0.0
2018-01-11,89.89,90.6,89.55,90.37,300370,0.0
2018-01-15,90.41,91.29,89.03,89.27,684844,0.0
2018-01-16,89.94,91.29,89.82,91,401875,0.0
2018-01-17,90.75,92.02,90.75,91.47,631633,0.0
2018-01-18,91.88,92.69,91.365,92.6,648167,0.0
2018-01-21,92.47,93.49,92.04,92.95,483377,0.0
2018-01-22,93.02,93.46,92.5,93.38,348541,0.0
2018-01-23,93.83,94.14,92.72,92.84,417032,0.0
2018-01-24,93.16,93.69,91.71,91.91,440429,0.0
2018-01-25,92.43,93.08,92.16,92.95,481715,0.0
2018-01-28,92.52,92.985,91.2,91.26,562426,0.0
2018-01-29,91.23,91.92,90.99,91.34,521933,0.0
2018-01-30,91.51,92.91,91.275,92.61,675904,0.0
2018-01-31,91.89,92.94,90.89,91.38,704784,0.0
2018-02-01,90.83,91.57,90.14,90.17,627868,0.0
2018-02-04,89.92,91.37,87.62,87.62,997727,0.0
2018-02-05,86.6,87.92,83.83,87.45,1240737,0.0
2018-02-06,86.89,87.68,85.82,85.86,1043371,0.0
2018-02-07,85.85,86.25,82.56,82.62,1293598,0.0
2018-02-08,83.32,85.16,82.1,84.35,1201514,0.0
2018-02-11,84.77,85.79,84.38,85.33,672229,0.0
2018-02-12,84.76,85.77,84.36,85.52,532614,0.0
2018-02-13,84.77,86.68,84.56,86.62,1020896,0.0
2018-02-14,87.03,89.13,86.39,88.98,811505,0.0
2018-02-15,88.86,89.76,88.771,89.06,840005,0.0
2018-02-19,88.84,89.99,88.52,89.77,767679,0.0
2018-02-20,89.9,90.39,88.42,88.53,981658,0.0
2018-02-21,91.15,92.88,84.35,84.37,2777581,0.0
2018-02-22,85.2,85.58,84.22,85.25,1152566,0.0
2018-02-25,85.79,86.225,84.89,85.47,634449,0.0
2018-02-26,85.9,86.37,84.87,84.92,724256,0.0
2018-02-27,85.27,86.14,84.67,84.67,614380,0.0
2018-02-28,84.67,85.19,83.62,84.53,1263731,0.0
2018-03-01,83.81,85.95,83.09,85.77,700877,0.0
2018-03-04,85.44,86.39,84.5,86.06,444997,0.0
2018-03-05,86.21,86.8,86.03,86.27,533218,0.0
2018-03-06,85.96,86.82,85.78,86.74,425676,0.0
2018-03-07,87,88.75,86.79,88.64,1099986,0.0
2018-03-08,88.96,89.86,88.14,89.73,603260,0.0
2018-03-11,89.9,89.99,89.06,89.09,369886,0.0
2018-03-12,89.58,90.1,88.17,88.49,488814,0.0
2018-03-13,88.92,89.09,87.29,87.83,372848,0.0
2018-03-14,88.04,88.59,87.415,87.81,376226,0.0
2018-03-15,88.11,88.44,87.49,88.06,525085,0.0
2018-03-18,87.72,87.91,85.76,86.64,520046,0.0
2018-03-19,86.71,87.25,86.52,86.71,319702,0.0
2018-03-20,86.6,87.51,86.14,86.6,439131,0.0
2018-03-21,85.72,86.44,84.74,84.82,557610,0.0
2018-03-22,84.74,85,82.34,82.36,486139,0.0
2018-03-25,83.43,84.32,82.66,84.23,532520,0.0
2018-03-26,84.69,85.41,82.5,82.9,673019,0.0
2018-03-27,82.81,84.01,82.15,82.3,816859,0.0
2018-03-28,82.7,84.49,82.46,83.24,609119,0.0
2018-04-01,83.01,83.4,80.13,80.78,778043,0.0
2018-04-02,81.04,81.86,80.51,81.64,530385,0.0
2018-04-03,80.67,82.94,80.26,82.74,640307,0.0
2018-04-04,83.4,83.78,82.81,82.96,515663,0.0
2018-04-05,82.55,83.03,80.91,81.39,867651,0.0
2018-04-08,81.76,83.41,81.6284,81.76,444996,0.0
2018-04-09,82.53,83.26,81.96,82.63,778007,0.0
2018-04-10,82.22,83.9,82.15,83.15,570537,0.0
2018-04-11,83.28,84.93,82.5828,84.47,374197,0.0
2018-04-12,84.84,84.94,83.55,83.82,518151,0.0
2018-04-15,84.06,84.56,83.37,84.48,623720,0.0
2018-04-16,85,86.27,84.42,86.2,576392,0.0
2018-04-17,85.89,86.2699,85.34,85.69,367727,0.0
2018-04-18,85.42,85.745,83.82,84.14,571483,0.0
2018-04-19,84,84.1684,82.64,83,1124585,0.0
2018-04-22,83.32,83.88,82.555,82.6,639689,0.0
2018-04-23,83.48,85.12,83.02,84.04,1298744,0.0
2018-04-24,83.94,85.27,82.38,83.75,1040924,0.0
2018-04-25,84.08,85.62,83.67,85.41,691930,0.0
2018-04-26,85.47,85.78,84.69,85.2,482921,0.0
2018-04-29,85.5,85.9,85.2443,85.48,700039,0.0
2018-04-30,85.4,86.15,85.17,86.06,446464,0.0
2018-05-01,85.84,86.49,85.4,86.03,651797,0.0
2018-05-02,85.87,86.53,85.14,86.49,842056,0.0
2018-05-03,86.13,88.03,85.55,87.73,328302,0.0
2018-05-06,88.1,89.31,88.02,89,737234,0.0
2018-05-07,88.89,89.62,88.3911,89.06,570573,0.0
2018-05-08,89.26,90.975,88.96,90.83,503019,0.0
2018-05-09,91.03,91.39,90.71,91.19,700695,0.0
2018-05-10,91.05,91.64,90.66,91.01,538933,0.0
2018-05-13,91.15,91.4,89.79,89.81,521781,0.0
2018-05-14,89.18,89.435,88.45,88.69,698769,0.0
2018-05-15,88.71,89.17,88.17,88.97,586461,0.0
2018-05-16,88.76,89.35,88.3144,88.9,334488,0.0
2018-05-17,88.89,89.5,88.67,89.26,653775,0.0
2018-05-20,89.58,89.96,89.04,89.44,474221,0.0
2018-05-21,89.62,90.1599,89.14,89.27,507225,0.0
2018-05-22,88.75,90.34,88.21,90.32,726468,0.0
2018-05-23,88.1,90.33,86.51,88.53,1712643,0.0
2018-05-24,88.81,88.81,87.69,88.35,620833,0.0
2018-05-28,87.98,88.24,87.26,87.77,552951,0.0
2018-05-29,88.11,88.49,87.49,87.49,429785,0.0
2018-05-30,88.07,88.86,87.61,88.09,718690,0.0
2018-05-31,88.49,89.54,88,89.46,551155,0.0
2018-06-03,89.38,89.95,88.77,89.66,385389,0.0
2018-06-04,90,90.43,89.67,90.32,562345,0.0
2018-06-05,90.97,91.53,90.65,91.48,635546,0.0
2018-06-06,91.31,91.67,89.47,90.13,525185,0.0
2018-06-07,89.93,90.54,89.5,90.51,454260,0.0
2018-06-10,90.5,90.66,90.12,90.59,364824,0.0
2018-06-11,90.65,91.05,90.2501,90.79,267978,0.0
2018-06-12,90.79,91.39,90.32,90.5,357712,0.0
2018-06-13,90.86,91.36,90.34,90.87,299223,0.0
2018-06-14,90.9,90.92,89.83,90.56,592224,0.0
2018-06-17,89.56,90.57,89.1874,90.48,635898,0.0
2018-06-18,89.6,89.93,88.945,89.19,765228,0.0
2018-06-19,89.7,90.99,89.38,90.3,709481,0.0
2018-06-20,90.29,90.72,89.14,89.23,429529,0.0
2018-06-21,89.52,89.7,88.05,88.12,468743,0.0
2018-06-24,87.69,88.09,85.97,86.52,722058,0.0
2018-06-25,86.67,87.25,86.31,86.39,531285,0.0
2018-06-26,86.6,87.44,84.45,84.58,817234,0.0
2018-06-27,84.56,85.26,84.01,84.99,474016,0.0
2018-06-28,85.27,86.13,85.157,85.59,814858,0.0
2018-07-01,85.13,86.46,84.75,86.42,483865,0.0
2018-07-02,86.89,87.085,85.87,86.27,332006,0.0
2018-07-04,86.86,87.41,86.4,87.17,424444,0.0
2018-07-05,87.14,88.27,87.13,88.19,517740,0.0
2018-07-08,88.52,88.75,87.75,88.5,510032,0.0
2018-07-09,88.82,89.05,88.26,88.98,716597,0.0
2018-07-10,88.23,89.29,88.23,89.19,618874,0.0
2018-07-11,89.68,91.56,89.17,91.47,635078,0.0
2018-07-12,91.22,91.67,91.09,91.42,411080,0.0
2018-07-15,91.58,91.79,91.21,91.5,605827,0.0
2018-07-16,91,92.449,90.785,92.12,751213,0.0
2018-07-17,92.11,92.62,91.6,91.94,930051,0.0
2018-07-18,91.75,92.34,91.55,91.78,511751,0.0
2018-07-19,91.73,92.5,91.6,91.69,788355,0.0
2018-07-22,91.69,92,91.22,91.83,387650,0.0
2018-07-23,92.25,92.7,91.675,91.97,722882,0.0
2018-07-24,91.84,93.17,91.84,93.17,792598,0.0
2018-07-25,93.1,93.58,92.83,93.15,454407,0.0
2018-07-26,93.23,93.66,91.91,92.58,1389406,0.0
2018-07-29,92.39,92.75,89.27,89.3,1469083,0.0
2018-07-30,89.61,90.04,88.48,89.43,670209,0.0
2018-07-31,89.23,90.44,89.23,89.76,473653,0.0
2018-08-01,89.02,90.7,89.02,90.66,761264,0.0
2018-08-02,90.9,91.23,90.3,91.12,334285,0.0
2018-08-05,91.04,92.38,90.7,92.33,502809,0.0
2018-08-06,92.42,92.89,91.98,92.65,999602,0.0
2018-08-07,92.67,92.99,92.17,92.86,474136,0.0
2018-08-08,92.99,93.74,92.96,93.41,709004,0.0
2018-08-09,92.77,93.87,92.77,93.54,784232,0.0
2018-08-12,93.65,94.105,92.39,92.85,596278,0.0
2018-08-13,92.9,93.47,92.65,93.2,386750,0.0
2018-08-14,92.59,93.1,91.63,92.63,507295,0.0
