Date,Open,High,Low,Close,Volume,OpenInterest
2017-05-30,61.84,61.84,60.69,61.24,1253358,0.0
2017-05-31,61.59,62,60.94,61.61,1241190,0.0
2017-06-01,61.46,62.76,61.365,62.49,1252760,0.0
2017-06-04,62.51,63,62.36,62.55,1231617,0.0
2017-06-05,62.38,63.56,62.16,62.85,977330,0.0
2017-06-06,62.78,62.9304,61.05,61.53,1283775,0.0
2017-06-07,61.52,61.69,60.98,61.41,1527523,0.0
2017-06-08,61.47,61.79,57.68,58.27,2610302,0.0
2017-06-11,57.43,57.81,55.21,57.81,3666896,0.0
2017-06-12,58.15,58.89,57.68,58.09,1784438,0.0
2017-06-13,58.31,58.51,56.6401,57.59,1330066,0.0
2017-06-14,54.31,58.08,54.17,57.74,2485376,0.0
2017-06-15,57.68,58.66,57.19,57.51,1450813,0.0
2017-06-18,57.94,58.25,57.27,57.78,1016597,0.0
2017-06-19,57.6,57.8,56.84,56.92,1110315,0.0
2017-06-20,57.24,58.02,56.71,57.13,1329754,0.0
2017-06-21,58.26,59.0803,58.07,58.83,1411675,0.0
2017-06-22,58.78,59.09,58.28,58.43,1089366,0.0
2017-06-25,58.44,59.29,57.67,57.8,964677,0.0
2017-06-26,57.54,57.54,55.92,56.08,1342385,0.0
2017-06-27,56.53,57.5,56.18,57.04,2165157,0.0
2017-06-28,57.01,57.9,56.35,57.79,2904429,0.0
2017-06-29,57.7,57.82,56.86,56.89,1012948,0.0
2017-07-02,57.34,57.53,56.13,56.4,629436,0.0
2017-07-04,56.26,56.98,55.97,56.49,711430,0.0
2017-07-05,56.16,56.84,55.97,56.27,681510,0.0
2017-07-06,56.46,57.37,56.305,57.22,656621,0.0
2017-07-09,57.43,58.14,57.08,57.62,860985,0.0
2017-07-10,57.66,59.05,57.4801,58.51,1186120,0.0
2017-07-11,59.2,61.655,58.65,60.73,2288875,0.0
2017-07-12,60.97,61.21,60.23,60.39,1395627,0.0
2017-07-13,60.2,60.56,59.56,59.84,825596,0.0
2017-07-16,59.94,60.47,59.69,60.07,656808,0.0
2017-07-17,59.98,60.95,59.9,60.84,833713,0.0
2017-07-18,61.16,62.3,61.16,61.95,1515786,0.0
2017-07-19,62.02,62.1331,61.11,61.56,1348990,0.0
2017-07-20,61.22,61.3751,60.72,61.05,518496,0.0
2017-07-23,61.16,61.365,60.82,61.3,634215,0.0
2017-07-24,61.23,61.87,60.55,61.48,421378,0.0
2017-07-25,61.78,62.11,61.3,62.055,613729,0.0
2017-07-26,62.2,62.2,59.05,60.33,843132,0.0
2017-07-27,60.33,60.51,59.76,60.06,569937,0.0
2017-07-30,60.22,60.5,59.45,60.01,872678,0.0
2017-07-31,60.38,60.55,59.8,60.19,543414,0.0
2017-08-01,60.54,60.57,58.385,58.57,894727,0.0
2017-08-02,58.98,59.8,58.76,59.41,919247,0.0
2017-08-03,59.49,60.02,59.1,59.75,487722,0.0
2017-08-06,59.9,59.9,58.91,58.99,730160,0.0
2017-08-07,58.86,59.47,58.46,58.9,732124,0.0
2017-08-08,58.55,59.13,58.46,58.81,522328,0.0
2017-08-09,58.68,58.7999,56.795,56.83,920004,0.0
2017-08-10,56.81,58.36,56.81,58.19,812148,0.0
2017-08-13,58.78,59.38,58.56,58.59,920233,0.0
2017-08-14,58.65,58.93,57.42,58.26,676644,0.0
2017-08-15,58.37,61.05,58.31,60.76,1429045,0.0
2017-08-16,60.62,60.92,59.1,59.16,758374,0.0
2017-08-17,59.04,59.83,58.6,59.33,633582,0.0
2017-08-20,59.2,60.05,59.082,59.95,544413,0.0
2017-08-21,60.17,61.15,60.17,60.34,1362583,0.0
2017-08-22,60.34,60.755,59.85,60.35,1140950,0.0
2017-08-23,60.68,61.36,60.1,60.28,1920647,0.0
2017-08-24,66.56,67.54,64.9,65.38,7386235,0.0
2017-08-27,65,65.5,63.64,64.48,2139381,0.0
2017-08-28,63.35,65.15,63.24,64.37,1242930,0.0
2017-08-29,64.16,65.71,64.095,65.61,883588,0.0
2017-08-30,65.99,67.16,65.68,67.1,1238968,0.0
2017-08-31,67,67.65,66.76,67.41,1120712,0.0
2017-09-04,68.35,68.44,66.61,67.33,1492417,0.0
2017-09-05,67.45,68.08,66.95,67.99,1255965,0.0
2017-09-06,68.14,68.85,67.99,68.42,1170009,0.0
2017-09-07,68.48,68.76,67.12,67.17,833023,0.0
2017-09-10,67.65,68.49,67.4,68.2,1235312,0.0
2017-09-11,68.2,68.2,67.45,67.97,912297,0.0
2017-09-12,67.47,67.94,67,67.36,1282101,0.0
