Date,Open,High,Low,Close,Volume,OpenInterest
2017-06-01,108.35,108.67,106.51,108.42,1163532,0.0
2017-06-04,108.2,109.2,107.75,108.12,927242,0.0
2017-06-05,107.5,109.43,107.3,107.86,793812,0.0
2017-06-06,108,109.8,107.71,109.48,1100835,0.0
2017-06-07,109.82,111.06,108.82,111.01,1099013,0.0
2017-06-08,111.4,112.11,104.29,107,2281718,0.0
2017-06-11,105.26,105.85,101,103.76,3292129,0.0
2017-06-12,104.67,105.69,103.47,104.84,1348411,0.0
2017-06-13,105.27,105.555,101.02,102.47,1208297,0.0
2017-06-14,100.74,102.64,100.56,102.29,1238768,0.0
2017-06-15,102.12,103.61,101.085,101.89,1199101,0.0
2017-06-18,102.72,104.55,102.72,104.05,857244,0.0
2017-06-19,103.9,104.59,101.61,101.81,976934,0.0
2017-06-20,102.32,103.57,101.61,103.3,813909,0.0
2017-06-21,103.37,103.65,101.38,103.24,983196,0.0
2017-06-22,103.25,104.51,102.57,104.46,1461941,0.0
2017-06-25,104.47,105.25,101.26,101.3228,1479824,0.0
2017-06-26,100.5,100.62,97.71,97.87,2235657,0.0
2017-06-27,98.85,98.88,96.37,98.35,1878052,0.0
2017-06-28,97.96,98.42,94.35,96.12,2007260,0.0
2017-06-29,96.64,97.27,95.11,95.95,1194299,0.0
2017-07-02,96.44,97.48,95.145,95.37,862617,0.0
2017-07-04,95.79,97.82,95.76,97.53,1692317,0.0
2017-07-05,97.14,99.04,96.61,97.79,1675118,0.0
2017-07-06,98.19,100.42,98.06,99.74,1118510,0.0
2017-07-09,99.93,100.3,98.42,100.05,906598,0.0
2017-07-10,99.94,101.07,99.69,100.73,982209,0.0
2017-07-11,101.45,102.29,101.14,101.75,1121794,0.0
2017-07-12,102,103.18,101.48,102.75,1026301,0.0
2017-07-13,103.42,104.03,103.17,103.99,929387,0.0
2017-07-16,104.02,104.42,103.18,103.32,1246921,0.0
2017-07-17,103.05,103.87,101.87,103.82,928487,0.0
