Date,Open,High,Low,Close,Volume,OpenInterest
2017-06-01,36.61,36.8,36.26,36.74,223172,0.0
2017-06-04,36.7,37.148,36.63,36.88,374534,0.0
2017-06-05,36.77,37.83,36.6,37.73,741703,0.0
2017-06-06,37.78,37.9,36.57,36.87,698988,0.0
2017-06-07,37.05,37.27,36.59,37.21,642008,0.0
2017-06-08,37.39,37.5,34.3071,34.62,756515,0.0
2017-06-11,34.51,34.89,32.58,34.57,865217,0.0
2017-06-12,34.79,35.35,34.45,34.63,446168,0.0
2017-06-13,34.82,35.24,34.22,34.62,242017,0.0
2017-06-14,34.34,34.71,34.065,34.64,360964,0.0
2017-06-15,34.78,34.82,34.26,34.79,376406,0.0
2017-06-18,34.94,35.25,34.52,34.85,310385,0.0
2017-06-19,34.81,34.97,34.39,34.6,415466,0.0
2017-06-20,34.8,35.01,34.3302,34.8,340456,0.0
2017-06-21,34.72,35.45,34.64,35.31,426210,0.0
2017-06-22,35.3,36.27,35,36.01,705436,0.0
2017-06-25,36.01,36.39,35.58,35.94,511000,0.0
2017-06-26,35.91,36.48,35.54,35.67,453778,0.0
2017-06-27,35.85,36.25,35.45,36.12,269360,0.0
2017-06-28,36.01,36.01,34.75,35.19,477472,0.0
2017-06-29,35.27,35.67,34.91,35.18,212836,0.0
2017-07-02,35.25,35.3,33.34,34.16,450652,0.0
2017-07-04,34.2,34.79,34.075,34.68,442129,0.0
2017-07-05,34.4,35.02,34.245,34.62,362546,0.0
2017-07-06,34.73,35.82,34.61,35.31,374244,0.0
2017-07-09,35.31,35.5825,34.98,35.32,180025,0.0
2017-07-10,35.16,35.56,34.89,35.36,388086,0.0
2017-07-11,35.76,36.4,35.59,36.23,273213,0.0
2017-07-12,36.3,36.48,35.49,35.51,205553,0.0
2017-07-13,35.72,35.75,35.27,35.66,177300,0.0
2017-07-16,35.75,35.89,35.41,35.65,133833,0.0
2017-07-17,35.67,35.67,35.26,35.435,271056,0.0
2017-07-18,35.55,36.36,35.35,36.25,265395,0.0
2017-07-19,36.29,36.29,35.61,35.98,220975,0.0
2017-07-20,35.97,36.3,35.49,35.75,163647,0.0
2017-07-23,35.42,36.49,35.42,36.39,321187,0.0
2017-07-24,36.94,38.4999,36.94,37.99,981436,0.0
2017-07-25,38,38.99,37.42,38.86,588422,0.0
2017-07-26,39,39.25,37.1277,38.03,862447,0.0
2017-07-27,37.21,37.36,35.09,37.13,1419925,0.0
2017-07-30,36.93,36.9399,35.35,35.82,1020250,0.0
2017-07-31,35.82,36.32,35.33,36.29,582959,0.0
2017-08-01,36.37,36.5,34.44,34.5,737329,0.0
2017-08-02,34.65,35.23,34.51,35.06,642729,0.0
2017-08-03,35,35.36,34.76,35.35,252880,0.0
2017-08-06,35.51,35.51,34.91,35.4392,270141,0.0
2017-08-07,35.3,35.37,35.04,35.17,242740,0.0
2017-08-08,35,35.46,34.83,35.45,403125,0.0
2017-08-09,35.25,35.3,34.54,34.78,650362,0.0
2017-08-10,35.07,35.47,34.48,35.47,273550,0.0
2017-08-13,35.63,36,35.56,35.98,262799,0.0
2017-08-14,35.98,36.39,35.69,36.39,357796,0.0
2017-08-15,36.39,37.67,36.14,37.47,584195,0.0
2017-08-16,37.26,37.33,36.69,36.93,527046,0.0
2017-08-17,36.92,36.92,36.24,36.335,356308,0.0
2017-08-20,36.4,36.485,34.94,36.16,810329,0.0
2017-08-21,36.37,36.4079,35.39,35.92,341069,0.0
2017-08-22,35.57,36.22,35.45,35.75,233359,0.0
2017-08-23,35.75,35.82,34.68,35.24,442983,0.0
2017-08-24,35.19,35.2936,34.46,34.63,404413,0.0
2017-08-27,34.98,35.06,33.94,34.68,397350,0.0
2017-08-28,34.34,34.97,34.27,34.6292,357696,0.0
2017-08-29,34.53,35.56,34.34,35.54,374490,0.0
2017-08-30,35.43,35.66,34.93,35.63,360765,0.0
2017-08-31,35.53,35.66,34.84,34.89,295165,0.0
2017-09-04,34.82,34.96,34.25,34.9,232092,0.0
2017-09-05,34.81,35.07,34.32,34.38,201698,0.0
2017-09-06,34.59,34.78,34.41,34.46,219572,0.0
2017-09-07,34.55,34.64,34.19,34.37,223618,0.0
2017-09-10,36,36,34.48,35.02,248501,0.0
2017-09-11,34.83,34.86,33.66,33.81,485458,0.0
2017-09-12,33.88,34.03,33.16,33.82,651072,0.0
2017-09-13,33.93,36.62,33.82,36.56,1069644,0.0
2017-09-14,36.63,36.73,35.83,36.16,538756,0.0
2017-09-17,36.13,36.45,35.48,36.43,374013,0.0
2017-09-18,36.5,36.5,35.92,36.43,506569,0.0
2017-09-19,36.47,36.745,35.71,36.07,672414,0.0
2017-09-20,36.31,36.475,34.88,35.18,458408,0.0
2017-09-21,35.16,35.3425,34.85,35.16,342536,0.0
2017-09-24,35.11,35.45,33.83,34.27,585424,0.0
2017-09-25,34.53,34.64,33.61,33.94,713880,0.0
2017-09-26,34.16,34.4,33.92,34.32,202245,0.0
2017-09-27,34.31,34.72,34.23,34.49,274118,0.0
2017-09-28,34.52,35.16,34.4,35.14,395400,0.0
2017-10-01,35,36.29,35,36.28,622598,0.0
2017-10-02,36.41,36.93,36.09,36.66,714989,0.0
2017-10-03,36.58,38,36.52,37.89,877543,0.0
2017-10-04,37.87,38.34,37.72,38.15,654003,0.0
2017-10-05,38.12,38.87,37.47,38.68,806933,0.0
2017-10-08,38.8,40,38.63,39.59,1260169,0.0
2017-10-09,39.68,40.43,39.65,39.77,1598213,0.0
2017-10-10,39.89,40.95,39.87,40.41,1085146,0.0
2017-10-11,40.4,40.66,40.1014,40.33,602553,0.0
2017-10-12,40.46,40.48,39.24,39.63,552524,0.0
2017-10-15,39.82,40,39.21,39.57,638593,0.0
2017-10-16,39.61,39.97,39.33,39.74,738674,0.0
2017-10-17,39.75,39.94,39.47,39.8,444250,0.0
2017-10-18,39.49,40.3,39.06,40.27,1078199,0.0
2017-10-19,45.98,50.88,41.93,50.15,6491089,0.0
2017-10-22,48.66,49.07,47.47,49.01,2865881,0.0
2017-10-23,48.55,49.56,48,49.29,949283,0.0
2017-10-24,49.27,49.27,46.811,48.26,1259794,0.0
2017-10-25,48.08,48.74,47.58,47.92,652585,0.0
2017-10-26,48.02,48.3763,46.4,47.03,981396,0.0
2017-10-29,46.92,48.535,46.6,48.32,816180,0.0
2017-10-30,48.27,49.16,47.54,48.36,799262,0.0
2017-10-31,48.235,48.76,46.93,48.72,1000924,0.0
2017-11-01,48.61,50.48,48.18,49.43,1981118,0.0
2017-11-02,49.57,51.77,48.8,51,1739481,0.0
2017-11-05,50.98,52.09,49.86,52.075,1180235,0.0
2017-11-06,52.27,52.489,50.78,51.8,923888,0.0
2017-11-07,51.76,53.21,51.3,52.93,958668,0.0
2017-11-08,52.28,52.46,51.28,52.3436,734125,0.0
2017-11-09,52.29,52.8199,51.92,52.4,448426,0.0
2017-11-12,51.9,52.37,51.26,52.28,568592,0.0
2017-11-13,52.26,52.84,51.77,52.35,673700,0.0
2017-11-14,51.72,52.18,50.9,51.91,630825,0.0
2017-11-15,51.94,53.45,51.94,52.42,660155,0.0
2017-11-16,52.38,52.92,51.9,52.37,739446,0.0
2017-11-19,52.21,52.255,50.87,50.89,918161,0.0
2017-11-20,50.9,52.52,50.52,52.19,741706,0.0
2017-11-21,52.11,52.11,51.32,51.74,415393,0.0
2017-11-23,52.1,52.535,51.42,52.23,252591,0.0
2017-11-26,52.29,52.31,51.22,51.54,675901,0.0
2017-11-27,51.81,51.9358,50.55,51.19,540160,0.0
2017-11-28,50.75,50.965,46.245,46.61,2043582,0.0
2017-11-29,47.09,47.47,46.031,46.72,896096,0.0
2017-11-30,46.79,47.46,46.0822,47,877684,0.0
2017-12-03,47.53,48,44.27,44.28,1507559,0.0
2017-12-04,43.88,46.0303,43.11,44.95,787908,0.0
2017-12-05,44.82,45.46,44.52,45.18,476018,0.0
2017-12-06,45.42,45.81,45.01,45.51,479454,0.0
2017-12-07,45.79,46.55,45.74,46.45,639313,0.0
2017-12-10,46.83,47.67,46.535,47.12,599382,0.0
2017-12-11,47,47.2,45.42,45.46,506203,0.0
2017-12-12,45.51,46.44,45.5,45.98,372551,0.0
2017-12-13,46.04,46.62,45.28,45.42,335509,0.0
2017-12-14,45.44,47.06,45.055,47.06,646620,0.0
2017-12-17,47.5,47.51,46,46.81,968665,0.0
2017-12-18,46.87,46.97,46.14,46.905,549213,0.0
2017-12-19,47.05,47.18,45.53,46.69,485263,0.0
2017-12-20,46.61,46.94,46.08,46.43,460726,0.0
2017-12-21,46.5,46.5,45.53,46.27,371480,0.0
2017-12-25,46.05,46.74,45.385,46.51,284470,0.0
2017-12-26,46.4,46.67,46.1,46.14,294503,0.0
2017-12-27,46.35,46.35,45.47,46.06,367907,0.0
2017-12-28,46.2,46.37,45.46,45.5,359632,0.0
2018-01-01,45.94,47.36,45.61,47.03,649696,0.0
2018-01-02,47.32,50.7105,47.32,50.4,1716725,0.0
2018-01-03,51.06,52.04,50.63,51.6,1295343,0.0
2018-01-04,51.62,52.43,51.6,51.89,946592,0.0
2018-01-07,51.89,52.6,51.27,51.9,516066,0.0
2018-01-08,52.31,52.85,51.08,52.7,629816,0.0
2018-01-09,52.22,52.47,50.54,51.05,881401,0.0
2018-01-10,51.15,52.07,50.66,52.06,303330,0.0
2018-01-11,52.04,52.74,51.32,52.58,435566,0.0
2018-01-15,53.38,55.25,51.77,52.82,1626596,0.0
2018-01-16,53.31,55.21,53.04,54.88,1401266,0.0
2018-01-17,55.91,55.91,53.56,55.62,1659467,0.0
2018-01-18,53.31,55.1766,51.55,53.06,3180718,0.0
2018-01-21,52.6,53,50.93,52.2699,1372946,0.0
2018-01-22,51.92,54.06,51.2601,53.94,1075954,0.0
2018-01-23,53.93,54,52.11,52.8,780061,0.0
2018-01-24,52.85,53.42,52.24,53.1,730119,0.0
2018-01-25,53.64,53.93,53.2,53.86,643854,0.0
