Date,Open,High,Low,Close,Volume,OpenInterest
2017-06-01,67.93,68.42,67.77,68.33,1424208,0.0
2017-06-04,68.31,68.5,67.2903,67.4,2441144,0.0
2017-06-05,67.2,67.49,66.025,66.1,3669597,0.0
2017-06-06,66.35,66.43,65.4997,65.92,2440635,0.0
2017-06-07,66.04,66.25,65,65.69,4212146,0.0
2017-06-08,65.71,65.71,62.75,63.84,4353292,0.0
2017-06-11,63.56,64.78,63.52,64.67,2939581,0.0
2017-06-12,64.75,65.1,63.7,64,3884708,0.0
2017-06-13,63.91,64.1,62.85,63.27,2488729,0.0
2017-06-14,62.77,63.73,62.46,63.6,2840821,0.0
2017-06-15,63.27,63.81,62.47,63.13,4188596,0.0
2017-06-18,63.6,64.025,63.3,64.01,1596895,0.0
2017-06-19,63.8,64.53,62.76,63.98,4814943,0.0
2017-06-20,63.85,64.07,63.25,63.57,2593093,0.0
2017-06-21,63.63,63.96,63.26,63.57,1603911,0.0
2017-06-22,63.48,63.81,63.34,63.41,1192780,0.0
2017-06-25,63.6,63.79,63.12,63.16,1279368,0.0
2017-06-26,61.25,62.5399,60.72,61.06,8338036,0.0
2017-06-27,61.07,61.5377,60.84,61.47,2459581,0.0
2017-06-28,61.19,61.255,59.59,60.295,6406603,0.0
2017-06-29,60.96,61,59.94,60.61,3252868,0.0
2017-07-02,60.74,60.85,59.9,59.98,1083849,0.0
2017-07-04,59.88,60.32,59.38,59.945,4849924,0.0
2017-07-05,59.56,59.89,59.13,59.45,2760078,0.0
2017-07-06,59.45,60.16,59.26,60,2301895,0.0
2017-07-09,60.07,60.89,59.685,60.8,2986833,0.0
2017-07-10,60.74,61.47,60.665,61.24,2307171,0.0
2017-07-11,61.7,61.88,60.89,61.52,2144100,0.0
2017-07-12,61.5,61.73,60.745,60.9,1814139,0.0
2017-07-13,61.21,61.72,60.62,61.24,4066467,0.0
2017-07-16,61.04,61.735,60.75,61.39,2663037,0.0
2017-07-17,61.66,61.75,60.91,61.42,3062014,0.0
2017-07-18,61.51,62.08,61.13,62,4196704,0.0
2017-07-19,63.85,64.03,61.08,61.11,10869542,0.0
2017-07-20,61.28,62.73,61.08,62.59,5807331,0.0
2017-07-23,62.39,63.06,62.25,62.52,2776217,0.0
2017-07-24,62.5,62.82,62.25,62.36,2101771,0.0
2017-07-25,62.34,62.88,62.285,62.38,1773454,0.0
2017-07-26,62.39,62.75,61.43,61.61,2645501,0.0
2017-07-27,61.41,61.85,61.11,61.78,2115102,0.0
2017-07-30,62.25,62.51,61.09,61.65,2956922,0.0
2017-07-31,62.1,63.465,61.61,63.08,4752111,0.0
2017-08-01,63.22,63.725,62.75,63.62,2712631,0.0
2017-08-02,63.72,63.93,63.15,63.76,2201722,0.0
2017-08-03,63.94,64.53,63.56,64.51,2868839,0.0
2017-08-06,64.85,65,64.15,64.27,2418125,0.0
2017-08-07,64.04,64.37,63.65,63.89,1504777,0.0
2017-08-08,63.63,63.9499,63.19,63.8,1621174,0.0
2017-08-09,63.31,63.94,62.12,62.47,2473290,0.0
2017-08-10,62.45,63.65,62.24,63.61,1954029,0.0
2017-08-13,64.19,64.19,63.67,63.77,1493448,0.0
2017-08-14,63.79,64,63.41,63.88,2042722,0.0
2017-08-15,63.75,64.48,63.55,64.27,1680188,0.0
2017-08-16,64,64.12,62.975,62.99,1886900,0.0
2017-08-17,62.87,63.47,62.71,63,1104240,0.0
2017-08-20,63.49,63.49,62.56,62.84,1245673,0.0
2017-08-21,63.21,64.5,63.05,64.36,1672256,0.0
2017-08-22,64.2,64.36,63.881,64,1390278,0.0
2017-08-23,63.96,64.32,63.73,63.98,1471626,0.0
2017-08-24,64.12,64.45,63.72,63.75,1427798,0.0
2017-08-27,64,64,63.57,63.73,822574,0.0
2017-08-28,63.31,63.74,63.08,63.48,864990,0.0
2017-08-29,63.47,64.37,63.43,64.25,1081885,0.0
2017-08-30,64.25,64.76,64.15,64.71,1589167,0.0
2017-08-31,64.78,64.86,64.04,64.16,1171943,0.0
2017-09-04,64.17,64.46,63.27,63.64,1647883,0.0
