Date,Open,High,Low,Close,Volume,OpenInterest
2017-06-01,339.77,342.88,335.93,339.85,4500624,0.0
2017-06-04,338.5,348.44,334.21,347.32,5684288,0.0
2017-06-05,344.95,359.4929,344.66,352.8,9465968,0.0
2017-06-06,356.3,360.5,355.14,359.55,7850542,0.0
2017-06-07,363.75,371.9,360.22,370.01,7489685,0.0
2017-06-08,374.42,376.87,354.8,357.45,14323526,0.0
2017-06-11,357.99,364.5,350.62,358.99,8528936,0.0
2017-06-12,367.67,376,366.61,375.95,9720070,0.0
2017-06-13,381.085,384.25,376.31,380.6599,10303555,0.0
2017-06-14,372.5,375.46,366.49,375.34,8585072,0.0
2017-06-15,377.78,378.01,370.1,371.4,4691654,0.0
2017-06-18,375,376.7,367.8,369.8,5034089,0.0
2017-06-19,376.67,378.88,369.73,372.24,5606828,0.0
2017-06-20,374.35,376.99,368.02,376.4,3870166,0.0
2017-06-21,377.99,385,373.57,382.61,6198923,0.0
2017-06-22,382.45,386.99,379.345,383.23,4952152,0.0
2017-06-25,386.49,386.95,373.1,377.47,5351853,0.0
2017-06-26,376.4,376.4,362.02,362.36,5478243,0.0
2017-06-27,367.56,371.74,362.52,371.01,5088420,0.0
2017-06-28,370.61,371,354.1,360.8899,6701532,0.0
2017-06-29,363.71,366.7674,359.6187,361.73,4439325,0.0
2017-07-02,370.24,371.35,351.5,352.52,5096067,0.0
2017-07-04,347.2,347.24,326.33,327,13537640,0.0
2017-07-05,317.31,320.7899,306.3,308.72,15183238,0.0
2017-07-06,313.5,317,307.38,313.15,11077477,0.0
2017-07-09,312.9,317.94,303.13,315.97,11334414,0.0
2017-07-10,316,327.28,314.3,327.19,9402281,0.0
2017-07-11,330.4,333.1,324.5,329.4,8253022,0.0
2017-07-12,330.11,331.6,319.97,323.29,6894041,0.0
2017-07-13,323.19,328.42,321.22,327.67,4544717,0.0
2017-07-16,325.57,327.1,313.45,319.4,7931645,0.0
2017-07-17,317.41,329.13,315.66,328.22,5080361,0.0
2017-07-18,328.23,331.65,323.2193,325.25,5001769,0.0
2017-07-19,326.9,330.22,324.2,329.8,4041558,0.0
2017-07-20,329.68,331.2575,325.8,328.24,3841524,0.0
2017-07-23,330.24,343.399,330.01,342.14,7036023,0.0
2017-07-24,345,345.6,334.15,339.58,5583746,0.0
2017-07-25,340.36,345.5,338.12,343.75,3895849,0.0
2017-07-26,346,347.5,326.29,334.4,6579454,0.0
2017-07-27,336.89,339.6,332.51,334.88,3811165,0.0
2017-07-30,335.5,341.49,321.04,323.34,6902577,0.0
2017-07-31,323,324.45,316.13,319.55,6852941,0.0
2017-08-01,318.94,327.12,311.22,325.83,7918504,0.0
2017-08-02,346.78,350,343.15,347.0772,10612835,0.0
2017-08-03,347,357.27,343.3,357.0026,7720898,0.0
2017-08-06,357.35,359.48,352.75,355.17,4863457,0.0
2017-08-07,357.53,368.58,357.4,365.27,5944586,0.0
2017-08-08,361,370,358.95,363.64,5538957,0.0
2017-08-09,362,366.6504,354.66,355.4,5778816,0.0
2017-08-10,356.97,361.26,353.62,357.87,3447797,0.0
2017-08-13,364.63,367.66,362.6,363.8,3538601,0.0
2017-08-14,365.2,365.49,359.37,362.23,2333895,0.0
2017-08-15,363,366.5,362.52,362.91,2514861,0.0
2017-08-16,361.21,363.3,351.59,351.85,3857611,0.0
2017-08-17,352.91,354,345.8,347.51,4183304,0.0
2017-08-20,345.82,345.82,331.85,337.87,5296598,0.0
2017-08-21,341.13,342.24,337.3725,341.27,3452022,0.0
2017-08-22,338.99,353.49,338.3041,352.75,3877048,0.0
2017-08-23,352.52,356.66,349.74,352.94,3443495,0.0
2017-08-24,354.24,355.69,347.3,347.99,2725329,0.0
2017-08-27,347.28,347.35,339.72,345.66,2803519,0.0
2017-08-28,339.48,349.05,338.75,347.24,3011443,0.0
2017-08-29,349.5,353.47,347,353.13,2532388,0.0
