Date,Open,High,Low,Close,Volume,OpenInterest
2017-06-01,81.96,81.97,80.86,81.63,3773600,0.0
2017-06-04,81.66,82.38,81.66,81.89,1928843,0.0
2017-06-05,81.65,82.875,81.51,82.22,2500375,0.0
2017-06-06,82.8,83.43,82.29,82.89,2812409,0.0
2017-06-07,83.3,84.36,82.62,84.35,3447746,0.0
2017-06-08,84.23,84.65,79.94,80.88,5424135,0.0
2017-06-11,79.82,81.32,79.6678,81.05,5238803,0.0
2017-06-12,81.41,81.8,80.6,80.99,3310101,0.0
2017-06-13,81.26,81.49,79.44,80.16,2845724,0.0
2017-06-14,79.34,80.4,79.22,80.08,2391508,0.0
2017-06-15,80.18,80.23,79.02,79.68,4174071,0.0
2017-06-18,80.37,81.45,80.28,81.4,2609252,0.0
2017-06-19,81.16,81.23,79.54,79.57,2906836,0.0
2017-06-20,79.7,79.92,79.23,79.67,3465719,0.0
2017-06-21,79.95,80.05,78.95,79.05,2578535,0.0
2017-06-22,79.06,80.02,78.64,79.58,2675071,0.0
2017-06-25,80.04,80.09,78.24,78.3,4134499,0.0
2017-06-26,78,78.27,76.94,76.95,4633844,0.0
2017-06-27,77.61,78.21,76.95,78.05,5325372,0.0
2017-06-28,77.5,77.93,75.9199,76.9,4655123,0.0
2017-06-29,77.69,77.69,76.61,76.91,3276288,0.0
2017-07-02,77.48,77.62,76.4,76.41,2837201,0.0
2017-07-04,76.63,77.51,76.24,76.89,5374161,0.0
2017-07-05,76.19,77.69,76.19,76.87,3976191,0.0
2017-07-06,77.31,78.66,77.31,78.47,4225903,0.0
2017-07-09,78.43,79.09,77.925,78.78,2390065,0.0
2017-07-10,78.78,79.145,78.28,79.05,1962394,0.0
2017-07-11,79.46,80.54,79.46,80.52,3004515,0.0
2017-07-12,80.41,80.98,80.265,80.54,2593564,0.0
2017-07-13,80.95,82.11,80.88,81.99,2815372,0.0
2017-07-16,81.82,82,81.48,81.66,2159122,0.0
2017-07-17,81.5,82.205,81.15,82.155,1992688,0.0
2017-07-18,82.49,82.7,81.86,82.15,2350761,0.0
2017-07-19,82.2,82.81,81.8621,82.69,3125412,0.0
2017-07-20,81.46,82,81,81.69,3650383,0.0
2017-07-23,81.86,81.86,80.6,80.94,3305511,0.0
2017-07-24,81.05,81.93,80.58,81.39,5257939,0.0
2017-07-25,83,84.24,81.96,82.53,5562893,0.0
2017-07-26,82.26,82.53,80.09,80.97,5656898,0.0
2017-07-27,80.42,81.04,80.05,80.72,4161769,0.0
2017-07-30,80.83,81.66,80.78,81.41,3672688,0.0
2017-07-31,81.6,81.84,81.02,81.71,2630590,0.0
2017-08-01,82.01,82.01,80.64,81.27,2065176,0.0
2017-08-02,81.3,81.73,80.965,81.37,1903999,0.0
2017-08-03,81.63,81.96,81.25,81.42,1747329,0.0
2017-08-06,81.44,82.2,81.44,82.17,1965735,0.0
2017-08-07,81.99,83.69,81.89,82.44,5836841,0.0
2017-08-08,81.98,82.31,81.38,82.28,3156811,0.0
2017-08-09,81.8,82,80.28,80.35,3445084,0.0
2017-08-10,80.58,81.34,80.43,80.89,2764104,0.0
2017-08-13,81.48,82.21,81.35,82.05,2673428,0.0
2017-08-14,82.07,82.31,81.69,81.96,2857640,0.0
2017-08-15,82.42,82.66,81.95,82.46,2268642,0.0
2017-08-16,81.95,82.16,80.09,80.17,3273001,0.0
2017-08-17,80.09,80.69,79.94,79.97,3009138,0.0
2017-08-20,80.14,80.24,79.6,79.88,2516941,0.0
2017-08-21,80.34,81.13,80.06,80.75,3690099,0.0
2017-08-22,80.24,81.12,80.07,80.89,2932271,0.0
2017-08-23,81.16,81.495,80.82,81.25,2271145,0.0
2017-08-24,81.56,81.9,80.94,80.99,1937589,0.0
2017-08-27,81.37,81.66,80.58,80.76,2382554,0.0
2017-08-28,80.07,81.25,80.03,81,2914986,0.0
2017-08-29,81.21,82.41,81.1,82.3,3548187,0.0
2017-08-30,82.44,82.95,82.13,82.81,3023986,0.0
2017-08-31,82.74,83.1137,82.38,82.54,2150024,0.0
2017-09-04,82.32,82.49,81.27,81.85,2588967,0.0
2017-09-05,82.24,82.37,81.59,82.05,2656935,0.0
2017-09-06,82.45,83.99,81.79,81.99,2970576,0.0
2017-09-07,81.98,82.035,81.25,81.39,1700970,0.0
2017-09-10,81.9,82.73,81.81,82.2,2694991,0.0
2017-09-11,82.34,82.95,82.155,82.88,3801621,0.0
2017-09-12,82.84,82.94,82.28,82.67,1868430,0.0
2017-09-13,82.4,83.67,82.4,83.29,2436204,0.0
2017-09-14,82.97,85.03,82.87,84.78,5861100,0.0
2017-09-17,85,86.47,84.89,86.14,4276355,0.0
2017-09-18,86.37,87.24,85.64,86.8,2922356,0.0
2017-09-19,87,87,84.48,85.84,3732749,0.0
2017-09-20,86.02,86.59,85.67,86.05,2493431,0.0
2017-09-21,86.59,88.45,86.5,88.27,5480728,0.0
2017-09-24,87.65,88.08,86.9188,87.53,3350361,0.0
2017-09-25,88,88.29,87.45,87.701,1959787,0.0
2017-09-26,88.48,89.15,87.85,88.8,2550841,0.0
2017-09-27,88.42,89.66,88.35,89.65,4452219,0.0
2017-09-28,89.77,89.89,89.09,89.65,2298551,0.0
2017-10-01,89.89,90.24,89.31,89.64,2465216,0.0
2017-10-02,89.65,90.24,89.5,89.94,1786460,0.0
2017-10-03,89.9,90.56,89.58,90.48,2845626,0.0
2017-10-04,90.55,91.3,90.11,91.14,2335601,0.0
2017-10-05,90.74,91.54,90.74,91.33,1662632,0.0
2017-10-08,91.61,91.86,91.31,91.56,1276085,0.0
2017-10-09,91.97,92.41,91.465,92.38,2266984,0.0
2017-10-10,91.96,92.92,91.72,92.86,2045780,0.0
2017-10-11,92.91,93.31,92.59,92.62,2634499,0.0
2017-10-12,92.97,93.73,92.8,93.61,1783706,0.0
2017-10-15,94.21,94.41,93.67,94.24,2510895,0.0
2017-10-16,94.12,94.31,93.54,94.26,2419276,0.0
2017-10-17,94.26,94.29,93.2,93.44,2923792,0.0
2017-10-18,92.97,93.64,92.57,93.45,3202492,0.0
2017-10-19,94.23,95.4,94,95.15,3706761,0.0
2017-10-22,96.03,96.7399,95.44,96.22,6033720,0.0
2017-10-23,96.3,96.62,95.46,96.48,6309222,0.0
2017-10-24,95,96.7,94.16,95.87,5088867,0.0
2017-10-25,96.44,96.9399,95.84,96.14,4313509,0.0
2017-10-26,95.94,97.56,95.71,97.49,3565680,0.0
2017-10-29,96.62,97.13,95.92,96.06,3420781,0.0
2017-10-30,96.28,97.04,96.18,96.69,2794860,0.0
2017-10-31,96.97,97.25,95.77,96.35,2933065,0.0
2017-11-01,96.25,96.88,95.6,96.77,2428847,0.0
2017-11-02,96.84,98,96.34,97.98,2276360,0.0
2017-11-05,97.82,98.67,97.67,98.57,3309264,0.0
2017-11-06,98.55,99.05,98.28,98.4,3104111,0.0
2017-11-07,98.26,98.76,97.89,98.43,2310895,0.0
2017-11-08,97.6,98.03,95.63,97.05,3288724,0.0
2017-11-09,96.61,97.05,96.4,96.94,2086259,0.0
2017-11-12,96.4,97.29,96.35,97.031,1573840,0.0
2017-11-13,96.7,97.23,96.35,96.949,2109443,0.0
2017-11-14,96.63,98.03,96.28,96.79,2555701,0.0
2017-11-15,97.07,98.63,97.05,98.32,2580023,0.0
2017-11-16,98.56,98.56,97.61,97.73,2081010,0.0
2017-11-19,97.81,98.92,97.8,98.27,2286516,0.0
2017-11-20,98.75,99.65,98.65,99.17,2744266,0.0
2017-11-21,99.15,99.35,98.07,98.09,1542628,0.0
2017-11-23,98.2,99.33,98.19,99.3,781971,0.0
2017-11-26,98.95,99.25,98.61,98.63,1472008,0.0
2017-11-27,99.09,99.73,98.62,99.48,2202085,0.0
2017-11-28,99.73,99.79,96.45,96.88,3436605,0.0
2017-11-29,97.38,98.47,96.7,97.23,3708931,0.0
2017-11-30,96.54,97.41,94.72,97.13,3541982,0.0
2017-12-03,97.54,97.88,95.27,95.97,3502987,0.0
2017-12-04,95.98,98.72,95.36,96.89,3596200,0.0
2017-12-05,96.25,97.45,95.87,97.02,3053235,0.0
2017-12-06,97.32,98.14,96.94,97.8,2401215,0.0
2017-12-07,98.92,99.31,97.78,98.02,4030900,0.0
2017-12-10,98.07,98.88,97.77,98.83,3095418,0.0
2017-12-11,98.7,99.19,98.23,98.43,2895683,0.0
2017-12-12,98.97,99.18,98.21,98.86,3591016,0.0
2017-12-13,98.96,100.537,98.78,100.26,4670058,0.0
2017-12-14,101.28,101.6,100.07,101.2,4780616,0.0
2017-12-17,101.91,103.37,101.65,103.29,3793722,0.0
2017-12-18,103.19,104.3,103.08,104.11,4146118,0.0
2017-12-19,104.9,105.15,103.48,104.86,4373590,0.0
2017-12-20,105.16,105.33,104.0055,104.07,3267926,0.0
2017-12-21,104,104.34,103.64,104.12,2244262,0.0
2017-12-25,103.6,104.19,103.06,104.15,1017144,0.0
2017-12-26,104.42,104.9,103.98,104.51,1115282,0.0
2017-12-27,104.92,104.92,104.2194,104.81,1097590,0.0
2017-12-28,104.58,105.08,104.42,104.47,1603490,0.0
2018-01-01,105.08,105.62,104.5,105.56,3041538,0.0
2018-01-02,105.88,108.51,105.6,108.43,4270918,0.0
2018-01-03,108.48,109.21,108.05,108.3,4468056,0.0
2018-01-04,108.7,109.23,108.29,109.11,4014827,0.0
2018-01-07,108.55,110.37,108.41,109.64,2982624,0.0
2018-01-08,109.62,110.98,109.08,110.45,3195709,0.0
2018-01-09,109.85,109.99,108.21,109.71,4259721,0.0
2018-01-10,110.05,110.76,109.43,110.7,2746722,0.0
2018-01-11,110.74,113,110.58,112.7,3398903,0.0
2018-01-15,113.55,113.905,111.94,112.92,7295078,0.0
2018-01-16,113.95,119.43,113.51,119.16,5365734,0.0
2018-01-17,119,119.98,116,116.41,6485381,0.0
2018-01-18,117.01,117.56,115.71,116.83,4850859,0.0
