Date,Open,High,Low,Close,Volume,OpenInterest
2017-05-31,90.55,92.29,90.38,92.28,675863,0.0
2017-06-01,92.24,92.77,91.8049,92.54,326153,0.0
2017-06-04,92.45,93,92.28,92.52,264671,0.0
2017-06-05,92.23,92.72,92.04,92.07,629249,0.0
2017-06-06,92.23,92.85,91.94,92.26,560949,0.0
2017-06-07,92.48,93,91.73,92.95,310961,0.0
2017-06-08,93.28,93.78,91.46,92.32,487400,0.0
2017-06-11,91.84,92.185,90.84,91.11,884187,0.0
2017-06-12,91.43,92.29,91.34,91.59,722223,0.0
2017-06-13,91.82,92.47,91.07,91.66,793247,0.0
2017-06-14,91.08,92.19,90.47,92.19,288867,0.0
2017-06-15,92.31,92.69,91.73,92.469,394882,0.0
2017-06-18,92.99,93.92,92.92,93.65,331288,0.0
2017-06-19,93.68,93.68,92.54,92.64,315437,0.0
2017-06-20,92.9,93.41,92.52,93.24,316841,0.0
2017-06-21,93.17,94.23,92.71,93.52,258098,0.0
2017-06-22,93.63,94.26,93.39,93.94,362328,0.0
2017-06-25,94.17,94.93,93.52,93.58,410814,0.0
2017-06-26,93.53,94.31,92.73,92.79,292823,0.0
2017-06-27,93.16,93.83,92.54,93.76,280656,0.0
2017-06-28,93.73,93.73,92.13,93.51,691893,0.0
2017-06-29,93.32,93.9,92.94,93,1958608,0.0
2017-07-02,93.5,94.23,92.905,93.9,390590,0.0
2017-07-04,94.05,95.76,94.05,94.44,1182026,0.0
2017-07-05,94.27,94.332,93.23,93.28,473768,0.0
2017-07-06,93.37,95.39,93.14,94.45,1438118,0.0
2017-07-09,94.48,96.16,94.31,95.33,892548,0.0
2017-07-10,95.24,95.86,94.7,95.65,320175,0.0
2017-07-11,96.15,97.07,95.81,96.92,489443,0.0
2017-07-12,96.64,97.5,95.9,97.19,589982,0.0
2017-07-13,97.31,97.36,96.85,96.94,337104,0.0
2017-07-16,96.99,98.075,96.63,98.01,505747,0.0
2017-07-17,97.94,98.51,97.345,98.43,364256,0.0
2017-07-18,98.68,98.98,98.09,98.61,517877,0.0
2017-07-19,98.87,99.11,98.55,98.85,334413,0.0
2017-07-20,98.51,99.47,98.5,98.94,318527,0.0
2017-07-23,98.87,100.28,98.87,99.98,338980,0.0
2017-07-24,99.96,101.68,99.49,100.97,616179,0.0
2017-07-25,101.32,101.85,100.68,101.83,422948,0.0
2017-07-26,102.34,102.73,100.96,101.95,668699,0.0
2017-07-27,103.37,103.79,101.35,102.45,710724,0.0
2017-07-30,102.64,102.77,101.11,101.16,724043,0.0
2017-07-31,101,101.16,99.33,99.37,790814,0.0
2017-08-01,99.3,100.39,98.96,99.4,573953,0.0
2017-08-02,99.42,100.45,99.03,100.06,386408,0.0
2017-08-03,100.38,100.38,99.05,99.29,435005,0.0
2017-08-06,99.25,99.719,99.01,99.31,330713,0.0
2017-08-07,99.28,99.51,98.36,98.72,493695,0.0
2017-08-08,98.16,99.86,98.01,99.76,568499,0.0
2017-08-09,99.29,99.65,97.52,97.74,669470,0.0
2017-08-10,97.75,98.21,97.15,97.95,335202,0.0
2017-08-13,98.69,99.27,98.4,98.85,228803,0.0
2017-08-14,99.16,99.16,97.99,98.57,383510,0.0
2017-08-15,98.74,99.75,98.63,99.24,300088,0.0
2017-08-16,98.84,99.44,97.91,97.93,331966,0.0
2017-08-17,97.79,98.77,97.381,98.2,373610,0.0
2017-08-20,98.11,99.23,97.96,98.96,430865,0.0
2017-08-21,99.03,100.51,98.95,100.24,323718,0.0
2017-08-22,99.84,101.15,99.84,101.03,389926,0.0
2017-08-23,101.12,101.65,100.3101,101.5,427549,0.0
