Date,Open,High,Low,Close,Volume,OpenInterest
2017-06-01,82.3,83.13,82.27,83.09,3034531,0.0
2017-06-04,83.25,83.5,82.72,83.38,2193520,0.0
2017-06-05,82.75,83.35,81.075,81.45,4818909,0.0
2017-06-06,81.69,81.69,80.75,81.45,4550499,0.0
2017-06-07,81.51,82.04,81.38,81.48,2265600,0.0
2017-06-08,81.58,81.6223,80.555,80.99,3157103,0.0
2017-06-11,81.04,82.59,81.03,81.82,3704621,0.0
2017-06-12,81.32,81.89,80.96,81.8,2331544,0.0
2017-06-13,82.02,83.06,81.7,82.88,3619959,0.0
2017-06-14,82.45,82.86,81.235,82.57,3918807,0.0
2017-06-15,81.19,81.47,77.35,78.43,11703809,0.0
2017-06-18,78.94,79.83,78.06,79.8,5966003,0.0
2017-06-19,79.75,79.83,78.13,78.3,4120656,0.0
2017-06-20,78.3,78.64,77.721,78.12,3985953,0.0
2017-06-21,78.11,78.11,76.32,76.35,6394283,0.0
2017-06-22,76.37,76.51,75.18,76.34,5748058,0.0
2017-06-25,76.49,77.92,76.39,77.52,4631806,0.0
2017-06-26,77.47,78.13,77.0901,77.34,4416626,0.0
2017-06-27,77.49,78.24,76.83,77.08,5347735,0.0
2017-06-28,81,81.55,76.34,78.37,12758072,0.0
2017-06-29,79.5,79.5864,77.14,78.3,5525597,0.0
2017-07-02,78.52,78.8,78.01,78.11,1916678,0.0
2017-07-04,78.13,78.96,78.13,78.65,5399803,0.0
2017-07-05,78.45,78.47,77.63,77.73,4976195,0.0
2017-07-06,77.73,78.135,76.92,77.46,5030093,0.0
2017-07-09,77.48,77.59,76.85,77.15,4054553,0.0
2017-07-10,76.97,77.52,76.79,77.27,3804260,0.0
2017-07-11,77.79,77.97,77.45,77.52,3607043,0.0
2017-07-12,77.66,78.4784,77.6,78.01,4438646,0.0
2017-07-13,78.04,79.07,77.7,78.91,7205542,0.0
2017-07-16,79.14,79.25,78.65,79.15,3685206,0.0
2017-07-17,79.02,79.15,78.36,78.66,3726586,0.0
2017-07-18,78.76,79.7701,78.72,79.57,3495950,0.0
2017-07-19,79.64,79.98,79.15,79.8,5744406,0.0
2017-07-20,79.37,80.05,78.85,78.9,4046424,0.0
2017-07-23,78.9,79.96,78.75,79.59,3601349,0.0
2017-07-24,79.79,80.49,79.58,80.06,4508917,0.0
2017-07-25,80.07,80.5,78.48,78.59,5977286,0.0
2017-07-26,78.38,78.98,78.13,78.77,5472288,0.0
2017-07-27,78.6,79.86,78.6,79.62,4576357,0.0
2017-07-30,79.92,80.9601,79.805,80.68,3700433,0.0
2017-07-31,80.43,81.455,80.43,81.14,3943652,0.0
2017-08-01,80.9,81.3599,80.5802,81.04,3264194,0.0
2017-08-02,81.4,81.72,80.68,81.06,3717353,0.0
2017-08-03,81.33,81.45,80.93,81.05,3084453,0.0
2017-08-06,80.96,81.87,80.71,81.51,2590931,0.0
2017-08-07,81.09,81.9298,81,81.09,3443588,0.0
2017-08-08,80.91,81.495,80.5,81.29,4412167,0.0
2017-08-09,80.77,80.93,79.65,79.76,3806299,0.0
2017-08-10,79.92,81.065,79.81,80.73,3420051,0.0
2017-08-13,80.86,81.81,80.84,81.52,3221436,0.0
2017-08-14,81.58,81.86,81.02,81.12,3370760,0.0
2017-08-15,81.09,81.84,81.05,81.27,2972971,0.0
2017-08-16,80.55,81.86,80.42,80.9,2749712,0.0
2017-08-17,80.43,80.95,80.01,80.03,3781773,0.0
2017-08-20,80.08,80.93,80.08,80.6,3124171,0.0
2017-08-21,80.8,81.84,80.59,81.27,2433448,0.0
2017-08-22,80.93,81.505,80.8,81.37,3290665,0.0
2017-08-23,81.27,81.67,79.25,80.5,5122625,0.0
2017-08-24,80.8,81.81,80.61,81.14,3610407,0.0
2017-08-27,81.32,81.68,81.01,81.16,2371882,0.0
2017-08-28,80.9,81.76,80.81,81.42,2479202,0.0
2017-08-29,81.56,82.24,81.27,81.78,2569241,0.0
2017-08-30,81.94,82.22,81.39,81.51,3628130,0.0
2017-08-31,81.63,81.6901,80.57,81.21,4339458,0.0
2017-09-04,81.09,82.26,81.01,81.47,4492673,0.0
2017-09-05,81.58,82.11,81.495,81.75,4384848,0.0
2017-09-06,81.9,82.2,81.45,81.56,4465726,0.0
2017-09-07,81.7,81.95,81.06,81.39,3759637,0.0
2017-09-10,81.65,82.61,81.52,82.27,3440832,0.0
2017-09-11,82.24,83.89,81.97,82.75,6731555,0.0
2017-09-12,82.64,83.66,82.41,82.73,4760477,0.0
2017-09-13,82.12,82.57,81.36,82,3378854,0.0
2017-09-14,81.94,83.74,81.3,82.54,9797419,0.0
2017-09-17,82.51,83.62,82.51,82.6,3783431,0.0
2017-09-18,82.97,82.99,80.7,81.2,5565568,0.0
2017-09-19,80.75,81.27,78.1,78.86,7680719,0.0
2017-09-20,78.84,78.98,77.7,78.2,5025765,0.0
2017-09-21,78,78.5,77.62,78.41,3739784,0.0
2017-09-24,78.6,79.42,78.58,78.97,3837997,0.0
2017-09-25,79.48,79.63,78.85,79.1,2831143,0.0
2017-09-26,78.87,79.27,77.53,78.13,5661336,0.0
2017-09-27,77.71,78,77.12,77.49,4615726,0.0
2017-09-28,77.49,77.49,76.62,77.18,3905480,0.0
2017-10-01,77.32,77.5,76.5,76.6,4372259,0.0
2017-10-02,76.74,76.87,75.52,76.79,3745814,0.0
2017-10-03,76.61,76.95,75.68,75.8219,3202145,0.0
2017-10-04,76.43,77.07,75.8,76.96,3355040,0.0
2017-10-05,75.95,76.24,72.77,73.16,9858227,0.0
2017-10-08,73.34,73.3744,70.21,70.84,10627429,0.0
2017-10-09,70.8,70.99,69.28,69.85,10663077,0.0
2017-10-10,69.87,70.0299,68.8,68.91,6380553,0.0
2017-10-11,68.8,69.61,68.55,68.99,5123002,0.0
2017-10-12,69.06,69.06,67.401,67.59,6766470,0.0
2017-10-15,67.64,68.1698,67.21,67.31,5256085,0.0
2017-10-16,67.27,67.74,66.92,67.39,4685570,0.0
2017-10-17,67.46,68.17,67.41,67.74,4103550,0.0
2017-10-18,67.77,68.14,67.105,67.21,4050910,0.0
2017-10-19,67.21,68.31,67.06,68.05,7624820,0.0
2017-10-22,68.14,68.45,67.47,67.51,4499088,0.0
2017-10-23,67.68,68.09,67.23,67.29,5770341,0.0
2017-10-24,70.01,70.1092,66.05,69.37,14875077,0.0
2017-10-25,69.64,70.26,66.38,67.02,16120561,0.0
2017-10-26,66.56,66.96,63.82,64.4,16458052,0.0
2017-10-29,64.37,66.48,64.25,66.27,9952884,0.0
2017-10-30,66.29,66.745,65.67,66.26,9449158,0.0
2017-10-31,65.34,67.8,65.17,67.01,7990536,0.0
2017-11-01,67.37,68.05,66.3,66.76,6717224,0.0
2017-11-02,66.86,67.54,66.51,66.87,7039487,0.0
2017-11-05,66.75,66.97,65.86,65.94,4402753,0.0
2017-11-06,65.72,68.46,65.72,67.92,7317715,0.0
2017-11-07,67.86,69.125,67.41,68.875,5998004,0.0
2017-11-08,68.91,69.93,68.36,69.53,5527243,0.0
2017-11-09,68.93,71.095,68.76,71,10886524,0.0
2017-11-12,70.71,73.83,69.27,70.35,10796214,0.0
2017-11-13,70.16,70.93,69.57,70.59,4149264,0.0
2017-11-14,70.65,70.88,69.922,70.22,2781532,0.0
2017-11-15,70.24,71.41,70.02,71.29,3239665,0.0
2017-11-16,71.44,71.98,71,71.26,3271501,0.0
2017-11-19,70.96,71.45,69.82,70.8,4484553,0.0
2017-11-20,70.66,71.26,70.39,71.16,5771393,0.0
2017-11-21,71.11,72.12,71.0718,71.34,3415633,0.0
2017-11-23,71.01,71.41,70.22,70.28,1333401,0.0
2017-11-26,70.64,70.7,69.2608,69.37,3885309,0.0
2017-11-27,69.43,72.47,69.02,72.23,5851388,0.0
2017-11-28,72.35,73.36,71.77,71.92,5100191,0.0
2017-11-29,71.9,72.92,70.77,72.68,8111178,0.0
2017-11-30,72.33,72.46,70.51,71.42,6589883,0.0
2017-12-03,71.33,71.71,70.41,71.57,6659532,0.0
2017-12-04,71.33,71.62,70.09,70.19,4626534,0.0
2017-12-05,70.44,71.285,69.84,71.05,4814528,0.0
2017-12-06,70.91,71,69.5,69.6,5067101,0.0
2017-12-07,70.09,71.61,69.505,71.555,5556027,0.0
2017-12-10,71.32,72.44,71.24,71.88,3528890,0.0
2017-12-11,71.81,72.15,70.93,72.01,3146784,0.0
2017-12-12,71.99,72.09,70.75,71.73,3442718,0.0
2017-12-13,71.47,71.585,70,70.36,4103073,0.0
2017-12-14,71.05,72.34,70.23,71.93,5789007,0.0
2017-12-17,72.5,73.28,72.28,72.57,4117923,0.0
2017-12-18,72.8,73.17,72.14,72.19,3193174,0.0
2017-12-19,72.53,72.97,71.98,72.72,5371140,0.0
2017-12-20,72.68,73.96,72.4801,73.26,4298146,0.0
2017-12-21,73.11,73.449,72.67,72.72,2415995,0.0
2017-12-25,72.99,73.61,72.76,73.33,1513348,0.0
2017-12-26,73.33,73.49,72.51,72.85,2244889,0.0
2017-12-27,72.88,72.98,72.23,72.93,1483272,0.0
2017-12-28,72.63,73.04,72.37,72.62,2104462,0.0
2018-01-01,73.28,75.19,72.97,74.96,4855176,0.0
2018-01-02,75.09,75.795,74.31,75.53,5915063,0.0
2018-01-03,73.49,73.5,70.73,71.585,10505521,0.0
2018-01-04,71.9,73.25,71.82,72.93,7743979,0.0
2018-01-07,73.15,74,72.75,73.85,4272417,0.0
2018-01-08,74.08,74.1855,73.2,73.42,3337103,0.0
2018-01-09,73.43,74.18,73.21,74.06,3333416,0.0
2018-01-10,73.95,75.44,73.9,75.36,4333844,0.0
2018-01-11,75.55,76.89,75.48,76.03,4419949,0.0
2018-01-15,76.45,76.62,75.92,76.03,3663131,0.0
2018-01-16,76.63,76.65,75.59,75.78,3666989,0.0
2018-01-17,75.59,76.35,75.53,75.99,4124482,0.0
2018-01-18,75.83,76.51,75.78,76.465,4198594,0.0
2018-01-21,76.64,77.44,76.42,77.39,2429153,0.0
2018-01-22,76.94,77.21,76.2,77.02,2863131,0.0
2018-01-23,77.3,77.83,77,77.36,3017677,0.0
2018-01-24,77.85,78.44,77.35,78.27,3308855,0.0
2018-01-25,78.5,79.2,78.03,79.14,2438139,0.0
2018-01-28,79.15,80.68,79.09,80.28,4530133,0.0
2018-01-29,77.96,79.21,75.43,76.14,9444764,0.0
2018-01-30,76.7,76.89,74.91,75.28,3801062,0.0
2018-01-31,74.53,76.35,73.67,76.07,4258422,0.0
2018-02-01,75.88,76.24,73.3401,73.56,5736729,0.0
2018-02-04,73.54,74.22,70.32,70.44,5428485,0.0
2018-02-05,69.1,72.19,68.345,71.8,5119893,0.0
2018-02-06,71.34,73.2,71.16,71.57,3171750,0.0
2018-02-07,71.57,71.85,68.2,68.22,4871414,0.0
2018-02-08,68.88,69.3,66.34,68.4,5953385,0.0
2018-02-11,68.62,69.44,67.87,68.469,3092341,0.0
2018-02-12,67.87,70.515,67.48,68.27,5519991,0.0
2018-02-13,67.6,69.3,67.6,68.48,4054532,0.0
2018-02-14,68.99,69.78,68.3,69.78,3638789,0.0
2018-02-15,69.99,71.37,69.94,70.93,3478197,0.0
2018-02-19,70.82,71.725,70.19,70.91,3715755,0.0
2018-02-20,70.93,71.28,69.54,69.64,3753903,0.0
2018-02-21,69.72,70.17,69.31,69.67,3678289,0.0
2018-02-22,70.32,70.5,69.09,70.36,2197991,0.0
2018-02-25,70.45,70.69,69.5,70.61,2372735,0.0
2018-02-26,70.79,71,68.51,69.15,4939171,0.0
2018-02-27,69.39,70.01,68.68,68.89,4628659,0.0
2018-02-28,69.06,71.12,68.96,70.2,5547005,0.0
2018-03-01,69.55,70.75,69.4303,70.575,3007370,0.0
2018-03-04,70.04,70.67,69.3866,70.54,3518278,0.0
2018-03-05,70.55,70.55,68.82,69.79,3458965,0.0
2018-03-06,69.26,70.25,68.98,69.51,3016250,0.0
2018-03-07,69.81,70.16,68.5,68.96,3632886,0.0
2018-03-08,69.2,70.69,68.575,70.6,2752617,0.0
2018-03-11,70.65,71.18,69.95,70.15,2866183,0.0
2018-03-12,70.64,70.71,69.5,69.85,2972046,0.0
2018-03-13,70.01,70.5,68,68.55,3829594,0.0
2018-03-14,68.58,68.97,67.08,67.38,3508496,0.0
2018-03-15,67.69,68.11,67.175,67.58,5260823,0.0
2018-03-18,67.47,67.695,66.22,66.63,2713090,0.0
2018-03-19,66.71,67,65.455,66.06,2958869,0.0
2018-03-20,65.96,67.14,65.68,66.26,2631441,0.0
2018-03-21,65.79,67.135,65.58,65.84,3182369,0.0
2018-03-22,66.06,66.75,65.36,65.43,4580779,0.0
2018-03-25,66.13,67.59,66.12,67.48,4089805,0.0
2018-03-26,67.84,67.97,65.675,66.02,5873451,0.0
2018-03-27,67.49,68,65.82,67.59,8219171,0.0
2018-03-28,67.67,68,64.76,65.46,6663414,0.0
2018-04-01,65.1,65.45,62.4781,63.1,5742213,0.0
2018-04-02,63.53,63.56,61.735,63.18,7936141,0.0
2018-04-03,62.64,66.0079,62.6,65.5,6206760,0.0
2018-04-04,65.78,65.93,64.535,64.64,3596573,0.0
2018-04-05,64.36,64.7899,63.19,63.46,3157580,0.0
2018-04-08,63.55,63.82,62.67,62.85,2824428,0.0
2018-04-09,63.48,63.99,62.69,63.76,3286985,0.0
2018-04-10,63.36,64.5,63.1,64.12,3848490,0.0
2018-04-11,64.28,64.62,63.62,64.03,3295390,0.0
2018-04-12,64.54,64.54,63.25,63.82,2211288,0.0
2018-04-15,64.19,68.15,63.92,66.21,8380322,0.0
2018-04-16,66.71,67,64.8834,65.95,5313529,0.0
2018-04-17,66,66.79,66,66.27,2042292,0.0
2018-04-18,66.09,66.3,64.86,65.29,2157217,0.0
2018-04-19,64.87,65.28,63.74,63.92,4506293,0.0
2018-04-22,64.25,64.7,63.81,64.6,3275592,0.0
2018-04-23,65.08,65.65,64.4,65,3351989,0.0
2018-04-24,64.99,66.23,64.38,65.95,3250375,0.0
2018-04-25,66.28,67.15,65.83,66.74,3784941,0.0
2018-04-26,66.56,67.88,66.37,67.11,2184065,0.0
2018-04-29,67.53,67.75,66.22,66.45,2317002,0.0
2018-04-30,65.37,66.23,64.63,65.42,3843139,0.0
2018-05-01,65.56,65.6,63.17,63.65,4211611,0.0
2018-05-02,63.42,63.5,61.88,62.23,5186984,0.0
2018-05-03,62.18,64.15,61.76,63.809,3209692,0.0
2018-05-06,63.85,64,62.03,62.29,3841117,0.0
2018-05-07,62.3,62.6,61.56,62.35,4222928,0.0
2018-05-08,62.49,63.1,62.12,62.93,2969697,0.0
2018-05-09,63.19,64.26,62.62,63.8,3643765,0.0
2018-05-10,63.85,64.56,62.64,64.09,4557237,0.0
2018-05-13,64.26,65.22,64.1324,65.1,2985375,0.0
2018-05-14,64.58,65.38,63.9919,64.61,3311809,0.0
2018-05-15,64.71,66,64.61,65.75,2923838,0.0
2018-05-16,65.23,66.04,65.02,66,2848793,0.0
2018-05-17,65.93,65.93,64.1,64.34,2555409,0.0
2018-05-20,64.49,65.1,64.26,64.51,2101401,0.0
2018-05-21,64.83,65.82,64.14,64.24,2305482,0.0
2018-05-22,63.84,64,62.685,63.92,3473247,0.0
2018-05-23,63.79,64,62.7,63.42,2668618,0.0
2018-05-24,63.5,64.15,63.19,63.53,2403204,0.0
2018-05-28,63.3,63.67,62.505,62.69,3501730,0.0
2018-05-29,62.98,63.86,62.69,63.54,2189699,0.0
2018-05-30,63.58,63.58,62.12,62.4,3374074,0.0
2018-05-31,62.56,63.31,62.15,62.86,2368085,0.0
2018-06-03,63.09,63.42,62.7,63.31,1888681,0.0
2018-06-04,63.18,63.24,62.44,62.92,4600428,0.0
2018-06-05,63.1,63.32,62.73,63.16,3979061,0.0
2018-06-06,63.15,64.01,63,63.6,3915682,0.0
2018-06-07,63.67,64.06,62.96,63.4,2668046,0.0
2018-06-10,63.38,64.39,63.07,64.06,2689001,0.0
2018-06-11,64.16,64.194,63.17,63.7,3962769,0.0
2018-06-12,63.31,64.43,63.31,63.91,4367217,0.0
2018-06-13,64.11,65,63.9,64.88,3924461,0.0
2018-06-14,65,65.82,64.57,65.81,5703719,0.0
2018-06-17,65.33,65.55,63.88,64.14,3254886,0.0
2018-06-18,63.69,64.76,63.67,64.61,3337175,0.0
2018-06-19,66.72,68.26,65.63,68,11877669,0.0
2018-06-20,68.49,68.8699,66.92,67.79,6891848,0.0
2018-06-21,67.84,68.27,67.465,67.61,5747495,0.0
2018-06-24,67.35,68.04,66.35,67.27,6203118,0.0
2018-06-25,67.19,67.44,65.42,66.58,6152653,0.0
