Date,Open,High,Low,Close,Volume,OpenInterest
2017-06-01,48.41,48.5,48.03,48.3,1209915,0.0
2017-06-04,48.36,48.38,47.83,47.84,2012507,0.0
2017-06-05,47.95,47.98,47.54,47.57,2351971,0.0
2017-06-06,47.62,48.055,47.57,47.88,1704635,0.0
2017-06-07,47.81,47.85,46.98,47.34,2677066,0.0
2017-06-08,47.22,47.39,46.94,47.34,2194819,0.0
2017-06-11,47.41,47.53,46.83,47.16,2239182,0.0
2017-06-12,46.84,47.08,46.67,47.06,1580807,0.0
2017-06-13,47.36,47.62,47.18,47.37,1986524,0.0
2017-06-14,47.27,47.63,47.13,47.57,1593252,0.0
2017-06-15,47.65,47.86,47.5,47.8,2265616,0.0
2017-06-18,47.85,47.85,47.45,47.59,1648336,0.0
2017-06-19,47.62,47.78,47.61,47.7,1355493,0.0
2017-06-20,47.61,47.78,47.42,47.58,2743391,0.0
2017-06-21,47.47,47.68,47.31,47.36,1263097,0.0
2017-06-22,47.31,47.5465,47.05,47.12,1256971,0.0
2017-06-25,47.13,47.64,47.03,47.37,1410726,0.0
2017-06-26,47.14,47.315,46.89,47.02,2715920,0.0
2017-06-27,47.17,47.24,46.44,46.48,2504522,0.0
2017-06-28,46.19,46.2,45.79,45.97,4397608,0.0
2017-06-29,46.04,46.24,45.88,45.88,2637795,0.0
2017-07-02,46.03,46.055,45.58,45.6,998545,0.0
2017-07-04,45.57,45.625,45.18,45.53,2524184,0.0
2017-07-05,45.43,45.63,45.31,45.56,2341237,0.0
2017-07-06,45.57,45.92,45.53,45.7,2617732,0.0
2017-07-09,45.84,45.87,45.55,45.56,1964644,0.0
2017-07-10,45.64,45.69,45.41,45.54,1666714,0.0
2017-07-11,45.89,46.015,45.8,45.89,2085812,0.0
2017-07-12,45.79,45.9,45.54,45.67,3065841,0.0
2017-07-13,45.91,46.08,45.81,45.91,1974811,0.0
2017-07-16,45.97,46.15,45.85,46.14,2847939,0.0
2017-07-17,46.16,46.48,46.1,46.41,2610436,0.0
2017-07-18,46.45,46.63,46.27,46.61,2700229,0.0
2017-07-19,46.7,47.19,46.62,47.15,3266915,0.0
2017-07-20,47.11,47.42,46.875,47.41,2299618,0.0
2017-07-23,47.41,47.45,46.79,46.92,1425312,0.0
2017-07-24,46.93,46.93,46.58,46.7,1002678,0.0
2017-07-25,46.65,47.25,46.55,47.24,2038663,0.0
2017-07-26,47.21,47.66,46.9,47.65,2437592,0.0
2017-07-27,47.62,47.695,47.045,47.17,2398492,0.0
2017-07-30,47.14,47.41,46.96,47.31,2385286,0.0
2017-07-31,47.31,47.705,47.21,47.58,2288985,0.0
2017-08-01,47.38,47.71,47.18,47.7,1182173,0.0
2017-08-02,47.64,48.12,47.62,48.11,1825873,0.0
2017-08-03,47.87,48.015,47.65,47.97,1561171,0.0
