Date,Open,High,Low,Close,Volume,OpenInterest
2017-06-01,67.06,67.09,66.33,66.88,2592571,0.0
2017-06-04,66.8,67.5,66.67,67.16,2312772,0.0
2017-06-05,67.23,67.715,66.9,67.62,3243913,0.0
2017-06-06,67.61,67.94,67.42,67.87,2279832,0.0
2017-06-07,68,68.1,67.45,68.07,2109972,0.0
2017-06-08,68.35,68.55,64.62,65.39,4485143,0.0
2017-06-11,64.82,65.11,63.21,64.23,4592390,0.0
2017-06-12,64.75,65.11,64.01,64.78,1718800,0.0
2017-06-13,65.17,65.39,64.41,64.88,2109505,0.0
2017-06-14,63.99,64.98,63.99,64.85,1559174,0.0
2017-06-15,64.8,64.95,64.12,64.73,1906282,0.0
2017-06-18,65.2,65.98,65.07,65.9,1748932,0.0
2017-06-19,65.87,66.15,65.0506,65.26,2067377,0.0
2017-06-20,65.84,66.37,65.39,66.12,2552279,0.0
2017-06-21,66.31,66.79,65.85,66.58,1586617,0.0
2017-06-22,66.56,67.6,66.5,67.53,1563244,0.0
2017-06-25,67.6,67.99,67.01,67.37,1819258,0.0
2017-06-26,67.05,67.26,65.0801,65.12,2479040,0.0
2017-06-27,65.49,66.09,64.74,66.02,1824577,0.0
2017-06-28,65.45,65.5716,63.575,64.18,1611073,0.0
2017-06-29,64.55,64.76,63.98,64.33,2397534,0.0
2017-07-02,64.86,64.9,63.24,63.26,898535,0.0
2017-07-04,63.63,64.87,63.33,64.71,1377236,0.0
2017-07-05,63.95,64.82,63.67,64.42,1599651,0.0
2017-07-06,64.59,65.59,64.57,65.34,956226,0.0
2017-07-09,67.02,67.24,66.13,67.17,1993352,0.0
2017-07-10,67.14,67.75,66.93,67.56,1743181,0.0
2017-07-11,68,68.68,67.8,68.28,1100092,0.0
2017-07-12,68.04,68.58,67.74,67.85,1157335,0.0
2017-07-13,68,68.1,65.7,66.26,4291745,0.0
2017-07-16,66.24,66.55,65.78,65.86,1763113,0.0
2017-07-17,65.81,65.97,65.26,65.63,1778941,0.0
2017-07-18,65.89,65.92,64.43,65.57,4430840,0.0
2017-07-19,65.71,66.19,64.78,65.81,2438419,0.0
2017-07-20,65.55,65.739,64.51,64.85,2599350,0.0
2017-07-23,64.9,64.96,64.16,64.27,1508804,0.0
2017-07-24,64.32,64.89,64.01,64.46,1331071,0.0
2017-07-25,64.57,65.37,64.26,65.32,2433322,0.0
2017-07-26,66.6,68.19,63.42,63.85,5475964,0.0
