Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
QQQ,037833100,AAPL ,"139,698,400","18,211,083,424.00",11.138,Apple Inc,Common Stock,Information Technology,04/08/2021
QQQ,594918104,MSFT ,"62,760,833","15,894,180,957.25",9.721,Microsoft Corp,Common Stock,Information Technology,04/08/2021
QQQ,023135106,AMZN ,"4,190,306","13,825,076,585.80",8.455,Amazon.com Inc,Common Stock,Consumer Discretionary,04/08/2021
QQQ,88160R101,TSLA ,"9,884,410","6,758,959,558.00",4.134,Tesla Inc,Common Stock,Consumer Discretionary,04/08/2021
QQQ,30303M102,FB ,"20,016,386","6,265,529,145.72",3.832,Facebook Inc,Common Stock,Communication Services,04/08/2021
QQQ,02079K107,GOOG ,"2,725,692","6,174,891,684.48",3.776,Alphabet Inc,Common Stock,Communication Services,04/08/2021
QQQ,02079K305,GOOGL ,"2,502,523","5,631,752,834.89",3.444,Alphabet Inc,Common Stock,Communication Services,04/08/2021
QQQ,67066G104,NVDA ,"7,850,847","4,496,023,059.96",2.750,NVIDIA Corp,Common Stock,Information Technology,04/08/2021
QQQ,70450Y103,PYPL ,"14,830,191","3,922,585,519.50",2.399,PayPal Holdings Inc,Common Stock,Information Technology,04/08/2021
QQQ,458140100,INTC ,"51,448,327","3,449,610,325.35",2.110,Intel Corp,Common Stock,Information Technology,04/08/2021
QQQ,20030N101,CMCSA ,"57,883,639","3,144,818,106.87",1.923,Comcast Corp,Common Stock,Communication Services,04/08/2021
QQQ,64110L106,NFLX ,"5,608,217","3,110,204,983.86",1.902,Netflix Inc,Common Stock,Communication Services,04/08/2021
QQQ,00724F101,ADBE ,"6,061,609","3,029,834,642.56",1.853,Adobe Inc,Common Stock,Information Technology,04/08/2021
QQQ,17275R102,CSCO ,"53,458,972","2,775,055,236.52",1.697,Cisco Systems Inc/Delaware,Common Stock,Information Technology,04/08/2021
QQQ,11135F101,AVGO ,"5,169,217","2,509,551,469.16",1.535,Broadcom Inc,Common Stock,Information Technology,04/08/2021
QQQ,713448108,PEP ,"17,469,490","2,490,101,104.60",1.523,PepsiCo Inc,Common Stock,Consumer Staples,04/08/2021
QQQ,882508104,TXN ,"11,652,659","2,274,599,036.80",1.391,Texas Instruments Inc,Common Stock,Information Technology,04/08/2021
QQQ,872590104,TMUS ,"15,737,194","2,047,566,311.34",1.252,T-Mobile US Inc,Common Stock,Communication Services,04/08/2021
QQQ,22160K105,COST ,"5,608,978","2,026,075,033.16",1.239,Costco Wholesale Corp,Common Stock,Consumer Staples,04/08/2021
QQQ,747525103,QCOM ,"14,384,760","2,018,757,218.40",1.235,QUALCOMM Inc,Common Stock,Information Technology,04/08/2021
QQQ,031162100,AMGN ,"7,313,524","1,805,562,805.12",1.104,Amgen Inc,Common Stock,Health Care,04/08/2021
QQQ,855244109,SBUX ,"14,907,739","1,685,170,816.56",1.031,Starbucks Corp,Common Stock,Consumer Discretionary,04/08/2021
QQQ,038222105,AMAT ,"11,620,092","1,619,259,820.20",0.990,Applied Materials Inc,Common Stock,Information Technology,04/08/2021
QQQ,16119P108,CHTR ,"2,453,154","1,509,082,214.64",0.923,Charter Communications Inc,Common Stock,Communication Services,04/08/2021
QQQ,461202103,INTU ,"3,467,543","1,426,269,786.76",0.872,Intuit Inc,Common Stock,Information Technology,04/08/2021
QQQ,595112103,MU ,"14,165,346","1,349,815,820.34",0.826,Micron Technology Inc,Common Stock,Information Technology,04/08/2021
QQQ,007903107,AMD ,"15,338,586","1,278,471,143.10",0.782,Advanced Micro Devices Inc,Common Stock,Information Technology,04/08/2021
QQQ,09857L108,BKNG ,"518,688","1,259,369,277.12",0.770,Booking Holdings Inc,Common Stock,Consumer Discretionary,04/08/2021
QQQ,512807108,LRCX ,"1,809,606","1,208,816,808.00",0.739,Lam Research Corp,Common Stock,Information Technology,04/08/2021
QQQ,46120E602,ISRG ,"1,490,619","1,148,298,346.65",0.702,Intuitive Surgical Inc,Common Stock,Health Care,04/08/2021
QQQ,609207105,MDLZ ,"17,881,105","1,054,627,572.90",0.645,Mondelez International Inc,Common Stock,Consumer Staples,04/08/2021
QQQ,337738108,FISV ,"8,477,211","1,052,445,745.65",0.644,Fiserv Inc,Common Stock,Information Technology,04/08/2021
QQQ,375558103,GILD ,"15,911,797","1,034,585,040.94",0.633,Gilead Sciences Inc,Common Stock,Health Care,04/08/2021
QQQ,053015103,ADP ,"5,418,859","1,019,829,263.80",0.624,Automatic Data Processing Inc,Common Stock,Information Technology,04/08/2021
QQQ,58733R102,MELI ,"631,476","1,002,783,888.00",0.613,MercadoLibre Inc,Common Stock,Consumer Discretionary,04/08/2021
QQQ,98980L101,ZM ,"2,966,103","982,610,601.84",0.601,Zoom Video Communications Inc,Common Stock,Information Technology,04/08/2021
QQQ,00507V109,ATVI ,"9,810,437","946,314,753.02",0.579,Activision Blizzard Inc,Common Stock,Communication Services,04/08/2021
QQQ,126408103,CSX ,"9,655,335","931,546,720.80",0.570,CSX Corp,Common Stock,Industrials,04/08/2021
QQQ,47215P106,JD ,"10,518,627","864,000,021.78",0.528,JD.com Inc ADR,American Depository Receipt,Consumer Discretionary,04/08/2021
QQQ,052769106,ADSK ,"2,784,387","817,022,677.41",0.500,Autodesk Inc,Common Stock,Information Technology,04/08/2021
QQQ,056752108,BIDU ,"3,436,222","779,232,062.94",0.477,Baidu Inc ADR,American Depository Receipt,Communication Services,04/08/2021
QQQ,032654105,ADI ,"4,671,162","757,288,783.44",0.463,Analog Devices Inc,Common Stock,Information Technology,04/08/2021
QQQ,452327109,ILMN ,"1,847,486","745,903,997.64",0.456,Illumina Inc,Common Stock,Health Care,04/08/2021
